timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,2.3850,2.4100,2.4100,2.4100,2.4100,0,0.0000,1.0000
2019-07-26,2.3850,2.3850,2.3100,2.3100,2.3100,691,0.0000,1.0000
2019-07-25,2.3100,2.3100,2.3100,2.3100,2.3100,0,0.0000,1.0000
2019-07-24,2.3100,2.3100,2.3100,2.3100,2.3100,549,0.0000,1.0000
2019-07-23,2.4700,2.4800,2.4600,2.4800,2.4800,1659,0.0000,1.0000
2019-07-22,2.4300,2.4751,2.4300,2.4751,2.4751,1526,0.0000,1.0000
2019-07-19,2.4100,2.4100,2.4100,2.4100,2.4100,7,0.0000,1.0000
2019-07-18,2.4100,2.4100,2.4100,2.4100,2.4100,132,0.0000,1.0000
2019-07-17,2.4000,2.4100,2.4000,2.4100,2.4100,429,0.0000,1.0000
2019-07-16,2.2500,2.3799,2.2500,2.3560,2.3560,1699,0.0000,1.0000
2019-07-15,2.2900,2.3055,2.2900,2.3015,2.3015,1738,0.0000,1.0000
2019-07-12,2.3900,2.3900,2.2900,2.2900,2.2900,1290,0.0000,1.0000
2019-07-11,2.3450,2.3450,2.2900,2.2900,2.2900,862,0.0000,1.0000
2019-07-10,2.3350,2.4100,2.2600,2.2900,2.2900,2449,0.0000,1.0000
2019-07-09,2.4100,2.4100,2.4100,2.4100,2.4100,1,0.0000,1.0000
2019-07-08,2.4400,2.4400,2.4100,2.4100,2.4100,473,0.0000,1.0000
2019-07-05,2.2700,2.4000,2.2700,2.3900,2.3900,3212,0.0000,1.0000
2019-07-03,2.4800,2.4800,2.3704,2.3704,2.3704,1293,0.0000,1.0000
2019-07-02,2.3200,2.3900,2.3173,2.3670,2.3670,2366,0.0000,1.0000
2019-07-01,2.4300,2.4300,2.4000,2.4000,2.4000,530,0.0000,1.0000
2019-06-28,2.4500,2.4900,2.4500,2.4500,2.4500,605,0.0000,1.0000
2019-06-27,2.4900,2.5300,2.4900,2.5100,2.5100,1833,0.0000,1.0000
2019-06-26,2.4900,2.4900,2.4900,2.4900,2.4900,85,0.0000,1.0000
2019-06-25,2.5100,2.5100,2.4900,2.4900,2.4900,403,0.0000,1.0000
2019-06-24,2.3400,2.5100,2.3400,2.5100,2.5100,610,0.0000,1.0000
2019-06-21,2.5100,2.5100,2.5090,2.5100,2.5100,1228,0.0000,1.0000
2019-06-20,2.4700,2.4800,2.4700,2.4800,2.4800,1492,0.0000,1.0000
2019-06-19,2.4800,2.4800,2.4400,2.4800,2.4800,2536,0.0000,1.0000
2019-06-18,2.4600,2.4600,2.2400,2.4500,2.4500,6248,0.0000,1.0000
2019-06-17,2.3300,2.3900,2.3300,2.3900,2.3900,1009,0.0000,1.0000
2019-06-14,2.2500,2.4100,2.2000,2.2311,2.2311,6182,0.0000,1.0000
2019-06-13,2.4400,2.4400,2.4400,2.4400,2.4400,1,0.0000,1.0000
2019-06-12,2.3900,2.4400,2.3900,2.4400,2.4400,1247,0.0000,1.0000
2019-06-11,2.3200,2.4500,2.3000,2.4500,2.4500,3126,0.0000,1.0000
2019-06-10,2.3200,2.4500,2.3200,2.4500,2.4500,578,0.0000,1.0000
2019-06-07,2.4500,2.4500,2.4500,2.4500,2.4500,528,0.0000,1.0000
2019-06-06,2.4100,2.4500,2.4100,2.4500,2.4500,313,0.0000,1.0000
2019-06-05,2.3700,2.3700,2.3700,2.3700,2.3700,100,0.0000,1.0000
2019-06-04,2.3650,2.3650,2.3650,2.3650,2.3650,16,0.0000,1.0000
2019-06-03,2.4499,2.4499,2.2914,2.3650,2.3650,849,0.0000,1.0000
2019-05-31,2.5000,2.5000,2.4500,2.4501,2.4501,800,0.0000,1.0000
2019-05-30,2.4354,2.4354,2.4354,2.4354,2.4354,17,0.0000,1.0000
2019-05-29,2.4400,2.4400,2.4400,2.4400,2.4400,0,0.0000,1.0000
2019-05-28,2.4354,2.4354,2.4354,2.4354,2.4354,105,0.0000,1.0000
2019-05-24,2.4200,2.5100,2.4200,2.5100,2.5100,680,0.0000,1.0000
2019-05-23,2.4600,2.4600,2.4600,2.4600,2.4600,4,0.0000,1.0000
2019-05-22,2.2400,2.4600,2.2400,2.4600,2.4600,1074,0.0000,1.0000
2019-05-21,2.2786,2.5100,2.2600,2.2600,2.2600,15624,0.0000,1.0000
2019-05-20,2.3300,2.3300,2.3300,2.3300,2.3300,25,0.0000,1.0000
2019-05-17,2.3300,2.3300,2.3300,2.3300,2.3300,21,0.0000,1.0000
2019-05-16,2.4500,2.4500,2.3300,2.3300,2.3300,1413,0.0000,1.0000
2019-05-15,2.4487,2.4487,2.4487,2.4487,2.4487,8,0.0000,1.0000
2019-05-14,2.4487,2.4487,2.4487,2.4487,2.4487,46,0.0000,1.0000
2019-05-13,2.4487,2.4487,2.4487,2.4487,2.4487,126,0.0000,1.0000
2019-05-10,2.5100,2.5100,2.4800,2.4899,2.4899,1054,0.0000,1.0000
2019-05-09,2.3500,2.3500,2.3500,2.3500,2.3500,0,0.0000,1.0000
