timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,8.3700,8.3800,8.3700,8.3800,8.3800,1279,0.0000,1.0000
2019-07-26,8.2400,8.3800,8.2300,8.3800,8.3800,4472,0.0000,1.0000
2019-07-25,8.3600,8.4000,8.2900,8.2900,8.2900,2219,0.0000,1.0000
2019-07-24,8.3300,8.4000,8.3200,8.3600,8.3600,18574,0.0000,1.0000
2019-07-23,8.3100,8.3500,8.3100,8.3400,8.3400,20645,0.0000,1.0000
2019-07-22,8.3500,8.3500,8.3001,8.3300,8.3300,3372,0.0000,1.0000
2019-07-19,8.2900,8.3500,8.2700,8.3200,8.3200,11973,0.0000,1.0000
2019-07-18,8.2800,8.3200,8.2300,8.2900,8.2900,18561,0.0000,1.0000
2019-07-17,8.3300,8.3300,8.2315,8.2800,8.2800,20945,0.0000,1.0000
2019-07-16,8.3300,8.3305,8.2250,8.2900,8.2900,33552,0.0000,1.0000
2019-07-15,8.3400,8.3500,8.3100,8.3250,8.3250,20471,0.0000,1.0000
2019-07-12,8.3100,8.3500,8.3000,8.3200,8.3200,17823,0.0000,1.0000
2019-07-11,8.3300,8.3500,8.2900,8.3300,8.3300,27335,0.0000,1.0000
2019-07-10,8.3500,8.3900,8.2900,8.3300,8.3300,20162,0.0000,1.0000
2019-07-09,8.3500,8.3900,8.2900,8.3200,8.3200,14787,0.0000,1.0000
2019-07-08,8.3900,8.3982,8.3200,8.3700,8.3700,11490,0.0000,1.0000
2019-07-05,8.2800,8.4126,8.2787,8.3900,8.3900,14528,0.0000,1.0000
2019-07-03,8.3100,8.3947,8.2700,8.3400,8.3400,14136,0.0000,1.0000
2019-07-02,8.2600,8.3900,8.2600,8.3100,8.3100,21240,0.0000,1.0000
2019-07-01,8.3900,8.5299,8.2500,8.2500,8.2500,20415,0.0000,1.0000
2019-06-28,8.3600,8.3800,8.3000,8.3800,8.3800,42809,0.0000,1.0000
2019-06-27,8.4400,8.4700,8.3200,8.3900,8.3900,20062,0.1800,1.0000
2019-06-26,8.6900,8.7400,8.6800,8.6900,8.5075,112686,0.0000,1.0000
2019-06-25,8.6900,8.6900,8.6500,8.6900,8.5075,20979,0.0000,1.0000
2019-06-24,8.6447,8.6900,8.6102,8.6700,8.4879,34471,0.0000,1.0000
2019-06-21,8.5900,8.6800,8.5777,8.6500,8.4683,41201,0.0000,1.0000
2019-06-20,8.4800,8.6500,8.4800,8.5400,8.3606,24001,0.0000,1.0000
2019-06-19,8.5000,8.5500,8.4750,8.5300,8.3508,15655,0.0000,1.0000
2019-06-18,8.4001,8.5000,8.4001,8.4900,8.3117,25611,0.0000,1.0000
2019-06-17,8.4900,8.4900,8.3900,8.4600,8.2823,31056,0.0000,1.0000
2019-06-14,8.0800,8.4500,8.0700,8.4100,8.2334,37468,0.0000,1.0000
2019-06-13,8.0500,8.0700,8.0500,8.0700,7.9005,21130,0.0000,1.0000
2019-06-12,8.1000,8.1200,8.0600,8.0900,7.9201,37857,0.0000,1.0000
2019-06-11,8.1400,8.1500,8.0900,8.1150,7.9446,14418,0.0000,1.0000
2019-06-10,8.1300,8.1600,8.0900,8.1400,7.9690,14507,0.0000,1.0000
2019-06-07,8.1900,8.1996,8.0600,8.1300,7.9592,30245,0.0000,1.0000
2019-06-06,8.0700,8.2200,8.0600,8.1500,7.9788,26213,0.0000,1.0000
2019-06-05,8.1623,8.1900,8.0500,8.0800,7.9103,45689,0.0000,1.0000
2019-06-04,8.1500,8.3200,8.0900,8.1000,7.9299,30337,0.0000,1.0000
2019-06-03,8.2700,8.4100,8.0500,8.1100,7.9397,60091,0.0000,1.0000
2019-05-31,8.3200,8.3300,8.2700,8.2700,8.0963,45280,0.0000,1.0000
2019-05-30,8.3600,8.4443,8.3200,8.3300,8.1550,22195,0.0000,1.0000
2019-05-29,8.5200,8.5200,8.2700,8.3550,8.1795,33590,0.0000,1.0000
2019-05-28,8.4600,8.5400,8.2816,8.4900,8.3117,22908,0.0000,1.0000
2019-05-24,8.5100,8.5715,8.4500,8.4900,8.3117,31036,0.0000,1.0000
2019-05-23,8.5600,8.6880,8.4400,8.5200,8.3411,26016,0.0000,1.0000
2019-05-22,8.4700,8.6999,8.4000,8.6500,8.4683,51561,0.0000,1.0000
2019-05-21,8.4700,8.6400,8.4487,8.5000,8.3215,31942,0.0000,1.0000
2019-05-20,8.5500,8.5918,8.4400,8.5200,8.3411,23699,0.0000,1.0000
2019-05-17,8.5500,8.6013,8.4950,8.5100,8.3313,51406,0.0000,1.0000
2019-05-16,8.4700,8.5500,8.4373,8.4900,8.3117,26405,0.0000,1.0000
2019-05-15,8.3800,8.4800,8.3500,8.4200,8.2432,36510,0.0000,1.0000
