timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,0.7500,0.7700,0.7500,0.7600,0.7600,4642,0.0000,1.0000
2019-07-26,0.7801,0.7986,0.7601,0.7770,0.7770,54124,0.0000,1.0000
2019-07-25,0.8112,0.8410,0.7820,0.8166,0.8166,26062,0.0000,1.0000
2019-07-24,0.8543,0.8543,0.7600,0.8500,0.8500,146221,0.0000,1.0000
2019-07-23,0.8549,0.8549,0.8100,0.8400,0.8400,53317,0.0000,1.0000
2019-07-22,0.8700,0.8725,0.8500,0.8699,0.8699,19750,0.0000,1.0000
2019-07-19,0.8404,0.8700,0.8403,0.8689,0.8689,15292,0.0000,1.0000
2019-07-18,0.8785,0.8785,0.8400,0.8605,0.8605,15015,0.0000,1.0000
2019-07-17,0.9000,0.9050,0.8031,0.8700,0.8700,50862,0.0000,1.0000
2019-07-16,0.8912,0.9228,0.8880,0.9045,0.9045,10713,0.0000,1.0000
2019-07-15,0.8801,0.9200,0.8801,0.9200,0.9200,9729,0.0000,1.0000
2019-07-12,0.9208,0.9400,0.8894,0.9000,0.9000,40695,0.0000,1.0000
2019-07-11,0.9199,0.9400,0.8962,0.9158,0.9158,21499,0.0000,1.0000
2019-07-10,0.9150,0.9298,0.8920,0.9200,0.9200,16655,0.0000,1.0000
2019-07-09,0.9100,0.9304,0.8710,0.9100,0.9100,65331,0.0000,1.0000
2019-07-08,0.9340,0.9521,0.9000,0.9136,0.9136,55596,0.0000,1.0000
2019-07-05,0.9300,0.9600,0.9150,0.9290,0.9290,31845,0.0000,1.0000
2019-07-03,0.9050,0.9500,0.9000,0.9500,0.9500,19255,0.0000,1.0000
2019-07-02,0.9210,0.9700,0.9050,0.9050,0.9050,44799,0.0000,1.0000
2019-07-01,0.9300,0.9398,0.9100,0.9222,0.9222,36774,0.0000,1.0000
2019-06-28,0.9266,0.9300,0.8900,0.9200,0.9200,18334,0.0000,1.0000
2019-06-27,0.9057,0.9300,0.8880,0.9100,0.9100,19509,0.0000,1.0000
2019-06-26,0.9199,0.9200,0.8803,0.9100,0.9100,26250,0.0000,1.0000
2019-06-25,0.9000,0.9200,0.8900,0.9200,0.9200,43257,0.0000,1.0000
2019-06-24,0.8908,0.9200,0.8702,0.9200,0.9200,84258,0.0000,1.0000
2019-06-21,0.9001,0.9400,0.8700,0.9190,0.9190,204799,0.0000,1.0000
2019-06-20,1.0200,1.0600,0.9200,0.9747,0.9747,241852,0.0000,1.0000
2019-06-19,1.1100,1.1500,1.0100,1.0560,1.0560,121335,0.0000,1.0000
