timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,1.8000,1.8000,1.8000,1.8100,1.8100,1356,0.0000,1.0000
2019-07-26,1.7900,1.8400,1.7500,1.8000,1.8000,118589,0.0000,1.0000
2019-07-25,1.8600,1.8600,1.7200,1.7800,1.7800,203698,0.0000,1.0000
2019-07-24,1.8500,1.8900,1.7800,1.8500,1.8500,82307,0.0000,1.0000
2019-07-23,1.8900,1.9300,1.8000,1.8500,1.8500,166635,0.0000,1.0000
2019-07-22,1.7300,2.0200,1.7200,1.8900,1.8900,414631,0.0000,1.0000
2019-07-19,1.9200,2.0804,1.7200,1.7300,1.7300,605571,0.0000,1.0000
2019-07-18,2.0100,2.0500,1.9400,1.9500,1.9500,364247,0.0000,1.0000
2019-07-17,2.0900,2.0900,2.0125,2.0300,2.0300,249601,0.0000,1.0000
2019-07-16,2.3500,2.4200,2.0700,2.1000,2.1000,463328,0.0000,1.0000
2019-07-15,2.3900,2.4500,2.3200,2.3400,2.3400,359241,0.0000,1.0000
2019-07-12,2.3600,2.4500,2.3200,2.4000,2.4000,245335,0.0000,1.0000
2019-07-11,2.3000,2.3800,2.2621,2.3500,2.3500,287456,0.0000,1.0000
2019-07-10,2.2500,2.3400,2.2300,2.3000,2.3000,324338,0.0000,1.0000
2019-07-09,2.2300,2.3300,2.2100,2.2600,2.2600,327827,0.0000,1.0000
2019-07-08,2.2400,2.2700,2.1200,2.2300,2.2300,280989,0.0000,1.0000
2019-07-05,2.1500,2.2889,2.1500,2.2500,2.2500,313333,0.0000,1.0000
2019-07-03,2.3500,2.3500,2.1500,2.1600,2.1600,200000,0.0000,1.0000
2019-07-02,2.2500,2.3500,2.2000,2.2800,2.2800,322627,0.0000,1.0000
2019-07-01,2.1400,2.3200,2.0800,2.2600,2.2600,513868,0.0000,1.0000
2019-06-28,2.2900,2.3099,2.0500,2.0800,2.0800,4272203,0.0000,1.0000
2019-06-27,2.2600,2.3500,2.2500,2.2600,2.2600,493299,0.0000,1.0000
2019-06-26,2.4600,2.4900,2.2200,2.2700,2.2700,759096,0.0000,1.0000
2019-06-25,2.1700,2.4700,2.1200,2.4200,2.4200,769375,0.0000,1.0000
2019-06-24,2.1800,2.2300,2.0400,2.1800,2.1800,732085,0.0000,1.0000
2019-06-21,2.3600,2.5376,2.1690,2.2000,2.2000,1770724,0.0000,1.0000
2019-06-20,1.8800,2.7400,1.8200,2.3600,2.3600,4466520,0.0000,1.0000
2019-06-19,1.7800,1.8485,1.7100,1.7200,1.7200,365865,0.0000,1.0000
2019-06-18,1.8900,1.9400,1.7400,1.7800,1.7800,378198,0.0000,1.0000
2019-06-17,1.5000,1.9400,1.4200,1.8200,1.8200,832013,0.0000,1.0000
2019-06-14,1.5400,1.5500,1.4450,1.4600,1.4600,695993,0.0000,1.0000
2019-06-13,1.5200,1.5900,1.5200,1.5300,1.5300,341331,0.0000,1.0000
2019-06-12,1.5900,1.6000,1.4900,1.5200,1.5200,305430,0.0000,1.0000
2019-06-11,1.6500,1.6500,1.5300,1.5700,1.5700,476588,0.0000,1.0000
2019-06-10,1.6200,1.6800,1.5900,1.6000,1.6000,385896,0.0000,1.0000
2019-06-07,1.6400,1.6800,1.5600,1.6200,1.6200,439559,0.0000,1.0000
2019-06-06,1.6900,1.6936,1.6001,1.6300,1.6300,235412,0.0000,1.0000
2019-06-05,1.8700,1.8700,1.6300,1.6600,1.6600,308419,0.0000,1.0000
2019-06-04,1.9300,1.9750,1.8200,1.8200,1.8200,216866,0.0000,1.0000
2019-06-03,1.8100,1.9400,1.7900,1.9000,1.9000,380763,0.0000,1.0000
2019-05-31,1.7800,1.8700,1.7600,1.8200,1.8200,228247,0.0000,1.0000
2019-05-30,1.7700,1.8300,1.7500,1.8200,1.8200,193254,0.0000,1.0000
2019-05-29,1.8500,1.8700,1.6900,1.7500,1.7500,396082,0.0000,1.0000
2019-05-28,1.9100,1.9900,1.8500,1.8800,1.8800,319662,0.0000,1.0000
2019-05-24,2.0000,2.0200,1.9000,1.9100,1.9100,261131,0.0000,1.0000
2019-05-23,2.0900,2.1450,1.9900,2.0000,2.0000,279269,0.0000,1.0000
2019-05-22,2.3200,2.3400,2.0800,2.0900,2.0900,332318,0.0000,1.0000
2019-05-21,2.3700,2.4700,2.3100,2.3300,2.3300,163180,0.0000,1.0000
