timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,9.8100,9.8100,9.7800,9.7800,9.7800,105582,0.0000,1.0000
2019-07-24,9.7700,9.8100,9.7700,9.8100,9.8100,2802,0.0000,1.0000
2019-07-23,9.7950,9.7950,9.7950,9.7950,9.7950,1,0.0000,1.0000
2019-07-22,9.7500,9.8000,9.7500,9.7950,9.7950,4901,0.0000,1.0000
2019-07-19,9.8000,9.8000,9.8000,9.8000,9.8000,1000,0.0000,1.0000
2019-07-18,9.8000,9.8100,9.7500,9.8000,9.8000,149100,0.0000,1.0000
2019-07-17,9.7400,9.8000,9.7300,9.8000,9.8000,5305,0.0000,1.0000
2019-07-16,9.8000,9.8000,9.8000,9.8000,9.8000,0,0.0000,1.0000
2019-07-15,9.7500,9.8000,9.7500,9.8000,9.8000,21002,0.0000,1.0000
2019-07-12,9.7700,9.7700,9.7700,9.7700,9.7700,0,0.0000,1.0000
2019-07-11,9.7700,9.7700,9.7700,9.7700,9.7700,1000,0.0000,1.0000
2019-07-10,9.8000,9.8000,9.8000,9.8000,9.8000,101,0.0000,1.0000
2019-07-09,9.7400,9.8000,9.7400,9.8000,9.8000,43499,0.0000,1.0000
2019-07-08,9.8000,9.8000,9.8000,9.8000,9.8000,0,0.0000,1.0000
2019-07-05,9.8000,9.8000,9.8000,9.8000,9.8000,1100,0.0000,1.0000
2019-07-03,9.7400,9.7400,9.7400,9.7400,9.7400,22700,0.0000,1.0000
2019-07-02,9.7800,9.7800,9.7400,9.7400,9.7400,1501,0.0000,1.0000
2019-07-01,9.7400,9.7900,9.7400,9.7900,9.7900,5600,0.0000,1.0000
2019-06-28,9.7500,9.7500,9.7500,9.7500,9.7500,0,0.0000,1.0000
2019-06-27,9.7500,9.7500,9.7500,9.7500,9.7500,8000,0.0000,1.0000
2019-06-26,9.7500,9.7500,9.7500,9.7500,9.7500,2000,0.0000,1.0000
2019-06-25,9.7300,9.7300,9.7300,9.7300,9.7300,205200,0.0000,1.0000
2019-06-24,9.7300,9.7300,9.7207,9.7270,9.7270,3403,0.0000,1.0000
2019-06-21,9.7200,9.7200,9.7200,9.7200,9.7200,0,0.0000,1.0000
2019-06-20,9.7100,9.7400,9.7100,9.7200,9.7200,1436700,0.0000,1.0000
2019-06-19,9.7400,9.7400,9.7000,9.7000,9.7000,57401,0.0000,1.0000
2019-06-18,9.7100,9.7500,9.7100,9.7100,9.7100,514399,0.0000,1.0000
2019-06-17,9.7100,9.7100,9.7100,9.7100,9.7100,1500,0.0000,1.0000
2019-06-14,9.7300,9.7300,9.7084,9.7100,9.7100,17701,0.0000,1.0000
2019-06-13,9.7100,9.7100,9.7100,9.7100,9.7100,0,0.0000,1.0000
2019-06-12,9.7100,9.7100,9.7100,9.7100,9.7100,602601,0.0000,1.0000
2019-06-11,9.7000,9.7000,9.7000,9.7000,9.7000,0,0.0000,1.0000
2019-06-10,9.7000,9.7000,9.7000,9.7000,9.7000,100000,0.0000,1.0000
2019-06-06,9.7000,9.7000,9.7000,9.7000,9.7000,55000,0.0000,1.0000
2019-06-05,9.7000,9.7000,9.7000,9.7000,9.7000,0,0.0000,1.0000
2019-06-03,9.7000,9.7000,9.7000,9.7000,9.7000,0,0.0000,1.0000
2019-05-31,9.7000,9.7000,9.7000,9.7000,9.7000,0,0.0000,1.0000
2019-05-30,9.7000,9.7000,9.7000,9.7000,9.7000,0,0.0000,1.0000
2019-05-29,9.7000,9.7000,9.7000,9.7000,9.7000,0,0.0000,1.0000
2019-05-28,9.7000,9.7000,9.7000,9.7000,9.7000,0,0.0000,1.0000
2019-05-24,9.7000,9.7000,9.7000,9.7000,9.7000,0,0.0000,1.0000
2019-05-23,9.7000,9.7000,9.7000,9.7000,9.7000,20000,0.0000,1.0000
2019-05-22,9.6800,9.6800,9.6800,9.6800,9.6800,0,0.0000,1.0000
2019-05-21,9.6800,9.6800,9.6800,9.6800,9.6800,0,0.0000,1.0000
2019-05-20,9.6800,9.6800,9.6800,9.6800,9.6800,0,0.0000,1.0000
2019-05-17,9.6800,9.6800,9.6800,9.6800,9.6800,50000,0.0000,1.0000
2019-05-16,9.6800,9.6800,9.6800,9.6800,9.6800,0,0.0000,1.0000
2019-05-15,9.6800,9.6800,9.6800,9.6800,9.6800,50000,0.0000,1.0000
2019-05-14,9.7000,9.7000,9.7000,9.7000,9.7000,5000,0.0000,1.0000
