timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,11.3700,11.5700,11.3700,11.5400,11.5400,33865,0.0000,1.0000
2019-07-26,11.1300,11.4500,11.0800,11.4300,11.4300,344229,0.0000,1.0000
2019-07-25,11.2000,11.3300,11.0300,11.0700,11.0700,329531,0.0000,1.0000
2019-07-24,11.2700,11.3333,11.1000,11.2100,11.2100,417709,0.0000,1.0000
2019-07-23,11.4900,11.5800,11.2021,11.3200,11.3200,411482,0.0000,1.0000
2019-07-22,11.5100,11.7300,11.3923,11.4300,11.4300,691563,0.0000,1.0000
2019-07-19,12.1000,12.2253,11.2801,11.5300,11.5300,1183767,0.0000,1.0000
2019-07-18,15.9600,16.4000,11.8600,12.1300,12.1300,3144402,0.0000,1.0000
2019-07-17,15.7100,15.8700,15.5900,15.8200,15.8200,294852,0.0000,1.0000
2019-07-16,15.8300,15.9300,15.7000,15.7500,15.7500,195208,0.0000,1.0000
2019-07-15,15.7300,15.9200,15.5700,15.8600,15.8600,251813,0.0000,1.0000
2019-07-12,15.6500,15.9200,15.5800,15.7200,15.7200,279053,0.0000,1.0000
2019-07-11,15.6300,15.7900,15.4700,15.6800,15.6800,185315,0.0000,1.0000
2019-07-10,15.5900,15.8800,15.5900,15.6300,15.6300,175356,0.0000,1.0000
2019-07-09,15.1200,15.6300,15.1200,15.6200,15.6200,237837,0.0000,1.0000
2019-07-08,15.2800,15.3400,15.0900,15.2200,15.2200,146407,0.0000,1.0000
2019-07-05,15.2500,15.3900,14.9800,15.3600,15.3600,152803,0.0000,1.0000
2019-07-03,15.1700,15.4100,15.0500,15.3700,15.3700,192937,0.0000,1.0000
2019-07-02,15.2500,15.3700,15.0700,15.2000,15.2000,270294,0.0000,1.0000
2019-07-01,15.4700,15.4700,15.0900,15.2800,15.2800,322928,0.0000,1.0000
2019-06-28,15.1300,15.4000,15.0021,15.2500,15.2500,592315,0.0000,1.0000
2019-06-27,15.4000,15.6165,15.0400,15.1000,15.1000,258419,0.0000,1.0000
2019-06-26,15.4900,15.7500,15.3600,15.3900,15.3900,273620,0.0000,1.0000
2019-06-25,15.6000,15.8200,15.3600,15.4000,15.4000,378521,0.0000,1.0000
2019-06-24,16.0600,16.0600,15.6100,15.6200,15.6200,230140,0.0000,1.0000
2019-06-21,16.4500,16.4500,16.0250,16.0600,16.0600,656583,0.0000,1.0000
