timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,1.7300,1.8000,1.7300,1.8000,1.8000,1153,0.0000,1.0000
2019-07-26,1.7500,1.7500,1.7000,1.7100,1.7100,37381,0.0000,1.0000
2019-07-25,1.8200,1.8300,1.7300,1.7400,1.7400,27087,0.0000,1.0000
2019-07-24,1.7500,1.8200,1.7500,1.8100,1.8100,85822,0.0000,1.0000
2019-07-23,1.7200,1.7500,1.6921,1.7500,1.7500,72159,0.0000,1.0000
2019-07-22,1.6511,1.7100,1.6500,1.6999,1.6999,14747,0.0000,1.0000
2019-07-19,1.7100,1.7200,1.6550,1.7100,1.7100,18150,0.0000,1.0000
2019-07-18,1.6900,1.7182,1.6694,1.7000,1.7000,4391,0.0000,1.0000
2019-07-17,1.7200,1.7300,1.6914,1.7200,1.7200,11837,0.0000,1.0000
2019-07-16,1.7000,1.7200,1.6680,1.7034,1.7034,59139,0.0000,1.0000
2019-07-15,1.6600,1.7200,1.6400,1.6859,1.6859,17137,0.0000,1.0000
2019-07-12,1.6662,1.7000,1.6300,1.6400,1.6400,67898,0.0000,1.0000
2019-07-11,1.7100,1.7186,1.6300,1.6600,1.6600,37313,0.0000,1.0000
2019-07-10,1.6500,1.7100,1.6100,1.7100,1.7100,31984,0.0000,1.0000
2019-07-09,1.6500,1.7000,1.6199,1.6500,1.6500,36938,0.0000,1.0000
2019-07-08,1.6900,1.7016,1.6301,1.6900,1.6900,32425,0.0000,1.0000
2019-07-05,1.6400,1.6899,1.6000,1.6899,1.6899,24651,0.0000,1.0000
2019-07-03,1.6300,1.6500,1.5900,1.6100,1.6100,13650,0.0000,1.0000
2019-07-02,1.6500,1.8500,1.5723,1.6300,1.6300,339547,0.0000,1.0000
2019-07-01,1.5800,1.7000,1.5731,1.6600,1.6600,89270,0.0000,1.0000
2019-06-28,1.6200,1.6400,1.5600,1.5800,1.5800,20456,0.0000,1.0000
2019-06-27,1.5600,1.6300,1.5600,1.6200,1.6200,30511,0.0000,1.0000
2019-06-26,1.5700,1.6100,1.5100,1.5500,1.5500,21495,0.0000,1.0000
2019-06-25,1.4800,1.5800,1.4700,1.5800,1.5800,26738,0.0000,1.0000
2019-06-24,1.6100,1.6115,1.5201,1.6100,1.6100,34220,0.0000,1.0000
2019-06-21,1.6000,1.6400,1.5900,1.6200,1.6200,48124,0.0000,1.0000
2019-06-20,1.5300,1.6600,1.5131,1.6000,1.6000,136477,0.0000,1.0000
2019-06-19,1.4900,1.5300,1.4480,1.5200,1.5200,65825,0.0000,1.0000
2019-06-18,1.4800,1.5500,1.4429,1.5100,1.5100,83264,0.0000,1.0000
2019-06-17,1.3801,1.4996,1.3801,1.4500,1.4500,26833,0.0000,1.0000
2019-06-14,1.4000,1.4500,1.3900,1.4400,1.4400,45136,0.0000,1.0000
2019-06-13,1.3500,1.4200,1.3500,1.3964,1.3964,9024,0.0000,1.0000
2019-06-12,1.4200,1.4200,1.3668,1.3800,1.3800,10159,0.0000,1.0000
2019-06-11,1.4200,1.4300,1.3825,1.4300,1.4300,1178,0.0000,1.0000
2019-06-10,1.4300,1.4600,1.4000,1.4101,1.4101,23884,0.0000,1.0000
2019-06-07,1.3800,1.4600,1.3727,1.4400,1.4400,30275,0.0000,1.0000
2019-06-06,1.3976,1.4200,1.3800,1.3801,1.3801,9889,0.0000,1.0000
2019-06-05,1.3845,1.4300,1.3700,1.3800,1.3800,27467,0.0000,1.0000
2019-06-04,1.4799,1.4799,1.3700,1.4252,1.4252,71012,0.0000,1.0000
2019-06-03,1.4100,1.4600,1.3700,1.4300,1.4300,54917,0.0000,1.0000
2019-05-31,1.4700,1.5300,1.4100,1.4343,1.4343,130739,0.0000,1.0000
2019-05-30,1.3100,1.9800,1.2989,1.4000,1.4000,2138523,0.0000,1.0000
2019-05-29,1.3400,1.3400,1.2700,1.3000,1.3000,13970,0.0000,1.0000
2019-05-28,1.2700,1.3300,1.2700,1.3000,1.3000,9450,0.0000,1.0000
2019-05-24,1.3400,1.3400,1.2500,1.3235,1.3235,20743,0.0000,1.0000
2019-05-23,1.3400,1.3400,1.3400,1.3400,1.3400,354,0.0000,1.0000
2019-05-22,1.3400,1.3400,1.3100,1.3375,1.3375,1664,0.0000,1.0000
2019-05-21,1.3170,1.3170,1.3170,1.3170,1.3170,17,0.0000,1.0000
2019-05-20,1.3350,1.3400,1.3164,1.3170,1.3170,4695,0.0000,1.0000
2019-05-17,1.3100,1.3500,1.3100,1.3400,1.3400,9840,0.0000,1.0000
2019-05-16,1.2906,1.3400,1.2906,1.3200,1.3200,2852,0.0000,1.0000
2019-05-15,1.3800,1.4200,1.2900,1.3634,1.3634,24413,0.0000,1.0000
2019-05-14,1.2500,1.4400,1.2412,1.3800,1.3800,133826,0.0000,1.0000
2019-05-13,1.2500,1.2500,1.2328,1.2500,1.2500,3612,0.0000,1.0000
2019-05-10,1.2900,1.2900,1.2400,1.2700,1.2700,1426,0.0000,1.0000
