timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,6.4500,6.5217,6.3900,6.4000,6.4000,6366,0.0000,1.0000
2019-07-26,6.5500,6.7000,6.5000,6.5000,6.5000,25242,0.0000,1.0000
2019-07-25,6.5800,6.6500,6.5500,6.5500,6.5500,13902,0.0000,1.0000
2019-07-24,6.8900,6.9667,6.5600,6.6000,6.6000,33653,0.0000,1.0000
2019-07-23,7.1900,7.1900,6.8200,6.8700,6.8700,11990,0.0000,1.0000
2019-07-22,6.9100,7.1100,6.8900,7.0700,7.0700,12105,0.0000,1.0000
2019-07-19,7.0100,7.1000,6.8210,6.9500,6.9500,4629,0.0000,1.0000
2019-07-18,7.3700,7.4466,6.5001,7.0000,7.0000,46808,0.0000,1.0000
2019-07-17,7.1600,7.4900,6.9000,7.4900,7.4900,30243,0.0000,1.0000
2019-07-16,7.2100,7.2967,7.1200,7.1200,7.1200,6103,0.0000,1.0000
2019-07-15,7.2900,7.4700,7.2107,7.2400,7.2400,4917,0.0000,1.0000
2019-07-12,7.2300,7.5200,7.2300,7.2700,7.2700,6602,0.0000,1.0000
2019-07-11,7.3700,7.7400,7.2500,7.2800,7.2800,6362,0.0000,1.0000
2019-07-10,7.5100,7.6700,7.3300,7.3700,7.3700,3254,0.0000,1.0000
2019-07-09,7.1400,7.7699,7.1400,7.4800,7.4800,6347,0.0000,1.0000
2019-07-08,7.4600,7.8000,6.8900,7.2600,7.2600,31730,0.0000,1.0000
2019-07-05,7.7700,7.8700,7.2000,7.8600,7.8600,22907,0.0000,1.0000
2019-07-03,7.8000,7.8600,7.5300,7.8400,7.8400,4334,0.0000,1.0000
2019-07-02,8.0500,8.2000,7.6100,7.8400,7.8400,35834,0.0000,1.0000
2019-07-01,7.6600,8.3300,7.6600,7.9700,7.9700,42221,0.0000,1.0000
2019-06-28,7.7300,7.9000,7.2292,7.9000,7.9000,19185,0.0000,1.0000
2019-06-27,7.4400,7.7884,7.1900,7.6700,7.6700,15664,0.0000,1.0000
2019-06-26,7.3500,7.5500,7.2000,7.4500,7.4500,22574,0.0000,1.0000
2019-06-25,7.4900,7.5800,7.0900,7.2000,7.2000,11934,0.0000,1.0000
2019-06-24,7.6400,7.7000,7.4000,7.4982,7.4982,23467,0.0000,1.0000
2019-06-21,7.5700,7.7500,7.3000,7.6900,7.6900,9911,0.0000,1.0000
2019-06-20,7.9000,8.1300,7.4100,7.5000,7.5000,24879,0.0000,1.0000
2019-06-19,7.6100,7.6700,7.4000,7.6400,7.6400,3741,0.0000,1.0000
2019-06-18,7.7100,7.8700,7.5500,7.6400,7.6400,5127,0.0000,1.0000
2019-06-17,7.4200,8.0800,7.3738,7.7000,7.7000,20814,0.0000,1.0000
2019-06-14,7.9000,8.1650,7.3500,7.3500,7.3500,18378,0.0000,1.0000
2019-06-13,7.8500,8.2500,7.5000,7.9000,7.9000,15996,0.0000,1.0000
2019-06-12,8.0800,8.0800,7.6350,7.7300,7.7300,7669,0.0000,1.0000
2019-06-11,7.6000,8.1900,7.6000,7.9400,7.9400,22038,0.0000,1.0000
2019-06-10,7.3400,7.7100,7.1501,7.5000,7.5000,23317,0.0000,1.0000
2019-06-07,7.3400,7.4019,7.1255,7.3400,7.3400,19176,0.0000,1.0000
2019-06-06,7.2500,7.5136,7.2500,7.2500,7.2500,15593,0.0000,1.0000
