timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,2.4600,2.4600,2.4600,2.4600,2.4600,441,0.0000,1.0000
2019-07-26,2.3700,2.4900,2.3700,2.4700,2.4700,76830,0.0000,1.0000
2019-07-25,2.3800,2.4600,2.3600,2.3900,2.3900,36251,0.0000,1.0000
2019-07-24,2.4000,2.4700,2.3100,2.4200,2.4200,65751,0.0000,1.0000
2019-07-23,2.5200,2.5382,2.4200,2.4300,2.4300,54138,0.0000,1.0000
2019-07-22,2.5200,2.5800,2.4700,2.5300,2.5300,58778,0.0000,1.0000
2019-07-19,2.5600,2.6800,2.4800,2.5000,2.5000,102248,0.0000,1.0000
2019-07-18,2.5300,2.6000,2.2900,2.5400,2.5400,131000,0.0000,1.0000
2019-07-17,2.5600,2.6500,2.5200,2.5300,2.5300,127250,0.0000,1.0000
2019-07-16,2.7200,2.7200,2.6000,2.6000,2.6000,53619,0.0000,1.0000
2019-07-15,2.8100,2.8100,2.6500,2.6800,2.6800,57673,0.0000,1.0000
2019-07-12,2.6600,2.8349,2.6600,2.8100,2.8100,79345,0.0000,1.0000
2019-07-11,2.7400,2.7750,2.6000,2.6200,2.6200,48768,0.0000,1.0000
2019-07-10,2.7300,2.8250,2.7300,2.7400,2.7400,47681,0.0000,1.0000
2019-07-09,2.6500,2.7700,2.6500,2.7300,2.7300,65323,0.0000,1.0000
2019-07-08,2.8800,2.8900,2.7000,2.7000,2.7000,75439,0.0000,1.0000
2019-07-05,2.8600,2.9600,2.8300,2.9000,2.9000,75809,0.0000,1.0000
2019-07-03,3.0000,3.0000,2.8300,2.8500,2.8500,45996,0.0000,1.0000
2019-07-02,2.9700,3.0200,2.9200,2.9600,2.9600,72298,0.0000,1.0000
2019-07-01,2.9900,3.0600,2.9400,2.9700,2.9700,115327,0.0000,1.0000
2019-06-28,2.8400,2.9500,2.8100,2.9500,2.9500,117748,0.0000,1.0000
2019-06-27,2.6700,2.8700,2.6600,2.8300,2.8300,101222,0.0000,1.0000
2019-06-26,2.6900,2.7035,2.6250,2.6700,2.6700,35544,0.0000,1.0000
2019-06-25,2.6900,2.8200,2.6600,2.6800,2.6800,71045,0.0000,1.0000
2019-06-24,2.6700,2.7210,2.6600,2.6900,2.6900,73841,0.0000,1.0000
2019-06-21,2.6600,2.7000,2.5600,2.7000,2.7000,65059,0.0000,1.0000
2019-06-20,2.9600,2.9600,2.6600,2.7000,2.7000,119304,0.0000,1.0000
2019-06-19,3.0200,3.0900,2.8700,2.9100,2.9100,127894,0.0000,1.0000
2019-06-18,2.9500,3.0500,2.8510,3.0200,3.0200,114745,0.0000,1.0000
2019-06-17,3.0200,3.0400,2.7900,2.9500,2.9500,188160,0.0000,1.0000
