timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,2.9700,2.9700,2.9500,2.9500,2.9500,32433,0.0000,1.0000
2019-07-26,2.9200,3.0000,2.8600,2.9900,2.9900,557557,0.0000,1.0000
2019-07-25,2.9200,3.0200,2.8900,2.9000,2.9000,532947,0.0000,1.0000
2019-07-24,2.9700,2.9700,2.8800,2.9200,2.9200,280289,0.0000,1.0000
2019-07-23,2.9700,3.0000,2.8800,2.9400,2.9400,555434,0.0000,1.0000
2019-07-22,3.1000,3.1300,2.9250,2.9400,2.9400,799979,0.0000,1.0000
2019-07-19,3.1700,3.1800,3.0900,3.1000,3.1000,511476,0.0000,1.0000
2019-07-18,3.0800,3.1800,3.0550,3.1500,3.1500,777330,0.0000,1.0000
2019-07-17,3.0100,3.1000,3.0100,3.0400,3.0400,570908,0.0000,1.0000
2019-07-16,3.1400,3.1600,3.0200,3.0600,3.0600,706940,0.0000,1.0000
2019-07-15,3.1600,3.1900,3.0800,3.1500,3.1500,763258,0.0000,1.0000
2019-07-12,3.0000,3.1600,2.9600,3.1300,3.1300,1238869,0.0000,1.0000
2019-07-11,2.8500,3.0000,2.8202,2.9800,2.9800,938281,0.0000,1.0000
2019-07-10,2.8200,2.8700,2.7600,2.8400,2.8400,1029050,0.0000,1.0000
2019-07-09,2.8200,2.8550,2.7650,2.8200,2.8200,772379,0.0000,1.0000
2019-07-08,2.9100,2.9600,2.7700,2.8400,2.8400,903440,0.0000,1.0000
2019-07-05,2.9500,2.9500,2.8400,2.9100,2.9100,658706,0.0000,1.0000
2019-07-03,2.8800,2.9600,2.8600,2.9500,2.9500,536001,0.0000,1.0000
2019-07-02,2.9900,2.9900,2.8700,2.9000,2.9000,990310,0.0000,1.0000
2019-07-01,2.9100,3.0000,2.8500,2.9700,2.9700,1091762,0.0000,1.0000
2019-06-28,2.8600,2.9000,2.7200,2.8700,2.8700,7570778,0.0000,1.0000
2019-06-27,2.7500,2.8700,2.7300,2.8300,2.8300,944148,0.0000,1.0000
2019-06-26,2.7100,2.8700,2.6910,2.7500,2.7500,937258,0.0000,1.0000
2019-06-25,2.9000,2.9200,2.6400,2.6800,2.6800,1843862,0.0000,1.0000
2019-06-24,3.2700,3.2800,2.8500,2.9100,2.9100,1887243,0.0000,1.0000
2019-06-21,3.4000,3.4800,3.3800,3.4100,3.4100,885254,0.0000,1.0000
2019-06-20,3.3800,3.4400,3.3400,3.3800,3.3800,879787,0.0000,1.0000
2019-06-19,3.3300,3.4900,3.2800,3.3500,3.3500,1095007,0.0000,1.0000
2019-06-18,3.2000,3.3200,3.2000,3.3000,3.3000,792254,0.0000,1.0000
2019-06-17,3.2600,3.3000,3.1300,3.2300,3.2300,779168,0.0000,1.0000
2019-06-14,3.3000,3.3386,3.1500,3.1900,3.1900,821851,0.0000,1.0000
2019-06-13,3.1200,3.3500,3.0901,3.3200,3.3200,1466678,0.0000,1.0000
2019-06-12,2.9400,3.1350,2.9400,3.1000,3.1000,1133310,0.0000,1.0000
2019-06-11,3.0000,3.0600,2.8600,2.9600,2.9600,734788,0.0000,1.0000
2019-06-10,2.6100,3.2000,2.6100,2.9900,2.9900,1798819,0.0000,1.0000
2019-06-07,2.5700,2.6900,2.5200,2.6200,2.6200,610279,0.0000,1.0000
2019-06-06,2.8900,2.9400,2.5501,2.6000,2.6000,1401611,0.0000,1.0000
2019-06-05,3.0300,3.0300,2.8800,2.9000,2.9000,622456,0.0000,1.0000
2019-06-04,3.0200,3.0496,2.9400,3.0000,3.0000,542185,0.0000,1.0000
2019-06-03,3.0300,3.0899,2.9700,2.9900,2.9900,506170,0.0000,1.0000
2019-05-31,2.9300,3.1400,2.9000,3.0400,3.0400,695189,0.0000,1.0000
2019-05-30,3.0100,3.0900,2.9700,2.9900,2.9900,856300,0.0000,1.0000
