timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,17.4100,17.4800,17.4000,17.4650,17.4650,368104,0.0000,1.0000
2019-07-26,17.1700,17.4500,17.1400,17.4100,17.4100,4956773,0.0000,1.0000
2019-07-25,17.3600,17.5000,17.1600,17.2000,17.2000,9278951,0.0000,1.0000
2019-07-24,17.5200,17.5600,17.4100,17.4400,17.4400,5361770,0.0000,1.0000
2019-07-23,17.5100,17.6000,17.4700,17.5400,17.5400,4069769,0.0000,1.0000
2019-07-22,17.4000,17.5900,17.3550,17.5100,17.5100,4238220,0.0000,1.0000
2019-07-19,17.4500,17.4700,17.3200,17.3400,17.3400,4638542,0.0000,1.0000
2019-07-18,17.3700,17.5300,17.3500,17.4500,17.4500,5038480,0.0000,1.0000
2019-07-17,17.3800,17.4100,17.3100,17.3700,17.3700,3599809,0.0000,1.0000
2019-07-16,17.3800,17.4100,17.3100,17.3700,17.3700,4331007,0.0000,1.0000
2019-07-15,17.3000,17.3700,17.2900,17.3400,17.3400,3358324,0.0000,1.0000
2019-07-12,17.1600,17.2900,17.1600,17.2700,17.2700,3055827,0.0000,1.0000
2019-07-11,17.1600,17.2400,17.0800,17.1500,17.1500,5244951,0.0000,1.0000
2019-07-10,17.1000,17.1600,17.0600,17.1300,17.1300,3322068,0.0000,1.0000
2019-07-09,17.0000,17.0800,16.9850,17.0700,17.0700,3561549,0.0000,1.0000
2019-07-08,16.9900,17.1000,16.9700,17.0200,17.0200,3537633,0.0000,1.0000
2019-07-05,16.8600,17.0000,16.7467,17.0000,17.0000,3547256,0.0000,1.0000
2019-07-03,16.7700,16.9500,16.7500,16.8600,16.8600,2975063,0.0000,1.0000
2019-07-02,16.7500,16.8100,16.7200,16.7800,16.7800,3461483,0.0000,1.0000
2019-07-01,16.8700,16.8800,16.7400,16.7700,16.7700,4572519,0.0000,1.0000
2019-06-28,16.7700,16.8400,16.7000,16.8200,16.8200,6047023,0.0000,1.0000
2019-06-27,16.6900,16.7500,16.5700,16.6900,16.6900,5765323,0.1600,1.0000
2019-06-26,16.9000,16.9250,16.7600,16.7700,16.6108,5571716,0.0000,1.0000
2019-06-25,16.8500,16.9900,16.7850,16.8600,16.6999,5824019,0.0000,1.0000
2019-06-24,16.8100,16.9100,16.7100,16.8300,16.6702,5232153,0.0000,1.0000
2019-06-21,16.8300,16.8672,16.7550,16.8200,16.6603,9171582,0.0000,1.0000
2019-06-20,16.9200,16.9350,16.7600,16.8400,16.6801,7489548,0.0000,1.0000
2019-06-19,16.7500,16.9400,16.7050,16.9200,16.7593,5295887,0.0000,1.0000
2019-06-18,16.8200,16.9454,16.7100,16.7400,16.5810,7519108,0.0000,1.0000
2019-06-17,16.9200,16.9700,16.7700,16.7900,16.6306,5564626,0.0000,1.0000
2019-06-14,16.8600,16.9300,16.8500,16.8800,16.7197,3220656,0.0000,1.0000
2019-06-13,16.7800,16.9150,16.7600,16.8800,16.7197,5389505,0.0000,1.0000
2019-06-12,16.7200,16.8300,16.7000,16.7500,16.5909,3060867,0.0000,1.0000
2019-06-11,16.8500,16.8700,16.6600,16.7000,16.5414,2921411,0.0000,1.0000
2019-06-10,16.7500,16.8800,16.6150,16.7900,16.6306,4686788,0.0000,1.0000
2019-06-07,16.9400,16.9400,16.7100,16.7500,16.5909,2783028,0.0000,1.0000
2019-06-06,16.8700,16.9000,16.7000,16.8900,16.7296,3879403,0.0000,1.0000
2019-06-05,16.9500,16.9750,16.7500,16.8300,16.6702,3802648,0.0000,1.0000
2019-06-04,16.7700,16.9700,16.7100,16.9500,16.7891,7302840,0.0000,1.0000
2019-06-03,16.4400,16.7900,16.4200,16.7600,16.6009,5192861,0.0000,1.0000
2019-05-31,16.4500,16.4600,16.1900,16.4000,16.2443,6642492,0.0000,1.0000
2019-05-30,16.7700,16.8100,16.4741,16.5200,16.3631,5790098,0.1600,1.0000
2019-05-29,16.8800,16.9100,16.6100,16.8400,16.5201,6311500,0.0000,1.0000
2019-05-28,17.0700,17.0900,16.8700,16.8700,16.5495,9855586,0.0000,1.0000
2019-05-24,17.0500,17.1100,17.0050,17.0500,16.7261,3140102,0.0000,1.0000
2019-05-23,17.0100,17.0650,16.9500,17.0300,16.7065,5433732,0.0000,1.0000
2019-05-22,16.9700,17.0700,16.9300,17.0500,16.7261,5018940,0.0000,1.0000
2019-05-21,17.0300,17.0900,16.8650,16.9900,16.6672,7872489,0.0000,1.0000
2019-05-20,17.3700,17.3847,16.9950,17.0100,16.6869,7496012,0.0000,1.0000
2019-05-17,17.4500,17.5000,17.3700,17.3700,17.0400,5190435,0.0000,1.0000
2019-05-16,17.4900,17.5600,17.4700,17.5500,17.2166,2458418,0.0000,1.0000
2019-05-15,17.5300,17.5950,17.4600,17.4900,17.1577,3497755,0.0000,1.0000
2019-05-14,17.4500,17.5650,17.3900,17.5300,17.1970,5302748,0.0000,1.0000
2019-05-13,17.5400,17.5700,17.4000,17.4300,17.0989,4781459,0.0000,1.0000
2019-05-10,17.4200,17.5700,17.4000,17.5400,17.2068,4298618,0.0000,1.0000
2019-05-09,17.4700,17.4800,17.3500,17.4000,17.0695,5985216,0.0000,1.0000
2019-05-08,17.5700,17.6000,17.4800,17.4800,17.1479,4804282,0.0000,1.0000
2019-05-07,17.4900,17.6500,17.4800,17.6000,17.2657,6924321,0.0000,1.0000
2019-05-06,17.5000,17.5900,17.4400,17.4900,17.1577,5498004,0.0000,1.0000
2019-05-03,17.5500,17.6000,17.5000,17.5300,17.1970,4519103,0.0000,1.0000
2019-05-02,17.6100,17.6400,17.5100,17.5500,17.2166,7126980,0.0000,1.0000
2019-05-01,17.7800,17.8800,17.5900,17.6000,17.2657,5766172,0.0000,1.0000
2019-04-30,17.7000,17.7900,17.6200,17.7900,17.4520,5835774,0.0000,1.0000
2019-04-29,17.8200,17.8400,17.7000,17.7100,17.3736,6516601,0.1800,1.0000
2019-04-26,17.7800,18.0100,17.7700,17.9700,17.4513,7433386,0.0000,1.0000
2019-04-25,17.9800,17.9800,17.7500,17.7900,17.2765,18925262,0.0000,1.0000
2019-04-24,18.1900,18.2900,18.1750,18.2800,17.7523,5322552,0.0000,1.0000
2019-04-23,18.1600,18.2200,18.1400,18.1600,17.6358,3389613,0.0000,1.0000
2019-04-22,18.1000,18.1850,18.0900,18.1700,17.6455,2707152,0.0000,1.0000
2019-04-18,18.1900,18.1950,18.0700,18.0800,17.5581,3917700,0.0000,1.0000
2019-04-17,18.1600,18.1950,18.1200,18.1500,17.6261,2506108,0.0000,1.0000
2019-04-16,18.2000,18.2400,18.1300,18.1300,17.6066,3515104,0.0000,1.0000
2019-04-15,18.1900,18.2800,18.1700,18.1700,17.6455,3026138,0.0000,1.0000
2019-04-12,18.1700,18.2000,18.1100,18.1900,17.6649,2150033,0.0000,1.0000
2019-04-11,18.1200,18.1600,18.1000,18.1500,17.6261,2583752,0.0000,1.0000
2019-04-10,18.1000,18.1400,18.0700,18.0900,17.5678,1986196,0.0000,1.0000
2019-04-09,18.1300,18.1800,18.0850,18.1000,17.5775,2882828,0.0000,1.0000
2019-04-08,18.0600,18.1800,18.0600,18.1500,17.6261,3789226,0.0000,1.0000
2019-04-05,18.1300,18.1500,18.0100,18.0600,17.5387,3509521,0.0000,1.0000
2019-04-04,18.0400,18.1400,18.0200,18.1300,17.6066,3290412,0.0000,1.0000
2019-04-03,18.1100,18.1500,17.9800,18.0000,17.4804,3509450,0.0000,1.0000
2019-04-02,18.1400,18.1500,18.0200,18.1100,17.5872,2886674,0.0000,1.0000
2019-04-01,18.0100,18.1500,17.9700,18.1500,17.6261,4570187,0.0000,1.0000
2019-03-29,18.1000,18.1000,17.9700,18.0000,17.4804,4787789,0.0000,1.0000
2019-03-28,17.9900,18.0900,17.9400,18.0800,17.5581,4559927,0.1800,1.0000
2019-03-27,18.1200,18.1700,18.0600,18.1400,17.4427,7301839,0.0000,1.0000
2019-03-26,18.0100,18.1950,17.9700,18.0900,17.3946,6926064,0.0000,1.0000
2019-03-25,18.0200,18.0300,17.9200,17.9500,17.2600,5993061,0.0000,1.0000
2019-03-22,18.1100,18.1650,17.9900,18.0000,17.3081,4178835,0.0000,1.0000
2019-03-21,18.0200,18.1500,18.0000,18.0700,17.3754,4270073,0.0000,1.0000
2019-03-20,18.0300,18.0900,17.9500,17.9900,17.2985,4170305,0.0000,1.0000
2019-03-19,18.1500,18.1700,17.9900,18.0000,17.3081,4047761,0.0000,1.0000
2019-03-18,18.0000,18.1400,17.9900,18.1200,17.4235,4932647,0.0000,1.0000
2019-03-15,17.9800,18.0500,17.9700,18.0000,17.3081,4836413,0.0000,1.0000
2019-03-14,18.0400,18.0600,17.9600,18.0000,17.3081,2612033,0.0000,1.0000
2019-03-13,17.9200,18.0500,17.9100,18.0300,17.3369,4448959,0.0000,1.0000
2019-03-12,17.9200,17.9450,17.8500,17.9000,17.2119,4576684,0.0000,1.0000
2019-03-11,17.7800,17.9500,17.7600,17.9500,17.2600,5389525,0.0000,1.0000
2019-03-08,17.6400,17.7800,17.6400,17.7600,17.0773,3724022,0.0000,1.0000
2019-03-07,17.6300,17.7550,17.6200,17.6800,17.0004,5264009,0.0000,1.0000
2019-03-06,17.5800,17.6800,17.5701,17.6300,16.9523,4516878,0.0000,1.0000
2019-03-05,17.6000,17.6400,17.5200,17.5800,16.9042,4199633,0.0000,1.0000
2019-03-04,17.5300,17.6200,17.5000,17.6100,16.9331,5390639,0.0000,1.0000
2019-03-01,17.7000,17.7000,17.5000,17.5600,16.8850,5971544,0.0000,1.0000
2019-02-28,17.5600,17.7500,17.5400,17.6500,16.9715,7554478,0.0000,1.0000
