timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,25.9400,25.9400,25.8700,25.8700,25.8700,910,0.0000,1.0000
2019-07-26,25.9400,25.9400,25.8584,25.8600,25.8600,13631,0.0000,1.0000
2019-07-25,25.9400,25.9500,25.8300,25.8600,25.8600,9095,0.0000,1.0000
2019-07-24,25.9100,25.9100,25.8085,25.9000,25.9000,14499,0.0000,1.0000
2019-07-23,26.0000,26.0000,25.7000,25.7900,25.7900,14924,0.0000,1.0000
2019-07-22,25.9500,26.0200,25.8100,25.8100,25.8100,23276,0.0000,1.0000
2019-07-19,25.7500,25.9200,25.7500,25.9200,25.9200,8600,0.0000,1.0000
2019-07-18,25.7400,25.8000,25.7181,25.8000,25.8000,6278,0.0000,1.0000
2019-07-17,25.7800,25.8000,25.7700,25.8000,25.8000,9247,0.0000,1.0000
2019-07-16,25.6200,25.7600,25.6109,25.7600,25.7600,18698,0.0000,1.0000
2019-07-15,25.5900,25.6200,25.5691,25.6200,25.6200,9328,0.0000,1.0000
2019-07-12,25.6400,25.6400,25.5295,25.5900,25.5900,5534,0.0000,1.0000
2019-07-11,25.5900,25.6400,25.5100,25.5100,25.5100,16823,0.0000,1.0000
2019-07-10,25.5900,25.5900,25.5496,25.5899,25.5899,4412,0.0000,1.0000
2019-07-09,25.5800,25.5800,25.4600,25.4700,25.4700,7480,0.0000,1.0000
2019-07-08,25.5500,25.6500,25.4600,25.4600,25.4600,16965,0.0000,1.0000
2019-07-05,25.5242,25.5700,25.5007,25.5434,25.5434,11397,0.0000,1.0000
2019-07-03,25.5400,25.5603,25.5061,25.5438,25.5438,12273,0.0000,1.0000
2019-07-02,25.4501,25.5600,25.4100,25.4900,25.4900,24127,0.0000,1.0000
2019-07-01,25.5700,25.5700,25.3801,25.4500,25.4500,6706,0.0000,1.0000
2019-06-28,25.6700,25.6700,25.3500,25.5800,25.5800,63160,0.4844,1.0000
2019-06-27,25.8900,25.9344,25.8500,25.8800,25.3991,13833,0.0000,1.0000
2019-06-26,25.8400,25.9400,25.7400,25.9300,25.4481,20195,0.0000,1.0000
2019-06-25,25.8900,25.8900,25.8100,25.8600,25.3794,17994,0.0000,1.0000
2019-06-24,25.9000,25.9201,25.8200,25.8200,25.3402,28538,0.0000,1.0000
2019-06-21,25.9600,25.9600,25.8100,25.9400,25.4579,11138,0.0000,1.0000
2019-06-20,25.9600,25.9800,25.8100,25.8300,25.3500,10332,0.0000,1.0000
2019-06-19,25.8400,25.9150,25.8400,25.8400,25.3598,8213,0.0000,1.0000
2019-06-18,25.8400,25.9800,25.8100,25.8200,25.3402,25478,0.0000,1.0000
2019-06-17,25.9900,25.9900,25.8200,25.8200,25.3402,38531,0.0000,1.0000
2019-06-14,25.9800,26.0000,25.9200,25.9700,25.4874,16759,0.0000,1.0000
2019-06-13,26.0000,26.0000,25.9000,25.9200,25.4383,12348,0.0000,1.0000
2019-06-12,25.9090,26.0000,25.8700,25.9900,25.5070,12690,0.0000,1.0000
2019-06-11,25.9900,25.9900,25.8900,25.9100,25.4285,7027,0.0000,1.0000
2019-06-10,25.8799,25.9889,25.8700,25.9800,25.4972,10161,0.0000,1.0000
2019-06-07,25.8627,25.9000,25.8627,25.8900,25.4089,5184,0.0000,1.0000
2019-06-06,25.8800,25.8800,25.7584,25.8696,25.3888,8730,0.0000,1.0000
2019-06-05,25.8326,25.9000,25.8326,25.8997,25.4184,3176,0.0000,1.0000
2019-06-04,25.8000,26.0000,25.7356,25.9000,25.4187,14829,0.0000,1.0000
2019-06-03,25.7500,25.8500,25.7500,25.7500,25.2715,10217,0.0000,1.0000
2019-05-31,25.6700,25.7900,25.5668,25.7900,25.3107,31982,0.0000,1.0000
2019-05-30,25.5801,25.6800,25.5801,25.6700,25.1930,6254,0.0000,1.0000
2019-05-29,25.6100,25.6882,25.5901,25.6100,25.1341,19146,0.0000,1.0000
2019-05-28,25.7500,25.7500,25.6441,25.7200,25.2420,28180,0.0000,1.0000
2019-05-24,25.7199,25.7400,25.6800,25.7360,25.2577,15999,0.0000,1.0000
2019-05-23,25.5300,25.7200,25.5100,25.7200,25.2420,70077,0.0000,1.0000
2019-05-22,25.5500,25.6300,25.5100,25.6000,25.1243,7442,0.0000,1.0000
2019-05-21,25.5000,25.5701,25.4600,25.5701,25.0949,5419,0.0000,1.0000
2019-05-20,25.4800,25.5499,25.4700,25.5499,25.0751,29711,0.0000,1.0000
2019-05-17,25.5300,25.5300,25.4000,25.4100,24.9378,28343,0.0000,1.0000
2019-05-16,25.4900,25.5300,25.4550,25.5300,25.0556,5671,0.0000,1.0000
2019-05-15,25.4201,25.4705,25.4200,25.4200,24.9476,10152,0.0000,1.0000
2019-05-14,25.4200,25.4400,25.4200,25.4400,24.9672,9947,0.0000,1.0000
2019-05-13,25.4000,25.4300,25.3950,25.4200,24.9476,11108,0.0000,1.0000
2019-05-10,25.4000,25.4400,25.4000,25.4300,24.9574,54511,0.0000,1.0000
2019-05-09,25.4000,25.4100,25.3100,25.3600,24.8887,26042,0.0000,1.0000
2019-05-08,25.3980,25.4368,25.3806,25.4200,24.9476,4136,0.0000,1.0000
2019-05-07,25.4400,25.4400,25.3800,25.4394,24.9666,2111,0.0000,1.0000
2019-05-06,25.4400,25.4700,25.3900,25.4162,24.9439,8244,0.0000,1.0000
2019-05-03,25.4205,25.4500,25.4000,25.4499,24.9769,8109,0.0000,1.0000
2019-05-02,25.3600,25.4800,25.3600,25.4500,24.9770,19036,0.0000,1.0000
2019-05-01,25.4800,25.4900,25.4277,25.4473,24.9744,14070,0.0000,1.0000
2019-04-30,25.3491,25.4800,25.3491,25.4800,25.0065,35332,0.0000,1.0000
2019-04-29,25.3350,25.3700,25.3200,25.3300,24.8593,13169,0.0000,1.0000
2019-04-26,25.3100,25.3700,25.3100,25.3200,24.8495,15418,0.0000,1.0000
2019-04-25,25.3700,25.3700,25.3000,25.3100,24.8396,22743,0.0000,1.0000
2019-04-24,25.3400,25.3700,25.3100,25.3200,24.8495,12145,0.0000,1.0000
2019-04-23,25.3000,25.3700,25.3000,25.3400,24.8691,16809,0.0000,1.0000
2019-04-22,25.3800,25.3800,25.3000,25.3000,24.8298,7604,0.0000,1.0000
2019-04-18,25.3000,25.4000,25.2700,25.3900,24.9182,23798,0.0000,1.0000
2019-04-17,25.3000,25.3000,25.2700,25.2800,24.8102,9397,0.0000,1.0000
2019-04-16,25.2400,25.2800,25.2100,25.2700,24.8004,18038,0.0000,1.0000
2019-04-15,25.2500,25.2500,25.2100,25.2300,24.7611,30144,0.0000,1.0000
2019-04-12,25.2500,25.2640,25.2200,25.2400,24.7709,8693,0.0000,1.0000
2019-04-11,25.2500,25.2700,25.2231,25.2400,24.7709,12448,0.0000,1.0000
2019-04-10,25.2000,25.2337,25.2000,25.2200,24.7513,5687,0.0000,1.0000
2019-04-09,25.2100,25.2300,25.1800,25.2027,24.7343,18084,0.0000,1.0000
2019-04-08,25.2500,25.2600,25.2100,25.2200,24.7513,19966,0.0000,1.0000
2019-04-05,25.2300,25.2600,25.2100,25.2100,24.7415,25203,0.0000,1.0000
2019-04-04,25.2352,25.2600,25.2200,25.2500,24.7808,12973,0.0000,1.0000
2019-04-03,25.2100,25.2400,25.2000,25.2200,24.7513,18513,0.0000,1.0000
2019-04-02,25.2000,25.2100,25.1900,25.2000,24.7317,17101,0.0000,1.0000
2019-04-01,25.1500,25.2300,25.1400,25.1900,24.7219,58556,0.0000,1.0000
2019-03-29,25.3200,25.3500,25.1400,25.2500,24.7808,71556,0.4844,1.0000
