timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,4.0300,4.0300,3.9700,3.9700,3.9700,6637,0.0000,1.0000
2019-07-26,4.0700,4.1200,4.0200,4.0300,4.0300,43367,0.0000,1.0000
2019-07-25,4.3000,4.3400,4.0200,4.0400,4.0400,36341,0.0000,1.0000
2019-07-24,4.2700,4.4000,4.0900,4.3000,4.3000,34403,0.0000,1.0000
2019-07-23,4.3900,4.6883,4.1600,4.2800,4.2800,53956,0.0000,1.0000
2019-07-22,4.5400,4.5994,4.2700,4.3100,4.3100,42217,0.0000,1.0000
2019-07-19,4.7300,4.7750,4.5061,4.5300,4.5300,61359,0.0000,1.0000
2019-07-18,4.8000,4.8600,4.5000,4.7300,4.7300,162504,0.0000,1.0000
2019-07-17,4.9000,5.0100,4.8100,4.8200,4.8200,38829,0.0000,1.0000
2019-07-16,5.0200,5.0600,4.8800,4.9000,4.9000,40188,0.0000,1.0000
2019-07-15,4.9400,5.0200,4.7500,4.9700,4.9700,41000,0.0000,1.0000
2019-07-12,5.0800,5.1150,4.8000,4.9400,4.9400,114117,0.0000,1.0000
2019-07-11,5.2700,5.7400,5.0500,5.0800,5.0800,320626,0.0000,1.0000
2019-07-10,5.0700,5.1890,4.8500,5.1600,5.1600,169881,0.0000,1.0000
2019-07-09,4.8700,5.1800,4.8498,4.9000,4.9000,149526,0.0000,1.0000
2019-07-08,4.9400,5.0800,4.7500,4.8700,4.8700,87972,0.0000,1.0000
2019-07-05,4.9800,5.2000,4.8600,4.9500,4.9500,176563,0.0000,1.0000
2019-07-03,4.9800,5.1300,4.6500,5.0100,5.0100,126084,0.0000,1.0000
2019-07-02,4.4900,4.9100,4.4123,4.9100,4.9100,209101,0.0000,1.0000
2019-07-01,4.1000,4.5200,4.0000,4.5000,4.5000,361636,0.0000,1.0000
2019-06-28,4.1000,4.9400,4.0300,4.0700,4.0700,1592466,0.0000,1.0000
2019-06-27,4.2100,4.3400,4.1200,4.1600,4.1600,112016,0.0000,1.0000
2019-06-26,4.3507,4.3700,4.1000,4.2200,4.2200,142816,0.0000,1.0000
2019-06-25,4.5000,4.5600,4.2100,4.4500,4.4500,50704,0.0000,1.0000
2019-06-24,4.6100,4.6100,4.1350,4.5000,4.5000,116657,0.0000,1.0000
2019-06-21,4.8900,5.2855,4.3700,4.6600,4.6600,213033,0.0000,1.0000
2019-06-20,4.9800,5.3600,4.7750,4.9300,4.9300,181711,0.0000,1.0000
2019-06-19,4.9000,5.0300,4.6000,4.6100,4.6100,106531,0.0000,1.0000
2019-06-18,4.8200,5.1900,4.8200,4.9200,4.9200,108284,0.0000,1.0000
2019-06-17,4.3400,4.8500,4.3200,4.6900,4.6900,129663,0.0000,1.0000
2019-06-14,4.5200,4.6500,4.2500,4.2700,4.2700,68947,0.0000,1.0000
2019-06-13,4.5400,4.7200,4.3400,4.5000,4.5000,116007,0.0000,1.0000
2019-06-12,4.6300,4.8300,4.3300,4.4900,4.4900,124042,0.0000,1.0000
2019-06-11,4.6600,4.8800,4.4350,4.6000,4.6000,153587,0.0000,1.0000
2019-06-10,4.4500,4.5300,4.1800,4.3300,4.3300,72639,0.0000,1.0000
2019-06-07,4.6600,4.7500,4.2300,4.4600,4.4600,96664,0.0000,1.0000
2019-06-06,5.6700,5.7720,4.4252,4.6900,4.6900,231094,0.0000,1.0000
2019-06-05,5.0500,5.6601,4.9750,5.5900,5.5900,249472,0.0000,1.0000
2019-06-04,4.4700,5.2000,4.1900,5.0000,5.0000,396939,0.0000,1.0000
2019-06-03,4.0000,4.1000,3.9600,4.0200,4.0200,41974,0.0000,1.0000
2019-05-31,3.9200,4.0700,3.9200,3.9900,3.9900,69508,0.0000,1.0000
2019-05-30,4.0400,4.2300,3.9400,4.0300,4.0300,50173,0.0000,1.0000
2019-05-29,4.1300,4.1300,3.9499,4.0000,4.0000,83233,0.0000,1.0000
2019-05-28,4.5450,4.5900,4.0099,4.1500,4.1500,331149,0.0000,1.0000
2019-05-24,4.7300,4.9200,4.4100,4.5100,4.5100,173424,0.0000,1.0000
2019-05-23,4.8100,4.8600,4.6200,4.6300,4.6300,68616,0.0000,1.0000
2019-05-22,5.0600,5.2000,4.8200,4.9100,4.9100,143383,0.0000,1.0000
2019-05-21,5.1000,5.1889,4.8700,5.0600,5.0600,120388,0.0000,1.0000
2019-05-20,5.2500,5.3700,4.8100,5.0400,5.0400,165081,0.0000,1.0000
2019-05-17,5.5500,5.7300,5.1250,5.2500,5.2500,135918,0.0000,1.0000
2019-05-16,5.6000,5.7800,5.1600,5.6200,5.6200,127047,0.0000,1.0000
2019-05-15,5.2200,5.7700,5.0950,5.7300,5.7300,133738,0.0000,1.0000
2019-05-14,5.2500,5.5800,5.2300,5.3000,5.3000,94528,0.0000,1.0000
2019-05-13,5.4000,5.4150,5.0800,5.2100,5.2100,73808,0.0000,1.0000
2019-05-10,5.8000,6.3610,5.4000,5.4500,5.4500,51893,0.0000,1.0000
2019-05-09,6.0000,6.0300,5.6100,5.7400,5.7400,50450,0.0000,1.0000
2019-05-08,6.0400,6.1800,6.0250,6.0400,6.0400,26099,0.0000,1.0000
2019-05-07,6.5209,6.5209,6.0000,6.1550,6.1550,19327,0.0000,1.0000
2019-05-06,6.0500,6.4650,6.0000,6.4200,6.4200,25275,0.0000,1.0000
2019-05-03,6.1800,6.4300,6.1700,6.3000,6.3000,61082,0.0000,1.0000
2019-05-02,6.1650,6.2400,6.0400,6.1000,6.1000,18740,0.0000,1.0000
2019-05-01,6.1400,6.1800,5.9600,6.0600,6.0600,56397,0.0000,1.0000
2019-04-30,6.4980,6.5900,6.1350,6.1700,6.1700,46555,0.0000,1.0000
2019-04-29,6.5400,6.5400,6.4000,6.5000,6.5000,14377,0.0000,1.0000
2019-04-26,6.4700,6.6100,6.4600,6.5500,6.5500,10843,0.0000,1.0000
2019-04-25,6.5900,6.6189,6.4600,6.4600,6.4600,4345,0.0000,1.0000
2019-04-24,6.5100,6.6000,6.4000,6.5900,6.5900,14398,0.0000,1.0000
2019-04-23,6.3500,6.5400,6.1350,6.5400,6.5400,12333,0.0000,1.0000
2019-04-22,6.2900,6.4200,5.9700,6.3500,6.3500,8865,0.0000,1.0000
2019-04-18,6.5300,6.5300,6.3100,6.3500,6.3500,10062,0.0000,1.0000
2019-04-17,6.7200,6.7200,6.5050,6.6000,6.6000,13297,0.0000,1.0000
2019-04-16,6.0200,6.7200,5.9691,6.6800,6.6800,55800,0.0000,1.0000
2019-04-15,6.1700,6.2800,5.8100,6.0900,6.0900,211380,0.0000,1.0000
