timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,0.0000,0.0000,0.0000,0.0900,0.0900,0,0.0000,1.0000
2019-07-15,0.0900,0.0900,0.0900,0.0900,0.0900,250,0.0000,1.0000
2019-07-12,0.0900,0.0900,0.0900,0.0900,0.0900,120,0.0000,1.0000
2019-07-11,0.0900,0.1100,0.0900,0.1100,0.1100,6750,0.0000,1.0000
2019-07-10,0.0896,0.0896,0.0896,0.0896,0.0896,3,0.0000,1.0000
2019-07-09,0.0896,0.0896,0.0896,0.0896,0.0896,100,0.0000,1.0000
2019-07-05,0.0896,0.0896,0.0896,0.0896,0.0896,104,0.0000,1.0000
2019-07-03,0.1100,0.1100,0.1100,0.1100,0.1100,4,0.0000,1.0000
2019-07-02,0.0400,0.1100,0.0400,0.1100,0.1100,4950,0.0000,1.0000
2019-07-01,0.0400,0.1000,0.0400,0.1000,0.1000,400,0.0000,1.0000
2019-06-28,0.0305,0.0305,0.0305,0.0305,0.0305,100,0.0000,1.0000
2019-06-27,0.0300,0.0845,0.0300,0.0843,0.0843,1650,0.0000,1.0000
2019-06-25,0.0300,0.0850,0.0300,0.0849,0.0849,2005,0.0000,1.0000
2019-06-24,0.0390,0.0853,0.0390,0.0853,0.0853,600,0.0000,1.0000
2019-06-20,0.0300,0.0857,0.0300,0.0857,0.0857,1100,0.0000,1.0000
2019-06-19,0.0500,0.0660,0.0500,0.0660,0.0660,1393,0.0000,1.0000
2019-06-18,0.0547,0.0547,0.0500,0.0508,0.0508,7100,0.0000,1.0000
2019-06-17,0.0700,0.2300,0.0600,0.0600,0.0600,18037,0.0000,1.0000
2019-06-14,0.0800,0.0800,0.0797,0.0797,0.0797,6000,0.0000,1.0000
2019-06-11,0.0501,0.0501,0.0501,0.0501,0.0501,100,0.0000,1.0000
2019-06-10,0.0520,0.0520,0.0520,0.0520,0.0520,2392,0.0000,1.0000
2019-06-03,0.0800,0.0800,0.0500,0.0529,0.0529,2600,0.0000,1.0000
2019-05-31,0.0630,0.0630,0.0500,0.0500,0.0500,31095,0.0000,1.0000
2019-05-13,0.0360,0.0360,0.0360,0.0360,0.0360,117,0.0000,1.0000
2019-05-02,0.0600,0.0603,0.0600,0.0603,0.0603,2000,0.0000,1.0000
2019-05-01,0.0600,0.0600,0.0600,0.0600,0.0600,800,0.0000,1.0000
2019-04-29,0.0450,0.0630,0.0450,0.0630,0.0630,496,0.0000,1.0000
2019-04-26,0.0500,0.0500,0.0500,0.0500,0.0500,3300,0.0000,1.0000
2019-04-25,0.0310,0.0485,0.0310,0.0485,0.0485,5000,0.0000,1.0000
2019-04-24,0.0300,0.0300,0.0300,0.0300,0.0300,2509,0.0000,1.0000
2019-04-23,0.0517,0.0517,0.0517,0.0517,0.0517,1000,0.0000,1.0000
2019-04-22,0.0400,0.0400,0.0399,0.0399,0.0399,9918,0.0000,1.0000
2019-04-18,0.0500,0.0600,0.0499,0.0600,0.0600,12202,0.0000,1.0000
2019-04-17,0.0600,0.0600,0.0600,0.0600,0.0600,5,0.0000,1.0000
2019-04-16,0.0501,0.0600,0.0501,0.0600,0.0600,217,0.0000,1.0000
2019-04-15,0.0466,0.0520,0.0466,0.0500,0.0500,3910,0.0000,1.0000
