timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,0.5500,0.6249,0.5500,0.5701,0.5701,71815,0.0000,1.0000
2019-07-26,0.5299,0.5600,0.5299,0.5499,0.5499,84375,0.0000,1.0000
2019-07-25,0.5199,0.5699,0.4955,0.4999,0.4999,46332,0.0000,1.0000
2019-07-24,0.5300,0.5300,0.5000,0.5085,0.5085,14676,0.0000,1.0000
2019-07-23,0.5200,0.5200,0.4800,0.5000,0.5000,23251,0.0000,1.0000
2019-07-22,0.5001,0.5200,0.4829,0.5200,0.5200,73777,0.0000,1.0000
2019-07-19,0.5025,0.5195,0.4701,0.5100,0.5100,30109,0.0000,1.0000
2019-07-18,0.5200,0.5200,0.4931,0.4968,0.4968,8683,0.0000,1.0000
2019-07-17,0.5200,0.5200,0.4860,0.4860,0.4860,11215,0.0000,1.0000
2019-07-16,0.5180,0.5199,0.4800,0.5156,0.5156,12895,0.0000,1.0000
2019-07-15,0.5300,0.5301,0.4899,0.5000,0.5000,53365,0.0000,1.0000
2019-07-12,0.5126,0.5299,0.5102,0.5200,0.5200,10807,0.0000,1.0000
2019-07-11,0.5199,0.5199,0.5000,0.5106,0.5106,77891,0.0000,1.0000
2019-07-10,0.5100,0.5300,0.5051,0.5200,0.5200,37452,0.0000,1.0000
2019-07-09,0.5051,0.5390,0.5051,0.5196,0.5196,16508,0.0000,1.0000
2019-07-08,0.5506,0.5700,0.5051,0.5060,0.5060,59763,0.0000,1.0000
2019-07-05,0.5400,0.5496,0.5304,0.5408,0.5408,18616,0.0000,1.0000
2019-07-03,0.5011,0.5599,0.5011,0.5496,0.5496,14129,0.0000,1.0000
2019-07-02,0.5000,0.5695,0.4800,0.5181,0.5181,111090,0.0000,1.0000
2019-07-01,0.4800,0.5090,0.4700,0.4900,0.4900,18437,0.0000,1.0000
2019-06-28,0.4999,0.5300,0.4776,0.5096,0.5096,40082,0.0000,1.0000
2019-06-27,0.4899,0.5300,0.4899,0.4900,0.4900,73677,0.0000,1.0000
2019-06-26,0.5112,0.5500,0.4711,0.4825,0.4825,80959,0.0000,1.0000
2019-06-25,0.5200,0.5597,0.5111,0.5200,0.5200,63870,0.0000,1.0000
2019-06-24,0.5700,0.5800,0.5100,0.5450,0.5450,78063,0.0000,1.0000
2019-06-21,0.5898,0.5980,0.5700,0.5700,0.5700,8013,0.0000,1.0000
2019-06-20,0.6000,0.6250,0.5800,0.5976,0.5976,65439,0.0000,1.0000
2019-06-19,0.5900,0.6300,0.5800,0.6000,0.6000,21847,0.0000,1.0000
2019-06-18,0.5800,0.6100,0.5606,0.6000,0.6000,41014,0.0000,1.0000
2019-06-17,0.5900,0.5900,0.5600,0.5880,0.5880,15125,0.0000,1.0000
2019-06-14,0.5969,0.6100,0.5500,0.5800,0.5800,76915,0.0000,1.0000
2019-06-13,0.6080,0.6080,0.5721,0.5900,0.5900,34363,0.0000,1.0000
2019-06-12,0.6000,0.6180,0.5700,0.5800,0.5800,108789,0.0000,1.0000
2019-06-11,0.5808,0.6180,0.5800,0.6000,0.6000,36951,0.0000,1.0000
2019-06-10,0.5745,0.6200,0.5700,0.5800,0.5800,130895,0.0000,1.0000
2019-06-07,0.5925,0.6338,0.5410,0.5910,0.5910,233341,0.0000,1.0000
2019-06-06,0.5800,0.6338,0.5800,0.6028,0.6028,74010,0.0000,1.0000
2019-06-05,0.6605,0.7300,0.5500,0.6005,0.6005,154793,0.0000,1.0000
2019-06-04,0.6400,0.6900,0.6306,0.6401,0.6401,25328,0.0000,1.0000
2019-06-03,0.7300,0.7300,0.6600,0.6617,0.6617,73194,0.0000,1.0000
2019-05-31,0.6900,0.7393,0.6470,0.7000,0.7000,236201,0.0000,1.0000
2019-05-30,0.6493,0.6850,0.6485,0.6779,0.6779,15645,0.0000,1.0000
2019-05-29,0.7079,0.7079,0.6552,0.6700,0.6700,19116,0.0000,1.0000
2019-05-28,0.6500,0.7100,0.6420,0.6750,0.6750,29254,0.0000,1.0000
2019-05-24,0.6887,0.7243,0.6322,0.6720,0.6720,44459,0.0000,1.0000
