timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,6.8700,7.0500,6.8700,6.9500,6.9500,8620,0.0000,1.0000
2019-07-26,6.7100,7.0200,6.6650,6.8900,6.8900,70813,0.0000,1.0000
2019-07-25,6.7900,6.8300,6.6300,6.7100,6.7100,51043,0.0000,1.0000
2019-07-24,6.4500,6.8500,6.4500,6.8000,6.8000,97285,0.0000,1.0000
2019-07-23,6.6500,6.7500,6.4600,6.4800,6.4800,89511,0.0000,1.0000
2019-07-22,6.3000,6.6800,6.2600,6.6500,6.6500,139177,0.0000,1.0000
2019-07-19,6.2600,6.5099,6.1700,6.3100,6.3100,73022,0.0000,1.0000
2019-07-18,6.5700,6.5700,6.2900,6.3200,6.3200,45490,0.0000,1.0000
2019-07-17,6.6300,6.8100,6.4900,6.5900,6.5900,96346,0.0000,1.0000
2019-07-16,6.9800,6.9800,6.6364,6.7300,6.7300,170626,0.0000,1.0000
2019-07-15,7.0100,7.0300,6.8700,6.9600,6.9600,55758,0.0000,1.0000
2019-07-12,7.1800,7.3300,6.9800,7.0000,7.0000,164643,0.0000,1.0000
2019-07-11,7.0700,7.2200,7.0100,7.1700,7.1700,146899,0.0000,1.0000
2019-07-10,7.0000,7.0800,6.8500,7.0400,7.0400,64232,0.0000,1.0000
2019-07-09,7.1300,7.1500,6.8900,7.0000,7.0000,99424,0.0000,1.0000
2019-07-08,7.2100,7.2100,7.0000,7.1300,7.1300,118956,0.0000,1.0000
2019-07-05,7.0500,7.3100,7.0400,7.2400,7.2400,128692,0.0000,1.0000
2019-07-03,7.0000,7.1500,6.7900,7.1400,7.1400,101905,0.0000,1.0000
2019-07-02,6.9600,7.0050,6.8400,6.9600,6.9600,117067,0.0000,1.0000
2019-07-01,6.7600,7.1800,6.6700,6.9500,6.9500,307000,0.0000,1.0000
2019-06-28,6.0600,6.8600,5.9700,6.7200,6.7200,3604902,0.0000,1.0000
2019-06-27,5.7400,6.0500,5.7400,5.9800,5.9800,130279,0.0000,1.0000
2019-06-26,5.9400,6.1350,5.6100,5.7400,5.7400,124832,0.0000,1.0000
2019-06-25,6.2400,6.2425,5.8300,5.8800,5.8800,105076,0.0000,1.0000
2019-06-24,6.3200,6.4000,6.0500,6.2300,6.2300,168972,0.0000,1.0000
2019-06-21,6.4700,6.5800,6.3500,6.3800,6.3800,95135,0.0000,1.0000
2019-06-20,6.6100,6.7200,6.5100,6.5200,6.5200,76103,0.0000,1.0000
2019-06-19,6.7500,6.8000,6.5600,6.6500,6.6500,107497,0.0000,1.0000
2019-06-18,6.6700,6.8701,6.6500,6.7900,6.7900,123770,0.0000,1.0000
2019-06-17,6.3000,6.6900,6.3000,6.6500,6.6500,207522,0.0000,1.0000
2019-06-14,6.0900,6.3600,6.0300,6.2700,6.2700,170244,0.0000,1.0000
2019-06-13,6.2100,6.2700,5.9900,6.0800,6.0800,157913,0.0000,1.0000
2019-06-12,6.0700,6.2200,6.0600,6.1900,6.1900,234179,0.0000,1.0000
2019-06-11,5.8100,6.1250,5.7500,6.0800,6.0800,125726,0.0000,1.0000
2019-06-10,5.7400,5.8300,5.5900,5.7900,5.7900,138346,0.0000,1.0000
2019-06-07,5.7900,5.8700,5.7400,5.7900,5.7900,85700,0.0000,1.0000
2019-06-06,6.0900,6.0900,5.6600,5.7900,5.7900,95387,0.0000,1.0000
2019-06-05,6.1100,6.2700,6.0600,6.0900,6.0900,126139,0.0000,1.0000
2019-06-04,6.0500,6.1900,5.9900,6.1000,6.1000,133869,0.0000,1.0000
2019-06-03,6.0400,6.1300,5.9000,5.9800,5.9800,137060,0.0000,1.0000
2019-05-31,6.3100,6.3300,5.9000,6.0300,6.0300,98602,0.0000,1.0000
2019-05-30,6.1800,6.5525,6.1550,6.3700,6.3700,93632,0.0000,1.0000
2019-05-29,5.9600,6.2000,5.9600,6.1800,6.1800,154640,0.0000,1.0000
2019-05-28,5.8400,6.1000,5.8100,6.0100,6.0100,150409,0.0000,1.0000
2019-05-24,5.6000,5.8900,5.5000,5.8300,5.8300,135392,0.0000,1.0000
2019-05-23,5.8600,6.0000,5.5400,5.5700,5.5700,65605,0.0000,1.0000
2019-05-22,5.8800,6.0400,5.7900,5.9100,5.9100,63266,0.0000,1.0000
2019-05-21,6.0600,6.1400,5.8800,5.8900,5.8900,137157,0.0000,1.0000
2019-05-20,5.9500,6.0900,5.9000,6.0400,6.0400,82443,0.0000,1.0000
2019-05-17,6.0200,6.0500,5.8650,5.9800,5.9800,134121,0.0000,1.0000
2019-05-16,5.8000,6.1500,5.7300,6.0300,6.0300,157606,0.0000,1.0000
2019-05-15,5.7100,5.7900,5.6200,5.7900,5.7900,109533,0.0000,1.0000
2019-05-14,5.7700,5.8900,5.6100,5.7500,5.7500,131339,0.0000,1.0000
2019-05-13,5.6700,5.7500,5.4000,5.7500,5.7500,125976,0.0000,1.0000
2019-05-10,6.1900,6.2500,5.6250,5.7450,5.7450,224671,0.0000,1.0000
2019-05-09,5.4700,6.2400,5.0000,6.1800,6.1800,247260,0.0000,1.0000
2019-05-08,5.6200,5.8900,5.5300,5.7200,5.7200,174095,0.0000,1.0000
2019-05-07,5.7400,5.7400,5.5300,5.6200,5.6200,131266,0.0000,1.0000
2019-05-06,5.2000,5.8200,5.1788,5.7700,5.7700,217582,0.0000,1.0000
2019-05-03,5.4100,5.4500,5.3200,5.3400,5.3400,80790,0.0000,1.0000
2019-05-02,5.5000,5.6300,5.3100,5.4000,5.4000,135943,0.0000,1.0000
2019-05-01,5.0100,5.5300,5.0000,5.5200,5.5200,245659,0.0000,1.0000
2019-04-30,5.0700,5.1999,4.9400,4.9900,4.9900,231740,0.0000,1.0000
2019-04-29,4.9000,5.2000,4.8100,5.0700,5.0700,284507,0.0000,1.0000
2019-04-26,4.7500,4.9700,4.4100,4.8700,4.8700,515483,0.0000,1.0000
2019-04-25,4.3700,4.7732,4.3700,4.7300,4.7300,543258,0.0000,1.0000
2019-04-24,4.1400,4.4500,4.0640,4.3700,4.3700,362762,0.0000,1.0000
2019-04-23,3.8900,4.1700,3.8754,4.1200,4.1200,322210,0.0000,1.0000
