timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,0.0000,0.0000,0.0000,1.3200,1.3200,0,0.0000,1.0000
2019-07-24,1.4000,1.4000,1.3200,1.3200,1.3200,400,0.0000,1.0000
2019-07-23,1.4200,1.4200,1.4200,1.4200,1.4200,1800,0.0000,1.0000
2019-07-22,1.3600,1.3600,1.3600,1.3600,1.3600,301,0.0000,1.0000
2019-07-19,1.3600,1.3600,1.3600,1.3600,1.3600,300,0.0000,1.0000
2019-07-18,1.4500,1.4500,1.3600,1.3600,1.3600,500,0.0000,1.0000
2019-07-17,1.5000,1.5000,1.3500,1.4900,1.4900,1600,0.0000,1.0000
2019-07-16,1.5200,1.5300,1.4500,1.5300,1.5300,2400,0.0000,1.0000
2019-07-15,1.5300,1.5500,1.5300,1.5500,1.5500,1000,0.0000,1.0000
2019-07-10,1.3700,1.3700,1.3700,1.3700,1.3700,333,0.0000,1.0000
2019-07-08,1.3600,1.3600,1.3600,1.3600,1.3600,167,0.0000,1.0000
2019-07-05,1.3900,1.3900,1.3800,1.3800,1.3800,600,0.0000,1.0000
2019-06-20,1.5500,1.5500,1.5000,1.5000,1.5000,3500,0.0000,1.0000
2019-06-18,1.1500,1.3100,1.1500,1.2500,1.2500,24469,0.0000,1.0000
2019-06-17,1.1800,1.1900,1.1800,1.1800,1.1800,1300,0.0000,1.0000
2019-06-14,1.2100,1.2100,1.1900,1.1900,1.1900,1700,0.0000,1.0000
2019-06-13,1.2400,1.2400,1.1900,1.2000,1.2000,32000,0.0000,1.0000
2019-06-12,1.2600,1.2600,1.2500,1.2500,1.2500,500,0.0000,1.0000
2019-06-11,1.2800,1.2800,1.2500,1.2500,1.2500,1000,0.0000,1.0000
2019-06-07,1.3000,1.3000,1.3000,1.3000,1.3000,16100,0.0000,1.0000
2019-06-05,1.2900,1.2900,1.2900,1.2900,1.2900,15300,0.0000,1.0000
2019-06-04,1.3000,1.3000,1.2300,1.3000,1.3000,142565,0.0000,1.0000
2019-06-03,1.3000,1.3000,1.3000,1.3000,1.3000,2000,0.0000,1.0000
2019-05-30,1.2800,1.2800,1.2800,1.2800,1.2800,100,0.0000,1.0000
2019-05-29,1.3000,1.3000,1.3000,1.3000,1.3000,100,0.0000,1.0000
2019-05-28,1.2800,1.2800,1.2800,1.2800,1.2800,500,0.0000,1.0000
2019-05-24,1.3400,1.3400,1.2900,1.2900,1.2900,2750,0.0000,1.0000
2019-05-23,1.3000,1.4200,1.3000,1.4200,1.4200,2250,0.0000,1.0000
2019-05-21,1.3600,1.3600,1.3600,1.3600,1.3600,500,0.0000,1.0000
2019-05-17,1.4000,1.4000,1.4000,1.4000,1.4000,100,0.0000,1.0000
2019-05-14,1.4000,1.4000,1.4000,1.4000,1.4000,3550,0.0000,1.0000
2019-05-10,1.6000,1.6000,1.6000,1.6000,1.6000,50,0.0000,1.0000
2019-05-03,1.6000,1.6000,1.6000,1.6000,1.6000,100,0.0000,1.0000
2019-04-25,1.5900,1.6000,1.4900,1.6000,1.6000,3649,0.0000,1.0000
2019-04-16,1.5000,1.5000,1.5000,1.5000,1.5000,250,0.0000,1.0000
2019-04-08,1.4400,1.5000,1.4400,1.5000,1.5000,7850,0.0000,1.0000
2019-04-03,1.3900,1.3900,1.3900,1.3900,1.3900,300,0.0000,1.0000
2019-04-02,1.3482,1.4500,1.3482,1.4500,1.4500,21050,0.0000,1.0000
2019-04-01,1.3500,1.4000,1.3500,1.4000,1.4000,5000,0.0000,1.0000
2019-03-27,1.2000,1.2000,1.2000,1.2000,1.2000,1000,0.0000,1.0000
2019-03-21,0.8000,1.2500,0.8000,1.2500,1.2500,801,0.0000,1.0000
2019-03-19,0.8000,1.5000,0.8000,1.3000,1.3000,30690,0.0000,1.0000
2019-02-14,1.3000,1.3000,1.3000,1.3000,1.3000,100,0.0000,1.0000
2019-02-04,1.6000,1.6000,1.6000,1.6000,1.6000,300,0.0000,1.0000
2018-12-12,1.6000,1.6000,1.6000,1.6000,1.6000,100,0.0000,1.0000
