timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,2.4900,2.5000,2.4600,2.5000,2.5000,618,0.0000,1.0000
2019-07-26,2.5900,2.7600,2.4000,2.5000,2.5000,10607,0.0000,1.0000
2019-07-25,2.6700,2.6700,2.4300,2.4727,2.4727,5455,0.0000,1.0000
2019-07-24,2.5226,2.6600,2.4261,2.5831,2.5831,4128,0.0000,1.0000
2019-07-23,2.7374,2.7374,2.5500,2.5500,2.5500,3023,0.0000,1.0000
2019-07-22,2.4900,2.6000,2.4676,2.5500,2.5500,7218,0.0000,1.0000
2019-07-19,2.4800,2.5300,2.4000,2.5300,2.5300,13952,0.0000,1.0000
2019-07-18,2.5000,2.6400,2.3800,2.4500,2.4500,23114,0.0000,1.0000
2019-07-17,2.5500,2.5900,2.5125,2.5500,2.5500,4993,0.0000,1.0000
2019-07-16,2.6639,2.6639,2.5600,2.5600,2.5600,3509,0.0000,1.0000
2019-07-15,2.5400,2.6400,2.5200,2.5790,2.5790,6075,0.0000,1.0000
2019-07-12,2.7500,2.9000,2.5200,2.6200,2.6200,9754,0.0000,1.0000
2019-07-11,2.8500,2.8500,2.6000,2.8100,2.8100,11209,0.0000,1.0000
2019-07-10,2.5600,2.9100,2.5600,2.7500,2.7500,22367,0.0000,1.0000
2019-07-09,2.8000,2.8100,2.5500,2.5600,2.5600,4937,0.0000,1.0000
2019-07-08,2.5600,2.8000,2.5000,2.8000,2.8000,10663,0.0000,1.0000
2019-07-05,2.4800,2.6600,2.4700,2.6200,2.6200,5884,0.0000,1.0000
2019-07-03,2.6000,2.6000,2.5000,2.5000,2.5000,3366,0.0000,1.0000
2019-07-02,2.4600,2.5500,2.4600,2.4700,2.4700,11999,0.0000,1.0000
2019-07-01,2.5000,2.6874,2.4700,2.4700,2.4700,12569,0.0000,1.0000
2019-06-28,2.8130,2.8430,2.4624,2.5000,2.5000,24961,0.0000,1.0000
2019-06-27,2.9100,2.9900,2.7600,2.7700,2.7700,13124,0.0000,1.0000
2019-06-26,3.1200,3.2000,2.7500,2.8550,2.8550,25827,0.0000,1.0000
2019-06-25,2.9200,3.0912,2.8583,2.9400,2.9400,10719,0.0000,1.0000
2019-06-24,3.0001,3.0450,2.9200,2.9200,2.9200,7735,0.0000,1.0000
2019-06-21,3.0297,3.0297,2.9100,2.9800,2.9800,10050,0.0000,1.0000
2019-06-20,3.1200,3.2100,2.7167,3.1300,3.1300,18014,0.0000,1.0000
2019-06-19,3.1300,3.2000,3.1200,3.1400,3.1400,7066,0.0000,1.0000
2019-06-18,3.2000,3.2000,3.1200,3.2000,3.2000,6491,0.0000,1.0000
2019-06-17,3.0000,3.1800,3.0000,3.1200,3.1200,10242,0.0000,1.0000
2019-06-14,3.1300,3.2000,3.0000,3.0500,3.0500,22874,0.0000,1.0000
2019-06-13,3.1100,3.2762,3.1100,3.1100,3.1100,3536,0.0000,1.0000
2019-06-12,3.3874,3.3874,3.0200,3.1900,3.1900,5872,0.0000,1.0000
2019-06-11,3.5600,3.5600,3.1000,3.3000,3.3000,12063,0.0000,1.0000
2019-06-10,3.4600,3.5900,3.4600,3.5800,3.5800,9136,0.0000,1.0000
2019-06-07,3.6600,3.6600,3.4500,3.4800,3.4800,10436,0.0000,1.0000
2019-06-06,3.6500,3.7499,3.5100,3.5700,3.5700,6105,0.0000,1.0000
2019-06-05,3.6400,3.7400,3.5500,3.5642,3.5642,3061,0.0000,1.0000
2019-06-04,3.5400,3.7100,3.5400,3.6500,3.6500,2038,0.0000,1.0000
2019-06-03,3.5376,3.6500,3.5200,3.6400,3.6400,7554,0.0000,1.0000
2019-05-31,3.6200,3.7600,3.5100,3.5100,3.5100,6139,0.0000,1.0000
2019-05-30,3.6400,3.7514,3.5100,3.5100,3.5100,7611,0.0000,1.0000
2019-05-29,3.7300,3.7600,3.6200,3.6800,3.6800,9383,0.0000,1.0000
2019-05-28,3.8900,3.8900,3.7200,3.7340,3.7340,2899,0.0000,1.0000
2019-05-24,3.8100,3.9137,3.7000,3.9000,3.9000,2706,0.0000,1.0000
2019-05-23,3.9300,4.0000,3.7000,3.8200,3.8200,23341,0.0000,1.0000
2019-05-22,3.7900,4.0003,3.7900,3.9800,3.9800,6788,0.0000,1.0000
2019-05-21,3.8700,3.9300,3.7500,3.7600,3.7600,6051,0.0000,1.0000
2019-05-20,3.8800,3.8900,3.7085,3.8900,3.8900,3004,0.0000,1.0000
2019-05-17,3.7200,3.8900,3.7000,3.8900,3.8900,6553,0.0000,1.0000
2019-05-16,3.8100,3.8300,3.6900,3.6900,3.6900,7258,0.0000,1.0000
2019-05-15,3.7900,3.8400,3.7100,3.8400,3.8400,5869,0.0000,1.0000
2019-05-14,3.9200,4.0200,3.7900,3.8900,3.8900,9400,0.0000,1.0000
2019-05-13,3.8200,3.9350,3.7900,3.8700,3.8700,7406,0.0000,1.0000
2019-05-10,4.0000,4.0700,3.8400,3.8400,3.8400,8955,0.0000,1.0000
2019-05-09,3.7800,3.9900,3.7800,3.9900,3.9900,3022,0.0000,1.0000
2019-05-08,3.9300,3.9300,3.7500,3.7700,3.7700,5323,0.0000,1.0000
2019-05-07,4.1300,4.2600,3.8500,4.0000,4.0000,11701,0.0000,1.0000
2019-05-06,4.1200,4.2400,4.1200,4.2300,4.2300,2581,0.0000,1.0000
2019-05-03,4.4700,4.4700,3.9532,4.2800,4.2800,36046,0.0000,1.0000
2019-05-02,3.9200,4.4400,3.7800,4.4400,4.4400,9966,0.0000,1.0000
2019-05-01,3.9300,4.0500,3.7800,4.0300,4.0300,10329,0.0000,1.0000
2019-04-30,3.8275,3.9900,3.8275,3.9800,3.9800,3016,0.0000,1.0000
2019-04-29,3.8500,4.0500,3.7600,3.9200,3.9200,8947,0.0000,1.0000
2019-04-26,4.2500,4.2700,3.7100,3.7500,3.7500,19820,0.0000,1.0000
2019-04-25,4.2700,4.3900,4.0000,4.2900,4.2900,11502,0.0000,1.0000
2019-04-24,3.9200,4.4000,3.9200,4.2500,4.2500,18385,0.0000,1.0000
2019-04-23,4.0400,4.0400,3.7500,3.8812,3.8812,3641,0.0000,1.0000
2019-04-22,4.0200,4.1000,3.8900,4.0200,4.0200,16816,0.0000,1.0000
2019-04-18,3.7000,4.0000,3.7000,4.0000,4.0000,19110,0.0000,1.0000
2019-04-17,3.7222,3.7300,3.5879,3.6300,3.6300,6204,0.0000,1.0000
2019-04-16,3.6737,3.9000,3.5100,3.6500,3.6500,36094,0.0000,1.0000
2019-04-15,3.7200,3.7200,3.5881,3.7100,3.7100,7373,0.0000,1.0000
2019-04-12,3.6800,3.7219,3.5300,3.5500,3.5500,10069,0.0000,1.0000
2019-04-11,3.8999,3.8999,3.5700,3.5800,3.5800,7685,0.0000,1.0000
2019-04-10,3.7500,3.8450,3.6000,3.6500,3.6500,18781,0.0000,1.0000
2019-04-09,3.8300,3.8850,3.7000,3.7800,3.7800,4159,0.0000,1.0000
2019-04-08,3.5300,3.9000,3.5300,3.8300,3.8300,28733,0.0000,1.0000
2019-04-05,3.4000,3.8200,3.4000,3.5200,3.5200,12847,0.0000,1.0000
2019-04-04,3.4500,3.5100,3.4000,3.4000,3.4000,6027,0.0000,1.0000
2019-04-03,3.5400,3.7522,3.4000,3.5000,3.5000,21292,0.0000,1.0000
2019-04-02,3.7000,3.7270,3.5100,3.5700,3.5700,12178,0.0000,1.0000
2019-04-01,3.6500,3.7817,3.6500,3.6700,3.6700,8418,0.0000,1.0000
2019-03-29,3.7900,3.8021,3.6400,3.6400,3.6400,2709,0.0000,1.0000
2019-03-28,3.7400,3.8300,3.6700,3.8200,3.8200,5030,0.0000,1.0000
2019-03-27,3.7652,3.7688,3.7000,3.7000,3.7000,3428,0.0000,1.0000
2019-03-26,3.5686,3.7000,3.5686,3.6600,3.6600,3480,0.0000,1.0000
2019-03-25,3.7800,3.8600,3.7200,3.7900,3.7900,6758,0.0000,1.0000
2019-03-22,3.7710,3.8700,3.7403,3.8600,3.8600,10613,0.0000,1.0000
2019-03-21,3.7800,3.8300,3.7000,3.7800,3.7800,8156,0.0000,1.0000
2019-03-20,3.7900,3.8800,3.5376,3.8800,3.8800,10544,0.0000,1.0000
2019-03-19,3.7200,3.8930,3.7000,3.7800,3.7800,15481,0.0000,1.0000
2019-03-18,3.7100,3.9000,3.7000,3.7100,3.7100,3237,0.0000,1.0000
2019-03-15,3.8000,3.8100,3.6597,3.7400,3.7400,17084,0.0000,1.0000
2019-03-14,3.6700,3.7100,3.5722,3.7100,3.7100,8375,0.0000,1.0000
2019-03-13,3.5781,3.7900,3.5781,3.6500,3.6500,12769,0.0000,1.0000
2019-03-12,3.5400,3.6200,3.5400,3.6200,3.6200,7938,0.0000,1.0000
2019-03-11,3.9900,3.9900,3.3700,3.4900,3.4900,58679,0.0000,1.0000
2019-03-08,4.1885,4.3100,3.8100,3.9100,3.9100,20464,0.0000,1.0000
2019-03-07,4.4100,4.4100,4.1000,4.1000,4.1000,10012,0.0000,1.0000
2019-03-06,4.2000,4.3000,4.2000,4.2288,4.2288,10157,0.0000,1.0000
2019-03-05,4.3613,4.4500,4.2100,4.2100,4.2100,18107,0.0000,1.0000
2019-03-04,4.3000,4.4899,4.3000,4.4200,4.4200,10848,0.0000,1.0000
2019-03-01,4.3400,4.5000,4.2600,4.2700,4.2700,24340,0.0000,1.0000
2019-02-28,4.3179,4.4100,4.2600,4.4100,4.4100,9857,0.0000,1.0000
2019-02-27,4.2600,4.4200,4.2000,4.2600,4.2600,16914,0.0000,1.0000
2019-02-26,4.3740,4.4587,4.2500,4.3100,4.3100,48350,0.0000,1.0000
2019-02-25,4.5000,4.6399,4.3100,4.3700,4.3700,35494,0.0000,1.0000
2019-02-22,4.8000,4.8400,4.5101,4.5400,4.5400,31896,0.0000,1.0000
2019-02-21,5.2000,5.3733,4.4200,4.6600,4.6600,239531,0.0000,1.0000
2019-02-20,4.7500,5.3973,4.7000,5.0500,5.0500,526604,0.0000,1.0000
2019-02-19,4.8300,4.9270,4.6250,4.7450,4.7450,24516,0.0000,1.0000
2019-02-15,4.9757,4.9900,4.8100,4.8200,4.8200,14195,0.0000,1.0000
2019-02-14,4.8500,5.0000,4.8500,4.9000,4.9000,9758,0.0000,1.0000
2019-02-13,4.9900,5.0180,4.8700,4.8700,4.8700,34923,0.0000,1.0000
2019-02-12,4.8500,5.2643,4.8500,4.9000,4.9000,75767,0.0000,1.0000
2019-02-11,4.8500,5.0500,4.8500,4.8900,4.8900,13844,0.0000,1.0000
2019-02-08,4.9100,4.9900,4.8500,4.9000,4.9000,4491,0.0000,1.0000
2019-02-07,4.8600,5.0700,4.8600,5.0100,5.0100,6780,0.0000,1.0000
2019-02-06,4.9200,5.0400,4.8500,4.9000,4.9000,10430,0.0000,1.0000
2019-02-05,4.8700,5.0800,4.8700,4.8700,4.8700,7873,0.0000,1.0000
2019-02-04,4.7800,5.0100,4.7500,4.9300,4.9300,25765,0.0000,1.0000
2019-02-01,5.1000,5.1000,4.7336,4.7800,4.7800,15100,0.0000,1.0000
2019-01-31,5.0000,5.0700,4.9200,5.0700,5.0700,30985,0.0000,1.0000
2019-01-30,4.9300,5.0560,4.9272,5.0200,5.0200,16628,0.0000,1.0000
2019-01-29,5.0500,5.1254,4.9371,5.0100,5.0100,19723,0.0000,1.0000
2019-01-28,5.3300,5.3300,4.8800,5.0100,5.0100,110106,0.0000,1.0000
2019-01-25,5.1200,5.1800,4.9100,5.1500,5.1500,30920,0.0000,1.0000
2019-01-24,4.8000,5.0500,4.7200,5.0500,5.0500,29239,0.0000,1.0000
2019-01-23,4.8100,4.9400,4.7224,4.8800,4.8800,8799,0.0000,1.0000
2019-01-22,5.0400,5.0400,4.7000,4.7100,4.7100,12244,0.0000,1.0000
2019-01-18,4.6200,5.0650,4.6200,5.0000,5.0000,40517,0.0000,1.0000
2019-01-17,4.2400,4.7100,4.2400,4.6200,4.6200,27043,0.0000,1.0000
2019-01-16,4.4400,4.5500,4.2100,4.3600,4.3600,33650,0.0000,1.0000
2019-01-15,4.3500,4.5200,4.2473,4.4100,4.4100,58088,0.0000,1.0000
2019-01-14,4.8300,4.9793,4.3500,4.3500,4.3500,54350,0.0000,1.0000
2019-01-11,4.7500,4.8800,4.7400,4.8700,4.8700,18516,0.0000,1.0000
2019-01-10,5.0100,5.0950,4.7100,4.7300,4.7300,40411,0.0000,1.0000
2019-01-09,5.0500,5.1796,4.9200,5.0300,5.0300,61932,0.0000,1.0000
2019-01-08,5.1600,5.1600,4.9100,5.0400,5.0400,46353,0.0000,1.0000
2019-01-07,5.4600,5.4750,4.9101,5.1500,5.1500,139364,0.0000,1.0000
2019-01-04,5.1100,5.3500,5.1100,5.2100,5.2100,81864,0.0000,1.0000
2019-01-03,4.6300,5.1700,4.6300,5.0800,5.0800,50936,0.0000,1.0000
2019-01-02,4.7300,4.9064,4.6100,4.6200,4.6200,41339,0.0000,1.0000
2018-12-31,5.1500,5.2500,4.6000,4.7700,4.7700,93495,0.0000,1.0000
2018-12-28,4.5000,5.5000,4.5000,5.2900,5.2900,291166,0.0000,1.0000
2018-12-27,4.0100,4.4800,4.0000,4.4100,4.4100,139369,0.0000,1.0000
2018-12-26,4.0000,4.2899,3.7000,4.2800,4.2800,169222,0.0000,1.0000
2018-12-24,3.7100,4.0800,3.6100,4.0800,4.0800,150435,0.0000,1.0000
2018-12-21,3.4800,5.0000,3.1800,5.0000,5.0000,370110,0.0000,1.0000
2018-12-20,3.4400,3.6800,3.3000,3.3800,3.3800,142703,0.0000,1.0000
2018-12-19,3.1500,3.4200,3.1500,3.4000,3.4000,55053,0.0000,1.0000
2018-12-18,3.4300,3.4300,3.1900,3.1900,3.1900,112674,0.0000,1.0000
2018-12-17,3.4200,3.5500,3.2100,3.4000,3.4000,166416,0.0000,1.0000
2018-12-14,3.3100,3.6700,3.3100,3.5200,3.5200,277435,0.0000,1.0000
2018-12-13,3.2100,3.7200,3.1100,3.6900,3.6900,1191851,0.0000,1.0000
2018-12-12,3.9500,4.2500,3.2600,3.4000,3.4000,14477501,0.0000,1.0000
2018-12-11,2.8400,2.8400,2.6331,2.6700,2.6700,17351,0.0000,1.0000
2018-12-10,2.8100,2.9300,2.6721,2.7900,2.7900,4905,0.0000,1.0000
2018-12-07,2.7400,2.9200,2.7300,2.8500,2.8500,19689,0.0000,1.0000
2018-12-06,2.8100,2.8500,2.6200,2.7600,2.7600,21607,0.0000,1.0000
