timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,0.0000,0.0000,0.0000,0.1567,0.1567,0,0.0000,1.0000
2019-07-26,0.1567,0.1567,0.1567,0.1567,0.1567,14426,0.0000,1.0000
2019-07-25,0.2338,0.2438,0.2238,0.2238,0.2238,701,0.0000,1.0000
2019-07-22,0.1709,0.1709,0.1709,0.1709,0.1709,56,0.0000,1.0000
2019-07-17,0.1709,0.1709,0.1709,0.1709,0.1709,78,0.0000,1.0000
2019-07-16,0.1709,0.1709,0.1709,0.1709,0.1709,106,0.0000,1.0000
2019-07-15,0.1319,0.1319,0.1315,0.1315,0.1315,400,0.0000,1.0000
2019-07-12,0.1000,0.1015,0.1000,0.1015,0.1015,313,0.0000,1.0000
2019-07-11,0.0781,0.0781,0.0781,0.0781,0.0781,130,0.0000,1.0000
2019-07-10,0.2210,0.3000,0.0601,0.0601,0.0601,613,0.0000,1.0000
2019-07-03,0.2210,0.2210,0.2210,0.2210,0.2210,100,0.0000,1.0000
2019-06-28,0.2210,0.2210,0.2205,0.2205,0.2205,800,0.0000,1.0000
2019-06-06,0.2000,0.2000,0.2000,0.2000,0.2000,138,0.0000,1.0000
2019-06-04,0.1700,0.1700,0.1700,0.1700,0.1700,507,0.0000,1.0000
2019-05-31,0.1400,0.1407,0.1400,0.1407,0.1407,326,0.0000,1.0000
2019-05-29,0.1400,0.1400,0.1400,0.1400,0.1400,350,0.0000,1.0000
2019-05-28,0.1381,0.1381,0.1381,0.1381,0.1381,200,0.0000,1.0000
2019-05-24,0.1063,0.1063,0.1063,0.1063,0.1063,101,0.0000,1.0000
2019-05-20,0.0605,0.0818,0.0605,0.0818,0.0818,500,0.0000,1.0000
2019-05-17,0.0603,0.0603,0.0603,0.0603,0.0603,188,0.0000,1.0000
2019-05-16,0.2098,0.2098,0.2098,0.2098,0.2098,200,0.0000,1.0000
2019-05-14,0.1176,0.1176,0.0987,0.0987,0.0987,593,0.0000,1.0000
2019-05-13,0.1680,0.1680,0.1680,0.1680,0.1680,500,0.0000,1.0000
2019-05-10,0.2499,0.2499,0.2399,0.2399,0.2399,600,0.0000,1.0000
2019-05-09,0.3562,0.3570,0.3562,0.3570,0.3570,609,0.0000,1.0000
2019-05-08,0.4796,0.5088,0.4784,0.5088,0.5088,1945,0.0000,1.0000
2019-05-07,0.1300,0.3397,0.1300,0.3397,0.3397,200,0.0000,1.0000
2019-05-03,0.0782,0.1000,0.0782,0.1000,0.1000,1429,0.0000,1.0000
2019-05-01,0.1338,0.1338,0.0602,0.0700,0.0700,11004,0.0000,1.0000
2019-04-30,0.2730,0.2730,0.2730,0.2730,0.2730,10,0.0000,1.0000
2019-04-24,0.2730,0.2730,0.2730,0.2730,0.2730,157,0.0000,1.0000
2019-04-23,0.1368,0.3900,0.1368,0.3900,0.3900,301,0.0000,1.0000
2019-04-16,0.1053,0.1053,0.1053,0.1053,0.1053,100,0.0000,1.0000
2019-04-15,0.0665,0.0810,0.0665,0.0810,0.0810,1200,0.0000,1.0000
2019-04-12,0.0512,0.0512,0.0512,0.0512,0.0512,188,0.0000,1.0000
2019-04-09,0.1611,0.1611,0.1611,0.1611,0.1611,130,0.0000,1.0000
2019-04-08,0.3850,0.3850,0.1652,0.1652,0.1652,250,0.0000,1.0000
2019-04-01,0.5499,0.5499,0.5499,0.5499,0.5499,103,0.0000,1.0000
