timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,2.0300,2.0300,2.0000,2.0200,2.0200,31127,0.0000,1.0000
2019-07-26,2.0400,2.0500,2.0100,2.0200,2.0200,44141,0.0000,1.0000
2019-07-25,2.0200,2.0900,2.0200,2.0300,2.0300,67289,0.0000,1.0000
2019-07-24,2.0200,2.0700,2.0200,2.0400,2.0400,41123,0.0000,1.0000
2019-07-23,2.0500,2.0500,2.0100,2.0400,2.0400,107500,0.0000,1.0000
2019-07-22,2.0200,2.0800,2.0200,2.0400,2.0400,62272,0.0000,1.0000
2019-07-19,2.0600,2.1500,2.0300,2.0400,2.0400,124028,0.0000,1.0000
2019-07-18,2.0900,2.1000,2.0300,2.0950,2.0950,70961,0.0000,1.0000
2019-07-17,2.1300,2.1700,2.0300,2.0900,2.0900,89508,0.0000,1.0000
2019-07-16,2.0500,2.1200,2.0100,2.1000,2.1000,123850,0.0000,1.0000
2019-07-15,2.1200,2.1900,2.0600,2.0700,2.0700,154301,0.0000,1.0000
2019-07-12,2.2100,2.2400,2.1200,2.1200,2.1200,315350,0.0000,1.0000
2019-07-11,2.3000,2.6000,2.2277,2.2700,2.2700,1562807,0.0000,1.0000
2019-07-10,2.1400,2.2400,2.0900,2.2400,2.2400,134165,0.0000,1.0000
2019-07-09,2.2000,2.2387,2.1000,2.1300,2.1300,185139,0.0000,1.0000
2019-07-08,2.2600,2.3374,2.1700,2.2100,2.2100,223114,0.0000,1.0000
2019-07-05,2.2900,2.4000,2.2800,2.2900,2.2900,145957,0.0000,1.0000
2019-07-03,2.3800,2.4100,2.2800,2.3000,2.3000,228251,0.0000,1.0000
2019-07-02,2.5000,2.5000,2.4000,2.4100,2.4100,242705,0.0000,1.0000
2019-07-01,2.5400,2.5700,2.4600,2.5200,2.5200,388552,0.0000,1.0000
2019-06-28,2.4500,2.6000,2.3700,2.5500,2.5500,1035524,0.0000,1.0000
2019-06-27,2.7600,3.2500,2.4000,2.5800,2.5800,14979158,0.0000,1.0000
2019-06-26,2.3000,2.3000,2.1000,2.2300,2.2300,278543,0.0000,1.0000
2019-06-25,2.0100,2.3500,1.9500,2.3100,2.3100,770217,0.0000,1.0000
2019-06-24,2.0800,2.0800,1.9200,2.0300,2.0300,105980,0.0000,1.0000
2019-06-21,2.0600,2.1297,2.0200,2.0400,2.0400,94755,0.0000,1.0000
2019-06-20,2.1400,2.1700,2.0100,2.0900,2.0900,257077,0.0000,1.0000
2019-06-19,2.1000,2.2300,2.1000,2.1600,2.1600,93343,0.0000,1.0000
2019-06-18,2.0500,2.1328,2.0500,2.1100,2.1100,130771,0.0000,1.0000
2019-06-17,2.1200,2.1242,2.0300,2.0700,2.0700,151664,0.0000,1.0000
2019-06-14,2.1000,2.1700,2.0500,2.1000,2.1000,239305,0.0000,1.0000
2019-06-13,2.1500,2.1708,2.0300,2.0900,2.0900,160463,0.0000,1.0000
2019-06-12,2.1900,2.2100,2.1400,2.1500,2.1500,72559,0.0000,1.0000
2019-06-11,2.2800,2.3800,2.1300,2.2100,2.2100,185621,0.0000,1.0000
2019-06-10,2.1600,2.3498,2.1600,2.2800,2.2800,220983,0.0000,1.0000
2019-06-07,2.2700,2.3000,2.1250,2.1600,2.1600,209452,0.0000,1.0000
2019-06-06,2.3900,2.4400,2.2100,2.2800,2.2800,240688,0.0000,1.0000
2019-06-05,2.4800,2.5096,2.3600,2.3800,2.3800,88082,0.0000,1.0000
2019-06-04,2.5100,2.5800,2.3900,2.4400,2.4400,132020,0.0000,1.0000
2019-06-03,2.5400,2.5584,2.3500,2.5000,2.5000,188437,0.0000,1.0000
