timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,18.7000,18.9900,18.4900,18.9550,18.9550,89234,0.0000,1.0000
2019-07-26,18.5200,18.8500,18.2950,18.7900,18.7900,294448,0.0000,1.0000
2019-07-25,18.0200,18.7700,17.9200,18.5200,18.5200,454305,0.0000,1.0000
2019-07-24,17.8600,18.0700,17.4358,17.8300,17.8300,430413,0.0000,1.0000
2019-07-23,17.5000,18.4500,16.8500,18.0900,18.0900,1442883,0.0000,1.0000
2019-07-22,16.2600,16.4800,16.1274,16.4500,16.4500,133171,0.0000,1.0000
2019-07-19,16.0200,16.2495,15.7600,16.0000,16.0000,102009,0.0000,1.0000
2019-07-18,16.0700,16.1800,15.3100,15.8500,15.8500,243495,0.0000,1.0000
2019-07-17,16.3600,16.3899,16.0200,16.2100,16.2100,174449,0.0000,1.0000
2019-07-16,16.8900,16.9000,16.1600,16.4100,16.4100,137303,0.0000,1.0000
2019-07-15,17.0800,17.2400,17.0200,17.1000,17.1000,127700,0.0000,1.0000
2019-07-12,16.4900,17.0000,16.3928,16.9300,16.9300,118317,0.0000,1.0000
2019-07-11,16.4700,16.5650,16.1400,16.4500,16.4500,80735,0.0000,1.0000
2019-07-10,16.8700,16.8800,16.2400,16.3500,16.3500,142482,0.0000,1.0000
2019-07-09,15.6800,16.6800,15.6800,16.5000,16.5000,258581,0.0000,1.0000
2019-07-08,15.5500,15.8700,15.4801,15.6500,15.6500,69332,0.0000,1.0000
2019-07-05,15.4900,15.7900,15.4000,15.6700,15.6700,66392,0.0000,1.0000
2019-07-03,15.2400,15.7500,15.2300,15.5500,15.5500,62188,0.0000,1.0000
2019-07-02,15.2000,15.3850,15.1500,15.3100,15.3100,120576,0.0000,1.0000
2019-07-01,15.7900,15.8400,15.3100,15.3600,15.3600,61571,0.0000,1.0000
2019-06-28,15.2600,15.4900,15.2200,15.4800,15.4800,49789,0.0000,1.0000
2019-06-27,15.0400,15.3200,15.0400,15.2200,15.2200,61226,0.0000,1.0000
2019-06-26,15.3100,15.3700,14.9600,14.9600,14.9600,110114,0.0000,1.0000
2019-06-25,15.6100,15.6500,15.2400,15.2800,15.2800,76036,0.0000,1.0000
2019-06-24,15.7600,15.8800,15.5973,15.6500,15.6500,52636,0.0000,1.0000
2019-06-21,15.7100,15.9800,15.5300,15.8400,15.8400,161077,0.0000,1.0000
2019-06-20,15.8900,15.9900,15.5600,15.7600,15.7600,89365,0.0000,1.0000
2019-06-19,15.7600,15.8100,15.6100,15.7400,15.7400,117696,0.0000,1.0000
2019-06-18,16.0500,16.1500,15.7300,15.7500,15.7500,123489,0.0000,1.0000
2019-06-17,15.7800,16.2500,15.7300,15.8000,15.8000,133903,0.0000,1.0000
2019-06-14,15.6200,15.9400,15.4700,15.9300,15.9300,171472,0.0000,1.0000
2019-06-13,15.2900,15.6500,15.2500,15.6200,15.6200,128694,0.0000,1.0000
2019-06-12,15.1400,15.3700,15.0300,15.1700,15.1700,93574,0.0000,1.0000
2019-06-11,15.0100,15.2800,14.9100,15.2500,15.2500,128421,0.0000,1.0000
2019-06-10,15.0300,15.2750,14.9000,15.0000,15.0000,95648,0.0000,1.0000
2019-06-07,14.7600,15.1700,14.7600,14.9900,14.9900,79261,0.0000,1.0000
2019-06-06,14.7300,14.8800,14.4500,14.7500,14.7500,74617,0.0000,1.0000
2019-06-05,14.4800,14.7900,14.4324,14.7400,14.7400,118947,0.0000,1.0000
2019-06-04,14.3900,14.4300,14.1000,14.4000,14.4000,101001,0.0000,1.0000
2019-06-03,14.7500,14.8100,14.1300,14.2100,14.2100,149767,0.0000,1.0000
2019-05-31,15.0000,15.1200,14.8413,14.9600,14.9600,93025,0.0000,1.0000
2019-05-30,15.1500,15.5900,14.9600,15.1200,15.1200,188050,0.0000,1.0000
2019-05-29,15.1200,15.1200,14.7000,14.8100,14.8100,166281,0.0000,1.0000
2019-05-28,15.4200,15.4900,14.8900,15.0600,15.0600,127602,0.0000,1.0000
2019-05-24,15.6100,15.7880,15.1100,15.3200,15.3200,89541,0.0000,1.0000
2019-05-23,15.5100,15.8300,15.3700,15.6000,15.6000,170159,0.0000,1.0000
2019-05-22,15.1600,15.8000,15.1600,15.7300,15.7300,225302,0.0000,1.0000
2019-05-21,14.7000,15.2400,14.5900,15.2000,15.2000,181045,0.0000,1.0000
2019-05-20,14.3100,14.7800,14.3100,14.4900,14.4900,245461,0.0000,1.0000
2019-05-17,14.5300,14.6900,14.4300,14.6200,14.6200,123270,0.0000,1.0000
2019-05-16,14.4200,14.8400,14.4100,14.7200,14.7200,148015,0.0000,1.0000
2019-05-15,13.8000,14.3000,13.8000,14.2300,14.2300,207794,0.0000,1.0000
2019-05-14,14.0000,14.0700,13.7100,13.8800,13.8800,118510,0.0000,1.0000
2019-05-13,14.0000,14.0300,13.6000,13.7300,13.7300,225512,0.0000,1.0000
2019-05-10,14.1100,14.3900,13.9990,14.3500,14.3500,133367,0.0000,1.0000
2019-05-09,14.0600,14.3800,13.7700,14.1700,14.1700,189311,0.0000,1.0000
2019-05-08,14.4400,14.5600,14.2200,14.2700,14.2700,140988,0.0000,1.0000
2019-05-07,14.6000,14.6900,14.2700,14.4300,14.4300,208019,0.0000,1.0000
2019-05-06,14.6700,15.1000,14.6300,14.7300,14.7300,278782,0.0000,1.0000
2019-05-03,14.8000,14.9699,14.5900,14.7700,14.7700,207049,0.0000,1.0000
2019-05-02,14.6300,14.8100,14.5500,14.7500,14.7500,153159,0.0000,1.0000
2019-05-01,14.3200,14.7799,14.2400,14.5500,14.5500,522450,0.0000,1.0000
2019-04-30,16.9400,16.9550,13.7200,14.0900,14.0900,1547610,0.0000,1.0000
2019-04-29,16.7600,16.7600,16.4300,16.5800,16.5800,203652,0.0000,1.0000
2019-04-26,16.6600,16.6600,16.1800,16.5400,16.5400,142885,0.0000,1.0000
2019-04-25,16.8400,16.8400,16.4100,16.6700,16.6700,128316,0.0000,1.0000
2019-04-24,17.2800,17.4400,16.7600,16.8900,16.8900,224363,0.0000,1.0000
2019-04-23,16.1100,17.1000,16.1100,16.9900,16.9900,423419,0.0000,1.0000
2019-04-22,16.1000,16.3100,15.9200,16.2400,16.2400,97106,0.0000,1.0000
2019-04-18,15.4800,16.1100,15.4800,16.0200,16.0200,185166,0.0000,1.0000
2019-04-17,15.7300,15.7500,15.2800,15.5400,15.5400,166755,0.0000,1.0000
2019-04-16,16.0500,16.0850,15.6100,15.7300,15.7300,75339,0.0000,1.0000
2019-04-15,15.6700,15.8100,15.5450,15.8100,15.8100,129502,0.0000,1.0000
2019-04-12,15.7200,15.8500,15.6010,15.6700,15.6700,149045,0.0000,1.0000
2019-04-11,16.2100,16.2356,15.7000,15.7400,15.7400,120007,0.0000,1.0000
2019-04-10,16.1200,16.3200,15.9900,16.1700,16.1700,142611,0.0000,1.0000
2019-04-09,16.0300,16.0450,15.6100,15.9800,15.9800,157511,0.0000,1.0000
2019-04-08,15.7700,16.1400,15.7000,16.0600,16.0600,216949,0.0000,1.0000
2019-04-05,15.2700,15.7500,15.2100,15.6200,15.6200,205172,0.0000,1.0000
2019-04-04,15.4400,15.5800,15.1867,15.3300,15.3300,165995,0.0000,1.0000
2019-04-03,15.8000,16.3550,15.4300,15.5500,15.5500,433948,0.0000,1.0000
2019-04-02,14.3250,15.7200,14.3000,15.6900,15.6900,688237,0.0000,1.0000
2019-04-01,14.1500,14.3300,14.1200,14.2500,14.2500,183527,0.0000,1.0000
