timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,2.6300,2.6300,2.5200,2.5200,2.5200,143766,0.0000,1.0000
2019-07-26,2.5700,2.7100,2.5350,2.5500,2.5500,293655,0.0000,1.0000
2019-07-25,2.6700,2.7300,2.5500,2.5500,2.5500,297194,0.0000,1.0000
2019-07-24,2.6300,2.7600,2.5600,2.6400,2.6400,808333,0.0000,1.0000
2019-07-23,2.5800,2.5900,2.4900,2.5200,2.5200,382719,0.0000,1.0000
2019-07-22,2.5500,2.6100,2.5000,2.5700,2.5700,393506,0.0000,1.0000
2019-07-19,2.8500,2.8500,2.5000,2.5400,2.5400,1148712,0.0000,1.0000
2019-07-18,3.0400,3.0400,2.7200,2.8200,2.8200,847874,0.0000,1.0000
2019-07-17,3.0200,3.3350,3.0044,3.0600,3.0600,1063848,0.0000,1.0000
2019-07-16,3.0500,3.1500,3.0100,3.0300,3.0300,411996,0.0000,1.0000
2019-07-15,3.2200,3.2400,3.0600,3.0800,3.0800,466510,0.0000,1.0000
2019-07-12,3.2200,3.2700,3.1900,3.2200,3.2200,395363,0.0000,1.0000
2019-07-11,3.2600,3.3300,3.1800,3.2100,3.2100,426092,0.0000,1.0000
2019-07-10,3.3200,3.3500,3.1400,3.2800,3.2800,539833,0.0000,1.0000
2019-07-09,3.3200,3.4400,3.2400,3.3300,3.3300,358990,0.0000,1.0000
2019-07-08,3.4400,3.4431,3.3000,3.3600,3.3600,432540,0.0000,1.0000
2019-07-05,3.7300,3.7400,3.3850,3.4700,3.4700,888801,0.0000,1.0000
2019-07-03,3.8800,3.9900,3.7500,3.8100,3.8100,277012,0.0000,1.0000
2019-07-02,3.8200,4.0900,3.6500,3.9000,3.9000,1627496,0.0000,1.0000
2019-07-01,3.4600,3.8900,3.4000,3.8400,3.8400,1411594,0.0000,1.0000
2019-06-28,3.2900,3.5400,3.2400,3.3700,3.3700,5162306,0.0000,1.0000
2019-06-27,3.2100,3.3000,3.1300,3.2200,3.2200,403385,0.0000,1.0000
2019-06-26,3.3300,3.3700,3.1500,3.2300,3.2300,341643,0.0000,1.0000
2019-06-25,3.2500,3.3800,3.2300,3.3000,3.3000,296433,0.0000,1.0000
2019-06-24,3.4000,3.4100,3.2100,3.2300,3.2300,434637,0.0000,1.0000
2019-06-21,3.3000,3.4600,3.2200,3.4000,3.4000,535691,0.0000,1.0000
2019-06-20,3.2900,3.3400,3.2100,3.2900,3.2900,375734,0.0000,1.0000
2019-06-19,3.3100,3.4100,3.1300,3.2500,3.2500,415593,0.0000,1.0000
2019-06-18,3.2100,3.4000,3.1500,3.2800,3.2800,660751,0.0000,1.0000
2019-06-17,3.1000,3.1800,3.0300,3.1400,3.1400,304528,0.0000,1.0000
2019-06-14,3.2800,3.3400,2.9800,3.0600,3.0600,439299,0.0000,1.0000
2019-06-13,3.2500,3.3600,3.1800,3.2900,3.2900,291579,0.0000,1.0000
2019-06-12,3.1900,3.3500,3.1400,3.2300,3.2300,340894,0.0000,1.0000
