timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,1.3000,1.3148,1.3000,1.3039,1.3039,27807,0.0000,1.0000
2019-07-26,1.3300,1.3300,1.2700,1.2750,1.2750,122569,0.0000,1.0000
2019-07-25,1.3400,1.3800,1.2900,1.3200,1.3200,65523,0.0000,1.0000
2019-07-24,1.3400,1.3400,1.3100,1.3300,1.3300,43564,0.0000,1.0000
2019-07-23,1.3200,1.3300,1.2945,1.3000,1.3000,57946,0.0000,1.0000
2019-07-22,1.3200,1.3200,1.2700,1.3200,1.3200,123225,0.0000,1.0000
2019-07-19,1.2800,1.4199,1.2742,1.3200,1.3200,94974,0.0000,1.0000
2019-07-18,1.3500,1.3600,1.1600,1.2400,1.2400,388202,0.0000,1.0000
2019-07-17,1.4000,1.4200,1.3500,1.3500,1.3500,116677,0.0000,1.0000
2019-07-16,1.4600,1.4700,1.4000,1.4161,1.4161,178289,0.0000,1.0000
2019-07-15,1.4500,1.5100,1.4200,1.4600,1.4600,283539,0.0000,1.0000
2019-07-12,1.4400,1.5400,1.4100,1.4200,1.4200,361071,0.0000,1.0000
2019-07-11,1.3500,1.4000,1.3300,1.4000,1.4000,214318,0.0000,1.0000
2019-07-10,1.3000,1.3299,1.3000,1.3100,1.3100,121746,0.0000,1.0000
2019-07-09,1.3400,1.3500,1.2764,1.3000,1.3000,140074,0.0000,1.0000
2019-07-08,1.3700,1.5000,1.2900,1.3700,1.3700,372962,0.0000,1.0000
2019-07-05,1.2900,1.3400,1.2700,1.3331,1.3331,414095,0.0000,1.0000
2019-07-03,1.1800,1.2700,1.1800,1.2400,1.2400,283665,0.0000,1.0000
2019-07-02,1.1600,1.1700,1.1395,1.1700,1.1700,88643,0.0000,1.0000
2019-07-01,1.1700,1.1700,1.1500,1.1600,1.1600,64200,0.0000,1.0000
2019-06-28,1.1600,1.1700,1.1500,1.1600,1.1600,81820,0.0000,1.0000
2019-06-27,1.1300,1.1500,1.1248,1.1500,1.1500,56729,0.0000,1.0000
2019-06-26,1.1400,1.1600,1.1100,1.1200,1.1200,93734,0.0000,1.0000
2019-06-25,1.1400,1.1500,1.1100,1.1400,1.1400,67608,0.0000,1.0000
2019-06-24,1.1300,1.1500,1.1000,1.1235,1.1235,62640,0.0000,1.0000
2019-06-21,1.1000,1.1500,1.1000,1.1201,1.1201,90126,0.0000,1.0000
2019-06-20,1.0900,1.1200,1.0774,1.1000,1.1000,103236,0.0000,1.0000
2019-06-19,1.0700,1.1000,1.0700,1.0900,1.0900,63989,0.0000,1.0000
2019-06-18,1.0800,1.1000,1.0600,1.0700,1.0700,72104,0.0000,1.0000
2019-06-17,1.0500,1.0964,1.0500,1.0700,1.0700,72011,0.0000,1.0000
2019-06-14,1.0700,1.1100,1.0500,1.0800,1.0800,101939,0.0000,1.0000
2019-06-13,1.0800,1.0900,1.0401,1.0700,1.0700,158907,0.0000,1.0000
2019-06-12,1.0900,1.0946,1.0700,1.0800,1.0800,38554,0.0000,1.0000
2019-06-11,1.1100,1.1200,1.0500,1.0999,1.0999,208501,0.0000,1.0000
2019-06-10,1.1300,1.1300,1.0900,1.1200,1.1200,103221,0.0000,1.0000
2019-06-07,1.1000,1.1400,1.1000,1.1117,1.1117,92420,0.0000,1.0000
2019-06-06,1.1600,1.1600,1.0800,1.1078,1.1078,138889,0.0000,1.0000
2019-06-05,1.0800,1.1600,1.0800,1.1600,1.1600,143574,0.0000,1.0000
2019-06-04,1.0600,1.0800,1.0100,1.0800,1.0800,112331,0.0000,1.0000
2019-06-03,1.0800,1.1000,1.0450,1.0500,1.0500,114760,0.0000,1.0000
2019-05-31,1.0600,1.0900,1.0400,1.0800,1.0800,69584,0.0000,1.0000
2019-05-30,1.0800,1.0900,1.0400,1.0600,1.0600,156790,0.0000,1.0000
2019-05-29,1.0900,1.1100,1.0800,1.1100,1.1100,83150,0.0000,1.0000
2019-05-28,1.0900,1.1240,1.0900,1.1000,1.1000,70114,0.0000,1.0000
2019-05-24,1.1000,1.1300,1.1000,1.1000,1.1000,52421,0.0000,1.0000
2019-05-23,1.1000,1.1200,1.0900,1.1000,1.1000,134174,0.0000,1.0000
2019-05-22,1.1400,1.1469,1.0900,1.1100,1.1100,371161,0.0000,1.0000
2019-05-21,1.1400,1.1500,1.1200,1.1300,1.1300,83342,0.0000,1.0000
2019-05-20,1.1300,1.1462,1.1200,1.1300,1.1300,90063,0.0000,1.0000
2019-05-17,1.1400,1.1600,1.1300,1.1300,1.1300,100585,0.0000,1.0000
2019-05-16,1.1600,1.1700,1.1200,1.1500,1.1500,86732,0.0000,1.0000
2019-05-15,1.1900,1.1900,1.1500,1.1500,1.1500,140044,0.0000,1.0000
2019-05-14,1.1700,1.1900,1.1500,1.1900,1.1900,118397,0.0000,1.0000
2019-05-13,1.1700,1.1700,1.1300,1.1500,1.1500,91397,0.0000,1.0000
2019-05-10,1.1600,1.1800,1.1418,1.1800,1.1800,98363,0.0000,1.0000
2019-05-09,1.2000,1.2000,1.1300,1.1600,1.1600,165250,0.0000,1.0000
2019-05-08,1.1300,1.1400,1.1000,1.1100,1.1100,125736,0.0000,1.0000
2019-05-07,1.1300,1.1300,1.1090,1.1300,1.1300,126316,0.0000,1.0000
2019-05-06,1.1200,1.1300,1.1000,1.1200,1.1200,73690,0.0000,1.0000
2019-05-03,1.1100,1.1300,1.1000,1.1100,1.1100,109921,0.0000,1.0000
2019-05-02,1.2100,1.2100,1.0900,1.1200,1.1200,215707,0.0400,1.0000
2019-05-01,1.2100,1.2400,1.2000,1.2200,1.1779,201986,0.0000,1.0000
2019-04-30,1.2200,1.2600,1.2000,1.2000,1.1586,204812,0.0000,1.0000
2019-04-29,1.2000,1.2400,1.1900,1.2100,1.1683,305110,0.0000,1.0000
2019-04-26,1.1700,1.2000,1.1600,1.2000,1.1586,163688,0.0000,1.0000
2019-04-25,1.1800,1.2000,1.1500,1.1600,1.1200,275188,0.0000,1.0000
2019-04-24,1.1900,1.2000,1.1701,1.1900,1.1490,147265,0.0000,1.0000
2019-04-23,1.1400,1.2000,1.1101,1.1900,1.1490,366735,0.0000,1.0000
2019-04-22,1.1000,1.1700,1.0900,1.1400,1.1007,218366,0.0000,1.0000
2019-04-18,1.1100,1.1241,1.0500,1.0800,1.0428,155218,0.0000,1.0000
2019-04-17,1.1700,1.1700,1.0700,1.1000,1.0621,214343,0.0000,1.0000
2019-04-16,1.2500,1.2500,1.1450,1.1600,1.1200,346362,0.0000,1.0000
2019-04-15,1.2300,1.2500,1.1200,1.2300,1.1876,460946,0.0000,1.0000
2019-04-12,1.1200,1.2200,1.1000,1.2000,1.1586,471127,0.0000,1.0000
2019-04-11,1.0400,1.1699,1.0300,1.1100,1.0717,514259,0.0000,1.0000
2019-04-10,1.0300,1.0400,1.0200,1.0300,0.9945,148112,0.0000,1.0000
2019-04-09,1.0300,1.0400,1.0200,1.0300,0.9945,100488,0.0000,1.0000
2019-04-08,1.0400,1.0400,1.0200,1.0400,1.0041,193976,0.0000,1.0000
2019-04-05,1.0400,1.0400,1.0100,1.0400,1.0041,236603,0.0000,1.0000
2019-04-04,1.0500,1.0500,1.0300,1.0400,1.0041,109454,0.0000,1.0000
2019-04-03,1.0400,1.0500,1.0100,1.0200,0.9848,284442,0.0000,1.0000
2019-04-02,1.0600,1.0600,1.0200,1.0400,1.0041,279399,0.0000,1.0000
2019-04-01,1.0400,1.0600,1.0200,1.0500,1.0138,261807,0.0000,1.0000
2019-03-29,1.0600,1.0700,1.0200,1.0300,0.9945,348300,0.0000,1.0000
2019-03-28,1.0800,1.0900,1.0300,1.0600,1.0234,698488,0.0000,1.0000
2019-03-27,1.0400,1.0800,1.0200,1.0700,1.0331,524002,0.0000,1.0000
2019-03-26,1.0300,1.0500,1.0200,1.0300,0.9945,253909,0.0000,1.0000
2019-03-25,1.0600,1.0700,1.0000,1.0300,0.9945,525738,0.0000,1.0000
2019-03-22,1.1000,1.1000,1.0301,1.0600,1.0234,705282,0.0000,1.0000
2019-03-21,1.0400,1.0990,1.0400,1.0600,1.0234,272232,0.0000,1.0000
2019-03-20,1.0900,1.0900,1.0200,1.0400,1.0041,453231,0.0000,1.0000
2019-03-19,1.1000,1.1400,1.0600,1.0800,1.0428,359955,0.0000,1.0000
2019-03-18,1.0700,1.1064,1.0600,1.0800,1.0428,260572,0.0000,1.0000
2019-03-15,1.1100,1.1100,1.0400,1.0600,1.0234,698444,0.0000,1.0000
2019-03-14,1.1400,1.1425,1.0900,1.1100,1.0717,937980,0.0000,1.0000
2019-03-13,1.1500,1.1800,1.0700,1.0900,1.0524,551500,0.0000,1.0000
2019-03-12,1.2000,1.2100,1.1300,1.1600,1.1200,442163,0.0000,1.0000
2019-03-11,1.1700,1.1799,1.1100,1.1300,1.0910,406495,0.0000,1.0000
2019-03-08,1.1200,1.1900,1.1100,1.1400,1.1007,304959,0.0000,1.0000
2019-03-07,1.2400,1.2400,1.1199,1.1400,1.1007,531375,0.0000,1.0000
2019-03-06,1.2200,1.2300,1.1700,1.1900,1.1490,203990,0.0000,1.0000
