timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,24.0400,24.0400,24.0400,24.0400,24.0400,2091,0.0000,1.0000
2019-07-26,24.0000,24.0500,23.9400,24.0400,24.0400,7736,0.0000,1.0000
2019-07-25,24.0000,24.0000,23.8901,24.0000,24.0000,7050,0.0000,1.0000
2019-07-24,23.9100,24.0700,23.8100,23.9900,23.9900,10933,0.0000,1.0000
2019-07-23,23.8400,23.8900,23.7200,23.8900,23.8900,8098,0.0000,1.0000
2019-07-22,23.6100,23.7242,23.5000,23.7200,23.7200,12213,0.0000,1.0000
2019-07-19,23.8200,23.8618,23.7000,23.7100,23.7100,6253,0.0000,1.0000
2019-07-18,23.6200,23.7400,23.5300,23.7400,23.7400,10148,0.0000,1.0000
2019-07-17,23.7200,23.7800,23.6700,23.7800,23.7800,6144,0.0000,1.0000
2019-07-16,23.9000,23.9000,23.7400,23.8608,23.8608,12781,0.0000,1.0000
2019-07-15,23.8000,23.9000,23.8000,23.8595,23.8595,28100,0.0000,1.0000
2019-07-12,23.8600,23.8900,23.7613,23.8800,23.8800,10161,0.0000,1.0000
2019-07-11,23.8800,23.8800,23.6900,23.8600,23.8600,8676,0.0000,1.0000
2019-07-10,23.6400,23.8400,23.6300,23.7688,23.7688,11070,0.0000,1.0000
2019-07-09,23.3800,23.6200,23.3701,23.5800,23.5800,37911,0.0000,1.0000
2019-07-08,23.5000,23.5000,23.3900,23.5000,23.5000,8593,0.0000,1.0000
2019-07-05,23.5500,23.6599,23.5300,23.6407,23.6407,10260,0.0000,1.0000
2019-07-03,23.5400,23.6700,23.5283,23.6700,23.6700,8642,0.0000,1.0000
2019-07-02,23.4800,23.5600,23.4100,23.5156,23.5156,7000,0.0000,1.0000
2019-07-01,23.4900,23.6500,23.3500,23.3700,23.3700,19516,0.0000,1.0000
2019-06-28,23.2100,23.4100,23.1874,23.2000,23.2000,4859,0.0000,1.0000
2019-06-27,23.0300,23.2459,23.0300,23.1810,23.1810,4908,0.0000,1.0000
2019-06-26,22.9100,23.3100,22.9000,23.0000,23.0000,7816,0.0000,1.0000
2019-06-25,23.0700,23.0700,22.6900,22.6900,22.6900,11746,0.2220,1.0000
2019-06-24,23.2800,23.3200,23.1900,23.2400,23.0148,8010,0.0000,1.0000
2019-06-21,23.3000,23.3691,23.2358,23.2680,23.0426,13027,0.0000,1.0000
2019-06-20,23.3900,23.4000,23.1700,23.3700,23.1436,15775,0.0000,1.0000
2019-06-19,23.0100,23.0800,22.9104,23.0800,22.8564,5583,0.0000,1.0000
2019-06-18,22.7800,23.0000,22.7800,22.9300,22.7078,15918,0.0000,1.0000
2019-06-17,22.6200,22.7683,22.6000,22.6050,22.3860,4495,0.0000,1.0000
2019-06-14,22.6100,22.6100,22.4800,22.5400,22.3216,6764,0.0000,1.0000
2019-06-13,22.6900,22.7143,22.6020,22.6600,22.4404,4798,0.0000,1.0000
2019-06-12,22.7400,22.8379,22.6396,22.7728,22.5521,7778,0.0000,1.0000
2019-06-11,23.3700,23.3700,22.8900,22.9300,22.7078,29451,0.0000,1.0000
2019-06-10,22.7600,22.8893,22.7310,22.7310,22.5108,4595,0.0000,1.0000
2019-06-07,22.3400,22.5847,22.3400,22.5814,22.3626,11104,0.0000,1.0000
2019-06-06,22.1100,22.2500,22.1000,22.2500,22.0344,6151,0.0000,1.0000
2019-06-05,22.3200,22.3200,22.0600,22.1558,21.9411,3390,0.0000,1.0000
2019-06-04,21.7700,22.0700,21.7700,22.0700,21.8562,7848,0.0000,1.0000
2019-06-03,21.8300,21.8895,21.5500,21.5700,21.3610,11129,0.0000,1.0000
2019-05-31,21.9700,21.9700,21.8300,21.8800,21.6680,4355,0.0000,1.0000
2019-05-30,22.0800,22.1915,22.0201,22.0800,21.8661,7717,0.0000,1.0000
2019-05-29,22.0700,22.0973,22.0000,22.0250,21.8116,7548,0.0000,1.0000
2019-05-28,22.3500,22.3900,22.2001,22.2001,21.9850,5083,0.0000,1.0000
2019-05-24,22.2500,22.3574,22.1401,22.2200,22.0047,5172,0.0000,1.0000
2019-05-23,22.2100,22.4600,22.0000,22.0659,21.8521,13968,0.0000,1.0000
2019-05-22,22.5500,22.6829,22.5311,22.5712,22.3525,4605,0.0000,1.0000
2019-05-21,22.5100,22.8138,22.5100,22.7500,22.5296,23138,0.0000,1.0000
