timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,19.1300,19.3600,19.1300,19.2500,19.2500,443046,0.0000,1.0000
2019-07-26,19.0700,19.1450,18.9550,19.1100,19.1100,529731,0.0000,1.0000
2019-07-25,19.1200,19.1600,18.9700,19.0400,19.0400,436665,0.0000,1.0000
2019-07-24,18.9200,19.0900,18.8900,19.0600,19.0600,653968,0.0000,1.0000
2019-07-23,18.6000,18.9100,18.5700,18.9100,18.9100,568759,0.0000,1.0000
2019-07-22,18.7000,18.7500,18.5500,18.5800,18.5800,774437,0.0000,1.0000
2019-07-19,18.9600,19.0200,18.7100,18.7100,18.7100,1050956,0.0000,1.0000
2019-07-18,18.8100,18.9800,18.7293,18.9300,18.9300,668880,0.0000,1.0000
2019-07-17,18.8500,18.9550,18.7200,18.8300,18.8300,745512,0.0000,1.0000
2019-07-16,19.0000,19.0200,18.7700,18.8100,18.8100,692340,0.0000,1.0000
2019-07-15,19.1100,19.2700,18.9500,19.0000,19.0000,855211,0.0000,1.0000
2019-07-12,18.9100,19.1300,18.8700,19.0900,19.0900,962832,0.0000,1.0000
2019-07-11,19.2500,19.3000,18.9100,18.9100,18.9100,1003822,0.0000,1.0000
2019-07-10,19.4000,19.4600,19.2300,19.2900,19.2900,523516,0.0000,1.0000
2019-07-09,19.2800,19.3650,19.2300,19.3600,19.3600,499286,0.0000,1.0000
2019-07-08,19.3100,19.3700,19.2250,19.3400,19.3400,603270,0.0000,1.0000
2019-07-05,19.1100,19.3200,19.0200,19.3100,19.3100,626984,0.0000,1.0000
2019-07-03,19.0200,19.2500,19.0100,19.2300,19.2300,592180,0.0000,1.0000
2019-07-02,18.7600,19.0900,18.7600,19.0000,19.0000,971128,0.0000,1.0000
2019-07-01,19.1000,19.1500,18.7000,18.7700,18.7700,971465,0.0000,1.0000
2019-06-28,18.9000,18.9600,18.8300,18.8900,18.8900,4251150,0.0000,1.0000
2019-06-27,18.7000,18.9800,18.6900,18.8500,18.8500,2095118,0.0000,1.0000
2019-06-26,19.2300,19.2500,18.6700,18.6800,18.6800,1594099,0.0000,1.0000
2019-06-25,19.4500,19.5800,19.1500,19.1600,19.1600,1518980,0.0000,1.0000
2019-06-24,19.5200,19.5800,19.4400,19.4600,19.4600,1452528,0.0000,1.0000
2019-06-21,19.5500,19.5900,19.3800,19.5700,19.5700,2983232,0.0000,1.0000
2019-06-20,19.2900,19.6300,19.2400,19.6100,19.6100,2365563,0.0000,1.0000
2019-06-19,18.9000,19.2700,18.8250,19.2200,19.2200,1880484,0.0000,1.0000
2019-06-18,18.8000,18.9500,18.7400,18.8400,18.8400,1535910,0.0000,1.0000
2019-06-17,18.5300,18.7000,18.4800,18.6500,18.6500,2120057,0.0000,1.0000
2019-06-14,18.8100,18.8400,18.4800,18.5300,18.5300,2105636,0.0000,1.0000
2019-06-13,18.7300,18.8800,18.6600,18.8800,18.8800,1002832,0.0000,1.0000
2019-06-12,18.9400,19.0000,18.7000,18.7000,18.7000,1630984,0.0000,1.0000
2019-06-11,18.8600,18.9700,18.7100,18.9100,18.9100,1552280,0.0000,1.0000
2019-06-10,19.1500,19.1700,18.5600,18.7900,18.7900,2700219,0.0000,1.0000
2019-06-07,19.2100,19.3400,19.0850,19.1000,19.1000,1419627,0.0000,1.0000
2019-06-06,18.9800,19.2000,18.6900,19.1500,19.1500,3333809,0.0000,1.0000
2019-06-05,18.9400,19.0000,18.8150,18.9400,18.9400,1786951,0.0000,1.0000
2019-06-04,18.2900,18.8900,18.2900,18.8400,18.8400,2319659,0.0000,1.0000
