timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,10.0900,10.1596,10.0900,10.1300,10.1300,856,0.0000,1.0000
2019-07-26,10.0100,10.4400,10.0100,10.4400,10.4400,4606,0.0000,1.0000
2019-07-25,10.0400,10.1500,10.0114,10.1500,10.1500,1592,0.0000,1.0000
2019-07-24,9.9000,10.1500,9.9000,10.1500,10.1500,1621,0.0000,1.0000
2019-07-23,9.9800,9.9800,9.8100,9.9600,9.9600,4957,0.0000,1.0000
2019-07-22,9.9600,10.1450,9.9000,10.0500,10.0500,23205,0.0000,1.0000
2019-07-19,10.4500,10.4500,10.1500,10.1765,10.1765,2131,0.0000,1.0000
2019-07-18,10.1600,10.4500,10.1000,10.1500,10.1500,35543,0.0000,1.0000
2019-07-17,9.7200,10.3650,9.7000,10.2800,10.2800,9074,0.0000,1.0000
2019-07-16,9.8900,10.0800,9.8900,10.0000,10.0000,3217,0.0000,1.0000
2019-07-15,10.2030,10.3500,9.5101,10.1003,10.1003,5776,0.0000,1.0000
2019-07-12,10.4075,10.4075,10.4075,10.4075,10.4075,231,0.0000,1.0000
2019-07-11,10.2600,10.5000,10.0700,10.0700,10.0700,829,0.0000,1.0000
2019-07-10,10.3690,10.3690,10.3000,10.3439,10.3439,1095,0.0000,1.0000
2019-07-09,10.4700,10.5100,10.3516,10.5100,10.5100,5733,0.0000,1.0000
2019-07-08,10.4300,10.5000,10.2204,10.5000,10.5000,1744,0.0000,1.0000
2019-07-05,10.1000,10.2734,10.0262,10.2734,10.2734,784,0.0000,1.0000
2019-07-03,10.2712,10.2712,9.9900,10.2000,10.2000,3954,0.0000,1.0000
2019-07-02,10.4497,10.8500,10.4497,10.7995,10.7995,1488,0.0000,1.0000
2019-07-01,10.8000,10.8000,10.2600,10.5474,10.5474,62579,0.0000,1.0000
2019-06-28,10.2500,10.4877,10.2010,10.4877,10.4877,3639,0.0000,1.0000
2019-06-27,10.3100,10.4700,10.2500,10.2550,10.2550,2612,0.0000,1.0000
2019-06-26,10.2450,10.3800,10.2000,10.3800,10.3800,9187,0.0000,1.0000
2019-06-25,10.4700,10.4700,10.1726,10.3047,10.3047,10747,0.0000,1.0000
2019-06-24,10.3500,10.4960,10.2500,10.4900,10.4900,12461,0.0000,1.0000
2019-06-21,10.3500,10.3500,9.8301,10.2500,10.2500,15528,0.0000,1.0000
2019-06-20,9.7700,10.2850,9.7700,10.2500,10.2500,23496,0.0000,1.0000
2019-06-19,9.3700,9.5000,9.0000,9.4100,9.4100,9184,0.0000,1.0000
2019-06-18,9.1000,9.2900,9.0200,9.2900,9.2900,8307,0.0000,1.0000
2019-06-17,8.9100,9.0000,8.8500,9.0000,9.0000,8179,0.0000,1.0000
2019-06-14,8.5900,8.6937,8.5300,8.6600,8.6600,9362,0.0000,1.0000
2019-06-13,8.9900,8.9900,8.5727,8.7000,8.7000,5189,0.0000,1.0000
2019-06-12,8.0000,9.5000,8.0000,8.8900,8.8900,10129,0.0000,1.0000
2019-06-11,9.4000,9.4000,9.1000,9.1000,9.1000,4790,0.0000,1.0000
2019-06-10,9.6600,9.8255,9.5500,9.5500,9.5500,2094,0.0000,1.0000
2019-06-07,9.5500,9.8276,9.5000,9.6782,9.6782,994,0.0000,1.0000
2019-06-06,9.8000,9.9320,9.7100,9.9320,9.9320,5167,0.0000,1.0000
2019-06-05,9.8100,9.9400,9.8000,9.9400,9.9400,4120,0.0000,1.0000
2019-06-04,9.9300,10.0498,9.8400,9.9100,9.9100,25540,0.0000,1.0000
2019-06-03,9.8800,10.5400,9.8000,10.1000,10.1000,30334,0.0000,1.0000
2019-05-31,9.8000,10.2700,9.7500,10.2700,10.2700,5087,0.0000,1.0000
2019-05-30,9.8600,10.1200,9.8500,10.0605,10.0605,5784,0.0000,1.0000
2019-05-29,9.7300,10.2400,9.5000,10.1800,10.1800,13951,0.0000,1.0000
2019-05-28,10.2100,10.5450,10.0800,10.5450,10.5450,11223,0.0000,1.0000
2019-05-24,10.7600,10.8800,10.3738,10.8800,10.8800,6662,0.0000,1.0000
2019-05-23,10.5000,10.7000,10.3800,10.6800,10.6800,17300,0.0000,1.0000
2019-05-22,10.8400,10.8900,10.5778,10.8275,10.8275,8390,0.0000,1.0000
2019-05-21,10.8300,10.8800,10.6682,10.8500,10.8500,3471,0.0000,1.0000
2019-05-20,10.8900,10.9950,10.5200,10.5500,10.5500,23892,0.0000,1.0000
2019-05-17,10.8138,10.9950,10.8000,10.8817,10.8817,5455,0.0000,1.0000
2019-05-16,11.0300,11.1000,10.8000,10.8200,10.8200,11969,0.0000,1.0000
2019-05-15,10.7300,10.8700,10.7300,10.8000,10.8000,7419,0.0000,1.0000
2019-05-14,10.5300,10.7999,10.5000,10.7100,10.7100,18874,0.0000,1.0000
2019-05-13,10.6600,10.8100,10.3000,10.3800,10.3800,18104,0.0000,1.0000
2019-05-10,10.8240,10.8800,10.5000,10.8000,10.8000,14531,0.0000,1.0000
2019-05-09,10.8269,10.8793,10.7500,10.8165,10.8165,7119,0.0000,1.0000
2019-05-08,10.9194,11.0047,10.7801,10.8640,10.8640,3349,0.0000,1.0000
2019-05-07,10.9700,11.0100,10.7893,11.0100,11.0100,6366,0.0000,1.0000
2019-05-06,10.8100,11.0950,10.8100,11.0300,11.0300,19735,0.0000,1.0000
2019-05-03,11.0100,11.0800,11.0000,11.0800,11.0800,11800,0.0000,1.0000
2019-05-02,11.0000,11.1400,11.0000,11.0300,11.0300,30287,0.0000,1.0000
2019-05-01,10.8300,11.0400,10.8300,11.0000,11.0000,22378,0.0000,1.0000
2019-04-30,10.8800,10.9500,10.7879,10.8700,10.8700,14644,0.0000,1.0000
2019-04-29,11.0000,11.0250,10.8700,10.8700,10.8700,8350,0.0000,1.0000
