timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,9.9000,9.9000,9.9000,9.9000,9.9000,300,0.0000,1.0000
2019-07-26,10.1500,10.1500,10.0000,10.0000,10.0000,300,0.0000,1.0000
2019-07-25,9.8300,9.8300,9.8300,9.8300,9.8300,0,0.0000,1.0000
2019-07-24,9.9000,9.9000,9.8300,9.8300,9.8300,11690,0.0000,1.0000
2019-07-23,9.8400,9.8400,9.8400,9.8400,9.8400,0,0.0000,1.0000
2019-07-22,9.9700,9.9700,9.8400,9.8400,9.8400,403,0.0000,1.0000
2019-07-19,9.8300,9.8300,9.8300,9.8300,9.8300,1,0.0000,1.0000
2019-07-18,9.8200,9.8300,9.8200,9.8300,9.8300,245266,0.0000,1.0000
2019-07-17,9.8200,9.8200,9.8200,9.8200,9.8200,0,0.0000,1.0000
2019-07-16,9.8200,9.8200,9.8200,9.8200,9.8200,0,0.0000,1.0000
2019-07-15,10.3200,10.3200,9.8200,9.8200,9.8200,366,0.0000,1.0000
2019-07-12,9.8200,9.8300,9.8200,9.8300,9.8300,5200,0.0000,1.0000
2019-07-11,9.8200,9.8200,9.8200,9.8200,9.8200,0,0.0000,1.0000
2019-07-10,9.8300,9.8300,9.8200,9.8200,9.8200,2013,0.0000,1.0000
2019-07-09,9.8400,9.8400,9.8400,9.8400,9.8400,0,0.0000,1.0000
2019-07-08,9.8499,9.8500,9.8200,9.8400,9.8400,11050,0.0000,1.0000
2019-07-05,9.8200,9.8200,9.8200,9.8200,9.8200,0,0.0000,1.0000
2019-07-03,9.8200,9.8200,9.8200,9.8200,9.8200,0,0.0000,1.0000
2019-07-02,9.8200,9.8200,9.8200,9.8200,9.8200,3225,0.0000,1.0000
2019-07-01,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2019-06-28,9.8500,9.8500,9.8500,9.8500,9.8500,1532,0.0000,1.0000
2019-06-27,9.8500,9.8500,9.8500,9.8500,9.8500,5700,0.0000,1.0000
2019-06-26,9.8390,9.8400,9.8338,9.8338,9.8338,2000,0.0000,1.0000
2019-06-25,9.8000,9.8000,9.8000,9.8000,9.8000,9700,0.0000,1.0000
2019-06-24,9.8400,9.8400,9.8400,9.8400,9.8400,0,0.0000,1.0000
2019-06-21,9.8400,9.8400,9.8400,9.8400,9.8400,0,0.0000,1.0000
2019-06-20,9.8400,9.8400,9.8200,9.8400,9.8400,173322,0.0000,1.0000
2019-06-18,9.8500,9.8500,9.8250,9.8400,9.8400,1240,0.0000,1.0000
2019-06-17,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,1.0000
2019-06-14,9.8500,9.8500,9.8400,9.8500,9.8500,563,0.0000,1.0000
2019-06-13,9.8500,9.9000,9.8451,9.8800,9.8800,64649,0.0000,1.0000
2019-06-12,9.8200,9.8200,9.8200,9.8200,9.8200,0,0.0000,1.0000
2019-06-11,9.8200,9.8200,9.8200,9.8200,9.8200,304,0.0000,1.0000
2019-06-07,9.8100,9.8200,9.8100,9.8200,9.8200,12000,0.0000,1.0000
2019-06-06,9.7900,9.8100,9.7900,9.8100,9.8100,25398,0.0000,1.0000
2019-06-05,9.7879,9.8000,9.7700,9.8000,9.8000,53900,0.0000,1.0000
2019-06-04,9.7800,9.7800,9.7800,9.7800,9.7800,1300,0.0000,1.0000
2019-06-03,9.7600,9.7600,9.7600,9.7600,9.7600,1048,0.0000,1.0000
2019-05-31,9.7800,9.7800,9.7800,9.7800,9.7800,24100,0.0000,1.0000
2019-05-30,9.7800,9.7800,9.7800,9.7800,9.7800,0,0.0000,1.0000
2019-05-29,9.7800,9.7800,9.7800,9.7800,9.7800,0,0.0000,1.0000
2019-05-28,9.8100,9.8100,9.7800,9.7800,9.7800,60600,0.0000,1.0000
2019-05-24,9.7700,9.7700,9.7700,9.7700,9.7700,0,0.0000,1.0000
2019-05-23,9.7700,9.7700,9.7700,9.7700,9.7700,10000,0.0000,1.0000
2019-05-22,9.7700,9.7700,9.7700,9.7700,9.7700,0,0.0000,1.0000
2019-05-21,9.7700,9.7700,9.7700,9.7700,9.7700,0,0.0000,1.0000
2019-05-20,9.7100,9.7700,9.7100,9.7700,9.7700,400,0.0000,1.0000
2019-05-17,9.7600,9.7600,9.7600,9.7600,9.7600,50000,0.0000,1.0000
