timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,6.8300,7.1500,7.1500,7.1500,7.1500,525,0.0000,1.0000
2019-07-29,6.8300,7.2000,6.8300,7.1400,7.1400,41807,0.0000,1.0000
2019-07-26,6.7300,6.8900,6.7001,6.8200,6.8200,14903,0.0000,1.0000
2019-07-25,7.0300,7.1200,6.7200,6.8100,6.8100,34820,0.0000,1.0000
2019-07-24,7.0600,7.1700,6.9000,7.1000,7.1000,19785,0.0000,1.0000
2019-07-23,7.1500,7.2400,6.8700,7.1000,7.1000,37375,0.0000,1.0000
2019-07-22,7.1200,7.2900,7.1000,7.1400,7.1400,45943,0.0000,1.0000
2019-07-19,7.2000,7.4400,7.0800,7.1100,7.1100,42282,0.0000,1.0000
2019-07-18,7.4500,7.5100,7.2100,7.3100,7.3100,36968,0.0000,1.0000
2019-07-17,7.5000,7.5000,7.3000,7.4100,7.4100,21899,0.0000,1.0000
2019-07-16,7.4300,7.6800,7.3800,7.4300,7.4300,41034,0.0000,1.0000
2019-07-15,7.5600,7.7500,7.3100,7.4500,7.4500,48180,0.0000,1.0000
2019-07-12,7.6000,7.6800,7.4100,7.4900,7.4900,39009,0.0000,1.0000
2019-07-11,7.6600,7.8100,7.4200,7.6000,7.6000,47252,0.0000,1.0000
2019-07-10,7.7900,7.7900,7.5200,7.7000,7.7000,55649,0.0000,1.0000
2019-07-09,7.4500,7.6600,7.3000,7.5800,7.5800,83100,0.0000,1.0000
2019-07-08,7.4700,7.7000,7.3458,7.4400,7.4400,71319,0.0000,1.0000
2019-07-05,7.5300,7.7000,7.4465,7.4600,7.4600,45202,0.0000,1.0000
2019-07-03,7.5600,7.8700,7.5000,7.5000,7.5000,41700,0.0000,1.0000
2019-07-02,7.6500,7.6500,7.3506,7.5400,7.5400,52598,0.0000,1.0000
2019-07-01,8.1900,8.1900,7.6100,7.6800,7.6800,57423,0.0000,1.0000
2019-06-28,7.8900,8.1100,7.6300,8.0700,8.0700,113344,0.0000,1.0000
2019-06-27,7.9100,8.1500,7.6300,7.8000,7.8000,134336,0.0000,1.0000
2019-06-26,7.5800,7.7700,7.4000,7.6100,7.6100,52423,0.0000,1.0000
2019-06-25,7.7600,7.8000,7.3300,7.4800,7.4800,78381,0.0000,1.0000
2019-06-24,8.1000,8.1400,7.5101,7.7100,7.7100,144373,0.0000,1.0000
2019-06-21,7.7000,7.8800,7.2964,7.5900,7.5900,159908,0.0000,1.0000
2019-06-20,7.3000,7.6800,7.2000,7.4900,7.4900,191457,0.0000,1.0000
2019-06-19,6.4900,6.9296,6.4000,6.8400,6.8400,74982,0.0000,1.0000
2019-06-18,6.2700,6.4900,6.1687,6.4500,6.4500,61702,0.0000,1.0000
2019-06-17,5.8700,6.1900,5.8500,6.0500,6.0500,31832,0.0000,1.0000
2019-06-14,5.9500,6.1300,5.8300,5.8900,5.8900,41604,0.0000,1.0000
2019-06-13,6.0000,6.0200,5.8900,5.9500,5.9500,54465,0.0000,1.0000
2019-06-12,5.9800,6.1700,5.6701,5.9000,5.9000,46024,0.0000,1.0000
2019-06-11,6.0000,6.0000,5.6700,5.8600,5.8600,77524,0.0000,1.0000
2019-06-10,6.1400,6.1704,5.8638,5.9500,5.9500,100235,0.0000,1.0000
