timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,8.0900,8.1378,8.0900,8.1290,8.1290,25025,0.0000,1.0000
2019-07-29,8.1000,8.1500,8.0700,8.1200,8.1200,131951,0.0000,1.0000
2019-07-26,8.1300,8.1684,8.0900,8.1100,8.1100,115857,0.0000,1.0000
2019-07-25,8.1800,8.2000,8.1000,8.1300,8.1300,132503,0.0000,1.0000
2019-07-24,8.1700,8.2500,8.1500,8.2000,8.2000,140839,0.0000,1.0000
2019-07-23,8.1900,8.2000,8.1400,8.1700,8.1700,111796,0.0000,1.0000
2019-07-22,8.1500,8.2000,8.1200,8.1500,8.1500,119922,0.0000,1.0000
2019-07-19,8.1600,8.1900,8.1500,8.1500,8.1500,193498,0.0000,1.0000
2019-07-18,8.1300,8.1993,8.1100,8.1600,8.1600,145692,0.0000,1.0000
2019-07-17,8.1600,8.1800,8.1200,8.1500,8.1500,123752,0.0000,1.0000
2019-07-16,8.1800,8.2200,8.1500,8.1600,8.1600,67827,0.0000,1.0000
2019-07-15,8.2200,8.2500,8.1500,8.1900,8.1900,85831,0.0000,1.0000
2019-07-12,8.2200,8.2200,8.1646,8.1900,8.1900,182145,0.0000,1.0000
2019-07-11,8.4100,8.4100,8.2011,8.2200,8.2200,183132,0.0700,1.0000
2019-07-10,8.3100,8.3231,8.2000,8.2800,8.2101,185382,0.0000,1.0000
2019-07-09,8.2200,8.2300,8.1600,8.2000,8.1308,117382,0.0000,1.0000
2019-07-08,8.2400,8.2587,8.1500,8.1600,8.0911,205285,0.0000,1.0000
2019-07-05,8.2000,8.2400,8.1300,8.2300,8.1605,114089,0.0000,1.0000
2019-07-03,8.1500,8.2500,8.1200,8.2000,8.1308,130139,0.0000,1.0000
2019-07-02,8.1500,8.1700,8.1200,8.1400,8.0713,174644,0.0000,1.0000
2019-07-01,8.1700,8.2300,8.1100,8.1600,8.0911,174952,0.0000,1.0000
2019-06-28,8.1200,8.1400,8.0800,8.1000,8.0316,115934,0.0000,1.0000
2019-06-27,8.1000,8.1000,8.0500,8.0900,8.0217,78105,0.0000,1.0000
2019-06-26,8.0900,8.1000,8.0500,8.0500,7.9820,95568,0.0000,1.0000
2019-06-25,8.1800,8.1800,8.0300,8.0500,7.9820,147068,0.0000,1.0000
2019-06-24,8.1800,8.2200,8.1400,8.1900,8.1208,97404,0.0000,1.0000
2019-06-21,8.1100,8.2300,8.0800,8.1700,8.1010,239411,0.0000,1.0000
2019-06-20,8.1000,8.1200,8.0400,8.1100,8.0415,105401,0.0000,1.0000
2019-06-19,8.0600,8.0800,8.0200,8.0500,7.9820,100928,0.0000,1.0000
2019-06-18,7.9700,8.0700,7.9550,8.0600,7.9919,138177,0.0000,1.0000
2019-06-17,7.9900,8.0200,7.9300,7.9600,7.8928,183533,0.0000,1.0000
2019-06-14,8.0300,8.0300,7.9600,8.0000,7.9324,109193,0.0000,1.0000
2019-06-13,8.1000,8.1000,8.0200,8.0400,7.9721,105014,0.0700,1.0000
2019-06-12,8.0900,8.1300,8.0800,8.1150,7.9770,133905,0.0000,1.0000
2019-06-11,8.0500,8.1600,8.0500,8.0800,7.9426,148896,0.0000,1.0000
