timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,1.0800,1.1000,1.0800,1.0900,1.0900,66633,0.0000,1.0000
2019-07-29,1.0900,1.1100,1.0800,1.1000,1.1000,225162,0.0000,1.0000
2019-07-26,1.0800,1.1200,1.0800,1.0900,1.0900,275260,0.0000,1.0000
2019-07-25,1.0800,1.1000,1.0700,1.0800,1.0800,112091,0.0000,1.0000
2019-07-24,1.0700,1.1000,1.0700,1.0900,1.0900,156599,0.0000,1.0000
2019-07-23,1.0800,1.1000,1.0600,1.0800,1.0800,152758,0.0000,1.0000
2019-07-22,1.0900,1.1000,1.0600,1.0800,1.0800,143769,0.0000,1.0000
2019-07-19,1.0900,1.1100,1.0800,1.0900,1.0900,216064,0.0000,1.0000
2019-07-18,1.1000,1.1300,1.0800,1.0800,1.0800,354914,0.0000,1.0000
2019-07-17,1.0900,1.1100,1.0800,1.1100,1.1100,563925,0.0000,1.0000
2019-07-16,1.1000,1.1200,1.0800,1.0800,1.0800,349761,0.0000,1.0000
2019-07-15,1.1000,1.1200,1.0900,1.1100,1.1100,339737,0.0000,1.0000
2019-07-12,1.1000,1.1200,1.0800,1.1000,1.1000,313342,0.0000,1.0000
2019-07-11,1.0900,1.1200,1.0900,1.1100,1.1100,308828,0.0000,1.0000
2019-07-10,1.0900,1.1100,1.0800,1.0800,1.0800,325260,0.0000,1.0000
2019-07-09,1.1000,1.1200,1.0800,1.0900,1.0900,663839,0.0000,1.0000
2019-07-08,1.0800,1.1300,1.0800,1.1100,1.1100,319019,0.0000,1.0000
2019-07-05,1.0800,1.1000,1.0800,1.0900,1.0900,79250,0.0000,1.0000
2019-07-03,1.0900,1.1000,1.0800,1.0900,1.0900,45009,0.0000,1.0000
2019-07-02,1.1000,1.1200,1.0800,1.0800,1.0800,153159,0.0000,1.0000
2019-07-01,1.1300,1.1400,1.0900,1.1200,1.1200,184709,0.0000,1.0000
2019-06-28,1.0900,1.1300,1.0900,1.1000,1.1000,119988,0.0000,1.0000
2019-06-27,1.0700,1.1200,1.0700,1.1000,1.1000,148187,0.0000,1.0000
2019-06-26,1.0700,1.1100,1.0652,1.0750,1.0750,168904,0.0000,1.0000
2019-06-25,1.0900,1.1200,1.0600,1.0600,1.0600,149033,0.0000,1.0000
2019-06-24,1.1800,1.1800,1.0900,1.0900,1.0900,719267,0.0000,1.0000
2019-06-21,1.1400,1.1500,1.0900,1.1200,1.1200,178027,0.0000,1.0000
2019-06-20,1.1300,1.1500,1.1000,1.1300,1.1300,145142,0.0000,1.0000
2019-06-19,1.1400,1.1600,1.1100,1.1100,1.1100,197408,0.0000,1.0000
2019-06-18,1.1200,1.1600,1.1160,1.1400,1.1400,167885,0.0000,1.0000
2019-06-17,1.0800,1.1400,1.0800,1.1200,1.1200,232092,0.0000,1.0000
2019-06-14,1.0900,1.1100,1.0500,1.0800,1.0800,146543,0.0000,1.0000
2019-06-13,1.0400,1.1200,1.0400,1.0800,1.0800,275213,0.0000,1.0000
2019-06-12,1.1000,1.1000,1.0200,1.0400,1.0400,338126,0.0000,1.0000
2019-06-11,1.1100,1.1800,1.0700,1.0900,1.0900,827855,0.0000,1.0000
2019-06-10,1.0900,1.1200,1.0815,1.0900,1.0900,224356,0.0000,1.0000
2019-06-07,1.0900,1.1200,1.0900,1.0900,1.0900,223691,0.0000,1.0000
2019-06-06,1.1000,1.1200,1.0800,1.0900,1.0900,161661,0.0000,1.0000
2019-06-05,1.1300,1.1400,1.1000,1.1100,1.1100,118925,0.0000,1.0000
2019-06-04,1.0900,1.1300,1.0700,1.1300,1.1300,162067,0.0000,1.0000
2019-06-03,1.0600,1.1100,1.0500,1.0900,1.0900,296040,0.0000,1.0000
2019-05-31,1.0700,1.1000,1.0500,1.0600,1.0600,323327,0.0000,1.0000
2019-05-30,1.0700,1.1300,1.0652,1.0750,1.0750,202631,0.0000,1.0000
2019-05-29,1.0700,1.1100,1.0500,1.0700,1.0700,464167,0.0000,1.0000
2019-05-28,1.0300,1.1100,1.0200,1.0611,1.0611,292965,0.0000,1.0000
2019-05-24,1.0200,1.0800,1.0100,1.0100,1.0100,301660,0.0000,1.0000
2019-05-23,1.0400,1.0500,1.0100,1.0300,1.0300,263478,0.0000,1.0000
2019-05-22,1.0400,1.0600,1.0200,1.0300,1.0300,178584,0.0000,1.0000
2019-05-21,1.0300,1.0700,1.0300,1.0300,1.0300,246405,0.0000,1.0000
2019-05-20,1.1100,1.1200,1.0100,1.0300,1.0300,348634,0.0000,1.0000
2019-05-17,1.1000,1.1400,1.1000,1.1100,1.1100,225023,0.0000,1.0000
2019-05-16,1.0800,1.1200,1.0800,1.1000,1.1000,135262,0.0000,1.0000
2019-05-15,1.0500,1.1400,1.0500,1.0900,1.0900,257902,0.0000,1.0000
2019-05-14,1.1100,1.1200,1.0500,1.0600,1.0600,365912,0.0000,1.0000
2019-05-13,1.1000,1.1600,1.0800,1.1000,1.1000,428929,0.0000,1.0000
2019-05-10,1.1400,1.1700,1.1100,1.1100,1.1100,576004,0.0000,1.0000
2019-05-09,1.2400,1.2500,1.1000,1.1800,1.1800,986013,0.0000,1.0000
2019-05-08,1.2100,1.3000,1.2000,1.2600,1.2600,1293328,0.0000,1.0000
2019-05-07,1.2800,1.3000,1.2000,1.2100,1.2100,772496,0.0000,1.0000
2019-05-06,1.2100,1.3400,1.2000,1.2700,1.2700,2129471,0.0000,1.0000
2019-05-03,1.2200,1.2800,1.2000,1.2400,1.2400,1094225,0.0000,1.0000
