timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,14.3400,14.3800,14.2400,14.2550,14.2550,10900,0.0000,1.0000
2019-07-29,14.1900,14.4699,14.1400,14.3500,14.3500,134952,0.0000,1.0000
2019-07-26,14.0200,14.2225,13.7800,14.1700,14.1700,80653,0.0000,1.0000
2019-07-25,14.4000,14.4500,14.0000,14.0300,14.0300,99544,0.0000,1.0000
2019-07-24,14.3700,14.5100,14.2500,14.5000,14.5000,171146,0.0000,1.0000
2019-07-23,14.2700,14.3800,14.1200,14.3700,14.3700,69891,0.0000,1.0000
2019-07-22,14.5500,14.5800,14.0800,14.2200,14.2200,115757,0.0000,1.0000
2019-07-19,14.3500,14.6000,14.1400,14.5100,14.5100,134584,0.0000,1.0000
2019-07-18,14.6100,14.6300,14.3500,14.4000,14.4000,72231,0.0000,1.0000
2019-07-17,14.6200,14.8200,14.4550,14.7000,14.7000,204805,0.0000,1.0000
2019-07-16,14.4900,14.6100,14.3800,14.5000,14.5000,115762,0.0000,1.0000
2019-07-15,14.5100,14.5700,14.1900,14.4500,14.4500,134854,0.0000,1.0000
2019-07-12,13.8500,14.4600,13.7900,14.4200,14.4200,231238,0.0000,1.0000
2019-07-11,13.9300,14.0400,13.6600,13.7800,13.7800,165487,0.0000,1.0000
2019-07-10,14.3500,14.3500,13.6200,14.0000,14.0000,197137,0.0000,1.0000
2019-07-09,14.4300,14.5400,14.2500,14.3200,14.3200,733951,0.0000,1.0000
2019-07-08,14.5700,14.5700,14.2500,14.4600,14.4600,153381,0.0000,1.0000
2019-07-05,14.4200,14.5300,14.3000,14.5200,14.5200,51128,0.0000,1.0000
2019-07-03,14.3700,14.5300,14.3400,14.5300,14.5300,73043,0.0000,1.0000
2019-07-02,14.3200,14.4867,14.2000,14.3700,14.3700,101005,0.0000,1.0000
2019-07-01,14.5700,15.1000,14.1900,14.3300,14.3300,138578,0.0000,1.0000
2019-06-28,14.3400,14.6700,14.3300,14.4400,14.4400,781854,0.0000,1.0000
2019-06-27,14.0300,14.3100,13.9106,14.3100,14.3100,190275,0.0000,1.0000
2019-06-26,13.9300,13.9650,13.7400,13.9000,13.9000,170701,0.0000,1.0000
2019-06-25,13.9300,13.9800,13.6300,13.9300,13.9300,320912,0.0000,1.0000
2019-06-24,14.1300,14.1500,13.7900,13.9200,13.9200,418714,0.0000,1.0000
2019-06-21,13.8400,14.1000,13.7400,14.1000,14.1000,125600,0.0000,1.0000
2019-06-20,13.8600,13.9200,13.7600,13.8400,13.8400,110495,0.0000,1.0000
2019-06-19,13.6700,13.8000,13.5000,13.7100,13.7100,55731,0.0000,1.0000
2019-06-18,13.5800,13.8100,13.5800,13.6500,13.6500,205170,0.0000,1.0000
2019-06-17,13.5200,13.6300,13.3500,13.5000,13.5000,72895,0.0000,1.0000
2019-06-14,13.5800,13.6400,13.3400,13.5600,13.5600,73907,0.0000,1.0000
2019-06-13,13.4100,13.5900,13.4000,13.5900,13.5900,76249,0.0000,1.0000
2019-06-12,13.2400,13.3900,13.2100,13.3600,13.3600,82806,0.0000,1.0000
2019-06-11,13.2400,13.2900,13.0900,13.2400,13.2400,96762,0.0000,1.0000
2019-06-10,13.1500,13.2900,13.0800,13.1700,13.1700,73380,0.0000,1.0000
2019-06-07,13.0400,13.2800,13.0000,13.1300,13.1300,52980,0.0000,1.0000
2019-06-06,13.1700,13.1700,12.8100,12.9800,12.9800,58184,0.0000,1.0000
2019-06-05,12.9600,13.2600,12.8650,13.2100,13.2100,154151,0.0000,1.0000
2019-06-04,12.7300,12.8900,12.6400,12.8900,12.8900,68801,0.0000,1.0000
2019-06-03,12.6900,12.7900,12.5304,12.7000,12.7000,91251,0.0000,1.0000
2019-05-31,12.8900,12.9900,12.4700,12.7500,12.7500,241205,0.0000,1.0000
2019-05-30,13.0100,13.1900,12.8900,13.0700,13.0700,87723,0.0000,1.0000
2019-05-29,13.0800,13.1777,12.8100,13.0400,13.0400,170654,0.0000,1.0000
2019-05-28,13.2700,13.4300,13.1700,13.2100,13.2100,114826,0.0000,1.0000
2019-05-24,13.3700,13.5200,13.2300,13.2700,13.2700,78775,0.0000,1.0000
2019-05-23,13.4300,13.4400,13.1000,13.2900,13.2900,76476,0.0000,1.0000
2019-05-22,13.5000,13.5600,13.4505,13.5000,13.5000,78781,0.0000,1.0000
2019-05-21,13.4500,13.5800,13.3000,13.5200,13.5200,105554,0.0000,1.0000
2019-05-20,13.4900,13.5700,13.3400,13.4000,13.4000,96114,0.0000,1.0000
2019-05-17,13.7700,13.9100,13.4500,13.6200,13.6200,99482,0.0000,1.0000
2019-05-16,13.8100,13.9900,13.7600,13.8300,13.8300,78966,0.0000,1.0000
2019-05-15,13.4300,13.9100,13.4300,13.7700,13.7700,168919,0.0000,1.0000
2019-05-14,13.4500,13.8600,13.4000,13.6600,13.6600,163068,0.0000,1.0000
2019-05-13,13.5000,13.5300,13.1400,13.4300,13.4300,216128,0.0000,1.0000
2019-05-10,13.7400,13.8000,13.3200,13.7900,13.7900,138070,0.0000,1.0000
2019-05-09,14.2200,14.2200,13.6600,13.7900,13.7900,121252,0.0000,1.0000
2019-05-08,14.6400,14.7400,13.7600,14.2900,14.2900,303194,0.0000,1.0000
2019-05-07,14.2400,14.9000,13.9100,14.5800,14.5800,513933,0.0000,1.0000
2019-05-06,13.0400,13.7000,13.0200,13.6100,13.6100,160277,0.0000,1.0000
2019-05-03,13.8000,13.9775,13.7300,13.8300,13.8300,95451,0.0000,1.0000
2019-05-02,13.7200,13.8750,13.7200,13.8000,13.8000,106550,0.0250,1.0000
2019-05-01,13.4100,13.8800,13.3000,13.7300,13.7052,485059,0.0000,1.0000
2019-04-30,13.6500,13.6500,13.3400,13.4200,13.3957,85709,0.0000,1.0000
2019-04-29,13.6000,13.7000,13.5500,13.6000,13.5754,168894,0.0000,1.0000
2019-04-26,13.3000,13.6100,13.2750,13.5700,13.5455,85385,0.0000,1.0000
2019-04-25,13.0900,13.3000,12.9200,13.2200,13.1961,127165,0.0000,1.0000
2019-04-24,13.0400,13.3400,13.0100,13.0900,13.0663,92647,0.0000,1.0000
2019-04-23,12.8100,13.1102,12.6400,13.0100,12.9865,304262,0.0000,1.0000
2019-04-22,12.7600,12.8800,12.5300,12.7900,12.7669,124315,0.0000,1.0000
2019-04-18,13.1200,13.2100,12.5300,12.8200,12.7968,179425,0.0000,1.0000
