timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,23.0100,23.4000,23.0100,23.0900,23.0900,4278,0.0000,1.0000
2019-07-29,23.1000,23.4900,22.5842,23.1900,23.1900,74702,0.0000,1.0000
2019-07-26,22.6200,23.5200,22.6200,23.1500,23.1500,58954,0.0000,1.0000
2019-07-25,22.1400,22.6700,21.9600,22.6200,22.6200,75754,0.0000,1.0000
2019-07-24,21.7900,22.6100,21.6800,22.2900,22.2900,117431,0.0000,1.0000
2019-07-23,22.0600,22.0950,21.1334,21.7700,21.7700,67161,0.0000,1.0000
2019-07-22,21.9500,22.6700,21.8400,22.0100,22.0100,67815,0.0000,1.0000
2019-07-19,22.8900,22.9500,21.8400,22.0500,22.0500,58369,0.0000,1.0000
2019-07-18,23.2100,23.6700,22.5700,22.8500,22.8500,129378,0.0000,1.0000
2019-07-17,23.2400,23.5850,22.8800,23.3800,23.3800,77269,0.0000,1.0000
2019-07-16,22.4600,23.2500,22.4400,23.2400,23.2400,73847,0.0000,1.0000
2019-07-15,22.7600,23.1900,22.2000,22.6400,22.6400,71145,0.0000,1.0000
2019-07-12,22.6100,23.3100,22.4432,22.8100,22.8100,76298,0.0000,1.0000
2019-07-11,23.8600,24.6000,21.6700,22.5500,22.5500,187549,0.0000,1.0000
2019-07-10,22.6100,23.7300,22.5000,23.4400,23.4400,132224,0.0000,1.0000
2019-07-09,22.5100,22.8900,22.3000,22.4300,22.4300,55191,0.0000,1.0000
2019-07-08,22.5400,22.9700,22.0600,22.5500,22.5500,99282,0.0000,1.0000
2019-07-05,22.0000,22.5800,21.9900,22.5000,22.5000,60400,0.0000,1.0000
2019-07-03,22.0700,22.1900,21.6800,22.1300,22.1300,101680,0.0000,1.0000
2019-07-02,22.3300,22.4000,21.6500,22.0600,22.0600,125190,0.0000,1.0000
2019-07-01,21.4300,22.4300,21.1005,22.2300,22.2300,165899,0.0000,1.0000
2019-06-28,20.7100,21.9900,20.3450,21.3400,21.3400,1136673,0.0000,1.0000
2019-06-27,19.7400,20.8100,19.6850,20.6700,20.6700,124886,0.0000,1.0000
2019-06-26,19.5000,19.8234,18.9900,19.8100,19.8100,66748,0.0000,1.0000
2019-06-25,19.0950,19.5200,18.8200,19.2700,19.2700,27910,0.0000,1.0000
2019-06-24,18.9900,19.6700,18.8600,19.0000,19.0000,66469,0.0000,1.0000
2019-06-21,18.9700,19.2300,18.6500,19.0400,19.0400,25185,0.0000,1.0000
2019-06-20,19.2800,19.7500,18.7700,18.9400,18.9400,52666,0.0000,1.0000
2019-06-19,19.5300,19.6100,19.0470,19.2800,19.2800,30360,0.0000,1.0000
2019-06-18,19.1400,19.4569,19.1200,19.4500,19.4500,41518,0.0000,1.0000
2019-06-17,19.0100,19.4800,18.8200,19.0200,19.0200,60246,0.0000,1.0000
2019-06-14,18.9900,19.6800,18.9272,19.0600,19.0600,55185,0.0000,1.0000
2019-06-13,19.1600,19.6300,18.8900,19.0400,19.0400,44166,0.0000,1.0000
2019-06-12,19.0300,19.7200,19.0200,19.1100,19.1100,45408,0.0000,1.0000
2019-06-11,18.2500,19.2850,18.2400,19.1600,19.1600,74864,0.0000,1.0000
2019-06-10,18.5000,19.1200,17.8100,18.3900,18.3900,85130,0.0000,1.0000
2019-06-07,17.6300,18.8200,17.5500,18.4900,18.4900,65072,0.0000,1.0000
2019-06-06,19.1500,19.7200,17.7050,17.8100,17.8100,88482,0.0000,1.0000
2019-06-05,18.7600,19.2900,18.4100,19.1200,19.1200,70536,0.0000,1.0000
2019-06-04,19.0500,19.4900,17.9900,18.8200,18.8200,83951,0.0000,1.0000
2019-06-03,20.9400,20.9400,18.9600,19.1200,19.1200,58030,0.0000,1.0000
2019-05-31,20.2800,21.0400,20.2800,21.0400,21.0400,49141,0.0000,1.0000
2019-05-30,20.3400,20.7100,20.1500,20.3800,20.3800,29807,0.0000,1.0000
2019-05-29,21.3100,21.3224,20.3900,20.3900,20.3900,46067,0.0000,1.0000
2019-05-28,21.6400,21.7800,21.3000,21.5000,21.5000,26274,0.0000,1.0000
2019-05-24,22.1400,22.2800,21.5000,21.6100,21.6100,22225,0.0000,1.0000
2019-05-23,21.9700,22.3600,21.8700,22.2000,22.2000,36372,0.0000,1.0000
2019-05-22,21.6700,22.1300,21.4281,21.9900,21.9900,36047,0.0000,1.0000
2019-05-21,21.5000,21.9100,21.4700,21.7800,21.7800,28012,0.0000,1.0000
2019-05-20,21.1600,21.4900,20.8300,21.4300,21.4300,31060,0.0000,1.0000
2019-05-17,21.5000,21.5100,21.2300,21.2700,21.2700,31142,0.0000,1.0000
2019-05-16,21.1000,21.9000,20.9900,21.7500,21.7500,63163,0.1750,1.0000
2019-05-15,20.8200,21.2100,20.7500,21.1000,20.9316,83409,0.0000,1.0000
2019-05-14,20.4900,21.0800,20.4200,20.8800,20.7133,44328,0.0000,1.0000
2019-05-13,20.6800,20.7100,20.0400,20.3100,20.1479,37391,0.0000,1.0000
2019-05-10,20.0000,20.7200,19.6100,20.6800,20.5149,68111,0.0000,1.0000
2019-05-09,18.5100,20.2000,18.5000,19.9600,19.8007,281949,0.0000,1.0000
2019-05-08,19.1200,19.3600,18.3500,18.6200,18.4714,69648,0.0000,1.0000
2019-05-07,19.1450,19.4600,19.0100,19.0100,18.8583,40251,0.0000,1.0000
2019-05-06,18.8000,19.3002,18.5950,19.0600,18.9079,54529,0.0000,1.0000
2019-05-03,19.1500,19.5000,18.6000,18.8000,18.6499,99084,0.0000,1.0000
2019-05-02,17.5200,19.3500,17.5200,19.3500,19.1956,373294,0.0000,1.0000
2019-05-01,17.2548,17.5400,17.0100,17.2800,17.1421,26239,0.0000,1.0000
2019-04-30,17.5600,17.6700,17.3400,17.3900,17.2512,22603,0.0000,1.0000
2019-04-29,17.3300,18.1200,17.1400,17.8900,17.7472,27811,0.0000,1.0000
2019-04-26,17.4250,17.4900,17.0400,17.3700,17.2314,15357,0.0000,1.0000
2019-04-25,17.3200,17.4400,17.1600,17.2100,17.0726,20398,0.0000,1.0000
2019-04-24,17.5600,17.7000,17.4650,17.5300,17.3901,16420,0.0000,1.0000
2019-04-23,17.5875,17.7200,17.5200,17.6000,17.4595,13661,0.0000,1.0000
2019-04-22,17.4200,17.7100,17.2550,17.5000,17.3603,21266,0.0000,1.0000
2019-04-18,17.5100,17.8700,17.1400,17.5200,17.3802,40352,0.0000,1.0000
2019-04-17,17.9600,17.9700,17.5000,17.5800,17.4397,24257,0.0000,1.0000
2019-04-16,18.0200,18.0200,17.7900,17.9000,17.7571,21989,0.0000,1.0000
2019-04-15,17.9100,18.1600,17.7650,18.0800,17.9357,38748,0.0000,1.0000
2019-04-12,17.8100,17.9100,17.5317,17.9100,17.7670,19073,0.0000,1.0000
2019-04-11,17.6300,17.9600,17.4200,17.6200,17.4794,21499,0.0000,1.0000
2019-04-10,17.8300,18.0000,17.7600,17.9300,17.7869,34222,0.0000,1.0000
2019-04-09,17.3600,17.8300,17.2800,17.8200,17.6778,31956,0.0000,1.0000
