timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,2.2000,2.2400,2.2000,2.2300,2.2300,3356,0.0000,1.0000
2019-07-29,2.2400,2.3000,2.1504,2.2300,2.2300,59485,0.0000,1.0000
2019-07-26,2.2200,2.2900,2.1701,2.2400,2.2400,76603,0.0000,1.0000
2019-07-25,2.2200,2.2500,2.1800,2.1900,2.1900,53683,0.0000,1.0000
2019-07-24,2.0800,2.2600,2.0500,2.2500,2.2500,130795,0.0000,1.0000
2019-07-23,2.2300,2.2600,2.0300,2.0800,2.0800,268579,0.0000,1.0000
2019-07-22,2.3500,2.4000,2.2100,2.2100,2.2100,222359,0.0000,1.0000
2019-07-19,2.3300,2.4800,2.3100,2.3600,2.3600,199537,0.0000,1.0000
2019-07-18,2.4400,2.4500,2.3300,2.3500,2.3500,137322,0.0000,1.0000
2019-07-17,2.5000,2.5200,2.4200,2.4300,2.4300,117687,0.0000,1.0000
2019-07-16,2.6000,2.6300,2.5000,2.5200,2.5200,73141,0.0000,1.0000
2019-07-15,2.6700,2.6800,2.5600,2.6000,2.6000,56525,0.0000,1.0000
2019-07-12,2.6100,2.6900,2.5952,2.6300,2.6300,99345,0.0000,1.0000
2019-07-11,2.6100,2.6600,2.5300,2.6200,2.6200,107928,0.0000,1.0000
2019-07-10,2.7200,2.7400,2.5600,2.6200,2.6200,95676,0.0000,1.0000
2019-07-09,2.7100,2.7700,2.6231,2.7000,2.7000,82945,0.0000,1.0000
2019-07-08,2.7700,2.7700,2.6200,2.7100,2.7100,100478,0.0000,1.0000
2019-07-05,2.6900,2.7637,2.6600,2.7500,2.7500,90680,0.0000,1.0000
2019-07-03,2.7200,2.8300,2.6700,2.6900,2.6900,71777,0.0000,1.0000
2019-07-02,2.6800,2.7300,2.6300,2.7100,2.7100,91823,0.0000,1.0000
2019-07-01,2.7300,2.7900,2.6300,2.6900,2.6900,162107,0.0000,1.0000
2019-06-28,2.5400,2.7100,2.4621,2.6800,2.6800,235617,0.0000,1.0000
2019-06-27,2.5100,2.5400,2.4104,2.4900,2.4900,110556,0.0000,1.0000
2019-06-26,2.5700,2.5700,2.4400,2.4600,2.4600,120903,0.0000,1.0000
2019-06-25,2.6400,2.6800,2.4900,2.5200,2.5200,585832,0.0000,1.0000
2019-06-24,2.5600,2.6500,2.5400,2.5800,2.5800,149674,0.0000,1.0000
2019-06-21,2.5900,2.6400,2.5000,2.5300,2.5300,136472,0.0000,1.0000
2019-06-20,2.8000,2.8200,2.5600,2.5700,2.5700,187447,0.0000,1.0000
2019-06-19,2.7400,2.8300,2.6600,2.7800,2.7800,213767,0.0000,1.0000
2019-06-18,2.6500,2.7291,2.6500,2.7100,2.7100,115582,0.0000,1.0000
2019-06-17,2.4700,2.7900,2.4500,2.6500,2.6500,246312,0.0000,1.0000
2019-06-14,2.5100,2.5500,2.4500,2.4800,2.4800,63761,0.0000,1.0000
2019-06-13,2.4400,2.5399,2.4000,2.5200,2.5200,118484,0.0000,1.0000
2019-06-12,2.5700,2.6000,2.4000,2.4300,2.4300,257611,0.0000,1.0000
2019-06-11,2.5300,2.6600,2.5100,2.5200,2.5200,348124,0.0000,1.0000
2019-06-10,2.6000,2.6600,2.5000,2.5100,2.5100,205140,0.0000,1.0000
2019-06-07,2.5300,2.7100,2.4305,2.6100,2.6100,340523,0.0000,1.0000
2019-06-06,2.5900,2.6300,2.4100,2.5300,2.5300,582555,0.0000,1.0000
2019-06-05,2.7000,2.7400,2.5100,2.6200,2.6200,471610,0.0000,1.0000
2019-06-04,2.7000,2.7900,2.6500,2.7000,2.7000,354874,0.0000,1.0000
2019-06-03,3.1000,3.1500,2.6300,2.7300,2.7300,1324686,0.0000,1.0000
2019-05-31,3.1300,3.1300,2.9100,3.0400,3.0400,382726,0.0000,1.0000
2019-05-30,3.0800,3.2400,3.0500,3.1300,3.1300,451137,0.0000,1.0000
2019-05-29,3.0600,3.1200,2.9000,3.0500,3.0500,307617,0.0000,1.0000
2019-05-28,3.2300,3.2400,3.0600,3.1000,3.1000,196550,0.0000,1.0000
2019-05-24,3.1200,3.2300,3.1100,3.1800,3.1800,167495,0.0000,1.0000
2019-05-23,3.2700,3.2700,3.0800,3.1100,3.1100,210207,0.0000,1.0000
2019-05-22,3.2500,3.3500,3.1700,3.2800,3.2800,259347,0.0000,1.0000
2019-05-21,3.1100,3.2600,3.1000,3.2400,3.2400,158114,0.0000,1.0000
2019-05-20,3.1100,3.1600,3.0200,3.1100,3.1100,277754,0.0000,1.0000
2019-05-17,3.2300,3.2982,3.0800,3.1200,3.1200,244650,0.0000,1.0000
2019-05-16,3.3400,3.3732,3.2500,3.2600,3.2600,190369,0.0000,1.0000
2019-05-15,3.2200,3.3700,3.1900,3.3100,3.3100,192063,0.0000,1.0000
2019-05-14,3.1300,3.2800,3.0700,3.2400,3.2400,302451,0.0000,1.0000
2019-05-13,3.2800,3.3200,3.0800,3.1100,3.1100,353576,0.0000,1.0000
2019-05-10,3.5000,3.5000,3.2600,3.3500,3.3500,496249,0.0000,1.0000
2019-05-09,3.6200,3.6820,3.4500,3.5200,3.5200,526186,0.0000,1.0000
2019-05-08,3.7700,3.8300,3.6000,3.7000,3.7000,530037,0.0000,1.0000
2019-05-07,3.9200,4.0500,3.7700,3.8400,3.8400,362708,0.0000,1.0000
2019-05-06,3.7000,3.9798,3.6300,3.9600,3.9600,467276,0.0000,1.0000
2019-05-03,3.7500,3.8000,3.6300,3.8000,3.8000,216442,0.0000,1.0000
2019-05-02,3.6900,3.9588,3.6100,3.7600,3.7600,737614,0.0000,1.0000
2019-05-01,3.6600,3.7800,3.5000,3.7300,3.7300,459681,0.0000,1.0000
2019-04-30,3.8100,3.8200,3.5400,3.6600,3.6600,207630,0.0000,1.0000
2019-04-29,3.7300,3.8200,3.6100,3.8100,3.8100,193906,0.0000,1.0000
2019-04-26,3.6400,3.7800,3.5777,3.7400,3.7400,309133,0.0000,1.0000
2019-04-25,3.7300,3.7700,3.4800,3.6600,3.6600,456593,0.0000,1.0000
2019-04-24,4.0300,4.0800,3.6700,3.7700,3.7700,876841,0.0000,1.0000
2019-04-23,3.6600,4.0588,3.6600,3.9700,3.9700,1162137,0.0000,1.0000
2019-04-22,3.7400,3.8200,3.5500,3.6200,3.6200,607714,0.0000,1.0000
2019-04-18,3.9600,4.0401,3.7300,3.7900,3.7900,408676,0.0000,1.0000
2019-04-17,4.0500,4.1403,3.8400,3.9600,3.9600,543341,0.0000,1.0000
2019-04-16,4.2100,4.2100,3.9500,4.0500,4.0500,332010,0.0000,1.0000
2019-04-15,4.3000,4.3750,4.1000,4.1300,4.1300,313078,0.0000,1.0000
2019-04-12,4.5000,4.5500,4.2600,4.3500,4.3500,400411,0.0000,1.0000
2019-04-11,4.6800,4.7737,4.5200,4.5300,4.5300,206077,0.0000,1.0000
2019-04-10,4.8400,4.9400,4.6700,4.7100,4.7100,392833,0.0000,1.0000
2019-04-09,5.1400,5.1900,4.7800,4.8600,4.8600,944258,0.0000,1.0000
2019-04-08,4.3100,5.4700,4.2500,4.9800,4.9800,3662998,0.0000,1.0000
2019-04-05,4.3800,4.4300,4.2700,4.3400,4.3400,169569,0.0000,1.0000
2019-04-04,4.4700,4.5300,4.2500,4.3800,4.3800,228413,0.0000,1.0000
2019-04-03,4.5100,4.6400,4.4200,4.4900,4.4900,297147,0.0000,1.0000
2019-04-02,4.7100,4.7900,4.4600,4.5100,4.5100,1265918,0.0000,1.0000
2019-04-01,4.9200,5.2900,4.8900,5.0900,5.0900,455568,0.0000,1.0000
2019-03-29,5.0600,5.0900,4.8200,4.9200,4.9200,168415,0.0000,1.0000
2019-03-28,5.1500,5.2400,5.0000,5.0300,5.0300,147649,0.0000,1.0000
2019-03-27,5.3600,5.3900,4.9900,5.1400,5.1400,203089,0.0000,1.0000
2019-03-26,4.8700,5.3400,4.8700,5.2900,5.2900,357722,0.0000,1.0000
2019-03-25,4.9200,4.9800,4.7003,4.9400,4.9400,277999,0.0000,1.0000
2019-03-22,5.1300,5.2237,4.8500,4.9400,4.9400,386974,0.0000,1.0000
2019-03-21,4.7900,5.3500,4.7900,5.1400,5.1400,682860,0.0000,1.0000
2019-03-20,4.7000,4.8888,4.6100,4.7900,4.7900,324393,0.0000,1.0000
2019-03-19,4.7700,4.8400,4.6200,4.7000,4.7000,108089,0.0000,1.0000
2019-03-18,4.7500,4.9350,4.7500,4.7700,4.7700,257630,0.0000,1.0000
2019-03-15,4.7400,4.8335,4.6500,4.7200,4.7200,204282,0.0000,1.0000
2019-03-14,4.8100,4.8500,4.6100,4.7400,4.7400,177435,0.0000,1.0000
2019-03-13,4.8800,4.9400,4.7500,4.8500,4.8500,158710,0.0000,1.0000
2019-03-12,4.8600,4.9800,4.7700,4.8800,4.8800,160252,0.0000,1.0000
2019-03-11,5.0900,5.1800,4.6000,4.8500,4.8500,441352,0.0000,1.0000
2019-03-08,4.5000,5.3799,4.3800,5.1000,5.1000,1053043,0.0000,1.0000
2019-03-07,4.7300,4.9095,4.5510,4.6000,4.6000,331864,0.0000,1.0000
2019-03-06,5.0400,5.2045,4.6000,4.6800,4.6800,316639,0.0000,1.0000
2019-03-05,5.1100,5.2200,5.0293,5.0500,5.0500,138894,0.0000,1.0000
2019-03-04,5.3400,5.4400,5.0200,5.1300,5.1300,154795,0.0000,1.0000
2019-03-01,5.3900,5.5599,5.2600,5.3400,5.3400,160187,0.0000,1.0000
2019-02-28,5.5400,5.5400,5.1900,5.3200,5.3200,343065,0.0000,1.0000
2019-02-27,5.8000,5.9000,5.5000,5.5500,5.5500,201661,0.0000,1.0000
