timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,29.0100,29.1000,28.8500,29.0900,29.0900,7268,0.0000,1.0000
2019-07-29,29.0100,29.3000,28.9700,29.2000,29.2000,84653,0.0000,1.0000
2019-07-26,28.3400,29.1000,28.2400,29.0800,29.0800,109309,0.0000,1.0000
2019-07-25,28.3000,28.4900,27.8200,28.2300,28.2300,107786,0.0000,1.0000
2019-07-24,27.4100,28.4300,27.2000,28.3400,28.3400,125247,0.0000,1.0000
2019-07-23,27.1700,27.5400,27.0600,27.5000,27.5000,94871,0.0000,1.0000
2019-07-22,27.1500,27.5700,26.9601,27.0500,27.0500,75745,0.0000,1.0000
2019-07-19,27.3200,27.6800,27.0700,27.1100,27.1100,99351,0.0000,1.0000
2019-07-18,27.7500,27.7500,27.1300,27.3200,27.3200,56056,0.0000,1.0000
2019-07-17,27.9500,28.0300,27.6100,27.7900,27.7900,87888,0.0000,1.0000
2019-07-16,28.1000,28.3200,28.0000,28.0500,28.0500,74304,0.1000,1.0000
2019-07-15,28.3000,28.3000,27.5900,28.2000,28.0998,96746,0.0000,1.0000
2019-07-12,27.8500,28.4200,27.8500,28.1000,28.0002,68887,0.0000,1.0000
2019-07-11,27.8700,27.9800,27.4900,27.8100,27.7112,64795,0.0000,1.0000
2019-07-10,27.8900,28.1620,27.7187,27.8400,27.7411,67055,0.0000,1.0000
2019-07-09,27.3300,27.7900,27.0000,27.7200,27.6215,108272,0.0000,1.0000
2019-07-08,27.7200,27.8957,27.3100,27.4200,27.3226,88057,0.0000,1.0000
2019-07-05,28.2000,28.2700,27.7100,27.9900,27.8906,189784,0.0000,1.0000
2019-07-03,28.6300,28.7200,28.1700,28.4700,28.3689,59863,0.0000,1.0000
2019-07-02,28.4200,28.5600,27.8750,28.5400,28.4386,109785,0.0000,1.0000
2019-07-01,28.4100,28.7800,28.0500,28.5500,28.4486,142412,0.0000,1.0000
2019-06-28,27.7000,28.2600,27.5800,28.1100,28.0101,312733,0.0000,1.0000
2019-06-27,28.0900,28.1900,27.4850,27.6700,27.5717,158374,0.0000,1.0000
2019-06-26,27.6500,28.2200,27.6500,28.0100,27.9105,93352,0.0000,1.0000
2019-06-25,28.0100,28.0496,27.3900,27.5000,27.4023,168078,0.0000,1.0000
2019-06-24,27.7400,28.2000,27.5600,28.0800,27.9802,139481,0.0000,1.0000
2019-06-21,28.1900,28.2300,27.4000,27.5300,27.4322,323211,0.0000,1.0000
2019-06-20,28.5300,28.7450,28.2900,28.3800,28.2792,90597,0.0000,1.0000
2019-06-19,28.1400,28.6900,28.0200,28.2800,28.1795,160254,0.0000,1.0000
2019-06-18,27.3300,28.4400,27.3300,28.3200,28.2194,307583,0.0000,1.0000
2019-06-17,26.9700,27.3600,26.9700,27.1500,27.0536,116804,0.0000,1.0000
2019-06-14,27.0800,27.3000,26.7250,26.9100,26.8144,122510,0.0000,1.0000
2019-06-13,26.4000,27.0900,26.3900,27.0200,26.9240,186972,0.0000,1.0000
2019-06-12,26.5000,26.5300,26.0900,26.2600,26.1667,104319,0.0000,1.0000
2019-06-11,26.6600,27.0700,26.2600,26.5200,26.4258,160471,0.0000,1.0000
2019-06-10,27.3900,27.6900,26.4050,26.5000,26.4059,132949,0.0000,1.0000
2019-06-07,26.8300,27.8100,26.5500,27.2100,27.1133,271283,0.0000,1.0000
2019-06-06,25.3200,27.7500,24.7500,26.5400,26.4457,652074,0.0000,1.0000
2019-06-05,22.5800,23.0300,22.1100,22.7300,22.6493,187077,0.0000,1.0000
2019-06-04,22.0900,22.6800,22.0900,22.5800,22.4998,112072,0.0000,1.0000
2019-06-03,21.3200,22.1600,21.3200,21.9100,21.8322,181228,0.0000,1.0000
2019-05-31,21.3800,21.4900,20.9800,21.1500,21.0749,145136,0.0000,1.0000
2019-05-30,21.9000,22.1603,21.5700,21.7000,21.6229,68033,0.0000,1.0000
2019-05-29,21.9400,21.9400,21.5300,21.8300,21.7525,111836,0.0000,1.0000
2019-05-28,22.1500,22.2500,21.9900,22.0600,21.9816,68591,0.0000,1.0000
2019-05-24,22.0100,22.1700,21.7500,22.1400,22.0613,42244,0.0000,1.0000
2019-05-23,22.1500,22.2000,21.6200,21.8200,21.7425,101434,0.0000,1.0000
2019-05-22,22.1900,22.6200,22.0700,22.1600,22.0813,65390,0.0000,1.0000
2019-05-21,22.2800,22.5600,22.1300,22.2900,22.2108,139049,0.0000,1.0000
2019-05-20,21.5500,22.2400,21.5000,22.1400,22.0613,118540,0.0000,1.0000
2019-05-17,22.2800,22.4997,21.7200,21.7600,21.6827,150863,0.0000,1.0000
