timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,3.3000,3.3000,3.3000,3.3000,3.3000,109,0.0000,1.0000
2019-07-29,3.3000,3.4900,3.2700,3.2700,3.2700,2785,0.0000,1.0000
2019-07-26,3.2500,3.4700,3.2500,3.4700,3.4700,3317,0.0000,1.0000
2019-07-25,3.2500,3.2500,3.2500,3.2500,3.2500,68,0.0000,1.0000
2019-07-24,3.2500,3.2500,3.1300,3.2500,3.2500,4385,0.0000,1.0000
2019-07-23,3.2508,3.2508,3.2508,3.2508,3.2508,108,0.0000,1.0000
2019-07-22,3.3200,3.3200,3.2500,3.2508,3.2508,21715,0.0000,1.0000
2019-07-19,3.4000,3.4000,3.4000,3.4000,3.4000,177,0.0000,1.0000
2019-07-18,3.6000,3.6000,3.3300,3.3300,3.3300,9326,0.0000,1.0000
2019-07-17,3.6200,3.6500,3.6000,3.6000,3.6000,5202,0.0000,1.0000
2019-07-16,3.6900,3.7600,3.6200,3.6200,3.6200,611,0.0000,1.0000
2019-07-15,3.8700,3.8700,3.6200,3.6879,3.6879,15347,0.0000,1.0000
2019-07-12,3.9900,3.9900,3.9500,3.9500,3.9500,816,0.0000,1.0000
2019-07-11,4.0000,4.0000,3.9078,3.9900,3.9900,1660,0.0000,1.0000
2019-07-10,3.7501,3.7501,3.7501,3.7501,3.7501,185,0.0000,1.0000
2019-07-09,3.9000,3.9000,3.7501,3.7501,3.7501,6057,0.0000,1.0000
2019-07-08,3.9700,3.9700,3.9312,3.9400,3.9400,1803,0.0000,1.0000
2019-07-05,3.9809,3.9877,3.9809,3.9877,3.9877,1566,0.0000,1.0000
2019-07-03,4.0000,4.0000,4.0000,4.0000,4.0000,1572,0.0000,1.0000
2019-07-02,3.9250,4.0000,3.9250,4.0000,4.0000,2906,0.0000,1.0000
2019-07-01,3.5000,3.9205,3.5000,3.9205,3.9205,1980,0.0000,1.0000
2019-06-28,4.0000,4.0000,3.8200,3.9900,3.9900,4292,0.0000,1.0000
2019-06-27,4.0000,4.0000,4.0000,4.0000,4.0000,0,0.0000,1.0000
2019-06-26,4.0000,4.0000,4.0000,4.0000,4.0000,14,0.0000,1.0000
2019-06-25,4.0000,4.0000,4.0000,4.0000,4.0000,334,0.0000,1.0000
2019-06-24,4.0000,4.0000,4.0000,4.0000,4.0000,316,0.0000,1.0000
2019-06-21,4.0000,4.0000,4.0000,4.0000,4.0000,1737,0.0000,1.0000
2019-06-20,3.8500,3.8700,3.7000,3.8700,3.8700,3335,0.0000,1.0000
2019-06-19,3.6100,4.0000,3.6100,4.0000,4.0000,650,0.0000,1.0000
2019-06-18,3.6300,3.7000,3.6300,3.7000,3.7000,1054,0.0000,1.0000
2019-06-17,3.6200,3.9899,3.6200,3.8850,3.8850,3876,0.0000,1.0000
2019-06-14,3.8250,3.9861,3.8250,3.8500,3.8500,997,0.0000,1.0000
2019-06-13,3.6100,3.9600,3.6100,3.9600,3.9600,311,0.0000,1.0000
2019-06-12,3.6000,3.8500,3.6000,3.8500,3.8500,554,0.0000,1.0000
2019-06-11,3.9800,3.9800,3.7000,3.7500,3.7500,3107,0.0000,1.0000
2019-06-10,3.6300,3.6300,3.6300,3.6300,3.6300,239,0.0000,1.0000
2019-06-07,3.8577,3.8577,3.8577,3.8577,3.8577,1776,0.0000,1.0000
2019-06-06,3.9000,4.0700,3.8500,3.8500,3.8500,17094,0.0000,1.0000
2019-06-05,3.7100,3.8600,3.7044,3.7500,3.7500,8379,0.0000,1.0000
2019-06-04,3.3900,3.8190,3.3900,3.8019,3.8019,16885,0.0000,1.0000
2019-06-03,3.6000,3.6400,3.1201,3.4199,3.4199,60896,0.0000,1.0000
2019-05-31,3.9500,3.9500,3.9300,3.9300,3.9300,315,0.0000,1.0000
2019-05-30,4.0500,4.0600,3.7800,3.7950,3.7950,6686,0.0000,1.0000
2019-05-29,3.8001,3.9700,3.6000,3.9700,3.9700,12775,0.0000,1.0000
2019-05-28,3.9999,3.9999,3.8000,3.8000,3.8000,3556,0.0000,1.0000
2019-05-24,4.0000,4.0000,4.0000,4.0000,4.0000,197,0.0000,1.0000
2019-05-23,4.1000,4.2200,4.0000,4.0000,4.0000,11748,0.0000,1.0000
2019-05-22,4.2250,4.2250,4.1000,4.1000,4.1000,1126,0.0000,1.0000
2019-05-21,4.1205,4.1205,4.1205,4.1205,4.1205,83,0.0000,1.0000
2019-05-20,4.1205,4.1800,4.1205,4.1205,4.1205,2304,0.0000,1.0000
2019-05-17,4.2446,4.2446,4.2446,4.2446,4.2446,84,0.0000,1.0000
2019-05-16,4.2446,4.2446,4.2446,4.2446,4.2446,34,0.0000,1.0000
2019-05-15,4.2446,4.2446,4.2446,4.2446,4.2446,1,0.0000,1.0000
2019-05-14,4.3400,4.3400,4.1500,4.2446,4.2446,7592,0.0000,1.0000
2019-05-13,4.4900,4.5000,4.4900,4.4900,4.4900,1866,0.0000,1.0000
2019-05-10,4.5565,4.5929,4.4901,4.5900,4.5900,6115,0.0000,1.0000
2019-05-09,4.5100,4.5100,4.5100,4.5100,4.5100,349,0.0000,1.0000
2019-05-08,4.5500,4.5500,4.5500,4.5500,4.5500,2,0.0000,1.0000
2019-05-07,4.5500,4.5500,4.5500,4.5500,4.5500,126,0.0000,1.0000
2019-05-06,4.7000,4.7000,4.5500,4.5500,4.5500,850,0.0000,1.0000
2019-05-03,4.6775,4.6775,4.6775,4.6775,4.6775,1,0.0000,1.0000
2019-05-02,4.6780,4.6780,4.6780,4.6780,4.6780,0,0.0000,1.0000
2019-05-01,4.6775,4.6775,4.6775,4.6775,4.6775,190,0.0000,1.0000
2019-04-30,4.7000,4.7000,4.6800,4.6800,4.6800,333,0.0000,1.0000
2019-04-29,4.6700,4.6700,4.6700,4.6700,4.6700,4,0.0000,1.0000
2019-04-26,4.6700,4.6700,4.6700,4.6700,4.6700,53,0.0000,1.0000
2019-04-25,4.6700,4.6700,4.6700,4.6700,4.6700,0,0.0000,1.0000
2019-04-24,4.6700,4.6700,4.6700,4.6700,4.6700,215,0.0000,1.0000
2019-04-23,4.6000,4.6000,4.6000,4.6000,4.6000,100,0.0000,1.0000
2019-04-22,4.6000,4.6000,4.6000,4.6000,4.6000,93,0.0000,1.0000
2019-04-18,4.6000,4.6000,4.6000,4.6000,4.6000,102,0.0000,1.0000
2019-04-17,4.8100,4.8100,4.5724,4.5724,4.5724,2610,0.0000,1.0000
2019-04-16,4.6300,4.6300,4.6300,4.6300,4.6300,170,0.0000,1.0000
2019-04-15,4.7900,4.8600,4.6100,4.6100,4.6100,12747,0.0000,1.0000
2019-04-12,4.8000,4.9400,4.6250,4.7972,4.7972,17374,0.0000,1.0000
2019-04-11,4.6300,4.6300,4.6300,4.6300,4.6300,2,0.0000,1.0000
2019-04-10,4.7900,4.8000,4.6300,4.6300,4.6300,2453,0.0000,1.0000
2019-04-09,4.7500,4.7500,4.6510,4.6510,4.6510,2259,0.0000,1.0000
2019-04-08,4.7500,4.7500,4.7500,4.7500,4.7500,3625,0.0000,1.0000
2019-04-05,4.7500,4.7762,4.7000,4.7277,4.7277,27385,0.0000,1.0000
2019-04-04,4.8000,4.8000,4.3400,4.6300,4.6300,6814,0.0000,1.0000
2019-04-03,4.6775,4.7400,4.6000,4.7160,4.7160,11401,0.0000,1.0000
2019-04-02,4.5500,4.5500,4.5500,4.5500,4.5500,236,0.0000,1.0000
2019-04-01,4.5200,4.5200,4.5200,4.5200,4.5200,64,0.0000,1.0000
2019-03-29,4.5940,4.6900,4.5200,4.5200,4.5200,5228,0.0000,1.0000
2019-03-28,4.2009,4.2009,4.2009,4.2009,4.2009,82,0.0000,1.0000
2019-03-27,4.2009,4.2009,4.2009,4.2009,4.2009,53,0.0000,1.0000
2019-03-26,4.2009,4.2009,4.2009,4.2009,4.2009,18,0.0000,1.0000
2019-03-25,4.2009,4.2009,4.2009,4.2009,4.2009,50,0.0000,1.0000
2019-03-22,4.2500,4.6678,4.2009,4.2009,4.2009,5013,0.0000,1.0000
2019-03-21,4.1900,4.1900,4.1900,4.1900,4.1900,167,0.0000,1.0000
2019-03-20,4.1900,4.1900,4.1900,4.1900,4.1900,273,0.0000,1.0000
2019-03-19,4.0001,4.1838,4.0001,4.1838,4.1838,1908,0.0000,1.0000
2019-03-18,4.3300,4.3300,4.3300,4.3300,4.3300,225,0.0000,1.0000
2019-03-15,4.4200,4.4200,3.9000,4.1000,4.1000,13016,0.0000,1.0000
2019-03-14,4.3110,4.4500,4.3110,4.4500,4.4500,281,0.0000,1.0000
2019-03-13,4.0600,4.5130,3.9698,4.1000,4.1000,259546,0.0000,1.0000
2019-03-12,4.1000,4.1000,4.1000,4.1000,4.1000,122,0.0000,1.0000
2019-03-11,4.1000,4.1100,4.0853,4.1000,4.1000,1143,0.0000,1.0000
2019-03-08,4.1000,4.1400,4.1000,4.1000,4.1000,6232,0.0000,1.0000
2019-03-07,4.1000,4.1001,4.0973,4.1000,4.1000,3856,0.0000,1.0000
2019-03-06,4.1673,4.1673,4.1673,4.1673,4.1673,116,0.0000,1.0000
2019-03-05,4.2000,4.2000,4.1673,4.1673,4.1673,3571,0.0000,1.0000
2019-03-04,4.2000,4.2000,4.2000,4.2000,4.2000,1651,0.0000,1.0000
2019-03-01,4.1400,4.2500,4.1400,4.2000,4.2000,8516,0.0000,1.0000
2019-02-28,4.2001,4.2001,4.0000,4.0000,4.0000,3599,0.0000,1.0000
2019-02-27,4.5800,4.5800,4.3542,4.3542,4.3542,451,0.0000,1.0000
2019-02-26,4.4000,4.6501,4.0950,4.5100,4.5100,2166,0.0000,1.0000
2019-02-25,4.6473,4.6473,4.6473,4.6473,4.6473,107,0.0000,1.0000
2019-02-22,4.6473,4.6473,4.6473,4.6473,4.6473,276,0.0000,1.0000
2019-02-21,4.3800,4.6800,4.3800,4.5506,4.5506,3023,0.0000,1.0000
2019-02-20,4.3200,4.4900,4.2244,4.4000,4.4000,15728,0.0000,1.0000
2019-02-19,4.4999,4.4999,4.4999,4.4999,4.4999,755,0.0000,1.0000
2019-02-15,4.3200,4.6000,4.3000,4.4706,4.4706,2057,0.0000,1.0000
2019-02-14,4.4500,4.6366,4.0000,4.3100,4.3100,18578,0.0000,1.0000
