timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,7.9700,7.9800,7.8000,7.9150,7.9150,37546,0.0000,1.0000
2019-07-29,8.4700,8.4700,7.8400,7.9800,7.9800,260721,0.0000,1.0000
2019-07-26,8.4200,8.5300,8.3000,8.5100,8.5100,204468,0.0000,1.0000
2019-07-25,8.6800,8.8500,8.3200,8.4300,8.4300,221126,0.0000,1.0000
2019-07-24,8.8200,8.8900,8.6800,8.7700,8.7700,134770,0.0000,1.0000
2019-07-23,8.7500,8.9000,8.6800,8.8400,8.8400,96587,0.0000,1.0000
2019-07-22,8.8400,9.1075,8.6600,8.8000,8.8000,115147,0.0000,1.0000
2019-07-19,8.8800,8.9400,8.7200,8.8700,8.8700,124628,0.0000,1.0000
2019-07-18,8.8600,8.9600,8.7100,8.8700,8.8700,113581,0.0000,1.0000
2019-07-17,9.2400,9.2400,8.8700,8.9300,8.9300,138541,0.0000,1.0000
2019-07-16,9.3400,9.4000,9.0900,9.1900,9.1900,203571,0.0000,1.0000
2019-07-15,9.4000,9.6400,9.2700,9.3700,9.3700,183299,0.0000,1.0000
2019-07-12,9.2800,9.4200,9.2000,9.3100,9.3100,129891,0.0000,1.0000
2019-07-11,9.3000,9.3000,8.7900,9.2100,9.2100,203565,0.0000,1.0000
2019-07-10,9.1800,9.4400,9.1800,9.3100,9.3100,172794,0.0000,1.0000
2019-07-09,9.2100,9.2300,9.0100,9.1900,9.1900,157503,0.0000,1.0000
2019-07-08,9.2200,9.2500,9.1100,9.2100,9.2100,128506,0.0000,1.0000
2019-07-05,9.3500,9.4100,9.2000,9.2800,9.2800,76861,0.0000,1.0000
2019-07-03,9.5100,9.5200,9.2500,9.3800,9.3800,71011,0.0000,1.0000
2019-07-02,9.4700,9.5600,9.3000,9.4700,9.4700,178179,0.0000,1.0000
2019-07-01,9.8200,9.8650,9.4100,9.4500,9.4500,173428,0.0000,1.0000
2019-06-28,9.7500,9.7800,9.5200,9.6100,9.6100,213256,0.0000,1.0000
2019-06-27,9.7600,9.8000,9.6200,9.7200,9.7200,185001,0.0000,1.0000
2019-06-26,9.6600,9.8400,9.5700,9.6400,9.6400,223796,0.0000,1.0000
2019-06-25,10.4200,10.4200,9.6200,9.6500,9.6500,265126,0.0000,1.0000
2019-06-24,10.3800,10.7600,10.3500,10.4900,10.4900,204765,0.0000,1.0000
2019-06-21,10.5300,10.5900,10.2400,10.4500,10.4500,457970,0.0000,1.0000
2019-06-20,10.7900,10.8200,10.4200,10.4600,10.4600,165951,0.0000,1.0000
2019-06-19,10.7500,10.8700,10.5600,10.6500,10.6500,149863,0.0000,1.0000
2019-06-18,10.4500,10.7500,10.2000,10.6900,10.6900,195797,0.0000,1.0000
2019-06-17,10.2000,10.8400,10.2000,10.4100,10.4100,205198,0.0000,1.0000
