timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,0.0030,0.0076,0.0030,0.0045,0.0045,76558,0.0000,1.0000
2019-07-26,0.0000,0.0000,0.0000,0.0014,0.0014,0,0.0000,1.0000
2019-07-23,0.0014,0.0014,0.0014,0.0014,0.0014,20069,0.0000,1.0000
2019-07-18,0.0014,0.0039,0.0014,0.0039,0.0039,110209,0.0000,1.0000
2019-07-17,0.0056,0.0058,0.0028,0.0057,0.0057,244581,0.0000,1.0000
2019-07-16,0.0020,0.0046,0.0020,0.0021,0.0021,3000,0.0000,1.0000
2019-07-15,0.0030,0.0079,0.0030,0.0045,0.0045,309715,0.0000,1.0000
2019-07-03,0.0034,0.0034,0.0033,0.0033,0.0033,26209,0.0000,1.0000
2019-07-02,0.0034,0.0034,0.0033,0.0033,0.0033,9800,0.0000,1.0000
2019-07-01,0.0035,0.0035,0.0034,0.0034,0.0034,15300,0.0000,1.0000
2019-06-28,0.0020,0.0020,0.0020,0.0020,0.0020,11000,0.0000,1.0000
2019-06-25,0.0020,0.0020,0.0020,0.0020,0.0020,40100,0.0000,1.0000
2019-06-21,0.0013,0.0013,0.0013,0.0013,0.0013,500,0.0000,1.0000
2019-06-20,0.0035,0.0035,0.0035,0.0035,0.0035,1000,0.0000,1.0000
2019-06-19,0.0035,0.0035,0.0035,0.0035,0.0035,300,0.0000,1.0000
2019-06-18,0.0044,0.0044,0.0033,0.0035,0.0035,32100,0.0000,1.0000
2019-06-17,0.0025,0.0025,0.0025,0.0025,0.0025,5220,0.0000,1.0000
2019-06-13,0.0025,0.0025,0.0025,0.0025,0.0025,10000,0.0000,1.0000
2019-06-10,0.0030,0.0030,0.0012,0.0012,0.0012,81700,0.0000,1.0000
2019-06-07,0.0005,0.0005,0.0005,0.0005,0.0005,703800,0.0000,1.0000
2019-06-04,0.0012,0.0012,0.0012,0.0012,0.0012,11160,0.0000,1.0000
2019-06-03,0.0034,0.0034,0.0034,0.0034,0.0034,15750,0.0000,1.0000
2019-05-28,0.0012,0.0012,0.0012,0.0012,0.0012,4000,0.0000,1.0000
2019-05-24,0.0011,0.0011,0.0011,0.0011,0.0011,16200,0.0000,1.0000
2019-05-23,0.0033,0.0033,0.0033,0.0033,0.0033,100,0.0000,1.0000
2019-05-22,0.0025,0.0025,0.0025,0.0025,0.0025,20000,0.0000,1.0000
2019-05-17,0.0068,0.0068,0.0025,0.0025,0.0025,28210,0.0000,1.0000
2019-05-16,0.0020,0.0020,0.0020,0.0020,0.0020,100,0.0000,1.0000
2019-05-13,0.0060,0.0060,0.0020,0.0020,0.0020,37000,0.0000,1.0000
2019-05-10,0.0050,0.0050,0.0011,0.0011,0.0011,12000,0.0000,1.0000
2019-05-06,0.0011,0.0012,0.0011,0.0012,0.0012,450,0.0000,1.0000
2019-04-22,0.0040,0.0040,0.0040,0.0040,0.0040,200,0.0000,1.0000
2019-04-18,0.0068,0.0068,0.0035,0.0040,0.0040,50100,0.0000,1.0000
2019-04-12,0.0050,0.0050,0.0049,0.0049,0.0049,10000,0.0000,1.0000
2019-04-11,0.0050,0.0050,0.0050,0.0050,0.0050,100,0.0000,1.0000
2019-04-09,0.0030,0.0049,0.0030,0.0030,0.0030,20600,0.0000,1.0000
2019-04-04,0.0011,0.0020,0.0011,0.0020,0.0020,21800,0.0000,1.0000
2019-03-28,0.0024,0.0028,0.0024,0.0028,0.0028,33900,0.0000,1.0000
2019-03-26,0.0024,0.0024,0.0024,0.0024,0.0024,40000,0.0000,1.0000
2019-03-25,0.0020,0.0025,0.0020,0.0025,0.0025,63932,0.0000,1.0000
2019-03-20,0.0042,0.0045,0.0041,0.0041,0.0041,63220,0.0000,1.0000
2019-03-19,0.0020,0.0041,0.0020,0.0041,0.0041,19020,0.0000,1.0000
2019-03-18,0.0049,0.0083,0.0041,0.0042,0.0042,139133,0.0000,1.0000
2019-03-14,0.0011,0.0040,0.0011,0.0029,0.0029,50900,0.0000,1.0000
2019-03-07,0.0032,0.0032,0.0024,0.0024,0.0024,47060,0.0000,1.0000
2019-03-05,0.0020,0.0020,0.0020,0.0020,0.0020,5000,0.0000,1.0000
2019-03-04,0.0020,0.0020,0.0020,0.0020,0.0020,230,0.0000,1.0000
2019-02-26,0.0020,0.0028,0.0020,0.0028,0.0028,10900,0.0000,1.0000
2019-02-25,0.0030,0.0030,0.0029,0.0030,0.0030,59062,0.0000,1.0000
2019-02-22,0.0033,0.0033,0.0030,0.0030,0.0030,15600,0.0000,1.0000
2019-02-21,0.0029,0.0030,0.0020,0.0028,0.0028,42436,0.0000,1.0000
2019-02-20,0.0020,0.0035,0.0020,0.0034,0.0034,60000,0.0000,1.0000
2019-02-19,0.0079,0.0079,0.0020,0.0029,0.0029,74290,0.0000,1.0000
2019-02-15,0.0040,0.0049,0.0013,0.0049,0.0049,111320,0.0000,1.0000
2019-02-14,0.0050,0.0060,0.0049,0.0049,0.0049,30600,0.0000,1.0000
2019-02-13,0.0040,0.0050,0.0013,0.0020,0.0020,214690,0.0000,1.0000
2019-02-11,0.0080,0.0080,0.0040,0.0060,0.0060,12500,0.0000,1.0000
2019-02-08,0.0080,0.0080,0.0080,0.0080,0.0080,1500,0.0000,1.0000
2019-02-07,0.0011,0.0080,0.0011,0.0080,0.0080,6209,0.0000,1.0000
2019-02-06,0.0080,0.0080,0.0050,0.0050,0.0050,11491,0.0000,1.0000
2019-02-05,0.0084,0.0084,0.0084,0.0084,0.0084,309,0.0000,1.0000
2019-02-01,0.0027,0.0027,0.0027,0.0027,0.0027,20476,0.0000,1.0000
2019-01-31,0.0015,0.0027,0.0015,0.0027,0.0027,139328,0.0000,1.0000
2019-01-30,0.0035,0.0035,0.0023,0.0023,0.0023,42872,0.0000,1.0000
2019-01-28,0.0036,0.0036,0.0035,0.0035,0.0035,56728,0.0000,1.0000
2019-01-25,0.0038,0.0038,0.0037,0.0037,0.0037,79800,0.0000,1.0000
2019-01-24,0.0039,0.0039,0.0036,0.0037,0.0037,84775,0.0000,1.0000
2019-01-23,0.0070,0.0070,0.0070,0.0070,0.0070,21225,0.0000,1.0000
2019-01-22,0.0037,0.0037,0.0036,0.0036,0.0036,10000,0.0000,1.0000
2019-01-16,0.0033,0.0033,0.0033,0.0033,0.0033,12975,0.0000,1.0000
2019-01-15,0.0080,0.0080,0.0080,0.0080,0.0080,100,0.0000,1.0000
2019-01-14,0.0080,0.0080,0.0080,0.0080,0.0080,28927,0.0000,1.0000
2019-01-11,0.0053,0.0053,0.0053,0.0053,0.0053,20000,0.0000,1.0000
2019-01-10,0.0089,0.0089,0.0053,0.0053,0.0053,57000,0.0000,1.0000
2019-01-09,0.0053,0.0053,0.0053,0.0053,0.0053,10900,0.0000,1.0000
2019-01-08,0.0070,0.0070,0.0053,0.0053,0.0053,400,0.0000,1.0000
2019-01-04,0.0033,0.0033,0.0033,0.0033,0.0033,1000,0.0000,1.0000
2019-01-03,0.0089,0.0089,0.0078,0.0078,0.0078,27000,0.0000,1.0000
2019-01-02,0.0074,0.0074,0.0035,0.0038,0.0038,8000,0.0000,1.0000
2018-12-31,0.0078,0.0089,0.0033,0.0080,0.0080,15525,0.0000,1.0000
2018-12-28,0.0070,0.0085,0.0038,0.0038,0.0038,40500,0.0000,1.0000
2018-12-27,0.0070,0.0070,0.0042,0.0042,0.0042,30100,0.0000,1.0000
2018-12-26,0.0048,0.0090,0.0015,0.0032,0.0032,252404,0.0000,1.0000
2018-12-24,0.0048,0.0048,0.0047,0.0047,0.0047,7100,0.0000,1.0000
2018-12-21,0.0070,0.0070,0.0044,0.0044,0.0044,29757,0.0000,1.0000
2018-12-20,0.0090,0.0090,0.0050,0.0051,0.0051,159661,0.0000,1.0000
2018-12-19,0.0070,0.0090,0.0049,0.0049,0.0049,800,0.0000,1.0000
2018-12-14,0.0030,0.0030,0.0030,0.0030,0.0030,10000,0.0000,1.0000
2018-12-13,0.0050,0.0050,0.0050,0.0050,0.0050,100,0.0000,1.0000
2018-12-12,0.0080,0.0080,0.0040,0.0080,0.0080,10808,0.0000,1.0000
2018-12-11,0.0080,0.0090,0.0080,0.0080,0.0080,15750,0.0000,1.0000
2018-12-10,0.0090,0.0090,0.0050,0.0050,0.0050,100150,0.0000,1.0000
2018-12-06,0.0100,0.0100,0.0100,0.0100,0.0100,600,0.0000,1.0000
2018-12-04,0.0100,0.0101,0.0047,0.0047,0.0047,40878,0.0000,1.0000
2018-12-03,0.0065,0.0148,0.0023,0.0148,0.0148,209901,0.0000,1.0000
2018-11-29,0.0035,0.0035,0.0011,0.0011,0.0011,2900,0.0000,1.0000
2018-11-28,0.0065,0.0065,0.0010,0.0035,0.0035,125200,0.0000,1.0000
2018-11-27,0.0011,0.0011,0.0006,0.0007,0.0007,502400,0.0000,1.0000
2018-11-26,0.0044,0.0044,0.0025,0.0044,0.0044,87130,0.0000,1.0000
2018-11-21,0.0065,0.0065,0.0044,0.0044,0.0044,500,0.0000,1.0000
2018-11-19,0.0050,0.0050,0.0050,0.0050,0.0050,11400,0.0000,1.0000
2018-11-16,0.0045,0.0046,0.0045,0.0046,0.0046,3550,0.0000,1.0000
2018-11-15,0.0050,0.0050,0.0050,0.0050,0.0050,10000,0.0000,1.0000
2018-11-13,0.0032,0.0032,0.0032,0.0032,0.0032,100,0.0000,1.0000
2018-11-12,0.0066,0.0066,0.0047,0.0047,0.0047,82500,0.0000,1.0000
2018-11-09,0.0044,0.0100,0.0040,0.0055,0.0055,330292,0.0000,1.0000
2018-11-08,0.0045,0.0045,0.0045,0.0045,0.0045,7160,0.0000,1.0000
2018-11-05,0.0040,0.0045,0.0032,0.0044,0.0044,104000,0.0000,1.0000
2018-11-02,0.0034,0.0038,0.0034,0.0038,0.0038,56600,0.0000,1.0000
2018-11-01,0.0070,0.0070,0.0035,0.0035,0.0035,602,0.0000,1.0000
2018-10-30,0.0100,0.0100,0.0043,0.0050,0.0050,17800,0.0000,1.0000
2018-10-29,0.0045,0.0045,0.0045,0.0045,0.0045,100,0.0000,1.0000
2018-10-26,0.0041,0.0055,0.0041,0.0050,0.0050,10600,0.0000,1.0000
2018-10-25,0.0044,0.0044,0.0044,0.0044,0.0044,15400,0.0000,1.0000
2018-10-24,0.0044,0.0050,0.0026,0.0042,0.0042,27030,0.0000,1.0000
2018-10-22,0.0044,0.0050,0.0016,0.0043,0.0043,51990,0.0000,1.0000
2018-10-19,0.0031,0.0031,0.0030,0.0030,0.0030,148000,0.0000,1.0000
2018-10-18,0.0016,0.0016,0.0016,0.0016,0.0016,2000,0.0000,1.0000
2018-10-17,0.0049,0.0050,0.0049,0.0050,0.0050,20000,0.0000,1.0000
2018-10-16,0.0044,0.0060,0.0016,0.0035,0.0035,269150,0.0000,1.0000
2018-10-15,0.0044,0.0044,0.0044,0.0044,0.0044,6500,0.0000,1.0000
2018-10-12,0.0044,0.0044,0.0038,0.0038,0.0038,300,0.0000,1.0000
2018-10-11,0.0049,0.0049,0.0049,0.0049,0.0049,100,0.0000,1.0000
2018-10-10,0.0049,0.0049,0.0049,0.0049,0.0049,200,0.0000,1.0000
2018-10-09,0.0049,0.0049,0.0038,0.0049,0.0049,26200,0.0000,1.0000
2018-10-08,0.0045,0.0059,0.0041,0.0049,0.0049,377500,0.0000,1.0000
2018-10-05,0.0025,0.0049,0.0012,0.0014,0.0014,281500,0.0000,1.0000
2018-10-01,0.0035,0.0035,0.0035,0.0035,0.0035,250000,0.0000,1.0000
2018-09-28,0.0041,0.0055,0.0020,0.0049,0.0049,8800,0.0000,1.0000
2018-09-27,0.0058,0.0058,0.0057,0.0058,0.0058,41200,0.0000,1.0000
2018-09-26,0.0055,0.0060,0.0055,0.0060,0.0060,142726,0.0000,1.0000
2018-09-25,0.0011,0.0060,0.0011,0.0055,0.0055,221800,0.0000,1.0000
2018-09-21,0.0060,0.0060,0.0021,0.0040,0.0040,57000,0.0000,1.0000
2018-09-20,0.0044,0.0044,0.0044,0.0044,0.0044,6000,0.0000,1.0000
2018-09-19,0.0045,0.0045,0.0044,0.0044,0.0044,8000,0.0000,1.0000
2018-09-18,0.0045,0.0045,0.0030,0.0039,0.0039,65700,0.0000,1.0000
2018-09-17,0.0032,0.0032,0.0032,0.0032,0.0032,29996,0.0000,1.0000
2018-09-14,0.0040,0.0043,0.0040,0.0043,0.0043,49668,0.0000,1.0000
2018-09-12,0.0027,0.0040,0.0027,0.0039,0.0039,19800,0.0000,1.0000
2018-09-11,0.0048,0.0048,0.0020,0.0027,0.0027,20900,0.0000,1.0000
2018-09-10,0.0050,0.0050,0.0040,0.0040,0.0040,8038,0.0000,1.0000
2018-09-07,0.0040,0.0040,0.0039,0.0039,0.0039,183100,0.0000,1.0000
2018-09-05,0.0040,0.0040,0.0039,0.0040,0.0040,31420,0.0000,1.0000
2018-09-04,0.0060,0.0060,0.0040,0.0040,0.0040,132100,0.0000,1.0000
2018-08-30,0.0060,0.0060,0.0050,0.0050,0.0050,100200,0.0000,1.0000
2018-08-29,0.0030,0.0040,0.0030,0.0040,0.0040,40400,0.0000,1.0000
2018-08-28,0.0020,0.0041,0.0020,0.0040,0.0040,47900,0.0000,1.0000
2018-08-27,0.0020,0.0020,0.0020,0.0020,0.0020,1000,0.0000,1.0000
2018-08-24,0.0045,0.0048,0.0023,0.0023,0.0023,183700,0.0000,1.0000
2018-08-23,0.0065,0.0065,0.0055,0.0055,0.0055,50900,0.0000,1.0000
2018-08-22,0.0064,0.0070,0.0023,0.0032,0.0032,466620,0.0000,1.0000
2018-08-21,0.0011,0.0070,0.0011,0.0020,0.0020,32607,0.0000,1.0000
2018-08-17,0.0069,0.0070,0.0069,0.0070,0.0070,101000,0.0000,1.0000
2018-08-16,0.0070,0.0070,0.0069,0.0069,0.0069,12100,0.0000,1.0000
2018-08-15,0.0012,0.0012,0.0011,0.0012,0.0012,221900,0.0000,1.0000
2018-08-14,0.0012,0.0012,0.0012,0.0012,0.0012,100,0.0000,1.0000
2018-08-13,0.0050,0.0050,0.0050,0.0050,0.0050,91,0.0000,1.0000
2018-08-10,0.0050,0.0050,0.0050,0.0050,0.0050,8,0.0000,1.0000
2018-08-09,0.0054,0.0055,0.0049,0.0050,0.0050,310018,0.0000,1.0000
