timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,1.1100,1.2689,1.1100,1.1900,1.1900,73927,0.0000,1.0000
2019-07-29,1.3900,1.4800,1.0500,1.1300,1.1300,128763,0.0000,1.0000
2019-07-26,1.5000,1.5500,1.4100,1.4100,1.4100,31353,0.0000,1.0000
2019-07-25,1.7600,1.7600,1.5300,1.5600,1.5600,29002,0.0000,1.0000
2019-07-24,2.0700,2.3000,1.7400,1.7550,1.7550,175754,0.0000,1.0000
2019-07-23,2.2000,2.3200,2.0500,2.1100,2.1100,149860,0.0000,1.0000
2019-07-22,2.8999,2.8999,1.9500,2.2200,2.2200,234701,0.0000,1.0000
2019-07-19,2.6500,2.7200,2.5000,2.6900,2.6900,246772,0.0000,1.0000
2019-07-18,2.7800,2.9899,2.4800,2.5800,2.5800,236160,0.0000,1.0000
2019-07-17,2.5500,2.7900,2.5200,2.7800,2.7800,150625,0.0000,1.0000
2019-07-16,2.8300,2.8600,2.5600,2.5700,2.5700,142851,0.0000,1.0000
2019-07-15,3.0400,3.1100,2.8100,2.8500,2.8500,145586,0.0000,1.0000
2019-07-12,3.0600,3.1700,2.9400,3.0800,3.0800,241988,0.0000,1.0000
2019-07-11,3.1500,3.2200,3.0000,3.0800,3.0800,191343,0.0000,1.0000
2019-07-10,3.1700,3.2600,2.9000,3.1500,3.1500,254061,0.0000,1.0000
2019-07-09,3.1000,3.3400,3.1000,3.1900,3.1900,200102,0.0000,1.0000
2019-07-08,3.1900,3.3800,3.0600,3.1300,3.1300,338904,0.0000,1.0000
2019-07-05,3.2100,3.4200,3.0100,3.2300,3.2300,357274,0.0000,1.0000
2019-07-03,3.1800,3.3900,3.0500,3.2300,3.2300,276554,0.0000,1.0000
2019-07-02,3.2200,3.4600,3.1200,3.2200,3.2200,325184,0.0000,1.0000
2019-07-01,3.4200,3.8000,3.0350,3.2600,3.2600,286671,0.0000,1.0000
2019-06-28,3.4700,3.4900,3.2000,3.4600,3.4600,302759,0.0000,1.0000
2019-06-27,3.3000,3.4000,3.0500,3.2500,3.2500,230249,0.0000,1.0000
2019-06-26,3.3000,3.5699,3.0400,3.2900,3.2900,233664,0.0000,1.0000
2019-06-25,3.6800,3.7400,3.2200,3.2200,3.2200,285989,0.0000,1.0000
2019-06-24,3.8000,3.9000,3.5300,3.6900,3.6900,319571,0.0000,1.0000
2019-06-21,4.1000,4.4465,3.6552,3.8400,3.8400,365239,0.0000,1.0000
2019-06-20,3.7400,4.1501,3.6500,4.0800,4.0800,302274,0.0000,1.0000
2019-06-19,3.7000,3.9000,3.6100,3.7000,3.7000,312838,0.0000,1.0000
2019-06-18,3.7900,3.9200,3.5200,3.8700,3.8700,321994,0.0000,1.0000
2019-06-17,3.8700,3.9000,3.6800,3.7500,3.7500,312138,0.0000,1.0000
2019-06-14,3.8600,4.0500,3.6800,3.8900,3.8900,316788,0.0000,1.0000
2019-06-13,3.9200,4.0099,3.6500,3.9800,3.9800,289036,0.0000,1.0000
2019-06-12,3.9800,4.0800,3.5879,3.9300,3.9300,254282,0.0000,1.0000
2019-06-11,4.0000,4.1900,3.5700,3.9000,3.9000,241784,0.0000,1.0000
2019-06-10,3.7700,4.0100,3.5000,4.0100,4.0100,233442,0.0000,1.0000
2019-06-07,3.4000,3.8100,3.4000,3.7000,3.7000,215342,0.0000,1.0000
2019-06-06,3.3900,3.4600,3.2000,3.4100,3.4100,175727,0.0000,1.0000
2019-06-05,3.3200,3.4000,3.1100,3.4000,3.4000,102636,0.0000,1.0000
2019-06-04,3.3000,3.3800,3.1000,3.3000,3.3000,105072,0.0000,1.0000
2019-06-03,3.5300,3.6000,3.1000,3.3000,3.3000,96349,0.0000,1.0000
2019-05-31,3.3200,3.5700,3.3000,3.5300,3.5300,106297,0.0000,1.0000
2019-05-30,3.6000,3.7300,3.3000,3.5700,3.5700,79622,0.0000,1.0000
2019-05-29,3.7500,3.8000,3.2800,3.6000,3.6000,88964,0.0000,1.0000
2019-05-28,3.7000,3.7008,3.3600,3.6999,3.6999,65545,0.0000,1.0000
2019-05-24,3.7920,4.2300,3.5100,3.5200,3.5200,72335,0.0000,1.0000
2019-05-23,3.6000,4.0000,3.6000,3.8399,3.8399,89287,0.0000,1.0000
2019-05-22,3.8900,4.1706,3.5400,3.5400,3.5400,71719,0.0000,1.0000
2019-05-21,4.1800,4.3899,3.6000,4.0000,4.0000,41211,0.0000,1.0000
2019-05-20,4.6000,4.6000,4.0500,4.3699,4.3699,30064,0.0000,1.0000
2019-05-17,4.0400,4.9600,4.0400,4.6999,4.6999,37271,0.0000,1.0000
2019-05-16,4.5000,4.5000,3.7000,3.7300,3.7300,55951,0.0000,1.0000
2019-05-15,5.0400,5.0400,4.4100,4.5900,4.5900,17696,0.0000,1.0000
2019-05-14,4.6600,5.4000,4.4500,5.1299,5.1299,14215,0.0000,1.0000
2019-05-13,5.0000,5.1800,4.6601,4.9900,4.9900,1509,0.0000,1.0000
2019-05-10,5.6000,5.8800,5.0101,5.2300,5.2300,11342,0.0000,1.0000
2019-05-09,6.2900,6.5600,5.5000,5.6000,5.6000,24895,0.0000,1.0000
2019-05-08,6.3500,6.6500,6.0900,6.5500,6.5500,7038,0.0000,1.0000
2019-05-07,6.7100,6.7100,5.5200,6.0400,6.0400,7184,0.0000,1.0000
2019-05-06,5.8164,7.1200,5.8164,6.3899,6.3899,2095,0.0000,1.0000
2019-05-03,7.1299,7.1300,5.5200,6.3000,6.3000,7556,0.0000,1.0000
2019-05-02,6.2400,7.1200,6.2200,7.0700,7.0700,965,0.0000,1.0000
2019-05-01,7.1199,7.5200,6.1840,7.1299,7.1299,5259,0.0000,1.0000
2019-04-30,6.4000,6.7600,6.0300,6.7200,6.7200,4435,0.0000,1.0000
2019-04-29,6.4400,6.4400,5.0351,6.3000,6.3000,8108,0.0000,1.0000
2019-04-26,7.3600,7.3600,5.3000,5.9800,5.9800,15863,0.0000,1.0000
2019-04-25,7.2100,7.8999,7.1700,7.8999,7.8999,1011,0.0000,1.0000
2019-04-24,7.7400,8.2099,7.1600,7.6600,7.6600,2986,0.0000,1.0000
2019-04-23,8.2099,8.2100,7.3900,8.2100,8.2100,1414,0.0000,1.0000
2019-04-22,8.1200,8.2000,7.3000,7.8800,7.8800,6520,0.0000,1.0000
2019-04-18,8.7800,9.2884,6.8700,9.1300,9.1300,15087,0.0000,1.0000
2019-04-17,8.1300,9.1500,7.5300,8.4000,8.4000,11456,0.0000,1.0000
2019-04-16,8.6500,9.1499,8.0101,8.3000,8.3000,6194,0.0000,1.0000
2019-04-15,8.6200,9.3299,8.0001,8.6000,8.6000,8174,0.0000,1.0000
2019-04-12,9.0400,9.5100,7.9200,8.6000,8.6000,2128,0.0000,1.0000
2019-04-11,8.9900,9.5099,8.3601,9.4900,9.4900,5658,0.0000,1.0000
2019-04-10,9.2100,9.2100,7.7220,9.0200,9.0200,7840,0.0000,1.0000
2019-04-09,7.4000,9.2100,7.4000,9.0600,9.0600,7005,0.0000,1.0000
2019-04-08,7.9400,9.0200,7.4900,9.0200,9.0200,17360,0.0000,1.0000
2019-04-05,6.5800,8.5700,6.0400,7.9000,7.9000,10913,0.0000,1.0000
2019-04-04,6.3300,6.6000,6.1100,6.5200,6.5200,6968,0.0000,1.0000
2019-04-03,7.3199,7.3199,5.9000,6.5999,6.5999,5421,0.0000,1.0000
2019-04-02,7.5999,7.6000,6.9900,7.0799,7.0799,2421,0.0000,1.0000
2019-04-01,7.9800,7.9800,6.5740,7.2500,7.2500,1960,0.0000,1.0000
2019-03-29,9.2000,9.2000,7.4200,7.4200,7.4200,3114,0.0000,1.0000
2019-03-28,8.7600,8.7600,7.5500,8.7600,8.7600,2043,0.0000,1.0000
2019-03-27,9.0100,9.2600,7.7100,8.1899,8.1899,7122,0.0000,1.0000
2019-03-26,9.2499,9.2499,9.2499,9.2499,9.2499,100,0.0000,1.0000
2019-03-25,9.2000,9.4599,8.9500,9.2099,9.2099,4018,0.0000,1.0000
2019-03-22,9.8300,10.3999,8.2400,9.2900,9.2900,6786,0.0000,1.0000
2019-03-21,10.3499,10.3500,9.5000,10.2679,10.2679,7585,0.0000,1.0000
2019-03-20,10.0000,10.4000,9.5000,9.7500,9.7500,12163,0.0000,1.0000
2019-03-19,10.2900,10.4000,9.4801,10.4000,10.4000,8473,0.0000,1.0000
