timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,53.5500,54.4100,53.1800,54.3350,54.3350,292785,0.0000,1.0000
2019-07-29,54.6800,54.6940,52.3600,53.9000,53.9000,1370552,0.0000,1.0000
2019-07-26,52.8100,54.7800,52.6700,54.6800,54.6800,2809139,0.0000,1.0000
2019-07-25,54.3000,54.3000,52.2300,52.4700,52.4700,2386533,0.0000,1.0000
2019-07-24,52.6700,54.5300,52.5300,54.3500,54.3500,1211667,0.0000,1.0000
2019-07-23,52.5100,53.2300,52.2100,52.9400,52.9400,836827,0.0000,1.0000
2019-07-22,52.6800,52.9700,52.0200,52.3700,52.3700,2029414,0.0000,1.0000
2019-07-19,53.4900,53.4900,52.1600,52.4200,52.4200,1180658,0.0000,1.0000
2019-07-18,52.5100,53.3000,52.4100,53.0500,53.0500,2874303,0.0000,1.0000
2019-07-17,54.2800,54.3000,52.3900,52.7700,52.7700,1720907,0.0000,1.0000
2019-07-16,54.0000,54.0900,53.3200,53.6200,53.6200,953888,0.0000,1.0000
2019-07-15,53.5000,54.1700,52.9000,54.0500,54.0500,845917,0.0000,1.0000
2019-07-12,53.8500,53.9000,52.5301,53.2000,53.2000,1210923,0.0000,1.0000
2019-07-11,51.7600,53.8800,51.7450,53.8000,53.8000,2353545,0.0000,1.0000
2019-07-10,52.3400,53.0000,51.3400,51.3500,51.3500,1999791,0.0000,1.0000
2019-07-09,51.4600,52.5200,51.2700,52.0000,52.0000,2480752,0.0000,1.0000
2019-07-08,52.0000,52.2350,51.3300,51.6500,51.6500,1199087,0.0000,1.0000
2019-07-05,50.9100,52.2000,50.7000,52.1600,52.1600,1292914,0.0000,1.0000
2019-07-03,51.4400,51.8000,50.6500,51.6500,51.6500,1287753,0.0000,1.0000
2019-07-02,50.8400,51.8600,50.2100,51.3400,51.3400,1835249,0.0000,1.0000
2019-07-01,50.5300,51.1600,49.5200,50.6500,50.6500,1896995,0.0000,1.0000
2019-06-28,50.6900,51.0850,49.2300,49.7100,49.7100,6188818,0.0000,1.0000
2019-06-27,49.6500,51.1400,49.5500,50.6500,50.6500,2625999,0.0000,1.0000
2019-06-26,50.1600,50.6500,49.4900,49.4900,49.4900,2086196,0.0000,1.0000
2019-06-25,50.9500,51.5700,49.7300,49.8300,49.8300,1790919,0.0000,1.0000
2019-06-24,52.9500,53.3800,50.8600,51.0100,51.0100,2730987,0.0000,1.0000
2019-06-21,54.2500,54.8700,52.6500,52.8300,52.8300,3092318,0.0000,1.0000
2019-06-20,54.0000,54.9600,53.7000,54.8700,54.8700,2727583,0.0000,1.0000
2019-06-19,53.5600,53.8799,52.1250,53.0900,53.0900,1755222,0.0000,1.0000
2019-06-18,53.1900,54.2000,52.6600,53.5100,53.5100,3024183,0.0000,1.0000
2019-06-17,50.9000,53.3645,50.8000,52.7500,52.7500,3103865,0.0000,1.0000
