timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,2.6600,2.7500,2.6000,2.6900,2.6900,1278691,0.0000,1.0000
2019-07-29,2.8000,2.8400,2.5950,2.7200,2.7200,1306574,0.0000,1.0000
2019-07-26,2.8900,2.9000,2.6600,2.8000,2.8000,2403594,0.0000,1.0000
2019-07-25,3.1300,3.2000,2.8400,2.8700,2.8700,1822615,0.0000,1.0000
2019-07-24,3.2000,3.2000,2.9200,3.1000,3.1000,3892107,0.0000,1.0000
2019-07-23,3.3600,3.3900,3.1250,3.2200,3.2200,1960814,0.0000,1.0000
2019-07-22,3.6500,3.7000,3.2734,3.3500,3.3500,2005146,0.0000,1.0000
2019-07-19,3.6600,3.7000,3.5600,3.6600,3.6600,573927,0.0000,1.0000
2019-07-18,3.8000,3.8100,3.4000,3.6600,3.6600,2039653,0.0000,1.0000
2019-07-17,3.8600,3.8839,3.7600,3.7900,3.7900,803285,0.0000,1.0000
2019-07-16,4.0300,4.0300,3.8550,3.8800,3.8800,928312,0.0000,1.0000
2019-07-15,4.0500,4.1200,3.9200,4.0400,4.0400,1082324,0.0000,1.0000
2019-07-12,3.7900,4.0400,3.6050,4.0300,4.0300,1991436,0.0000,1.0000
2019-07-11,4.2200,4.2400,3.7000,3.7800,3.7800,2853278,0.0000,1.0000
2019-07-10,3.7900,3.8300,3.6300,3.8100,3.8100,2273799,0.0000,1.0000
2019-07-09,3.8500,3.8800,3.7700,3.7900,3.7900,785901,0.0000,1.0000
2019-07-08,3.9400,4.0600,3.8400,3.8800,3.8800,995583,0.0000,1.0000
2019-07-05,4.5500,4.6300,3.9600,3.9900,3.9900,1848787,0.0000,1.0000
2019-07-03,3.9900,4.4200,3.8700,4.3700,4.3700,2411822,0.0000,1.0000
2019-07-02,3.9800,4.0200,3.8500,3.9300,3.9300,1495741,0.0000,1.0000
2019-07-01,4.1000,4.1500,3.9200,3.9900,3.9900,867451,0.0000,1.0000
2019-06-28,3.9000,4.0400,3.8500,3.9900,3.9900,1456966,0.0000,1.0000
2019-06-27,3.8000,3.8700,3.7700,3.8600,3.8600,608464,0.0000,1.0000
2019-06-26,3.6800,3.8700,3.6400,3.7800,3.7800,753395,0.0000,1.0000
2019-06-25,3.8100,3.8500,3.6300,3.6500,3.6500,1037409,0.0000,1.0000
2019-06-24,4.0000,4.0000,3.7900,3.8000,3.8000,1120813,0.0000,1.0000
2019-06-21,3.9900,4.0100,3.7400,3.9100,3.9100,5208946,0.0000,1.0000
2019-06-20,4.0400,4.1000,3.9300,3.9600,3.9600,935012,0.0000,1.0000
2019-06-19,3.9800,4.2165,3.9300,3.9800,3.9800,1663179,0.0000,1.0000
