timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,22.0047,22.0900,21.8724,21.8990,21.8990,24524,0.0000,1.0000
2019-07-29,22.0600,22.0600,21.9500,21.9900,21.9900,10229,0.0000,1.0000
2019-07-26,21.8600,21.9400,21.8500,21.8800,21.8800,11314,0.0000,1.0000
2019-07-25,21.7600,21.8099,21.7300,21.7915,21.7915,6275,0.0000,1.0000
2019-07-24,21.7650,21.7799,21.6658,21.7500,21.7500,17379,0.0000,1.0000
2019-07-23,21.7900,21.7900,21.7200,21.7700,21.7700,12428,0.0000,1.0000
2019-07-22,21.8700,21.8700,21.7250,21.7700,21.7700,10618,0.0000,1.0000
2019-07-19,21.9800,21.9800,21.7800,21.7800,21.7800,16160,0.0000,1.0000
2019-07-18,21.9100,22.0700,21.9095,22.0690,22.0690,6470,0.0000,1.0000
2019-07-17,22.0600,22.0600,21.9600,21.9900,21.9900,7317,0.0000,1.0000
2019-07-16,22.0500,22.0500,21.9300,22.0000,22.0000,11586,0.0000,1.0000
2019-07-15,21.9816,22.0400,21.9816,22.0200,22.0200,13669,0.0000,1.0000
2019-07-12,21.9434,22.0200,21.9434,22.0000,22.0000,4257,0.0000,1.0000
2019-07-11,22.0902,22.1100,21.9400,22.0400,22.0400,21049,0.0000,1.0000
2019-07-10,22.0687,22.1300,22.0500,22.0700,22.0700,57993,0.0000,1.0000
2019-07-09,21.9600,22.0000,21.9600,22.0000,22.0000,26410,0.0000,1.0000
2019-07-08,21.9600,21.9900,21.9500,21.9870,21.9870,53900,0.0000,1.0000
2019-07-05,21.8100,21.9499,21.8100,21.9499,21.9499,13780,0.0000,1.0000
2019-07-03,22.0200,22.0200,22.0000,22.0000,22.0000,7427,0.0000,1.0000
2019-07-02,21.7700,21.7750,21.7131,21.7500,21.7500,6126,0.0000,1.0000
2019-07-01,21.4500,21.5784,21.4300,21.5784,21.5784,30152,0.0000,1.0000
2019-06-28,21.5097,21.5400,21.5012,21.5100,21.5100,3865,0.0000,1.0000
2019-06-27,21.3800,21.4100,21.3600,21.3700,21.3700,14516,0.0000,1.0000
2019-06-26,21.5200,21.5200,21.3000,21.3000,21.3000,11398,0.0000,1.0000
2019-06-25,21.8300,21.8300,21.7200,21.7200,21.7200,5634,0.0000,1.0000
2019-06-24,21.8300,21.8600,21.7966,21.8030,21.8030,9134,0.0000,1.0000
2019-06-21,21.7400,21.8400,21.7129,21.8299,21.8299,64207,0.0000,1.0000
2019-06-20,21.8250,21.9090,21.7950,21.8600,21.8600,49715,0.0000,1.0000
2019-06-19,21.6390,21.8100,21.6023,21.7900,21.7900,17478,0.0000,1.0000
2019-06-18,21.6700,21.6732,21.6490,21.6490,21.6490,1824,0.0000,1.0000
2019-06-17,21.6856,21.6856,21.6225,21.6611,21.6611,2306,0.0000,1.0000
2019-06-14,21.6100,21.7100,21.6100,21.7100,21.7100,7056,0.0819,1.0000
2019-06-13,21.7500,21.7500,21.5900,21.6600,21.5786,28400,0.0000,1.0000
2019-06-12,21.6400,21.6499,21.6100,21.6230,21.5417,4782,0.0000,1.0000
2019-06-11,21.6300,21.6300,21.3990,21.4800,21.3993,7169,0.0000,1.0000
2019-06-10,21.6500,21.6500,21.5435,21.5500,21.4690,41853,0.0000,1.0000
2019-06-07,21.7300,21.8200,21.6658,21.6990,21.6174,7736,0.0000,1.0000
2019-06-06,21.5000,21.6400,21.5000,21.6400,21.5587,16740,0.0000,1.0000
2019-06-05,21.1700,21.5200,21.1700,21.5200,21.4391,4513,0.0000,1.0000
2019-06-04,21.1100,21.1800,20.9200,21.1800,21.1004,62987,0.0000,1.0000
2019-06-03,20.9700,21.0500,20.9698,21.0070,20.9280,8014,0.0000,1.0000
2019-05-31,20.9000,20.9600,20.8800,20.9473,20.8686,7037,0.0000,1.0000
2019-05-30,20.7941,20.7941,20.7500,20.7863,20.7082,7347,0.0000,1.0000
2019-05-29,20.8961,20.8961,20.7368,20.7368,20.6589,11054,0.0000,1.0000
2019-05-28,21.2900,21.2900,20.9800,21.0100,20.9310,43290,0.0000,1.0000
2019-05-24,21.2800,21.2800,21.1800,21.1900,21.1104,27978,0.0000,1.0000
2019-05-23,21.1300,21.1900,21.0800,21.1900,21.1104,94666,0.0000,1.0000
2019-05-22,21.0500,21.1390,21.0500,21.1300,21.0506,12333,0.0000,1.0000
2019-05-21,21.3600,21.3600,21.0600,21.0600,20.9809,15494,0.0000,1.0000
2019-05-20,21.0387,21.5800,20.9499,21.5800,21.4989,64478,0.0000,1.0000
2019-05-17,21.0064,21.1200,21.0064,21.0890,21.0097,19847,0.0000,1.0000
2019-05-16,20.9050,21.0800,20.9050,21.0299,20.9509,114425,0.0000,1.0000
2019-05-15,20.8299,20.9400,20.8299,20.8900,20.8115,124305,0.0000,1.0000
2019-05-14,20.8914,20.9099,20.8363,20.8363,20.7580,12008,0.0000,1.0000
2019-05-13,20.7700,20.8237,20.7700,20.8237,20.7454,750,0.0000,1.0000
2019-05-10,20.7000,20.7000,20.7000,20.7000,20.6222,4609,0.0000,1.0000
2019-05-09,20.5000,20.5676,20.4590,20.5676,20.4903,8423,0.0000,1.0000
2019-05-08,20.5800,20.6200,20.5542,20.5750,20.4977,96094,0.0000,1.0000
2019-05-07,20.7100,20.7300,20.5700,20.6300,20.5525,59356,0.0000,1.0000
2019-05-06,20.7799,20.8301,20.7799,20.8301,20.7518,1013,0.0000,1.0000
2019-05-03,20.8500,20.8600,20.7586,20.8600,20.7816,4030,0.0000,1.0000
2019-05-02,20.6397,20.7233,20.6397,20.7233,20.6454,904,0.0000,1.0000
2019-05-01,20.8600,20.8700,20.7300,20.7400,20.6621,10831,0.0000,1.0000
2019-04-30,20.4400,20.7900,20.4400,20.7690,20.6909,2491,0.0000,1.0000
2019-04-29,20.6600,20.6600,20.6126,20.6236,20.5461,6077,0.0000,1.0000
2019-04-26,20.7004,20.7004,20.7004,20.7004,20.6226,686,0.0000,1.0000
2019-04-25,20.5000,20.5972,20.5000,20.5972,20.5198,1540,0.0000,1.0000
2019-04-24,20.5800,20.5800,20.5800,20.5800,20.5027,600,0.0000,1.0000
2019-04-23,20.3420,20.4300,20.3333,20.3931,20.3165,3357,0.0000,1.0000
2019-04-22,20.3800,20.3800,20.1965,20.2650,20.1888,13481,0.0000,1.0000
2019-04-18,20.3521,20.3600,20.3441,20.3441,20.2676,12236,0.0000,1.0000
2019-04-17,20.2900,20.2900,20.2450,20.2800,20.2038,1860,0.0000,1.0000
2019-04-16,20.6000,20.6000,20.3598,20.3598,20.2833,3609,0.0000,1.0000
2019-04-15,20.5356,20.5500,20.5356,20.5500,20.4728,1759,0.0000,1.0000
2019-04-12,20.4800,20.5700,20.4800,20.5600,20.4827,9123,0.0000,1.0000
2019-04-11,20.4300,20.4700,20.3901,20.4700,20.3931,1739,0.0000,1.0000
2019-04-10,20.5000,20.5000,20.4300,20.4300,20.3532,966,0.0000,1.0000
2019-04-09,20.5800,20.5800,20.3600,20.3658,20.2893,9778,0.0000,1.0000
2019-04-08,20.4306,20.4306,20.3705,20.3705,20.2939,13857,0.0000,1.0000
2019-04-05,20.4500,20.4534,20.4185,20.4534,20.3765,24806,0.0000,1.0000
2019-04-04,20.3920,20.4300,20.3901,20.4100,20.3333,3125,0.0000,1.0000
2019-04-03,20.4350,20.5300,20.4000,20.4500,20.3731,935,0.0000,1.0000
2019-04-02,20.4300,20.4593,20.4300,20.4500,20.3731,4228,0.0000,1.0000
2019-04-01,20.5690,20.5700,20.3702,20.4500,20.3731,7991,0.0000,1.0000
2019-03-29,20.4795,20.5700,20.4795,20.5300,20.4528,25926,0.0000,1.0000
2019-03-28,20.4700,20.4900,20.4080,20.4900,20.4130,3328,0.0000,1.0000
2019-03-27,20.6000,20.6000,20.5000,20.5600,20.4827,4947,0.0000,1.0000
2019-03-26,20.5600,20.5600,20.5533,20.5552,20.4779,2962,0.0000,1.0000
2019-03-25,20.4100,20.4600,20.3900,20.4498,20.3729,2748,0.0000,1.0000
2019-03-22,20.5290,20.5290,20.4703,20.4800,20.4030,2113,0.0000,1.0000
