timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,28.9600,28.9600,28.8920,28.8920,28.8920,741,0.0000,1.0000
2019-07-29,29.6289,29.6289,29.6284,29.6284,29.6284,1973,0.0000,1.0000
2019-07-26,29.4997,29.6190,29.4997,29.5787,29.5787,1056,0.0000,1.0000
2019-07-25,29.5200,29.5200,29.5200,29.5200,29.5200,400,0.0000,1.0000
2019-07-24,29.9249,29.9297,29.9249,29.9297,29.9297,762,0.0000,1.0000
2019-07-23,29.6900,29.8143,29.6650,29.8143,29.8143,3924,0.0000,1.0000
2019-07-22,29.1600,29.1600,29.0500,29.0602,29.0602,3872,0.0000,1.0000
2019-07-19,28.9900,29.0750,28.9900,29.0750,29.0750,6676,0.0000,1.0000
2019-07-18,28.9915,28.9915,28.9416,28.9466,28.9466,3091,0.0000,1.0000
2019-07-17,29.3500,29.3500,29.1900,29.1900,29.1900,319,0.0000,1.0000
2019-07-16,29.3500,29.4804,29.3500,29.4804,29.4804,2143,0.0000,1.0000
2019-07-15,29.3600,29.3600,29.2500,29.3099,29.3099,84514,0.0000,1.0000
2019-07-12,29.2700,29.2700,29.1300,29.2000,29.2000,4591,0.0000,1.0000
2019-07-11,29.3080,29.3130,29.1300,29.1600,29.1600,3751,0.0000,1.0000
2019-07-10,29.5100,29.5100,29.3576,29.4100,29.4100,1454,0.0000,1.0000
2019-07-09,29.5404,29.5448,29.5404,29.5448,29.5448,2953,0.0000,1.0000
2019-07-08,29.7300,29.7755,29.6831,29.6831,29.6831,3096,0.0000,1.0000
2019-07-05,29.8800,29.9600,29.8312,29.9600,29.9600,2272,0.0000,1.0000
2019-07-03,29.9400,30.0164,29.9135,29.9750,29.9750,4242,0.0000,1.0000
2019-07-02,29.7400,29.7400,29.7100,29.7100,29.7100,693,0.0000,1.0000
2019-07-01,29.9050,29.9300,29.8140,29.8140,29.8140,2562,0.0000,1.0000
2019-06-28,29.4600,29.6500,29.4600,29.6400,29.6400,120606,0.0000,1.0000
2019-06-27,29.3963,29.3963,29.2615,29.3677,29.3677,1737,0.0000,1.0000
2019-06-26,29.1550,29.1550,29.1000,29.1200,29.1200,1008,0.0000,1.0000
2019-06-25,28.9600,28.9800,28.8800,28.8932,28.8932,3793,0.0000,1.0000
