timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,3.7914,3.8302,3.7818,3.8302,3.8302,3367,0.0000,1.0000
2019-07-29,3.7800,3.8400,3.7800,3.8400,3.8400,26019,0.0000,1.0000
2019-07-26,3.9100,3.9100,3.9100,3.9100,3.9100,40,0.0000,1.0000
2019-07-25,3.7800,3.9500,3.7800,3.9100,3.9100,2200,0.0000,1.0000
2019-07-24,3.8500,4.0000,3.8500,3.9000,3.9000,26248,0.0000,1.0000
2019-07-23,3.7688,3.7767,3.7501,3.7767,3.7767,1604,0.0000,1.0000
2019-07-22,3.8429,3.8429,3.8429,3.8429,3.8429,65,0.0000,1.0000
2019-07-19,3.8429,3.8429,3.8429,3.8429,3.8429,32,0.0000,1.0000
2019-07-18,3.8429,3.8429,3.8429,3.8429,3.8429,190,0.0000,1.0000
2019-07-17,4.0000,4.0000,4.0000,4.0000,4.0000,2,0.0000,1.0000
2019-07-16,3.8000,4.0021,3.8000,4.0000,4.0000,6043,0.0000,1.0000
2019-07-15,3.8400,3.8400,3.7200,3.7200,3.7200,1152,0.0000,1.0000
2019-07-12,3.7200,3.8200,3.7200,3.8200,3.8200,1718,0.0000,1.0000
2019-07-11,3.8800,3.9200,3.7200,3.7200,3.7200,3109,0.0000,1.0000
2019-07-10,3.9000,3.9000,3.7600,3.7600,3.7600,7472,0.0000,1.0000
2019-07-09,3.7701,4.0250,3.7701,3.9400,3.9400,10400,0.0000,1.0000
2019-07-08,4.0000,4.0001,3.8728,3.8728,3.8728,3297,0.0000,1.0000
2019-07-05,3.7600,4.0500,3.7600,4.0500,4.0500,3124,0.0000,1.0000
2019-07-03,3.8774,3.8774,3.8774,3.8774,3.8774,349,0.0000,1.0000
2019-07-02,3.7600,4.0000,3.7600,3.9800,3.9800,29920,0.0000,1.0000
2019-07-01,3.7500,3.7500,3.7500,3.7500,3.7500,182,0.0000,1.0000
2019-06-28,3.9700,3.9700,3.7500,3.7500,3.7500,9011,0.0000,1.0000
2019-06-27,3.7600,3.9600,3.7600,3.9100,3.9100,6939,0.0000,1.0000
2019-06-26,3.9500,3.9500,3.7600,3.7600,3.7600,3082,0.0000,1.0000
2019-06-25,3.9000,4.0000,3.7000,4.0000,4.0000,78416,0.0000,1.0000
2019-06-24,4.1000,4.1000,3.9500,4.1000,4.1000,7595,0.0000,1.0000
2019-06-21,4.0000,4.3500,4.0000,4.2000,4.2000,14525,0.0000,1.0000
2019-06-20,4.1399,4.1900,3.9500,3.9500,3.9500,30156,0.0000,1.0000
2019-06-19,3.9800,4.0200,3.9800,4.0100,4.0100,7580,0.0000,1.0000
2019-06-18,4.0738,4.0738,3.6600,3.9250,3.9250,26325,0.0000,1.0000
2019-06-17,4.2000,4.2000,4.0450,4.1700,4.1700,4959,0.0000,1.0000
2019-06-14,4.2400,4.2400,4.2400,4.2400,4.2400,404,0.0000,1.0000
2019-06-13,4.1900,4.2800,4.1000,4.2400,4.2400,72628,0.0000,1.0000
2019-06-12,4.2500,4.2700,4.1829,4.2500,4.2500,8437,0.0000,1.0000
2019-06-11,4.0400,4.2900,3.9114,4.2900,4.2900,50918,0.0000,1.0000
2019-06-10,4.0500,4.0500,3.9700,4.0400,4.0400,7512,0.0000,1.0000
2019-06-07,3.9100,3.9100,3.9100,3.9100,3.9100,326,0.0000,1.0000
2019-06-06,3.9100,3.9100,3.9100,3.9100,3.9100,135,0.0000,1.0000
2019-06-05,4.0500,4.0500,4.0000,4.0500,4.0500,131129,0.0000,1.0000
2019-06-04,3.9000,3.9001,3.9000,3.9001,3.9001,715,0.0000,1.0000
2019-06-03,4.0000,4.0000,4.0000,4.0000,4.0000,54,0.0000,1.0000
2019-05-31,3.9000,4.0000,3.9000,4.0000,4.0000,23322,0.0000,1.0000
2019-05-30,4.0301,4.0401,3.9296,3.9527,3.9527,16155,0.0000,1.0000
2019-05-29,4.1424,4.1424,4.0200,4.0200,4.0200,3151,0.0000,1.0000
2019-05-28,4.1100,4.1100,4.1100,4.1100,4.1100,10097,0.0000,1.0000
2019-05-24,4.3200,4.3200,4.1100,4.1306,4.1306,12000,0.0000,1.0000
2019-05-23,4.1500,4.1500,4.1500,4.1500,4.1500,6600,0.0000,1.0000
2019-05-22,4.1600,4.1600,4.1000,4.1507,4.1507,2252,0.0000,1.0000
2019-05-21,4.1306,4.1306,4.1306,4.1306,4.1306,330,0.0000,1.0000
2019-05-20,4.3000,4.3000,4.2000,4.2200,4.2200,13501,0.0000,1.0000
2019-05-17,4.2200,4.2650,4.2200,4.2650,4.2650,6204,0.0000,1.0000
2019-05-16,4.1474,4.1708,4.1474,4.1708,4.1708,914,0.0000,1.0000
2019-05-15,4.2499,4.2713,4.2300,4.2713,4.2713,4237,0.0000,1.0000
2019-05-14,4.2500,4.3499,4.0770,4.2295,4.2295,3448,0.0000,1.0000
2019-05-13,4.1750,4.3262,4.1750,4.2236,4.2236,1131,0.0000,1.0000
