timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,6.7634,6.9100,6.6200,6.7200,6.7200,13688,0.0000,1.0000
2019-07-29,6.9300,7.2000,6.4900,6.7200,6.7200,67029,0.0000,1.0000
2019-07-26,7.1200,7.4900,6.8900,6.9000,6.9000,22208,0.0000,1.0000
2019-07-25,7.4400,7.5900,7.0800,7.1000,7.1000,10571,0.0000,1.0000
2019-07-24,7.6900,7.7200,7.4400,7.5100,7.5100,10425,0.0000,1.0000
2019-07-23,7.4750,7.9000,7.3800,7.5100,7.5100,41623,0.0000,1.0000
2019-07-22,7.8100,7.8750,7.2800,7.5000,7.5000,22116,0.0000,1.0000
2019-07-19,8.1100,8.3799,7.7100,7.8600,7.8600,20425,0.0000,1.0000
2019-07-18,8.8334,8.8334,8.1700,8.2800,8.2800,12492,0.0000,1.0000
2019-07-17,7.6200,8.8800,7.6200,8.6200,8.6200,40649,0.0000,1.0000
2019-07-16,7.0101,8.1450,7.0101,7.6500,7.6500,19960,0.0000,1.0000
2019-07-15,7.5500,7.8900,7.3810,7.6200,7.6200,8588,0.0000,1.0000
2019-07-12,8.0800,8.0800,7.4300,7.4600,7.4600,21034,0.0000,1.0000
2019-07-11,8.2000,8.2150,7.9200,8.0000,8.0000,9025,0.0000,1.0000
2019-07-10,7.9427,8.5700,7.7300,7.9200,7.9200,21084,0.0000,1.0000
2019-07-09,8.1700,8.8000,7.7750,8.1900,8.1900,90722,0.0000,1.0000
2019-07-08,8.0900,8.2750,7.9200,7.9600,7.9600,46024,0.0000,1.0000
2019-07-05,8.5100,8.9900,7.9900,8.0400,8.0400,53445,0.0000,1.0000
2019-07-03,8.2300,8.5500,7.5191,8.5500,8.5500,20485,0.0000,1.0000
2019-07-02,8.8800,9.2100,7.4900,7.6900,7.6900,50207,0.0000,1.0000
2019-07-01,9.0300,9.8200,8.7900,8.8000,8.8000,40772,0.0000,1.0000
2019-06-28,9.0600,9.2500,8.6600,8.9800,8.9800,424115,0.0000,1.0000
2019-06-27,8.9800,9.6200,8.6600,8.9900,8.9900,30555,0.0000,1.0000
2019-06-26,8.7900,8.8900,8.2200,8.6700,8.6700,20210,0.0000,1.0000
2019-06-25,8.6900,9.1700,8.2500,8.6900,8.6900,8763,0.0000,1.0000
2019-06-24,9.3000,10.0900,8.4900,8.6400,8.6400,88272,0.0000,1.0000
2019-06-21,8.0200,9.6000,8.0200,9.4200,9.4200,74606,0.0000,1.0000
2019-06-20,9.0700,9.0750,8.1200,8.2300,8.2300,56191,0.0000,1.0000
2019-06-19,8.0000,8.8000,7.1956,8.7800,8.7800,18999,0.0000,1.0000
2019-06-18,7.5900,8.4700,7.3219,8.1300,8.1300,26082,0.0000,1.0000
2019-06-17,7.1500,7.6600,7.1500,7.5100,7.5100,11340,0.0000,1.0000
2019-06-14,6.9100,7.4000,6.6600,7.0200,7.0200,26367,0.0000,1.0000
2019-06-13,7.0700,7.4000,6.9900,7.3000,7.3000,15021,0.0000,1.0000
2019-06-12,6.8200,7.2550,6.8200,7.0700,7.0700,17136,0.0000,1.0000
2019-06-11,6.7050,6.8600,6.3201,6.7700,6.7700,10674,0.0000,1.0000
2019-06-10,6.7300,6.8400,6.5250,6.7800,6.7800,10139,0.0000,1.0000
2019-06-07,6.7000,7.0400,6.7000,6.8100,6.8100,11500,0.0000,1.0000
2019-06-06,6.4900,6.7400,6.4900,6.6700,6.6700,12311,0.0000,1.0000
2019-06-05,6.6500,6.7950,6.5200,6.5200,6.5200,28252,0.0000,1.0000
2019-06-04,7.2000,7.2000,6.4900,6.7100,6.7100,58029,0.0000,1.0000
2019-06-03,7.5325,7.5900,7.3471,7.5100,7.5100,8273,0.0000,1.0000
2019-05-31,7.6800,7.8319,7.1900,7.4800,7.4800,7591,0.0000,1.0000
2019-05-30,7.7200,7.9200,7.7200,7.8000,7.8000,18122,0.0000,1.0000
2019-05-29,7.4000,7.8900,7.3200,7.7500,7.7500,44632,0.0000,1.0000
2019-05-28,7.7600,8.0800,7.1600,7.4100,7.4100,20047,0.0000,1.0000
2019-05-24,7.3800,7.6400,7.3800,7.6400,7.6400,34249,0.0000,1.0000
2019-05-23,7.6750,7.6750,7.1700,7.3600,7.3600,46055,0.0000,1.0000
2019-05-22,8.3400,8.3400,7.2400,7.6700,7.6700,52905,0.0000,1.0000
2019-05-21,8.0700,8.4400,8.0000,8.4400,8.4400,10644,0.0000,1.0000
2019-05-20,7.4600,7.9700,7.4600,7.9100,7.9100,16482,0.0000,1.0000
2019-05-17,7.6500,7.6500,7.4200,7.4800,7.4800,16508,0.0000,1.0000
2019-05-16,7.8899,7.9251,7.6000,7.7000,7.7000,16300,0.0000,1.0000
2019-05-15,8.0800,8.1300,7.8500,7.9000,7.9000,28497,0.0000,1.0000
2019-05-14,7.8000,8.3000,7.8000,8.2200,8.2200,11664,0.0000,1.0000
2019-05-13,8.1100,8.1100,7.7500,7.8400,7.8400,20110,0.0000,1.0000
2019-05-10,8.3725,8.3800,8.0500,8.1700,8.1700,20563,0.0000,1.0000
2019-05-09,8.3800,8.4500,8.2000,8.4000,8.4000,17513,0.0000,1.0000
2019-05-08,8.5500,8.5500,8.3500,8.3500,8.3500,4876,0.0000,1.0000
2019-05-07,8.6742,9.0600,8.3800,8.5000,8.5000,15668,0.0000,1.0000
2019-05-06,8.4900,8.6800,8.3800,8.5500,8.5500,14985,0.0000,1.0000
2019-05-03,8.5300,8.6000,8.3811,8.5800,8.5800,39277,0.0000,1.0000
2019-05-02,8.4000,8.5800,8.4000,8.4800,8.4800,53730,0.0000,1.0000
2019-05-01,8.5000,8.6573,8.3000,8.5000,8.5000,50362,0.0000,1.0000
2019-04-30,8.6000,8.6000,8.0900,8.3850,8.3850,91506,0.0000,1.0000
2019-04-29,8.2100,8.5000,8.0800,8.4400,8.4400,7935,0.0000,1.0000
2019-04-26,8.4550,8.4600,8.1000,8.2100,8.2100,11019,0.0000,1.0000
2019-04-25,8.2100,8.6800,8.1900,8.5000,8.5000,39897,0.0000,1.0000
2019-04-24,8.4600,8.5100,8.0500,8.2400,8.2400,9131,0.0000,1.0000
2019-04-23,8.4300,8.6000,8.1200,8.4900,8.4900,45205,0.0000,1.0000
2019-04-22,8.3600,8.6000,8.1100,8.3500,8.3500,23393,0.0000,1.0000
2019-04-18,8.1000,8.5000,8.0642,8.3000,8.3000,10499,0.0000,1.0000
2019-04-17,8.1500,8.4400,7.9300,8.2000,8.2000,118433,0.0000,1.0000
2019-04-16,8.6500,8.6500,8.0600,8.1500,8.1500,16603,0.0000,1.0000
2019-04-15,7.9300,8.5000,7.8600,8.3050,8.3050,46201,0.0000,1.0000
2019-04-12,8.5000,8.5999,8.3100,8.4700,8.4700,23677,0.0000,1.0000
2019-04-11,8.7200,8.8000,8.4000,8.6000,8.6000,53485,0.0000,1.0000
2019-04-10,8.6330,8.7900,8.6330,8.7900,8.7900,10811,0.0000,1.0000
2019-04-09,8.8500,8.8500,8.5900,8.7500,8.7500,11404,0.0000,1.0000
2019-04-08,8.9500,8.9500,8.5700,8.8100,8.8100,10875,0.0000,1.0000
2019-04-05,8.6200,9.0364,8.6200,8.9500,8.9500,8832,0.0000,1.0000
2019-04-04,8.8500,8.9300,8.0800,8.6800,8.6800,50578,0.0000,1.0000
2019-04-03,8.3700,8.9650,8.3700,8.9100,8.9100,39324,0.0000,1.0000
2019-04-02,7.8758,8.9200,7.8758,8.3700,8.3700,66864,0.0000,1.0000
