timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,0.8300,0.8700,0.8250,0.8649,0.8649,78000,0.0000,1.0000
2019-07-29,0.8563,0.8758,0.8200,0.8256,0.8256,107636,0.0000,1.0000
2019-07-26,0.8400,0.8700,0.8400,0.8535,0.8535,109310,0.0000,1.0000
2019-07-25,0.8536,0.8800,0.8450,0.8476,0.8476,66704,0.0000,1.0000
2019-07-24,0.8779,0.9000,0.8501,0.8791,0.8791,37224,0.0000,1.0000
2019-07-23,0.9000,0.9200,0.8500,0.8763,0.8763,131560,0.0000,1.0000
2019-07-22,0.9000,0.9000,0.8502,0.9000,0.9000,74329,0.0000,1.0000
2019-07-19,0.9000,0.9000,0.8562,0.9000,0.9000,202889,0.0000,1.0000
2019-07-18,0.8763,0.9200,0.8419,0.9097,0.9097,328188,0.0000,1.0000
2019-07-17,0.8190,0.8645,0.8139,0.8576,0.8576,247758,0.0000,1.0000
2019-07-16,0.8100,0.8200,0.8065,0.8134,0.8134,91474,0.0000,1.0000
2019-07-15,0.7800,0.8151,0.7799,0.8080,0.8080,111334,0.0000,1.0000
2019-07-12,0.7710,0.7800,0.7501,0.7732,0.7732,77848,0.0000,1.0000
2019-07-11,0.7800,0.7900,0.7511,0.7732,0.7732,105087,0.0000,1.0000
2019-07-10,0.7600,0.7900,0.7600,0.7764,0.7764,96186,0.0000,1.0000
2019-07-09,0.7900,0.7900,0.7518,0.7700,0.7700,140635,0.0000,1.0000
2019-07-08,0.7810,0.8035,0.7800,0.7800,0.7800,82186,0.0000,1.0000
2019-07-05,0.7810,0.7899,0.7810,0.7868,0.7868,36862,0.0000,1.0000
2019-07-03,0.8000,0.8048,0.7910,0.7994,0.7994,35857,0.0000,1.0000
2019-07-02,0.7850,0.8200,0.7850,0.7990,0.7990,150237,0.0000,1.0000
2019-07-01,0.8000,0.8200,0.7799,0.7800,0.7800,196398,0.0000,1.0000
2019-06-28,0.8100,0.8300,0.8000,0.8008,0.8008,243466,0.0000,1.0000
2019-06-27,0.8000,0.8448,0.7507,0.8210,0.8210,232260,0.0000,1.0000
2019-06-26,0.8780,0.8780,0.7703,0.8130,0.8130,791475,0.0000,1.0000
2019-06-25,0.8017,0.8169,0.7801,0.8075,0.8075,696128,0.0000,1.0000
2019-06-24,0.7807,0.8200,0.7500,0.7932,0.7932,231378,0.0000,1.0000
2019-06-21,0.7500,0.7900,0.7255,0.7700,0.7700,200083,0.0000,1.0000
2019-06-20,0.7300,0.7602,0.7300,0.7445,0.7445,117294,0.0000,1.0000
2019-06-19,0.7327,0.7602,0.7256,0.7261,0.7261,134890,0.0000,1.0000
