timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,26.5900,26.7000,26.5900,26.6850,26.6850,6661,0.0000,1.0000
2019-07-29,26.5900,26.6500,26.5400,26.6500,26.6500,3962,0.0000,1.0000
2019-07-26,26.5450,26.7400,26.5450,26.5687,26.5687,3911,0.0000,1.0000
2019-07-25,26.6400,26.6400,26.5400,26.6100,26.6100,5849,0.0000,1.0000
2019-07-24,26.6800,26.7000,26.5916,26.6104,26.6104,6753,0.0000,1.0000
2019-07-23,26.7000,26.7000,26.5901,26.6229,26.6229,2955,0.0000,1.0000
2019-07-22,26.6500,26.6820,26.5800,26.6425,26.6425,2319,0.0000,1.0000
2019-07-19,26.6001,26.6600,26.5668,26.6201,26.6201,4969,0.0000,1.0000
2019-07-18,26.6700,26.6700,26.5501,26.5846,26.5846,2280,0.0000,1.0000
2019-07-17,26.6400,26.7200,26.5909,26.6300,26.6300,15952,0.0000,1.0000
2019-07-16,26.7400,26.7700,26.6000,26.6000,26.6000,3823,0.0000,1.0000
2019-07-15,26.8100,26.8100,26.6100,26.6730,26.6730,11800,0.0000,1.0000
2019-07-12,26.7700,26.7750,26.7108,26.7268,26.7268,3948,0.0000,1.0000
2019-07-11,26.8800,26.8800,26.6801,26.6801,26.6801,3380,0.0000,1.0000
2019-07-10,26.7100,26.7400,26.6607,26.6897,26.6897,10783,0.0000,1.0000
2019-07-09,26.6900,26.7799,26.6170,26.6700,26.6700,4537,0.0000,1.0000
2019-07-08,26.7850,26.7850,26.6600,26.6600,26.6600,7217,0.0000,1.0000
2019-07-05,26.5200,26.6667,26.5200,26.6667,26.6667,2647,0.0000,1.0000
2019-07-03,26.6100,26.7290,26.5700,26.6351,26.6351,9305,0.0000,1.0000
2019-07-02,26.7400,26.7628,26.6401,26.6899,26.6899,21957,0.0000,1.0000
2019-07-01,26.6400,26.7500,26.6252,26.7400,26.7400,19378,0.0000,1.0000
2019-06-28,26.7100,26.7300,26.6150,26.6400,26.6400,3473,0.0000,1.0000
