timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,33.5000,34.3050,32.9300,33.5400,33.5400,322695,0.0000,1.0000
2019-07-29,32.8000,33.2000,32.7500,33.1900,33.1900,219650,0.0000,1.0000
2019-07-26,33.1000,33.3650,32.7200,32.7600,32.7600,267381,0.0000,1.0000
2019-07-25,33.0200,33.2900,32.8300,33.1000,33.1000,338968,0.0000,1.0000
2019-07-24,33.0100,33.4700,32.8300,33.1000,33.1000,198353,0.0000,1.0000
2019-07-23,33.6700,33.7750,32.6700,32.9500,32.9500,325795,0.0000,1.0000
2019-07-22,33.6200,33.8900,33.4000,33.6600,33.6600,242631,0.0000,1.0000
2019-07-19,33.6800,33.7785,33.2500,33.5600,33.5600,241623,0.0000,1.0000
2019-07-18,33.8200,34.2790,33.1600,33.4800,33.4800,289644,0.0000,1.0000
2019-07-17,34.9800,35.5500,33.5900,33.8300,33.8300,504740,0.0000,1.0000
2019-07-16,34.1100,35.1800,34.0700,35.0700,35.0700,373214,0.0000,1.0000
2019-07-15,33.3600,34.4138,33.2800,34.0900,34.0900,322555,0.0000,1.0000
2019-07-12,34.7500,34.7500,32.7600,33.2300,33.2300,301114,0.0000,1.0000
2019-07-11,33.5000,34.6800,33.0700,34.6100,34.6100,347928,0.0000,1.0000
2019-07-10,33.3300,33.9036,33.1200,33.6100,33.6100,218928,0.0000,1.0000
2019-07-09,33.0500,33.2753,32.4600,33.2400,33.2400,226952,0.0000,1.0000
2019-07-08,32.6700,33.2400,32.2000,33.0600,33.0600,403106,0.0000,1.0000
2019-07-05,34.1500,34.1500,32.6400,32.7100,32.7100,256422,0.0000,1.0000
2019-07-03,34.1900,34.4388,34.0000,34.2000,34.2000,119022,0.0000,1.0000
2019-07-02,33.6000,34.1700,33.4972,34.0400,34.0400,287805,0.0000,1.0000
2019-07-01,33.5000,34.4300,33.5000,33.6800,33.6800,360469,0.0000,1.0000
2019-06-28,33.3900,33.9500,32.6900,33.4700,33.4700,477092,0.0000,1.0000
2019-06-27,33.1000,33.7100,32.9700,33.3300,33.3300,571271,0.0000,1.0000
2019-06-26,30.5000,33.1500,30.5000,32.9600,32.9600,674033,0.0000,1.0000
2019-06-25,31.0600,31.1600,30.1500,30.4400,30.4400,224595,0.0000,1.0000
2019-06-24,31.5100,32.0700,30.9900,31.0800,31.0800,326226,0.0000,1.0000
2019-06-21,31.8300,32.0300,31.0400,31.4300,31.4300,289991,0.0000,1.0000
2019-06-20,31.7900,32.4500,31.7000,31.9700,31.9700,209332,0.0000,1.0000
2019-06-19,31.6000,31.7500,31.0600,31.5100,31.5100,135469,0.0000,1.0000
2019-06-18,31.5900,31.9200,31.1900,31.6600,31.6600,209011,0.0000,1.0000
2019-06-17,31.4500,32.2600,31.1000,31.1600,31.1600,224738,0.0000,1.0000
2019-06-14,31.1700,31.5400,30.5400,31.3800,31.3800,373913,0.0000,1.0000
2019-06-13,31.5500,31.7100,31.0800,31.2100,31.2100,250047,0.0000,1.0000
2019-06-12,32.8200,33.2500,31.3700,31.3800,31.3800,324954,0.0000,1.0000
2019-06-11,33.6500,34.0300,31.9000,32.9700,32.9700,647232,0.0000,1.0000
2019-06-10,33.5000,34.0078,33.2800,33.6500,33.6500,773791,0.0000,1.0000
2019-06-07,32.1500,33.5350,32.1400,33.2700,33.2700,829681,0.0000,1.0000
2019-06-06,31.4700,32.5700,31.2300,32.4900,32.4900,934722,0.0000,1.0000
2019-06-05,28.7800,31.6900,28.7000,31.5100,31.5100,722324,0.2950,1.0000
2019-06-04,27.9500,29.1500,27.9500,28.9600,28.6914,634549,0.0000,1.0000
2019-06-03,29.6700,29.6700,27.4000,27.9200,27.6610,710937,0.0000,1.0000
2019-05-31,30.1300,30.4700,29.1100,29.4700,29.1967,629804,0.0000,1.0000
2019-05-30,30.4400,30.9100,30.1000,30.4400,30.1577,318015,0.0000,1.0000
2019-05-29,30.6200,31.1628,30.4500,30.4700,30.1874,325720,0.0000,1.0000
2019-05-28,31.5700,31.6600,30.2150,30.5100,30.2270,811845,0.0000,1.0000
2019-05-24,30.5900,31.5400,30.5400,31.3000,31.0097,517910,0.0000,1.0000
2019-05-23,29.8200,30.6300,29.4300,30.5600,30.2765,578885,0.0000,1.0000
2019-05-22,28.9300,29.7750,28.5600,29.7600,29.4840,224508,0.0000,1.0000
2019-05-21,30.3800,30.4600,28.7400,29.1200,28.8499,350708,0.0000,1.0000
2019-05-20,30.1000,30.5000,29.5600,29.9800,29.7019,580424,0.0000,1.0000
2019-05-17,29.4600,30.5800,29.1500,30.4400,30.1577,357871,0.0000,1.0000
2019-05-16,26.7100,30.0300,26.7100,29.7800,29.5038,681020,0.0000,1.0000
2019-05-15,26.0000,26.6600,25.4350,26.6000,26.3533,263521,0.0000,1.0000
2019-05-14,25.5200,26.2200,25.2800,26.0800,25.8381,157650,0.0000,1.0000
2019-05-13,25.3800,25.4350,25.0000,25.2100,24.9762,424140,0.0000,1.0000
2019-05-10,25.0000,26.1500,25.0000,25.8600,25.6201,307393,0.0000,1.0000
2019-05-09,25.0200,25.3100,24.7000,24.7000,24.4709,1188783,0.0000,1.0000
2019-05-08,25.2000,25.4700,24.3600,25.3200,25.0852,506503,0.0000,1.0000
2019-05-07,25.6200,25.8500,25.2100,25.2400,25.0059,213269,0.0000,1.0000
2019-05-06,25.6600,26.0600,25.6300,25.7600,25.5211,197635,0.0000,1.0000
2019-05-03,26.0300,26.0900,25.9500,25.9900,25.7489,219900,0.0000,1.0000
2019-05-02,25.9700,26.0500,25.8700,25.9900,25.7489,242672,0.0000,1.0000
2019-05-01,25.9100,26.0800,25.8800,26.0000,25.7588,193519,0.0000,1.0000
2019-04-30,26.0300,26.0300,25.9400,25.9800,25.7390,313017,0.0000,1.0000
2019-04-29,26.1000,26.1000,25.9600,25.9900,25.7489,188719,0.0000,1.0000
2019-04-26,25.6700,26.1000,25.6700,26.0000,25.7588,77922,0.0000,1.0000
2019-04-25,25.7000,25.9700,25.5500,25.9400,25.6994,205727,0.0000,1.0000
2019-04-24,25.6400,25.9400,25.5000,25.8300,25.5904,128149,0.0000,1.0000
2019-04-23,25.7400,25.9200,25.6300,25.6300,25.3923,197091,0.0000,1.0000
2019-04-22,25.7100,25.9100,25.5050,25.8100,25.5706,117421,0.0000,1.0000
2019-04-18,25.8600,26.0400,25.7000,25.8500,25.6102,118029,0.0000,1.0000
2019-04-17,25.9300,26.0600,25.7900,25.8600,25.6201,67396,0.0000,1.0000
2019-04-16,26.0100,26.1358,25.8868,25.9800,25.7390,53711,0.0000,1.0000
2019-04-15,26.0800,26.2000,25.7000,25.8600,25.6201,82151,0.0000,1.0000
2019-04-12,26.2400,26.3800,25.9300,26.0600,25.8183,66699,0.0000,1.0000
2019-04-11,26.3000,26.5000,25.9000,25.9600,25.7192,439106,0.0000,1.0000
2019-04-10,25.9600,26.4100,25.8300,26.3700,26.1254,200195,0.0000,1.0000
2019-04-09,25.7900,26.1000,25.6800,25.9100,25.6697,208562,0.0000,1.0000
2019-04-08,25.8000,26.0600,25.3500,25.9400,25.6994,170644,0.0000,1.0000
2019-04-05,26.0900,26.1850,25.8400,25.9000,25.6598,181648,0.0000,1.0000
2019-04-04,25.9500,26.1000,25.8100,26.0500,25.8084,140951,0.0000,1.0000
2019-04-03,26.2900,26.2900,25.8600,25.8700,25.6300,97059,0.0000,1.0000
2019-04-02,26.4500,26.4500,25.9700,26.1100,25.8678,113092,0.0000,1.0000
2019-04-01,26.5000,26.5000,26.0000,26.4200,26.1749,152232,0.0000,1.0000
