timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,32.2400,32.9200,30.8000,32.8500,32.8500,52852,0.0000,1.0000
2019-07-29,32.6000,32.7000,32.1900,32.3500,32.3500,54030,0.0000,1.0000
2019-07-26,32.2000,32.6500,32.2000,32.5400,32.5400,72357,0.0000,1.0000
2019-07-25,31.8900,32.2400,31.6200,32.2200,32.2200,49269,0.0000,1.0000
2019-07-24,30.6500,32.0000,30.6500,31.9400,31.9400,143050,0.0000,1.0000
2019-07-23,30.0000,30.6900,29.6100,30.6900,30.6900,43086,0.0000,1.0000
2019-07-22,29.6800,29.9300,29.4300,29.9200,29.9200,23849,0.0000,1.0000
2019-07-19,29.9500,30.0000,29.8100,29.8700,29.8700,27496,0.0000,1.0000
2019-07-18,30.0100,30.2200,29.9550,30.0900,30.0900,26719,0.0000,1.0000
2019-07-17,29.9600,30.1800,29.9600,30.0000,30.0000,30170,0.0000,1.0000
2019-07-16,30.1500,30.2800,30.0900,30.1200,30.1200,29352,0.0000,1.0000
2019-07-15,30.2000,30.2500,29.8900,30.1200,30.1200,58593,0.0000,1.0000
2019-07-12,29.7000,30.3300,29.6800,30.2700,30.2700,43299,0.0000,1.0000
2019-07-11,29.8300,29.9400,29.6100,29.8500,29.8500,31528,0.0000,1.0000
2019-07-10,30.4500,30.4500,29.9000,29.9900,29.9900,35200,0.0000,1.0000
2019-07-09,29.8300,30.5479,29.8300,30.4800,30.4800,44563,0.0000,1.0000
2019-07-08,30.6800,30.7950,30.6100,30.7100,30.7100,27913,0.0000,1.0000
2019-07-05,30.7400,30.8400,30.5201,30.7500,30.7500,35398,0.0000,1.0000
2019-07-03,30.4200,30.7700,30.3600,30.7400,30.7400,15323,0.0000,1.0000
2019-07-02,30.8450,30.9900,30.1300,30.4200,30.4200,143114,0.0000,1.0000
2019-07-01,30.4000,30.8400,30.4000,30.7300,30.7300,72520,0.0000,1.0000
2019-06-28,30.0000,30.8050,29.8300,30.3400,30.3400,593709,0.0000,1.0000
2019-06-27,29.7900,30.0000,29.5550,30.0000,30.0000,45454,0.0000,1.0000
2019-06-26,29.6000,29.9700,29.1100,29.8100,29.8100,34729,0.0000,1.0000
2019-06-25,28.0700,29.8100,28.0700,29.7000,29.7000,41290,0.0000,1.0000
2019-06-24,29.2100,29.7500,29.1200,29.1600,29.1600,47919,0.0000,1.0000
2019-06-21,29.1000,29.8600,29.1000,29.3400,29.3400,52308,0.0000,1.0000
2019-06-20,29.9500,29.9500,29.0850,29.3200,29.3200,39030,0.0000,1.0000
2019-06-19,29.7400,30.0000,29.7400,29.9200,29.9200,25520,0.0000,1.0000
2019-06-18,29.8100,30.0000,29.4950,29.9900,29.9900,28828,0.0000,1.0000
2019-06-17,29.8900,30.0050,29.4800,29.8100,29.8100,36381,0.0000,1.0000
2019-06-14,29.8100,30.0000,28.8150,29.9900,29.9900,31973,0.0000,1.0000
2019-06-13,29.9400,30.0000,29.5550,29.8300,29.8300,39557,0.0000,1.0000
2019-06-12,29.8700,30.7200,29.4150,29.9000,29.9000,26304,0.0000,1.0000
2019-06-11,29.9100,30.4900,29.6100,29.9900,29.9900,31053,0.0000,1.0000
2019-06-10,28.2500,30.1100,28.2500,29.8600,29.8600,37053,0.0000,1.0000
