timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,7.9200,7.9200,7.9200,7.9200,7.9200,703,0.0000,1.0000
2019-07-30,7.7300,8.1000,7.7300,7.9300,7.9300,117319,0.0000,1.0000
2019-07-29,7.9000,7.9400,7.7800,7.8100,7.8100,124872,0.0000,1.0000
2019-07-26,7.8600,7.9700,7.8400,7.9000,7.9000,100582,0.0000,1.0000
2019-07-25,8.1100,8.1100,7.8900,7.8900,7.8900,67539,0.0000,1.0000
2019-07-24,8.1600,8.2000,8.0200,8.1000,8.1000,130427,0.0000,1.0000
2019-07-23,8.0000,8.1000,7.8100,8.0900,8.0900,58135,0.0000,1.0000
2019-07-22,8.0100,8.1000,7.7700,8.0000,8.0000,61995,0.0000,1.0000
2019-07-19,7.7500,8.0273,7.7400,7.9600,7.9600,172167,0.0000,1.0000
2019-07-18,7.7600,7.8500,7.6100,7.8100,7.8100,136394,0.0000,1.0000
2019-07-17,7.8000,7.8600,7.7000,7.7600,7.7600,79665,0.0000,1.0000
2019-07-16,7.8400,7.9900,7.7700,7.7700,7.7700,101540,0.0000,1.0000
2019-07-15,7.9000,7.9000,7.7500,7.8500,7.8500,160227,0.0000,1.0000
2019-07-12,7.9600,7.9800,7.7900,7.8400,7.8400,212288,0.0000,1.0000
2019-07-11,8.1400,8.2400,7.8600,7.9400,7.9400,238975,0.0000,1.0000
2019-07-10,8.2700,8.3829,8.1250,8.1300,8.1300,117478,0.0000,1.0000
2019-07-09,8.1600,8.3200,8.0000,8.3100,8.3100,118312,0.0000,1.0000
2019-07-08,8.2500,8.3700,8.1400,8.2000,8.2000,138991,0.0000,1.0000
2019-07-05,8.4800,8.4900,8.0300,8.2900,8.2900,104191,0.0000,1.0000
2019-07-03,8.4000,8.7200,8.2300,8.5200,8.5200,97660,0.0000,1.0000
2019-07-02,8.4800,8.5500,8.3500,8.3800,8.3800,155456,0.0000,1.0000
2019-07-01,8.4500,8.8195,8.4500,8.5600,8.5600,299688,0.0000,1.0000
2019-06-28,8.3300,8.6600,8.1200,8.4000,8.4000,4796875,0.0000,1.0000
2019-06-27,8.2300,8.4900,8.2000,8.3000,8.3000,210507,0.0000,1.0000
2019-06-26,8.0000,8.4000,8.0000,8.2500,8.2500,216303,0.0000,1.0000
2019-06-25,7.8500,8.1400,7.7600,7.8700,7.8700,219493,0.0000,1.0000
2019-06-24,7.9500,8.0000,7.8100,7.8200,7.8200,129718,0.0000,1.0000
2019-06-21,8.1200,8.2100,7.5500,7.9000,7.9000,183463,0.0000,1.0000
2019-06-20,7.9600,8.4600,7.9200,8.0500,8.0500,142093,0.0000,1.0000
2019-06-19,8.0100,8.1000,7.8600,7.9100,7.9100,203051,0.0000,1.0000
2019-06-18,7.6000,8.0800,7.5978,8.0700,8.0700,168537,0.0000,1.0000
2019-06-17,7.7700,7.7700,7.5400,7.5400,7.5400,181577,0.0000,1.0000
2019-06-14,7.1200,7.5300,7.0550,7.4900,7.4900,131115,0.0000,1.0000
2019-06-13,7.1000,7.2791,6.9850,7.0700,7.0700,132551,0.0000,1.0000
2019-06-12,7.4100,7.4800,6.9500,7.0600,7.0600,87230,0.0000,1.0000
2019-06-11,7.3300,7.5300,7.2400,7.4000,7.4000,86072,0.0000,1.0000
2019-06-10,7.3200,7.3650,6.9100,7.2600,7.2600,537308,0.0000,1.0000
2019-06-07,7.4400,7.5500,7.2700,7.3800,7.3800,160670,0.0000,1.0000
2019-06-06,7.3000,7.4100,7.1200,7.3800,7.3800,70359,0.0000,1.0000
2019-06-05,7.4000,7.4000,7.0100,7.2400,7.2400,135630,0.0000,1.0000
2019-06-04,7.5300,7.9752,7.2600,7.3500,7.3500,247677,0.0000,1.0000
2019-06-03,7.3800,7.6300,7.3400,7.5300,7.5300,169072,0.0000,1.0000
2019-05-31,7.2500,7.4300,7.0100,7.3800,7.3800,213470,0.0000,1.0000
2019-05-30,7.4000,7.4100,7.1900,7.2400,7.2400,337668,0.0000,1.0000
2019-05-29,7.8700,8.0000,7.2200,7.3100,7.3100,454584,0.0000,1.0000
2019-05-28,7.5800,7.6800,7.2400,7.3400,7.3400,287296,0.0000,1.0000
2019-05-24,7.5200,7.5600,7.3000,7.5400,7.5400,406303,0.0000,1.0000
2019-05-23,7.4800,7.6000,7.0000,7.3500,7.3500,198100,0.0000,1.0000
2019-05-22,7.8900,7.9000,7.4700,7.6200,7.6200,298076,0.0000,1.0000
2019-05-21,7.8900,7.9600,7.7600,7.9000,7.9000,310382,0.0000,1.0000
2019-05-20,7.7900,8.0300,7.7900,7.8700,7.8700,199032,0.0000,1.0000
2019-05-17,8.1000,8.1700,7.8100,7.8500,7.8500,114318,0.0000,1.0000
2019-05-16,7.9800,8.2050,7.9200,8.0100,8.0100,371669,0.1750,1.0000
2019-05-15,7.9800,8.1600,7.9800,8.1400,7.9660,303621,0.0000,1.0000
2019-05-14,8.1800,8.1800,7.9600,7.9700,7.7996,171272,0.0000,1.0000
2019-05-13,8.2200,8.3547,7.8400,8.1400,7.9660,267062,0.0000,1.0000
2019-05-10,8.2000,8.3000,8.1000,8.2100,8.0345,203014,0.0000,1.0000
2019-05-09,8.2100,8.3000,8.1000,8.1600,7.9855,189774,0.0000,1.0000
2019-05-08,8.0400,8.2600,8.0400,8.1500,7.9757,117928,0.0000,1.0000
2019-05-07,8.0900,8.4100,8.0000,8.0900,7.9170,145978,0.0000,1.0000
2019-05-06,8.2600,8.4600,8.1400,8.2600,8.0834,539106,0.0000,1.0000
2019-05-03,8.3100,8.5000,8.0700,8.3000,8.1225,48134,0.0000,1.0000
2019-05-02,8.5300,8.5400,8.2500,8.2500,8.0736,54486,0.0000,1.0000
2019-05-01,8.6800,8.7700,8.3750,8.5500,8.3672,148857,0.0000,1.0000
2019-04-30,8.9500,8.9500,8.2800,8.6700,8.4846,277678,0.0000,1.0000
2019-04-29,8.8600,8.9700,8.8600,8.8800,8.6901,85504,0.0000,1.0000
2019-04-26,8.9700,9.0300,8.8300,8.8900,8.6999,69914,0.0000,1.0000
2019-04-25,8.9500,9.0500,8.9500,9.0200,8.8271,61963,0.0000,1.0000
