timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,5.5600,5.5812,5.5100,5.5100,5.5100,11338,0.0000,1.0000
2019-07-30,5.3500,5.6200,5.3250,5.5450,5.5450,302148,0.0000,1.0000
2019-07-29,5.4500,5.5200,5.3371,5.3700,5.3700,150346,0.0000,1.0000
2019-07-26,5.4400,5.5599,5.4100,5.4900,5.4900,178365,0.0000,1.0000
2019-07-25,5.5100,5.5400,5.4000,5.4200,5.4200,209883,0.0000,1.0000
2019-07-24,5.2000,5.5200,5.2000,5.4600,5.4600,261748,0.0000,1.0000
2019-07-23,5.3700,5.3700,5.1700,5.2300,5.2300,307809,0.0000,1.0000
2019-07-22,5.4000,5.4700,5.2600,5.3000,5.3000,212777,0.0000,1.0000
2019-07-19,5.4500,5.4900,5.3300,5.3800,5.3800,314167,0.0000,1.0000
2019-07-18,5.4900,5.5100,5.2750,5.4600,5.4600,229313,0.0000,1.0000
2019-07-17,5.9700,6.1000,5.4101,5.5100,5.5100,513919,0.0000,1.0000
2019-07-16,5.9100,6.1200,5.8600,5.9700,5.9700,227005,0.0000,1.0000
2019-07-15,5.8100,6.0100,5.7300,5.9400,5.9400,306200,0.0000,1.0000
2019-07-12,5.5800,5.8650,5.5201,5.8100,5.8100,251066,0.0000,1.0000
2019-07-11,5.6300,5.7100,5.4500,5.5800,5.5800,218444,0.0000,1.0000
2019-07-10,5.6800,5.8300,5.6200,5.6500,5.6500,252998,0.0000,1.0000
2019-07-09,5.6800,5.7650,5.6000,5.6600,5.6600,219708,0.0000,1.0000
2019-07-08,5.5700,5.7300,5.5000,5.6800,5.6800,391464,0.0000,1.0000
2019-07-05,5.4000,5.5700,5.3400,5.5700,5.5700,212801,0.0000,1.0000
2019-07-03,5.2800,5.5900,5.2001,5.3900,5.3900,314225,0.0000,1.0000
2019-07-02,5.3500,5.3500,5.1900,5.2700,5.2700,217718,0.0000,1.0000
2019-07-01,5.4600,5.4800,5.2800,5.3500,5.3500,273438,0.0000,1.0000
2019-06-28,5.2100,5.4000,5.1300,5.3800,5.3800,2500486,0.0000,1.0000
2019-06-27,4.8700,5.2250,4.8700,5.1800,5.1800,335364,0.0000,1.0000
2019-06-26,5.0700,5.1061,4.8500,4.8700,4.8700,262454,0.0000,1.0000
2019-06-25,5.0500,5.2000,4.9200,5.0300,5.0300,246576,0.0000,1.0000
2019-06-24,5.1600,5.1800,5.0250,5.0500,5.0500,325052,0.0000,1.0000
2019-06-21,5.2500,5.2500,5.1200,5.1600,5.1600,497452,0.0000,1.0000
2019-06-20,5.5100,5.5100,5.2200,5.2600,5.2600,348625,0.0000,1.0000
2019-06-19,5.5100,5.6200,5.3400,5.4500,5.4500,488576,0.0000,1.0000
2019-06-18,5.6300,5.7800,5.3900,5.4700,5.4700,566643,0.0000,1.0000
2019-06-17,5.4400,5.7700,5.3300,5.6000,5.6000,612880,0.0000,1.0000
2019-06-14,5.4600,5.5000,5.3100,5.4500,5.4500,406827,0.0000,1.0000
2019-06-13,5.1600,5.5600,5.1500,5.4600,5.4600,798872,0.0000,1.0000
2019-06-12,4.9000,5.1700,4.8300,5.1500,5.1500,366898,0.0000,1.0000
2019-06-11,4.9300,4.9400,4.7700,4.9100,4.9100,387342,0.0000,1.0000
2019-06-10,4.7600,5.0000,4.7500,4.9100,4.9100,304568,0.0000,1.0000
2019-06-07,4.9300,5.0200,4.7400,4.7600,4.7600,484445,0.0000,1.0000
2019-06-06,4.6300,4.9800,4.6300,4.9000,4.9000,484360,0.0000,1.0000
2019-06-05,4.8300,4.8400,4.6100,4.6600,4.6600,379325,0.0000,1.0000
2019-06-04,4.6500,4.8200,4.6100,4.7900,4.7900,432340,0.0000,1.0000
2019-06-03,4.8600,4.9150,4.6100,4.6500,4.6500,372777,0.0000,1.0000
2019-05-31,5.1100,5.1100,4.8500,4.8800,4.8800,365532,0.0000,1.0000
2019-05-30,5.1500,5.1800,5.0100,5.1600,5.1600,556166,0.0000,1.0000
2019-05-29,5.1800,5.2400,5.0500,5.1500,5.1500,468681,0.0000,1.0000
2019-05-28,5.2900,5.3500,5.1100,5.2500,5.2500,754125,0.0000,1.0000
2019-05-24,5.4600,5.5100,5.2200,5.2600,5.2600,351595,0.0000,1.0000
2019-05-23,5.6300,5.6300,5.3900,5.4600,5.4600,383722,0.0000,1.0000
2019-05-22,5.6000,5.8800,5.5700,5.6700,5.6700,701029,0.0000,1.0000
2019-05-21,5.2700,5.6900,5.2700,5.6200,5.6200,556540,0.0000,1.0000
2019-05-20,5.5400,5.5700,5.1600,5.2500,5.2500,516090,0.0000,1.0000
2019-05-17,5.4000,5.6724,5.2000,5.6400,5.6400,564797,0.0000,1.0000
2019-05-16,5.8500,5.9700,5.3600,5.4300,5.4300,789376,0.0000,1.0000
2019-05-15,5.9200,6.0600,5.8200,5.8500,5.8500,693763,0.0000,1.0000
2019-05-14,6.5400,6.6900,5.7950,5.9200,5.9200,1129256,0.0000,1.0000
2019-05-13,6.6500,6.8250,6.4100,6.4700,6.4700,832606,0.0000,1.0000
2019-05-10,7.0900,7.2400,6.8300,7.0200,7.0200,613603,0.0000,1.0000
2019-05-09,7.2100,7.4400,6.1300,7.0500,7.0500,1301380,0.0000,1.0000
2019-05-08,7.4200,7.4699,6.9600,7.1900,7.1900,1019585,0.0000,1.0000
2019-05-07,7.3500,7.4050,7.1200,7.3600,7.3600,558295,0.0000,1.0000
2019-05-06,6.9500,7.3800,6.8500,7.3600,7.3600,465123,0.0000,1.0000
2019-05-03,7.0200,7.2800,6.9553,7.2100,7.2100,403851,0.0000,1.0000
2019-05-02,7.0900,7.1800,6.8500,7.0200,7.0200,387445,0.0000,1.0000
2019-05-01,7.0600,7.1800,6.9600,7.0200,7.0200,392733,0.0000,1.0000
2019-04-30,7.2300,7.3200,6.9100,7.0300,7.0300,963992,0.0000,1.0000
2019-04-29,6.9500,7.4200,6.9400,7.1900,7.1900,1211243,0.0000,1.0000
2019-04-26,6.9500,6.9500,6.6600,6.8900,6.8900,397561,0.0000,1.0000
2019-04-25,6.7500,6.9100,6.6100,6.8400,6.8400,456256,0.0000,1.0000
2019-04-24,6.6400,6.7500,6.5100,6.7100,6.7100,553600,0.0000,1.0000
2019-04-23,6.5000,6.7000,6.4200,6.6200,6.6200,428028,0.0000,1.0000
2019-04-22,6.3800,6.5500,6.2368,6.4800,6.4800,471287,0.0000,1.0000
2019-04-18,6.3700,6.4000,6.1500,6.3800,6.3800,571913,0.0000,1.0000
2019-04-17,6.5000,6.5000,6.0700,6.3700,6.3700,418457,0.0000,1.0000
2019-04-16,6.3500,6.6200,6.3400,6.4300,6.4300,436480,0.0000,1.0000
2019-04-15,6.2400,6.3400,6.1500,6.3100,6.3100,237582,0.0000,1.0000
2019-04-12,6.3400,6.3798,6.1500,6.2400,6.2400,321548,0.0000,1.0000
2019-04-11,6.1400,6.3600,6.0500,6.3200,6.3200,301135,0.0000,1.0000
2019-04-10,6.1800,6.2400,6.1000,6.1600,6.1600,362085,0.0000,1.0000
2019-04-09,6.1100,6.3900,6.0500,6.1300,6.1300,428530,0.0000,1.0000
2019-04-08,6.2100,6.2500,5.9500,6.1200,6.1200,392957,0.0000,1.0000
2019-04-05,6.0600,6.2600,6.0200,6.2100,6.2100,496999,0.0000,1.0000
2019-04-04,5.7700,6.0500,5.7400,6.0100,6.0100,406175,0.0000,1.0000
2019-04-03,5.6000,5.7900,5.5400,5.7600,5.7600,264158,0.0000,1.0000
2019-04-02,5.7500,5.7500,5.5050,5.6000,5.6000,243837,0.0000,1.0000
2019-04-01,5.6400,5.7800,5.5265,5.7500,5.7500,312971,0.0000,1.0000
2019-03-29,5.7400,5.7400,5.5500,5.6200,5.6200,499701,0.0000,1.0000
2019-03-28,5.5700,5.7650,5.4401,5.6950,5.6950,431041,0.0000,1.0000
2019-03-27,5.7600,5.7600,5.5200,5.5700,5.5700,351275,0.0000,1.0000
2019-03-26,5.9400,5.9400,5.6100,5.7800,5.7800,360695,0.0000,1.0000
2019-03-25,5.7900,5.9600,5.7500,5.9000,5.9000,442009,0.0000,1.0000
2019-03-22,6.1600,6.2000,5.5500,5.8100,5.8100,574658,0.0000,1.0000
2019-03-21,6.0000,6.3500,5.9900,6.2000,6.2000,893803,0.0000,1.0000
2019-03-20,5.6600,6.0400,5.4000,5.8800,5.8800,615482,0.0000,1.0000
2019-03-19,5.5400,5.7100,5.4400,5.5900,5.5900,362025,0.0000,1.0000
2019-03-18,5.5500,5.7600,5.4000,5.5400,5.5400,606314,0.0000,1.0000
2019-03-15,5.3100,5.8500,5.3000,5.4700,5.4700,1087327,0.0000,1.0000
2019-03-14,6.1200,6.1900,4.9800,5.3100,5.3100,1463638,0.0000,1.0000
2019-03-13,5.7900,5.9500,5.7300,5.9000,5.9000,634644,0.0000,1.0000
2019-03-12,5.7500,5.9100,5.6800,5.7700,5.7700,615254,0.0000,1.0000
2019-03-11,5.6100,5.8400,5.5683,5.7100,5.7100,641658,0.0000,1.0000
2019-03-08,5.4900,5.6800,5.4300,5.5400,5.5400,377090,0.0000,1.0000
2019-03-07,5.4100,5.6500,5.3900,5.4600,5.4600,352751,0.0000,1.0000
2019-03-06,5.5100,5.7100,5.3300,5.4100,5.4100,452787,0.0000,1.0000
2019-03-05,5.3500,5.5900,5.3202,5.3900,5.3900,580463,0.0000,1.0000
2019-03-04,5.3500,5.4900,5.2800,5.3500,5.3500,380731,0.0000,1.0000
2019-03-01,5.1400,5.3000,4.9700,5.2400,5.2400,248395,0.0000,1.0000
2019-02-28,4.9700,5.1500,4.8100,5.1100,5.1100,259919,0.0000,1.0000
2019-02-27,5.0200,5.0900,4.9450,4.9700,4.9700,131976,0.0000,1.0000
