timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,8.9200,8.9200,8.9200,8.9200,8.9200,780,0.0000,1.0000
2019-07-30,8.8600,8.9967,8.8600,8.9800,8.9800,52560,0.0000,1.0000
2019-07-29,8.9300,8.9300,8.8500,8.8700,8.8700,22615,0.0000,1.0000
2019-07-26,8.9000,8.9443,8.8500,8.9100,8.9100,66155,0.0000,1.0000
2019-07-25,9.1400,9.1400,9.0100,9.0400,9.0400,29662,0.0000,1.0000
2019-07-24,9.0200,9.2000,8.9516,9.1400,9.1400,62599,0.0000,1.0000
2019-07-23,9.2500,9.3314,8.7400,9.2300,9.2300,130030,0.0000,1.0000
2019-07-22,9.5400,9.5875,9.2000,9.2000,9.2000,39867,0.0000,1.0000
2019-07-19,9.7071,9.7071,9.5000,9.5181,9.5181,60683,0.0000,1.0000
2019-07-18,9.8100,9.9000,9.6000,9.7500,9.7500,108722,0.0000,1.0000
2019-07-17,10.1000,10.2900,9.7500,9.7500,9.7500,500851,0.0000,1.0000
