timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,9.3200,9.3300,9.1600,9.2000,9.2000,26192,0.0000,1.0000
2019-07-30,9.0100,9.4100,8.9200,9.3200,9.3200,361638,0.0000,1.0000
2019-07-29,9.1400,9.2300,9.0200,9.0400,9.0400,500782,0.0000,1.0000
2019-07-26,9.2200,9.4500,9.0200,9.1500,9.1500,1031609,0.0000,1.0000
2019-07-25,9.2400,9.7500,9.1500,9.2400,9.2400,392578,0.0000,1.0000
2019-07-24,8.8200,9.1200,8.7500,9.0700,9.0700,369236,0.0000,1.0000
2019-07-23,8.8100,9.0800,8.7100,8.9100,8.9100,361854,0.0000,1.0000
2019-07-22,8.5700,9.0300,8.4600,8.8100,8.8100,863587,0.0000,1.0000
2019-07-19,8.7600,8.8000,8.4800,8.5000,8.5000,457742,0.0000,1.0000
2019-07-18,8.8000,9.4000,8.2700,8.7500,8.7500,2285100,0.0000,1.0000
2019-07-17,9.3900,9.7100,8.7300,8.7600,8.7600,838603,0.0000,1.0000
2019-07-16,10.1300,10.2600,10.0300,10.1200,10.1200,118400,0.0000,1.0000
2019-07-15,10.2300,10.2700,10.0300,10.1200,10.1200,141154,0.0000,1.0000
2019-07-12,10.3100,10.3800,9.7600,10.2800,10.2800,292916,0.0000,1.0000
2019-07-11,10.4900,10.4900,10.0900,10.3000,10.3000,130138,0.0000,1.0000
2019-07-10,10.3100,10.4400,10.0900,10.2600,10.2600,150688,0.0000,1.0000
2019-07-09,10.1300,10.3050,10.0000,10.2400,10.2400,135429,0.0000,1.0000
2019-07-08,10.5600,10.6500,10.0200,10.1800,10.1800,136543,0.0000,1.0000
2019-07-05,10.5200,10.7200,10.4100,10.5300,10.5300,82340,0.0000,1.0000
2019-07-03,10.3300,10.6800,10.1528,10.5900,10.5900,117748,0.0000,1.0000
2019-07-02,10.5300,10.6450,9.9500,10.2400,10.2400,387170,0.0000,1.0000
2019-07-01,10.7400,10.8600,10.4500,10.6000,10.6000,306619,0.0000,1.0000
2019-06-28,10.4400,10.7900,10.3050,10.6000,10.6000,778122,0.0000,1.0000
2019-06-27,10.8500,11.0000,10.2250,10.4100,10.4100,213144,0.0000,1.0000
2019-06-26,10.8500,10.9700,10.5600,10.8400,10.8400,175791,0.0000,1.0000
2019-06-25,10.6500,11.2000,10.5200,10.8000,10.8000,178517,0.0000,1.0000
2019-06-24,10.6200,10.8500,10.4400,10.6300,10.6300,129731,0.0000,1.0000
2019-06-21,10.7400,10.7960,10.3900,10.6000,10.6000,328512,0.0000,1.0000
2019-06-20,10.8900,11.2000,10.3900,10.7200,10.7200,204670,0.0000,1.0000
2019-06-19,10.5000,10.8800,10.3700,10.7300,10.7300,200435,0.0000,1.0000
2019-06-18,11.0200,11.1000,10.4600,10.4900,10.4900,314288,0.0000,1.0000
2019-06-17,10.6100,11.7400,9.9000,11.0900,11.0900,340889,0.0000,1.0000
2019-06-14,10.5600,10.6900,10.4500,10.5400,10.5400,188719,0.0000,1.0000
2019-06-13,10.8500,10.8800,10.5200,10.5800,10.5800,181959,0.0000,1.0000
2019-06-12,10.9200,11.0000,10.6900,10.8100,10.8100,112520,0.0000,1.0000
2019-06-11,11.0700,11.2000,10.3400,10.9300,10.9300,223015,0.0000,1.0000
2019-06-10,11.2800,11.4900,10.9200,10.9900,10.9900,206083,0.0000,1.0000
2019-06-07,10.9800,11.3600,10.7400,11.2800,11.2800,214764,0.0000,1.0000
2019-06-06,10.9600,11.3300,10.7600,10.9500,10.9500,282895,0.0000,1.0000
2019-06-05,11.5000,11.8300,10.8100,10.9700,10.9700,199263,0.0000,1.0000
2019-06-04,11.4700,11.6900,11.1000,11.4200,11.4200,158646,0.0000,1.0000
2019-06-03,11.4200,11.9900,11.1000,11.3000,11.3000,379652,0.0000,1.0000
2019-05-31,12.3500,12.4800,11.2250,11.3100,11.3100,201382,0.0000,1.0000
2019-05-30,12.5000,12.9699,12.3200,12.5700,12.5700,182891,0.0000,1.0000
2019-05-29,12.7000,12.9300,12.3000,12.4900,12.4900,163421,0.0000,1.0000
2019-05-28,12.1400,12.6900,12.1100,12.4900,12.4900,200074,0.0000,1.0000
2019-05-24,12.2300,12.3200,12.0600,12.1500,12.1500,88450,0.0000,1.0000
2019-05-23,12.3000,12.4500,12.0541,12.1600,12.1600,141276,0.0000,1.0000
2019-05-22,12.3600,12.7600,12.3300,12.4600,12.4600,231358,0.0000,1.0000
2019-05-21,12.1900,12.7500,12.1900,12.5400,12.5400,126946,0.0000,1.0000
2019-05-20,12.0000,12.5500,10.7600,12.2900,12.2900,430141,0.0000,1.0000
2019-05-17,12.7800,12.7800,10.5000,12.0400,12.0400,865860,0.0000,1.0000
2019-05-16,16.0200,16.3600,12.5500,12.8000,12.8000,658853,0.0000,1.0000
2019-05-15,15.9600,16.1000,15.1650,15.8300,15.8300,151508,0.0000,1.0000
2019-05-14,17.4200,18.1700,15.9500,16.0400,16.0400,386310,0.0000,1.0000
2019-05-13,18.8100,18.8100,17.6000,17.7800,17.7800,112779,0.0000,1.0000
2019-05-10,18.6800,18.9900,17.7100,18.7000,18.7000,108595,0.0000,1.0000
2019-05-09,18.1300,18.9550,17.2500,18.6500,18.6500,149781,0.0000,1.0000
2019-05-08,17.8800,18.5313,17.8800,18.1600,18.1600,50392,0.0000,1.0000
2019-05-07,18.8200,18.8200,17.7400,18.0000,18.0000,56931,0.0000,1.0000
2019-05-06,17.9500,18.9600,17.6000,18.8100,18.8100,63990,0.0000,1.0000
2019-05-03,18.0900,18.3800,17.6000,18.3500,18.3500,82521,0.0000,1.0000
2019-05-02,18.2100,18.3400,17.3700,18.0000,18.0000,109286,0.0000,1.0000
2019-05-01,19.2400,19.2400,17.7900,18.2500,18.2500,138770,0.0000,1.0000
2019-04-30,19.0900,19.4500,18.7065,18.9900,18.9900,268501,0.0000,1.0000
2019-04-29,18.9100,19.3700,18.3900,19.2300,19.2300,165638,0.0000,1.0000
2019-04-26,19.2800,19.2800,17.7600,18.7800,18.7800,541072,0.0000,1.0000
2019-04-25,17.9200,19.6700,17.7500,18.7300,18.7300,654872,0.0000,1.0000
2019-04-24,18.6300,18.6300,17.6528,17.9400,17.9400,45292,0.0000,1.0000
2019-04-23,18.1500,18.9500,17.7900,18.6300,18.6300,98060,0.0000,1.0000
2019-04-22,17.7700,18.9751,17.5100,18.0000,18.0000,84311,0.0000,1.0000
2019-04-18,18.7400,18.7400,17.6400,17.8800,17.8800,200912,0.0000,1.0000
2019-04-17,18.8800,19.1800,17.5000,18.8000,18.8000,450132,0.0000,1.0000
2019-04-16,19.0700,19.3000,18.4350,18.7400,18.7400,274253,0.0000,1.0000
2019-04-15,18.6200,19.0899,17.7700,18.8400,18.8400,439098,0.0000,1.0000
2019-04-12,17.7700,18.8900,17.5300,18.6000,18.6000,106967,0.0000,1.0000
2019-04-11,17.4500,17.5700,17.0500,17.4000,17.4000,49348,0.0000,1.0000
2019-04-10,17.8500,17.8500,16.8800,17.4600,17.4600,98468,0.0000,1.0000
2019-04-09,17.8700,18.2875,17.5700,17.7100,17.7100,94518,0.0000,1.0000
2019-04-08,17.4200,18.2900,17.1900,17.9100,17.9100,103380,0.0000,1.0000
2019-04-05,16.4000,17.6000,16.4000,17.4300,17.4300,96566,0.0000,1.0000
2019-04-04,16.9000,16.9000,16.0100,16.2300,16.2300,84740,0.0000,1.0000
2019-04-03,16.2600,17.1800,16.0097,16.7700,16.7700,59913,0.0000,1.0000
2019-04-02,15.9800,16.4300,15.0600,16.1500,16.1500,439706,0.0000,1.0000
2019-04-01,16.1400,16.7200,15.7200,15.9900,15.9900,151022,0.0000,1.0000
2019-03-29,18.0000,18.0000,15.5300,16.1600,16.1600,210949,0.0000,1.0000
2019-03-28,15.1500,15.8700,15.0800,15.4600,15.4600,88535,0.0000,1.0000
2019-03-27,15.8900,16.0600,14.8450,15.1900,15.1900,135022,0.0000,1.0000
2019-03-26,16.2000,17.0000,15.6200,15.9000,15.9000,79439,0.0000,1.0000
2019-03-25,16.3100,16.7950,16.0600,16.1900,16.1900,164518,0.0000,1.0000
2019-03-22,17.5900,17.6950,16.1700,16.3600,16.3600,157240,0.0000,1.0000
2019-03-21,18.2500,18.3500,17.2700,17.7500,17.7500,135390,0.0000,1.0000
2019-03-20,18.8200,18.8200,17.8826,18.2100,18.2100,270153,0.0000,1.0000
2019-03-19,18.2400,18.4000,17.6850,18.3800,18.3800,151424,0.0000,1.0000
2019-03-18,17.9300,18.1300,17.1300,18.0000,18.0000,136894,0.0000,1.0000
2019-03-15,17.7000,18.0000,17.3300,17.7600,17.7600,718534,0.0000,1.0000
2019-03-14,17.2700,17.9000,17.2700,17.7000,17.7000,108654,0.0000,1.0000
2019-03-13,16.5000,17.5000,16.4800,17.2800,17.2800,96313,0.0000,1.0000
2019-03-12,16.0000,16.9700,15.8800,16.5000,16.5000,71394,0.0000,1.0000
2019-03-11,16.0000,16.4200,15.6700,15.9300,15.9300,107853,0.0000,1.0000
2019-03-08,16.6900,16.7600,15.5600,15.9600,15.9600,72689,0.0000,1.0000
2019-03-07,17.3700,17.3700,16.4800,16.9000,16.9000,74826,0.0000,1.0000
2019-03-06,17.4900,17.8789,17.1800,17.3300,17.3300,156187,0.0000,1.0000
2019-03-05,17.2500,17.7700,17.0050,17.5000,17.5000,146006,0.0000,1.0000
2019-03-04,17.4300,17.5539,16.5000,17.2500,17.2500,102331,0.0000,1.0000
2019-03-01,16.8500,17.8400,16.6139,17.3500,17.3500,99148,0.0000,1.0000
2019-02-28,16.8500,16.9700,16.0000,16.7000,16.7000,110316,0.0000,1.0000
2019-02-27,16.3800,17.0450,16.3800,16.7200,16.7200,84158,0.0000,1.0000
2019-02-26,16.9700,17.1200,16.2800,16.5200,16.5200,116628,0.0000,1.0000
2019-02-25,16.2500,17.2518,15.7449,17.0200,17.0200,279032,0.0000,1.0000
2019-02-22,15.3900,16.1600,15.1900,16.0000,16.0000,240376,0.0000,1.0000
2019-02-21,15.3200,15.4500,14.8800,15.3700,15.3700,206088,0.0000,1.0000
2019-02-20,15.0700,15.3200,14.5100,15.3100,15.3100,103429,0.0000,1.0000
2019-02-19,15.5000,15.6162,14.9000,15.0800,15.0800,130081,0.0000,1.0000
2019-02-15,15.5300,15.7200,14.7948,15.4800,15.4800,139969,0.0000,1.0000
2019-02-14,15.1700,15.4900,14.8700,15.4200,15.4200,102254,0.0000,1.0000
2019-02-13,15.0400,15.4900,14.4403,15.2100,15.2100,231933,0.0000,1.0000
2019-02-12,14.8100,15.3900,14.3929,15.0400,15.0400,39913,0.0000,1.0000
2019-02-11,14.4100,14.6900,13.4900,14.5800,14.5800,105966,0.0000,1.0000
2019-02-08,14.3100,14.4969,14.0100,14.2900,14.2900,81695,0.0000,1.0000
2019-02-07,15.1400,15.1900,14.2500,14.3700,14.3700,39021,0.0000,1.0000
2019-02-06,14.9700,15.1800,14.6100,15.1800,15.1800,117672,0.0000,1.0000
2019-02-05,15.2000,15.4900,14.7000,14.9800,14.9800,68440,0.0000,1.0000
2019-02-04,15.0100,15.2800,14.5800,15.0700,15.0700,79968,0.0000,1.0000
2019-02-01,14.8900,15.1052,14.5300,14.9900,14.9900,74721,0.0000,1.0000
2019-01-31,14.6000,14.8300,14.4000,14.6900,14.6900,48086,0.0000,1.0000
2019-01-30,14.7200,14.8315,14.2500,14.5800,14.5800,91458,0.0000,1.0000
2019-01-29,14.4800,14.8200,14.2200,14.6300,14.6300,92238,0.0000,1.0000
2019-01-28,14.7900,15.0000,14.2300,14.5000,14.5000,101893,0.0000,1.0000
2019-01-25,13.8200,15.0000,13.7616,14.9400,14.9400,360578,0.0000,1.0000
2019-01-24,13.6700,14.0900,13.4400,13.6900,13.6900,157917,0.0000,1.0000
2019-01-23,13.4300,13.8600,13.2200,13.6700,13.6700,60013,0.0000,1.0000
2019-01-22,14.5900,14.5900,13.0000,13.2200,13.2200,206479,0.0000,1.0000
2019-01-18,15.2800,15.5199,14.3100,14.4700,14.4700,126125,0.0000,1.0000
2019-01-17,15.5800,15.7900,14.9700,15.2000,15.2000,146740,0.0000,1.0000
2019-01-16,16.2900,16.2900,15.5885,15.8600,15.8600,154939,0.0000,1.0000
2019-01-15,15.8200,16.1700,15.2700,15.8900,15.8900,108065,0.0000,1.0000
2019-01-14,16.0300,16.5200,15.4415,15.7600,15.7600,79426,0.0000,1.0000
2019-01-11,15.8400,16.2000,15.6000,16.0300,16.0300,60667,0.0000,1.0000
2019-01-10,16.8600,16.8600,15.5300,15.9100,15.9100,182678,0.0000,1.0000
2019-01-09,16.5300,18.3800,16.3367,16.8000,16.8000,320877,0.0000,1.0000
