timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,16.4100,16.7965,16.4100,16.7965,16.7965,894,0.0000,1.0000
2019-07-29,16.3596,16.4620,16.3596,16.4620,16.4620,2115,0.0000,1.0000
2019-07-26,16.6200,16.6400,16.5000,16.5500,16.5500,2287,0.0000,1.0000
2019-07-25,16.7287,16.7300,16.7000,16.7300,16.7300,1635,0.0000,1.0000
2019-07-24,16.9950,17.0591,16.9400,16.9709,16.9709,2646,0.0000,1.0000
2019-07-23,16.9300,16.9300,16.8683,16.9100,16.9100,1838,0.0000,1.0000
2019-07-22,16.8500,16.9105,16.8500,16.9105,16.9105,2375,0.0000,1.0000
2019-07-19,16.8747,16.9134,16.8747,16.9134,16.9134,1363,0.0000,1.0000
2019-07-18,16.9500,16.9500,16.9500,16.9500,16.9500,421,0.0000,1.0000
2019-07-17,17.1646,17.1646,16.9500,16.9500,16.9500,3883,0.0000,1.0000
2019-07-16,17.1400,17.1400,17.0846,17.0846,17.0846,839,0.0000,1.0000
2019-07-15,17.4899,17.4899,17.4899,17.4899,17.4899,428,0.0000,1.0000
2019-07-12,17.6253,17.6500,17.5900,17.6500,17.6500,26871,0.0000,1.0000
2019-07-11,17.6000,17.6000,17.5200,17.5200,17.5200,1392,0.0000,1.0000
2019-07-10,17.5166,17.6890,17.5166,17.6890,17.6890,1917,0.0000,1.0000
2019-07-09,17.3900,17.4530,17.3900,17.4285,17.4285,1928,0.0000,1.0000
2019-07-08,17.3700,17.4735,17.3700,17.4735,17.4735,1204,0.0000,1.0000
2019-07-05,17.4000,17.4300,17.4000,17.4200,17.4200,793,0.0000,1.0000
2019-07-03,17.3906,17.4197,17.3906,17.4197,17.4197,569,0.0000,1.0000
2019-07-02,17.3536,17.3796,17.3152,17.3152,17.3152,4387,0.0000,1.0000
2019-07-01,17.6900,17.7850,17.5750,17.5750,17.5750,1308,0.0000,1.0000
2019-06-28,17.4300,17.4300,17.4300,17.4300,17.4300,979,0.0000,1.0000
2019-06-27,17.4000,17.4000,17.2476,17.2476,17.2476,2775,0.0000,1.0000
2019-06-26,17.4000,17.5000,17.3000,17.4300,17.4300,12231,0.0000,1.0000
2019-06-25,17.2487,17.2487,17.1343,17.1368,17.1368,103307,0.0000,1.0000
2019-06-24,17.3400,17.3400,17.2700,17.3147,17.3147,1912,0.0000,1.0000
2019-06-21,17.4100,17.4100,17.4100,17.4100,17.4100,450,0.0000,1.0000
2019-06-20,17.4016,17.4400,17.3600,17.3823,17.3823,6739,0.0000,1.0000
2019-06-19,17.0000,17.1300,16.9700,17.0450,17.0450,11084,0.0000,1.0000
2019-06-18,17.0500,17.0500,16.9769,17.0300,17.0300,4346,0.0000,1.0000
2019-06-17,16.7634,16.8590,16.7595,16.8590,16.8590,1568,0.0000,1.0000
2019-06-14,16.6900,16.6900,16.6347,16.6347,16.6347,1221,0.1073,1.0000
2019-06-13,16.9160,16.9160,16.9155,16.9155,16.8071,443,0.0000,1.0000
2019-06-12,16.8656,16.8656,16.7700,16.7950,16.6874,1732,0.0000,1.0000
2019-06-11,17.1065,17.1065,17.0970,17.0970,16.9874,912,0.0000,1.0000
2019-06-10,17.2000,17.2685,17.0783,17.1051,16.9955,1609,0.0000,1.0000
2019-06-07,17.2728,17.2728,17.2150,17.2150,17.1047,4550,0.0000,1.0000
2019-06-06,16.9500,17.1149,16.9500,17.1149,17.0052,1262,0.0000,1.0000
2019-06-05,16.8657,16.9071,16.8657,16.8998,16.7915,1783,0.0000,1.0000
2019-06-04,16.8500,17.0725,16.8500,17.0011,16.8921,4238,0.0000,1.0000
2019-06-03,16.6400,16.7300,16.6400,16.7300,16.6228,17440,0.0000,1.0000
2019-05-31,16.4900,16.6703,16.4900,16.5656,16.4594,152115,0.0000,1.0000
2019-05-30,16.9378,16.9378,16.7273,16.7273,16.6201,4403,0.0000,1.0000
2019-05-29,16.8218,16.8218,16.8000,16.8000,16.6923,2395,0.0000,1.0000
2019-05-28,17.0615,17.0615,17.0100,17.0100,16.9010,1270,0.0000,1.0000
2019-05-24,17.1597,17.1800,17.1200,17.1800,17.0699,1413,0.0000,1.0000
2019-05-23,17.1900,17.2500,17.1900,17.2200,17.1096,4092,0.0000,1.0000
2019-05-22,17.9995,17.9995,17.7600,17.8131,17.6989,1025,0.0000,1.0000
2019-05-21,17.8900,18.1500,17.8900,18.1500,18.0337,13343,0.0000,1.0000
2019-05-20,17.9100,17.9286,17.8501,17.8501,17.7357,707,0.0000,1.0000
2019-05-17,18.2300,18.2300,17.9759,17.9759,17.8607,4966,0.0000,1.0000
2019-05-16,18.2910,18.2910,18.2680,18.2680,18.1509,1062,0.0000,1.0000
2019-05-15,17.8600,17.9600,17.8600,17.9600,17.8449,954,0.0000,1.0000
