timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,26.3200,26.3200,26.3200,26.3200,26.3200,274,0.0000,1.0000
2019-07-30,26.0900,26.1000,26.0200,26.0200,26.0200,5162,0.0000,1.0000
2019-07-29,26.0200,26.0912,26.0200,26.0912,26.0912,2184,0.0000,1.0000
2019-07-26,26.0110,26.1750,26.0110,26.0500,26.0500,4401,0.0000,1.0000
2019-07-25,26.1300,26.1828,26.0201,26.1550,26.1550,5378,0.0000,1.0000
2019-07-24,26.3400,26.3400,26.1100,26.1100,26.1100,1422,0.0000,1.0000
2019-07-23,26.2057,26.2652,26.0170,26.2652,26.2652,2859,0.0000,1.0000
2019-07-22,26.1600,26.1600,26.0293,26.1600,26.1600,1676,0.0000,1.0000
2019-07-19,26.0600,26.1600,26.0600,26.0996,26.0996,4018,0.1328,1.0000
2019-07-18,26.2300,26.2400,26.1301,26.2400,26.1071,1467,0.0000,1.0000
2019-07-17,26.2300,26.2400,26.1250,26.1250,25.9927,5842,0.0000,1.0000
2019-07-16,26.0100,26.1900,26.0100,26.1567,26.0243,6334,0.0000,1.0000
2019-07-15,26.0101,26.0800,26.0101,26.0363,25.9045,3117,0.0000,1.0000
2019-07-12,26.0500,26.0631,26.0100,26.0631,25.9311,2272,0.0000,1.0000
2019-07-11,26.1900,26.1900,26.0100,26.0700,25.9380,3601,0.0000,1.0000
2019-07-10,26.0294,26.1900,26.0000,26.1000,25.9679,7851,0.0000,1.0000
2019-07-09,26.0503,26.1900,26.0503,26.1900,26.0574,2064,0.0000,1.0000
2019-07-08,25.9350,26.2100,25.9350,26.0250,25.8932,19021,0.0000,1.0000
2019-07-05,25.8701,25.9803,25.8701,25.9803,25.8488,1621,0.0000,1.0000
2019-07-03,26.0682,26.1200,25.9823,25.9900,25.8584,2642,0.0000,1.0000
2019-07-02,26.0365,26.1200,25.8700,25.8700,25.7390,3529,0.0000,1.0000
2019-07-01,26.0825,26.0929,25.9479,25.9479,25.8165,1072,0.0000,1.0000
2019-06-28,25.9900,26.1400,25.8701,26.1200,25.9878,5830,0.0000,1.0000
