timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,4.1200,4.1200,4.1200,4.1200,4.1200,0,0.0000,1.0000
2019-07-30,4.0500,4.1700,4.0000,4.1600,4.1600,22431,0.0000,1.0000
2019-07-29,4.1000,4.1800,4.0500,4.0500,4.0500,10509,0.0000,1.0000
2019-07-26,3.9900,4.1600,3.9900,4.1600,4.1600,10567,0.0000,1.0000
2019-07-25,4.0300,4.1100,4.0300,4.1100,4.1100,1731,0.0000,1.0000
2019-07-24,4.0400,4.1000,3.9800,4.0500,4.0500,2543,0.0000,1.0000
2019-07-23,4.0300,4.1200,3.9300,4.1200,4.1200,2082,0.0000,1.0000
2019-07-22,4.0401,4.1500,4.0401,4.0750,4.0750,2451,0.0000,1.0000
2019-07-19,4.0900,4.1600,4.0900,4.1600,4.1600,1323,0.0000,1.0000
2019-07-18,4.0300,4.1200,4.0000,4.0900,4.0900,7410,0.0000,1.0000
2019-07-17,4.3100,4.3200,3.9900,3.9900,3.9900,303944,0.0000,1.0000
2019-07-16,4.2000,4.3100,4.0400,4.2000,4.2000,237227,0.0000,1.0000
2019-07-15,4.1001,4.3020,4.1001,4.2550,4.2550,76333,0.0000,1.0000
2019-07-12,4.1700,4.3000,4.1700,4.2300,4.2300,21129,0.0000,1.0000
2019-07-11,4.2300,4.3000,4.1650,4.2550,4.2550,5656,0.0000,1.0000
2019-07-10,4.3300,4.3300,4.1500,4.1500,4.1500,9170,0.0000,1.0000
2019-07-09,4.2900,4.3300,4.1900,4.2500,4.2500,50739,0.0000,1.0000
2019-07-08,4.2700,4.2700,4.2400,4.2400,4.2400,3770,0.0000,1.0000
2019-07-05,4.2300,4.3100,4.2300,4.2700,4.2700,12221,0.0000,1.0000
2019-07-03,4.2800,4.2900,4.2800,4.2900,4.2900,306,0.0000,1.0000
2019-07-02,4.3000,4.3000,4.1400,4.2800,4.2800,2459,0.0000,1.0000
2019-07-01,4.0301,4.3100,4.0300,4.3100,4.3100,36146,0.0000,1.0000
2019-06-28,4.0600,4.3300,3.8300,4.3000,4.3000,97036,0.0000,1.0000
2019-06-27,4.1700,4.3300,4.1600,4.2700,4.2700,4318,0.0000,1.0000
2019-06-26,4.2200,4.2595,4.0000,4.1700,4.1700,3029,0.0000,1.0000
2019-06-25,4.1500,4.3500,3.8900,4.2500,4.2500,50519,0.0000,1.0000
2019-06-24,4.4000,4.4400,4.0503,4.2000,4.2000,64644,0.0000,1.0000
2019-06-21,3.8300,4.4300,3.6200,4.3500,4.3500,195102,0.0000,1.0000
2019-06-20,3.6400,3.7500,3.6000,3.7100,3.7100,38577,0.0000,1.0000
2019-06-19,3.7600,4.2500,3.5400,3.6900,3.6900,63517,0.0000,1.0000
2019-06-18,3.6300,3.7500,3.5000,3.6850,3.6850,37092,0.0000,1.0000
2019-06-17,3.8000,3.9900,3.5100,3.6700,3.6700,92858,0.0000,1.0000
2019-06-14,3.6693,3.7395,3.4900,3.5600,3.5600,519631,0.0000,1.0000
2019-06-13,3.4300,3.6700,3.4300,3.6300,3.6300,49661,0.0000,1.0000
2019-06-12,3.7400,3.7800,3.2500,3.5000,3.5000,645053,0.0000,1.0000
2019-06-11,3.6783,3.8000,3.6783,3.7975,3.7975,7206,0.0000,1.0000
2019-06-10,3.6600,3.7054,3.6411,3.6564,3.6564,1207,0.0000,1.0000
2019-06-07,3.6700,3.7300,3.6700,3.6800,3.6800,4962,0.0000,1.0000
2019-06-06,3.6300,3.7500,3.6200,3.6200,3.6200,3205,0.0000,1.0000
2019-06-05,3.7500,3.7500,3.6000,3.6100,3.6100,9181,0.0000,1.0000
2019-06-04,3.6100,3.7500,3.5900,3.6400,3.6400,9432,0.0000,1.0000
2019-06-03,3.6200,3.6200,3.4300,3.5300,3.5300,9924,0.0000,1.0000
