timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,26.1900,26.8132,25.8200,25.9000,25.9000,5725,0.0000,1.0000
2019-07-30,26.3719,28.6599,25.9000,26.4000,26.4000,32731,0.0000,1.0000
2019-07-29,25.9959,26.1000,25.9959,26.1000,26.1000,774,0.0000,1.0000
2019-07-26,25.8596,26.1000,25.8596,26.1000,26.1000,1873,0.0000,1.0000
2019-07-25,26.0799,26.1000,25.9296,26.1000,26.1000,3147,0.0000,1.0000
2019-07-24,26.0500,26.2400,25.8900,26.1000,26.1000,2583,0.0000,1.0000
2019-07-23,25.7100,25.9900,25.7100,25.9900,25.9900,1361,0.0000,1.0000
2019-07-22,26.2499,26.2499,25.7000,25.7200,25.7200,4227,0.0000,1.0000
2019-07-19,25.9864,25.9864,25.9864,25.9864,25.9864,825,0.0000,1.0000
2019-07-18,26.1600,26.1600,26.0900,26.1400,26.1400,1175,0.0000,1.0000
2019-07-17,26.0600,27.3700,25.8700,25.8700,25.8700,19500,0.0000,1.0000
2019-07-16,25.9893,26.0600,25.8545,26.0600,26.0600,1885,0.0000,1.0000
2019-07-15,25.8500,26.0000,25.7000,26.0000,26.0000,3820,0.0000,1.0000
2019-07-12,26.0000,26.4180,26.0000,26.2900,26.2900,2547,0.3828,1.0000
2019-07-11,26.0000,26.2500,26.0000,26.2300,25.8535,2229,0.0000,1.0000
2019-07-10,26.0520,26.2500,25.8100,26.0893,25.7149,2800,0.0000,1.0000
2019-07-09,26.2248,26.2248,25.9648,26.1900,25.8141,2961,0.0000,1.0000
2019-07-08,26.0000,26.5806,25.9165,25.9165,25.5445,3763,0.0000,1.0000
2019-07-05,26.1648,26.3155,26.0895,26.3155,25.9378,1930,0.0000,1.0000
2019-07-03,26.2500,26.2500,26.0272,26.2500,25.8733,2363,0.0000,1.0000
2019-07-02,26.3000,26.3000,26.3000,26.3000,25.9225,1372,0.0000,1.0000
2019-07-01,26.3000,26.3000,26.3000,26.3000,25.9225,531,0.0000,1.0000
2019-06-28,25.8152,25.9800,25.8152,25.9800,25.6071,629,0.0000,1.0000
2019-06-27,25.8135,25.8135,25.8135,25.8135,25.4430,1049,0.0000,1.0000
2019-06-26,25.7000,25.9056,25.6999,25.8135,25.4430,2158,0.0000,1.0000
