timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,0.3561,0.3571,0.3300,0.3399,0.3399,73724,0.0000,1.0000
2019-07-30,0.3999,0.3999,0.3529,0.3561,0.3561,117651,0.0000,1.0000
2019-07-29,0.3414,0.4000,0.3414,0.3716,0.3716,664328,0.0000,1.0000
2019-07-26,0.3600,0.3820,0.3400,0.3500,0.3500,86267,0.0000,1.0000
2019-07-25,0.3826,0.4000,0.3510,0.3600,0.3600,154065,0.0000,1.0000
2019-07-24,0.3617,0.4000,0.3450,0.3800,0.3800,96971,0.0000,1.0000
2019-07-23,0.3600,0.3981,0.3300,0.3800,0.3800,177168,0.0000,1.0000
2019-07-22,0.3657,0.3839,0.3310,0.3510,0.3510,140558,0.0000,1.0000
2019-07-19,0.4192,0.4192,0.3513,0.3830,0.3830,345087,0.0000,1.0000
2019-07-18,0.4010,0.4650,0.3800,0.4195,0.4195,1119314,0.0000,1.0000
2019-07-17,0.4175,0.4199,0.4000,0.4099,0.4099,48319,0.0000,1.0000
2019-07-16,0.4200,0.4300,0.4100,0.4175,0.4175,33179,0.0000,1.0000
2019-07-15,0.4280,0.4348,0.4200,0.4200,0.4200,44729,0.0000,1.0000
2019-07-12,0.4200,0.4292,0.4115,0.4289,0.4289,65285,0.0000,1.0000
2019-07-11,0.4231,0.4597,0.4110,0.4200,0.4200,56128,0.0000,1.0000
2019-07-10,0.4500,0.4500,0.4032,0.4254,0.4254,35858,0.0000,1.0000
2019-07-09,0.4550,0.4649,0.4210,0.4432,0.4432,35006,0.0000,1.0000
2019-07-08,0.4750,0.4900,0.4100,0.4447,0.4447,118187,0.0000,1.0000
2019-07-05,0.4700,0.4900,0.4400,0.4656,0.4656,88569,0.0000,1.0000
2019-07-03,0.4586,0.4800,0.4220,0.4793,0.4793,158842,0.0000,1.0000
2019-07-02,0.4700,0.4800,0.4029,0.4639,0.4639,367436,0.0000,1.0000
2019-07-01,0.5300,0.5500,0.4301,0.4570,0.4570,650769,0.0000,1.0000
2019-06-28,0.4497,0.6000,0.4152,0.5800,0.5800,456909,0.0000,1.0000
2019-06-27,0.4105,0.4499,0.4105,0.4499,0.4499,34369,0.0000,1.0000
2019-06-26,0.4380,0.4480,0.3899,0.4410,0.4410,113281,0.0000,1.0000
2019-06-25,0.4342,0.4480,0.3996,0.4480,0.4480,145391,0.0000,1.0000
2019-06-24,0.4899,0.4899,0.4000,0.4200,0.4200,126226,0.0000,1.0000
2019-06-21,0.4777,0.5200,0.4730,0.4900,0.4900,68591,0.0000,1.0000
2019-06-20,0.5500,0.5680,0.4610,0.4841,0.4841,207913,0.0000,1.0000
2019-06-19,0.5202,0.5480,0.5110,0.5205,0.5205,103251,0.0000,1.0000
2019-06-18,0.4945,0.5800,0.4710,0.5420,0.5420,351170,0.0000,1.0000
2019-06-17,0.4800,0.5000,0.4600,0.4698,0.4698,63092,0.0000,1.0000
2019-06-14,0.4445,0.4885,0.4445,0.4800,0.4800,35445,0.0000,1.0000
2019-06-13,0.4900,0.5130,0.4600,0.4600,0.4600,123599,0.0000,1.0000
2019-06-12,0.5460,0.5460,0.4520,0.4699,0.4699,229386,0.0000,1.0000
2019-06-11,0.5250,0.5500,0.5000,0.5460,0.5460,119956,0.0000,1.0000
2019-06-10,0.5445,0.5607,0.5200,0.5251,0.5251,310248,0.0000,1.0000
2019-06-07,0.6000,0.6000,0.5155,0.5445,0.5445,89748,0.0000,1.0000
2019-06-06,0.6200,0.6207,0.5699,0.6000,0.6000,62141,0.0000,1.0000
2019-06-05,0.6450,0.6450,0.6054,0.6054,0.6054,65496,0.0000,1.0000
2019-06-04,0.6600,0.6600,0.6336,0.6500,0.6500,39605,0.0000,1.0000
2019-06-03,0.6690,0.6900,0.6300,0.6300,0.6300,89818,0.0000,1.0000
2019-05-31,0.6843,0.6843,0.6500,0.6700,0.6700,53964,0.0000,1.0000
2019-05-30,0.7000,0.7002,0.6520,0.6900,0.6900,167502,0.0000,1.0000
2019-05-29,0.7100,0.7400,0.6520,0.7200,0.7200,230235,0.0000,1.0000
2019-05-28,0.7200,0.7300,0.6850,0.7100,0.7100,438244,0.0000,1.0000
2019-05-24,0.6610,0.7280,0.6400,0.7155,0.7155,373920,0.0000,1.0000
2019-05-23,0.6513,0.6899,0.6160,0.6800,0.6800,374807,0.0000,1.0000
2019-05-22,0.7005,0.7430,0.6150,0.6775,0.6775,708394,0.0000,1.0000
2019-05-21,0.8399,0.8400,0.7000,0.7100,0.7100,1123202,0.0000,1.0000
2019-05-20,1.3000,1.3500,1.2473,1.3200,1.3200,160371,0.0000,1.0000
2019-05-17,1.1700,1.3300,1.1700,1.3200,1.3200,296290,0.0000,1.0000
2019-05-16,1.2500,1.2700,1.1400,1.2000,1.2000,296701,0.0000,1.0000
2019-05-15,1.3000,1.3600,1.2600,1.2700,1.2700,120766,0.0000,1.0000
2019-05-14,1.3000,1.3500,1.2800,1.3100,1.3100,330275,0.0000,1.0000
2019-05-13,1.3300,1.3500,1.2400,1.2900,1.2900,273933,0.0000,1.0000
2019-05-10,1.3500,1.4400,1.3450,1.3600,1.3600,160814,0.0000,1.0000
2019-05-09,1.4000,1.4400,1.3600,1.3900,1.3900,178615,0.0000,1.0000
2019-05-08,1.4200,1.5000,1.3700,1.4600,1.4600,349130,0.0000,1.0000
2019-05-07,1.3800,1.4400,1.3700,1.4300,1.4300,217330,0.0000,1.0000
2019-05-06,1.4100,1.4800,1.3500,1.4100,1.4100,214629,0.0000,1.0000
2019-05-03,1.4800,1.5500,1.4100,1.5000,1.5000,392123,0.0000,1.0000
2019-05-02,1.4400,1.5100,1.4400,1.4800,1.4800,84558,0.0000,1.0000
2019-05-01,1.4500,1.5200,1.4372,1.4500,1.4500,123769,0.0000,1.0000
2019-04-30,1.5600,1.6000,1.4210,1.4400,1.4400,257778,0.0000,1.0000
2019-04-29,1.6500,1.7700,1.4500,1.5400,1.5400,237148,0.0000,1.0000
2019-04-26,1.6900,1.7800,1.6200,1.6600,1.6600,225542,0.0000,1.0000
2019-04-25,1.6000,1.7900,1.5700,1.7000,1.7000,561138,0.0000,1.0000
2019-04-24,1.5600,1.6800,1.5600,1.6300,1.6300,330706,0.0000,1.0000
2019-04-23,1.4600,1.6300,1.4500,1.5900,1.5900,518365,0.0000,1.0000
2019-04-22,1.4000,1.5100,1.3699,1.4800,1.4800,653744,0.0000,1.0000
2019-04-18,1.4300,1.5000,1.4100,1.4100,1.4100,169240,0.0000,1.0000
2019-04-17,1.5000,1.5500,1.4000,1.4700,1.4700,484979,0.0000,1.0000
2019-04-16,1.6200,1.6220,1.4900,1.5000,1.5000,396706,0.0000,1.0000
2019-04-15,1.6300,1.6500,1.4300,1.5900,1.5900,899047,0.0000,1.0000
2019-04-12,1.7900,1.8000,1.5300,1.6600,1.6600,1390156,0.0000,1.0000
2019-04-11,2.9200,4.0000,1.7100,1.7100,1.7100,42020425,0.0000,1.0000
2019-04-10,1.9100,2.0800,1.7900,2.0300,2.0300,759100,0.0000,1.0000
2019-04-09,2.0500,2.1200,1.6900,1.9300,1.9300,488914,0.0000,1.0000
2019-04-08,2.2200,2.2900,2.0300,2.0400,2.0400,520354,0.0000,1.0000
2019-04-05,2.6500,2.6500,2.2000,2.2600,2.2600,686327,0.0000,1.0000
2019-04-04,2.2900,2.4434,2.1400,2.3300,2.3300,117204,0.0000,1.0000
2019-04-03,2.3700,2.4800,2.2500,2.3000,2.3000,133663,0.0000,1.0000
2019-04-02,2.3100,2.4000,2.2300,2.3700,2.3700,72142,0.0000,1.0000
2019-04-01,2.3200,2.4500,2.2800,2.3200,2.3200,150544,0.0000,1.0000
2019-03-29,2.2400,2.3400,2.1100,2.3100,2.3100,175578,0.0000,1.0000
2019-03-28,2.2900,2.3300,2.1400,2.2400,2.2400,345937,0.0000,1.0000
2019-03-27,2.4200,2.4200,2.1200,2.1700,2.1700,158342,0.0000,1.0000
2019-03-26,2.5100,2.5316,2.3000,2.4200,2.4200,196085,0.0000,1.0000
2019-03-25,2.3400,2.5800,2.2700,2.5000,2.5000,259698,0.0000,1.0000
2019-03-22,2.3100,2.3800,2.1800,2.3400,2.3400,240575,0.0000,1.0000
2019-03-21,2.2100,2.4000,2.0500,2.3300,2.3300,355711,0.0000,1.0000
2019-03-20,2.7200,2.9000,2.1866,2.3200,2.3200,2272247,0.0000,1.0000
2019-03-19,1.9100,2.0700,1.8400,2.0000,2.0000,740290,0.0000,1.0000
2019-03-18,1.9000,2.0694,1.8901,1.9700,1.9700,142925,0.0000,1.0000
2019-03-15,1.8800,1.8900,1.8100,1.8900,1.8900,59654,0.0000,1.0000
2019-03-14,1.8100,1.9100,1.7936,1.8700,1.8700,79567,0.0000,1.0000
