timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,4.1500,4.2250,4.1250,4.2000,4.2000,369369,0.0000,1.0000
2019-07-30,4.1600,4.2850,4.1300,4.1600,4.1600,639989,0.0000,1.0000
2019-07-29,4.1400,4.1850,4.0600,4.1700,4.1700,3148715,0.0000,1.0000
2019-07-26,4.1600,4.2000,4.1050,4.1400,4.1400,682232,0.0000,1.0000
2019-07-25,4.3000,4.3300,4.1300,4.1400,4.1400,917467,0.0000,1.0000
2019-07-24,4.1500,4.3100,4.1300,4.3100,4.3100,1488368,0.0000,1.0000
2019-07-23,4.2200,4.2600,4.1000,4.1400,4.1400,2805694,0.0000,1.0000
2019-07-22,4.2100,4.2300,4.1500,4.2200,4.2200,932860,0.0000,1.0000
2019-07-19,4.1800,4.2650,4.1100,4.2200,4.2200,809377,0.0000,1.0000
2019-07-18,4.3800,4.3800,4.1400,4.1900,4.1900,1500543,0.0000,1.0000
2019-07-17,4.4400,4.5400,4.3500,4.3700,4.3700,854812,0.0000,1.0000
2019-07-16,4.4700,4.5700,4.4100,4.4400,4.4400,690353,0.0000,1.0000
2019-07-15,4.5300,4.5300,4.3800,4.4200,4.4200,705503,0.0000,1.0000
2019-07-12,4.6900,4.6900,4.5000,4.5400,4.5400,4303036,0.0000,1.0000
2019-07-11,4.3400,4.6200,4.3400,4.5900,4.5900,1668062,0.0000,1.0000
2019-07-10,4.3600,4.4100,4.3100,4.3200,4.3200,544891,0.0000,1.0000
2019-07-09,4.3300,4.3650,4.2950,4.3300,4.3300,567243,0.0000,1.0000
2019-07-08,4.2200,4.3700,4.1800,4.3300,4.3300,784494,0.0000,1.0000
2019-07-05,4.1700,4.2950,4.1000,4.2700,4.2700,380316,0.0000,1.0000
2019-07-03,4.1800,4.2000,4.1000,4.2000,4.2000,424486,0.0000,1.0000
2019-07-02,4.1400,4.3270,4.1400,4.2200,4.2200,1408312,0.0000,1.0000
2019-07-01,4.0600,4.1500,3.9800,4.1300,4.1300,1167012,0.0000,1.0000
2019-06-28,3.9100,4.1100,3.8300,3.9800,3.9800,2004661,0.0000,1.0000
2019-06-27,3.8800,4.0900,3.8800,3.8800,3.8800,1755740,0.0000,1.0000
2019-06-26,3.9500,4.0800,3.8500,3.8700,3.8700,2711273,0.0000,1.0000
2019-06-25,4.0200,4.1600,3.9000,3.9300,3.9300,1565602,0.0000,1.0000
2019-06-24,4.3600,4.3950,4.0250,4.0400,4.0400,2120683,0.0000,1.0000
2019-06-21,4.4000,4.4700,4.3200,4.3500,4.3500,1851075,0.0000,1.0000
2019-06-20,4.6200,4.6400,4.4000,4.4000,4.4000,1425921,0.0000,1.0000
2019-06-19,4.5800,4.6900,4.5400,4.5800,4.5800,720191,0.0000,1.0000
2019-06-18,4.3900,4.7200,4.3700,4.5800,4.5800,1831386,0.0000,1.0000
2019-06-17,4.3600,4.4200,4.2700,4.3700,4.3700,1698742,0.0000,1.0000
2019-06-14,4.2900,4.4600,4.2700,4.3700,4.3700,1225823,0.0000,1.0000
2019-06-13,4.3700,4.3800,4.2600,4.3200,4.3200,1464555,0.0000,1.0000
2019-06-12,4.3700,4.4700,4.3100,4.3700,4.3700,1781606,0.0000,1.0000
2019-06-11,4.5400,4.5600,4.3900,4.3900,4.3900,1480690,0.0000,1.0000
2019-06-10,4.6700,4.7190,4.4900,4.5200,4.5200,1363716,0.0000,1.0000
2019-06-07,4.7100,4.7300,4.5250,4.6500,4.6500,1137092,0.0000,1.0000
2019-06-06,4.7300,4.8200,4.6100,4.7000,4.7000,784006,0.0000,1.0000
2019-06-05,4.8600,4.8600,4.3400,4.7400,4.7400,2059532,0.0000,1.0000
2019-06-04,4.9600,5.1100,4.8150,4.8500,4.8500,1546184,0.0000,1.0000
2019-06-03,4.8500,5.0400,4.8500,4.9000,4.9000,1338356,0.0000,1.0000
2019-05-31,5.0600,5.1600,4.8700,4.8900,4.8900,1097674,0.0000,1.0000
2019-05-30,5.0500,5.2000,4.9900,5.1400,5.1400,1342804,0.0000,1.0000
