timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,21.5400,21.6000,21.3700,21.4200,21.4200,31892,0.0000,1.0000
2019-07-30,21.4200,21.5000,21.2100,21.3600,21.3600,93518,0.0000,1.0000
2019-07-29,21.1600,21.4200,21.1600,21.4200,21.4200,64621,0.0000,1.0000
2019-07-26,21.1100,21.2300,21.0300,21.1600,21.1600,79007,0.0000,1.0000
2019-07-25,21.2500,21.3050,21.0600,21.1000,21.1000,59963,0.0000,1.0000
2019-07-24,21.0500,21.3100,20.9750,21.2900,21.2900,85845,0.0000,1.0000
2019-07-23,21.1100,21.2000,20.9800,21.1500,21.1500,67802,0.0000,1.0000
2019-07-22,21.0400,21.1289,20.8818,20.9700,20.9700,58149,0.0000,1.0000
2019-07-19,21.2600,21.3200,20.9800,21.0000,21.0000,84762,0.1250,1.0000
2019-07-18,21.3700,21.4900,21.2000,21.4300,21.3032,73148,0.0000,1.0000
2019-07-17,21.4900,21.5200,21.2000,21.3300,21.2038,87177,0.0000,1.0000
2019-07-16,21.3800,21.4900,21.2000,21.3800,21.2535,77623,0.0000,1.0000
2019-07-15,21.4200,21.5500,21.3200,21.3800,21.2535,81283,0.0000,1.0000
2019-07-12,21.4200,21.5000,21.3100,21.3900,21.2634,73349,0.0000,1.0000
2019-07-11,21.6300,21.7100,21.3800,21.4000,21.2734,147417,0.0000,1.0000
2019-07-10,21.7600,21.7600,21.5600,21.6300,21.5020,87895,0.0000,1.0000
2019-07-09,21.6700,21.6900,21.5400,21.6600,21.5318,68203,0.0000,1.0000
2019-07-08,21.6900,21.8000,21.6202,21.6300,21.5020,82305,0.0000,1.0000
2019-07-05,21.2300,21.7100,21.2100,21.6600,21.5318,277556,0.0000,1.0000
2019-07-03,21.5700,21.8240,21.5700,21.8000,21.6710,67527,0.0000,1.0000
2019-07-02,21.3100,21.5900,21.3061,21.5700,21.4424,88840,0.0000,1.0000
2019-07-01,21.3200,21.3500,21.0900,21.2800,21.1541,119150,0.0000,1.0000
2019-06-28,20.9200,21.3400,20.9001,21.2200,21.0944,656024,0.0000,1.0000
2019-06-27,20.7600,20.9000,20.7600,20.8900,20.7664,234509,0.0000,1.0000
2019-06-26,21.0100,21.0500,20.6500,20.6900,20.5676,110916,0.0000,1.0000
2019-06-25,21.4500,21.5900,21.0600,21.0600,20.9354,71136,0.0000,1.0000
2019-06-24,21.6100,21.6100,21.2600,21.4500,21.3231,97758,0.0000,1.0000
2019-06-21,21.6400,21.6600,21.3800,21.4800,21.3529,153638,0.0000,1.0000
2019-06-20,21.6600,21.7300,21.6200,21.6800,21.5517,79624,0.0000,1.0000
2019-06-19,21.6000,21.7100,21.3500,21.6600,21.5318,78788,0.0000,1.0000
2019-06-18,21.4400,21.6000,21.4000,21.5100,21.3827,104483,0.1250,1.0000
2019-06-17,21.4200,21.6500,21.3400,21.5300,21.2789,109233,0.0000,1.0000
2019-06-14,21.3400,21.4700,21.2600,21.3000,21.0516,74289,0.0000,1.0000
2019-06-13,21.1400,21.3600,21.0700,21.2800,21.0319,111146,0.0000,1.0000
2019-06-12,21.0200,21.1700,20.9500,21.1000,20.8540,102464,0.0000,1.0000
2019-06-11,20.9700,21.0200,20.7800,20.9800,20.7354,121379,0.0000,1.0000
2019-06-10,20.9400,21.0710,20.9100,20.9800,20.7354,100561,0.0000,1.0000
2019-06-07,21.0000,21.1200,20.8600,20.9400,20.6958,130583,0.0000,1.0000
2019-06-06,21.0200,21.0200,20.6900,20.9300,20.6859,118514,0.0000,1.0000
2019-06-05,21.0400,21.1669,20.8500,20.9200,20.6761,170508,0.0000,1.0000
2019-06-04,21.1000,21.1800,20.8031,20.9600,20.7156,106491,0.0000,1.0000
2019-06-03,21.0400,21.1303,20.8700,21.0700,20.8243,142136,0.0000,1.0000
2019-05-31,20.8400,21.1500,20.6700,21.0700,20.8243,121183,0.0000,1.0000
2019-05-30,21.4300,21.4759,21.0600,21.0700,20.8243,98743,0.0000,1.0000
2019-05-29,21.5500,21.5500,21.2250,21.3100,21.0615,108388,0.0000,1.0000
2019-05-28,21.5900,21.6268,21.4100,21.5500,21.2987,370608,0.0000,1.0000
2019-05-24,21.5100,21.5700,21.3300,21.4400,21.1900,104986,0.0000,1.0000
2019-05-23,21.4400,21.4600,21.3200,21.4600,21.2098,75960,0.0000,1.0000
2019-05-22,21.5100,21.5800,21.3500,21.4700,21.2196,97933,0.0000,1.0000
2019-05-21,21.4400,21.7300,21.4400,21.5100,21.2592,170896,0.1250,1.0000
2019-05-20,21.5800,21.6600,21.4600,21.5400,21.1658,175942,0.0000,1.0000
2019-05-17,21.6000,21.7100,21.5000,21.6300,21.2543,126771,0.0000,1.0000
2019-05-16,21.7500,21.8700,21.6400,21.7100,21.3329,89394,0.0000,1.0000
2019-05-15,21.5800,21.7640,21.5100,21.7600,21.3820,92348,0.0000,1.0000
2019-05-14,21.6100,21.7200,21.5500,21.6500,21.2739,98770,0.0000,1.0000
2019-05-13,21.6000,21.7200,21.4400,21.5300,21.1560,114446,0.0000,1.0000
2019-05-10,21.6600,21.7400,21.5200,21.7200,21.3427,79168,0.0000,1.0000
2019-05-09,21.5000,21.7900,21.4089,21.6800,21.3034,145159,0.0000,1.0000
2019-05-08,21.4600,21.6300,21.4200,21.5000,21.1265,113759,0.0000,1.0000
2019-05-07,21.6100,21.7700,21.3400,21.5300,21.1560,98756,0.0000,1.0000
2019-05-06,21.5300,21.7500,21.5300,21.6700,21.2936,101752,0.0000,1.0000
2019-05-03,21.5700,21.8300,21.5700,21.7200,21.3427,121276,0.0000,1.0000
2019-05-02,22.2600,22.3200,21.3300,21.4700,21.0970,244759,0.0000,1.0000
2019-05-01,21.9300,22.8250,21.7800,22.3200,21.9323,289889,0.0000,1.0000
2019-04-30,21.4100,21.8200,21.3009,21.7500,21.3722,236418,0.0000,1.0000
2019-04-29,21.3000,21.3900,21.1200,21.3100,20.9398,104854,0.0000,1.0000
2019-04-26,21.1100,21.3400,21.1100,21.3000,20.9300,98291,0.0000,1.0000
2019-04-25,21.0200,21.1200,20.7900,21.0700,20.7040,126216,0.0000,1.0000
2019-04-24,20.8900,21.1100,20.8800,21.0400,20.6745,127251,0.0000,1.0000
2019-04-23,20.6500,20.8900,20.6200,20.8100,20.4485,140409,0.0000,1.0000
2019-04-22,20.5600,20.6400,20.3300,20.6100,20.2520,141057,0.0000,1.0000
2019-04-18,20.4800,20.6000,20.4700,20.5400,20.1832,79623,0.1250,1.0000
2019-04-17,20.8400,20.8400,20.5600,20.6100,20.1295,112415,0.0000,1.0000
2019-04-16,20.9500,20.9900,20.6800,20.7100,20.2272,96684,0.0000,1.0000
2019-04-15,21.0000,21.0424,20.8701,20.9300,20.4420,70486,0.0000,1.0000
2019-04-12,21.0300,21.0900,20.8800,20.9700,20.4811,66043,0.0000,1.0000
2019-04-11,21.0500,21.1500,20.9700,21.0500,20.5592,81816,0.0000,1.0000
2019-04-10,20.9700,21.1500,20.9200,21.0200,20.5299,105812,0.0000,1.0000
2019-04-09,21.0600,21.2200,20.8900,20.9000,20.4127,90900,0.0000,1.0000
2019-04-08,21.2500,21.2500,21.0400,21.0500,20.5592,78753,0.0000,1.0000
2019-04-05,21.0400,21.2400,20.9200,21.2100,20.7155,74544,0.0000,1.0000
