timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,9.7600,10.0900,9.6750,10.0000,10.0000,874309,0.0000,1.0000
2019-07-30,9.5200,9.7500,9.3200,9.6900,9.6900,438139,0.0000,1.0000
2019-07-29,9.7000,9.7900,9.5200,9.5600,9.5600,327360,0.0000,1.0000
2019-07-26,9.8500,9.9050,9.6249,9.7000,9.7000,421539,0.0000,1.0000
2019-07-25,10.0400,10.1400,9.8000,9.8200,9.8200,302719,0.0000,1.0000
2019-07-24,9.8100,10.0400,9.6100,10.0300,10.0300,372088,0.0000,1.0000
2019-07-23,10.0400,10.0400,9.7500,9.7900,9.7900,344513,0.0000,1.0000
2019-07-22,10.1400,10.1400,9.9000,9.9700,9.9700,278272,0.0000,1.0000
2019-07-19,10.0100,10.2000,9.9900,10.1200,10.1200,172487,0.0000,1.0000
2019-07-18,10.0900,10.1900,9.9900,10.0200,10.0200,118911,0.0000,1.0000
2019-07-17,10.1000,10.1900,9.9950,10.0900,10.0900,189691,0.0000,1.0000
2019-07-16,10.0000,10.1900,9.9500,10.1200,10.1200,162300,0.0000,1.0000
2019-07-15,10.1000,10.1400,9.9590,9.9800,9.9800,177736,0.0000,1.0000
2019-07-12,10.0000,10.1500,9.9300,10.0700,10.0700,193625,0.0000,1.0000
2019-07-11,9.9900,10.1700,9.8700,9.9600,9.9600,237892,0.0000,1.0000
2019-07-10,9.9900,10.0600,9.8100,10.0100,10.0100,274176,0.0000,1.0000
2019-07-09,10.0100,10.0700,9.8200,9.9500,9.9500,250425,0.0000,1.0000
2019-07-08,10.2000,10.2125,9.9800,10.0000,10.0000,244231,0.0000,1.0000
2019-07-05,10.1200,10.2400,9.8400,10.2100,10.2100,428889,0.0000,1.0000
2019-07-03,10.1500,10.2300,10.0500,10.2000,10.2000,87030,0.0000,1.0000
2019-07-02,10.2500,10.2600,10.0200,10.1400,10.1400,175630,0.0000,1.0000
2019-07-01,10.6500,10.6500,10.2101,10.2500,10.2500,211675,0.0000,1.0000
2019-06-28,10.1200,10.5400,10.0200,10.4900,10.4900,576096,0.0000,1.0000
2019-06-27,10.0200,10.1300,9.9300,10.1000,10.1000,238177,0.0000,1.0000
