timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,21.6300,21.9300,21.3900,21.4900,21.4900,188203,0.0000,1.0000
2019-07-30,21.2800,21.6900,21.1000,21.6500,21.6500,105658,0.0000,1.0000
2019-07-29,21.4900,21.8300,21.2900,21.3500,21.3500,126859,0.0000,1.0000
2019-07-26,21.3800,21.7300,21.3700,21.5900,21.5900,202012,0.0000,1.0000
2019-07-25,21.7000,21.8500,21.3200,21.4000,21.4000,173362,0.0000,1.0000
2019-07-24,21.2500,21.8700,21.0800,21.8000,21.8000,255432,0.0000,1.0000
2019-07-23,20.9400,21.4900,20.9400,21.3700,21.3700,134304,0.0000,1.0000
2019-07-22,21.0500,21.3850,20.6650,20.9100,20.9100,169855,0.0000,1.0000
2019-07-19,21.7300,21.9050,21.6700,21.6700,21.6700,184863,0.0000,1.0000
2019-07-18,21.6200,21.9500,21.6200,21.7900,21.7900,41387,0.0000,1.0000
2019-07-17,21.6000,21.8400,21.4700,21.6300,21.6300,123467,0.0000,1.0000
2019-07-16,21.6000,21.8600,21.5000,21.7900,21.7900,93305,0.0000,1.0000
2019-07-15,22.1200,22.2800,21.5300,21.6100,21.6100,99088,0.0000,1.0000
2019-07-12,22.0100,22.2100,21.7700,22.1200,22.1200,102668,0.0000,1.0000
2019-07-11,21.9500,22.0400,21.6300,21.9000,21.9000,105824,0.0000,1.0000
2019-07-10,22.2500,22.5300,21.7700,21.8400,21.8400,85385,0.0000,1.0000
2019-07-09,22.1600,22.4100,22.0800,22.2200,22.2200,78153,0.0000,1.0000
2019-07-08,22.4200,22.5000,22.1700,22.3300,22.3300,89495,0.0000,1.0000
2019-07-05,22.2000,22.6000,22.1900,22.5300,22.5300,79029,0.0000,1.0000
2019-07-03,21.8100,22.1500,21.7900,22.1200,22.1200,92395,0.0000,1.0000
2019-07-02,22.2100,22.2500,21.7800,21.8000,21.8000,206621,0.0000,1.0000
2019-07-01,22.6000,22.6000,22.1300,22.1900,22.1900,182968,0.0000,1.0000
2019-06-28,22.0400,22.5200,22.0400,22.2700,22.2700,415679,0.0000,1.0000
2019-06-27,21.5300,22.0000,21.3000,21.9900,21.9900,140554,0.0000,1.0000
2019-06-26,21.4400,21.6700,21.3100,21.3800,21.3800,200418,0.0000,1.0000
2019-06-25,21.1400,21.3000,20.8200,21.2700,21.2700,106746,0.0000,1.0000
2019-06-24,21.3300,21.6900,21.1500,21.1700,21.1700,105726,0.0000,1.0000
2019-06-21,21.3100,21.5700,21.1700,21.2700,21.2700,371244,0.0000,1.0000
2019-06-20,21.6100,21.6100,21.1000,21.4000,21.4000,101486,0.0000,1.0000
2019-06-19,21.6500,21.9200,21.2900,21.3800,21.3800,116314,0.0000,1.0000
2019-06-18,21.2000,21.7600,21.0800,21.6000,21.6000,53855,0.0000,1.0000
2019-06-17,21.4800,21.5900,21.1200,21.1600,21.1600,81428,0.0000,1.0000
2019-06-14,21.4800,21.6200,21.2825,21.4800,21.4800,65784,0.0000,1.0000
2019-06-13,21.3200,21.6000,21.3200,21.4800,21.4800,106413,0.0000,1.0000
2019-06-12,21.3700,21.4700,21.1800,21.2600,21.2600,122822,0.0000,1.0000
2019-06-11,21.5200,21.6500,21.2800,21.4400,21.4400,95370,0.0000,1.0000
2019-06-10,21.3300,21.7700,21.3300,21.4000,21.4000,55198,0.0000,1.0000
2019-06-07,21.1600,21.2900,21.0700,21.2000,21.2000,61136,0.0000,1.0000
2019-06-06,21.4200,21.4456,20.9900,21.2500,21.2500,59198,0.0000,1.0000
2019-06-05,21.6100,21.6100,21.1800,21.4600,21.4600,82489,0.0000,1.0000
2019-06-04,21.3600,21.7600,21.2700,21.6900,21.6900,135434,0.0000,1.0000
