timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-30,0.2000,0.2000,0.2000,0.2000,0.2000,1000,0.0000,1.0000
2019-07-29,0.2000,0.2000,0.2000,0.2000,0.2000,1003,0.0000,1.0000
2019-07-26,0.2000,0.2000,0.2000,0.2000,0.2000,0,0.0000,1.0000
2019-07-25,0.2000,0.2000,0.2000,0.2000,0.2000,0,0.0000,1.0000
2019-07-24,0.2000,0.2000,0.2000,0.2000,0.2000,0,0.0000,1.0000
2019-07-23,0.2000,0.2000,0.2000,0.2000,0.2000,0,0.0000,1.0000
2019-07-22,0.2000,0.3000,0.2000,0.2000,0.2000,13142,0.0000,1.0000
2019-07-19,0.2400,0.2400,0.2400,0.2400,0.2400,0,0.0000,1.0000
2019-07-18,0.2400,0.2400,0.2400,0.2400,0.2400,27,0.0000,1.0000
2019-07-17,0.2400,0.2400,0.2400,0.2400,0.2400,193,0.0000,1.0000
2019-07-16,0.2400,0.2400,0.2400,0.2400,0.2400,387,0.0000,1.0000
2019-07-15,0.2601,0.2601,0.2601,0.2601,0.2601,200,0.0000,1.0000
2019-07-12,0.2210,0.2210,0.2001,0.2001,0.2001,2773,0.0000,1.0000
2019-07-11,0.1945,0.1950,0.1700,0.1700,0.1700,1300,0.0000,1.0000
2019-07-10,0.1500,0.1500,0.1500,0.1500,0.1500,1000,0.0000,1.0000
2019-07-09,0.3200,0.3200,0.3200,0.3200,0.3200,0,0.0000,1.0000
2019-07-08,0.3201,0.3201,0.3201,0.3201,0.3201,200,0.0000,1.0000
2019-07-05,0.3100,0.3100,0.3100,0.3100,0.3100,0,0.0000,1.0000
2019-07-03,0.3100,0.3100,0.3100,0.3100,0.3100,0,0.0000,1.0000
2019-07-02,0.3101,0.3101,0.3101,0.3101,0.3101,500,0.0000,1.0000
2019-07-01,0.2700,0.2700,0.2700,0.2700,0.2700,4750,0.0000,1.0000
2019-06-28,0.2000,0.2700,0.2000,0.2690,0.2690,7864,0.0000,1.0000
2019-06-27,0.2200,0.2200,0.2200,0.2200,0.2200,0,0.0000,1.0000
2019-06-26,0.2200,0.2200,0.2200,0.2200,0.2200,210,0.0000,1.0000
2019-06-25,0.1600,0.2000,0.1500,0.2000,0.2000,6000,0.0000,1.0000
2019-06-24,0.2000,0.2000,0.2000,0.2000,0.2000,450,0.0000,1.0000
2019-06-21,0.2100,0.2100,0.2100,0.2100,0.2100,0,0.0000,1.0000
2019-06-20,0.2400,0.2400,0.2100,0.2100,0.2100,25642,0.0000,1.0000
2019-06-19,0.2111,0.2735,0.2111,0.2735,0.2735,520,0.0000,1.0000
2019-06-18,0.2490,0.2490,0.2490,0.2490,0.2490,0,0.0000,1.0000
2019-06-17,0.2999,0.2999,0.2489,0.2489,0.2489,4040,0.0000,1.0000
2019-06-14,0.2500,0.2501,0.2500,0.2500,0.2500,10073,0.0000,1.0000
2019-06-13,0.3200,0.3200,0.3200,0.3200,0.3200,0,0.0000,1.0000
2019-06-12,0.3250,0.3250,0.3201,0.3201,0.3201,5100,0.0000,1.0000
2019-06-11,0.2001,0.3000,0.1850,0.3000,0.3000,7148,0.0000,1.0000
2019-06-06,0.2850,0.3200,0.2700,0.3200,0.3200,4610,0.0000,1.0000
2019-06-05,0.3200,0.3200,0.3200,0.3200,0.3200,5,0.0000,1.0000
2019-06-03,0.3200,0.3200,0.3200,0.3200,0.3200,0,0.0000,1.0000
2019-05-31,0.3250,0.3250,0.3000,0.3200,0.3200,5900,0.0000,1.0000
2019-05-30,0.3249,0.3250,0.3000,0.3000,0.3000,900,0.0000,1.0000
2019-05-29,0.3250,0.3250,0.2350,0.3249,0.3249,4700,0.0000,1.0000
2019-05-28,0.3000,0.3000,0.3000,0.3000,0.3000,0,0.0000,1.0000
2019-05-24,0.3200,0.3216,0.3000,0.3000,0.3000,22900,0.0000,1.0000
2019-05-23,0.3300,0.3300,0.3100,0.3250,0.3250,28100,0.0000,1.0000
2019-05-22,0.3600,0.4000,0.3000,0.3457,0.3457,25000,0.0000,1.0000
2019-05-21,0.4390,0.4390,0.4390,0.4390,0.4390,0,0.0000,1.0000
2019-05-20,0.4388,0.4388,0.4388,0.4388,0.4388,200,0.0000,1.0000
2019-05-17,0.4500,0.4500,0.4500,0.4500,0.4500,0,0.0000,1.0000
2019-05-16,0.4499,0.4499,0.4499,0.4499,0.4499,200,0.0000,1.0000
2019-05-15,0.4270,0.4270,0.4270,0.4270,0.4270,0,0.0000,1.0000
2019-05-14,0.4190,0.4280,0.4175,0.4265,0.4265,800,0.0000,1.0000
2019-05-13,0.3300,0.3300,0.3300,0.3300,0.3300,8500,0.0000,1.0000
2019-05-10,0.3800,0.3800,0.3300,0.3482,0.3482,12700,0.0000,1.0000
2019-05-09,0.3300,0.3300,0.3300,0.3300,0.3300,0,0.0000,1.0000
2019-05-08,0.3300,0.3300,0.3300,0.3300,0.3300,0,0.0000,1.0000
2019-05-07,0.3300,0.3300,0.3300,0.3300,0.3300,4500,0.0000,1.0000
2019-05-06,0.3800,0.3800,0.3800,0.3800,0.3800,0,0.0000,1.0000
2019-05-03,0.3800,0.3800,0.3800,0.3800,0.3800,0,0.0000,1.0000
2019-05-02,0.3800,0.3800,0.3800,0.3800,0.3800,775,0.0000,1.0000
2019-05-01,0.3300,0.3300,0.3300,0.3300,0.3300,112,0.0000,1.0000
2019-04-30,0.3300,0.3300,0.3300,0.3300,0.3300,0,0.0000,1.0000
2019-04-29,0.3300,0.3300,0.3300,0.3300,0.3300,290,0.0000,1.0000
2019-04-25,0.3400,0.3400,0.3300,0.3300,0.3300,500,0.0000,1.0000
2019-04-24,0.3300,0.4200,0.3300,0.4200,0.4200,3250,0.0000,1.0000
2019-04-23,0.3200,0.3200,0.3200,0.3200,0.3200,10,0.0000,1.0000
2019-04-22,0.3200,0.3200,0.3200,0.3200,0.3200,125,0.0000,1.0000
2019-04-18,0.3200,0.4000,0.3200,0.4000,0.4000,8908,0.0000,1.0000
2019-04-17,0.2988,0.3000,0.2988,0.3000,0.3000,25355,0.0000,1.0000
2019-04-16,0.2973,0.3100,0.2800,0.3085,0.3085,35637,0.0000,1.0000
2019-04-15,0.2975,0.2975,0.2975,0.2975,0.2975,419,0.0000,1.0000
2019-04-12,0.2990,0.2990,0.2976,0.2976,0.2976,5074,0.0000,1.0000
2019-04-11,0.2900,0.3000,0.2900,0.2993,0.2993,29500,0.0000,1.0000
2019-04-10,0.2713,0.2713,0.2713,0.2713,0.2713,10,0.0000,1.0000
2019-04-09,0.2700,0.2714,0.2700,0.2713,0.2713,746,0.0000,1.0000
2019-04-08,0.2988,0.2988,0.2988,0.2988,0.2988,790,0.0000,1.0000
2019-04-05,0.3079,0.3079,0.2988,0.2988,0.2988,5650,0.0000,1.0000
2019-04-04,0.3080,0.3080,0.3080,0.3080,0.3080,188,0.0000,1.0000
2019-04-03,0.3090,0.3090,0.3090,0.3090,0.3090,0,0.0000,1.0000
2019-04-02,0.2700,0.3100,0.2700,0.3088,0.3088,4600,0.0000,1.0000
2019-04-01,0.3390,0.3390,0.3390,0.3390,0.3390,0,0.0000,1.0000
2019-03-29,0.2960,0.3392,0.2960,0.3392,0.3392,1500,0.0000,1.0000
2019-03-28,0.2600,0.2976,0.2600,0.2963,0.2963,1200,0.0000,1.0000
2019-03-27,0.2978,0.3100,0.2888,0.3100,0.3100,948,0.0000,1.0000
2019-03-26,0.3170,0.3170,0.3170,0.3170,0.3170,0,0.0000,1.0000
2019-03-25,0.2522,0.3180,0.2500,0.3167,0.3167,5400,0.0000,1.0000
2019-03-22,0.2950,0.2950,0.2950,0.2950,0.2950,0,0.0000,1.0000
2019-03-21,0.3600,0.3600,0.2900,0.2954,0.2954,8687,0.0000,1.0000
2019-03-20,0.3100,0.3100,0.3100,0.3100,0.3100,2000,0.0000,1.0000
2019-03-19,0.2900,0.3487,0.2900,0.3487,0.3487,6582,0.0000,1.0000
2019-03-18,0.3697,0.3697,0.2900,0.3300,0.3300,28785,0.0000,1.0000
