timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,7.3500,7.4754,6.7000,7.2900,7.2900,272127,0.0000,1.0000
2019-07-30,6.4700,7.4689,6.3150,7.2500,7.2500,319709,0.0000,1.0000
2019-07-29,6.7000,6.7675,6.3800,6.4800,6.4800,36309,0.0000,1.0000
2019-07-26,6.5700,6.9050,6.5000,6.6100,6.6100,92209,0.0000,1.0000
2019-07-25,7.1600,7.1600,6.4500,6.4500,6.4500,57326,0.0000,1.0000
2019-07-24,6.8500,7.2100,6.6850,7.1800,7.1800,39794,0.0000,1.0000
2019-07-23,6.9100,6.9500,6.2800,6.7800,6.7800,85846,0.0000,1.0000
2019-07-22,7.5500,7.5900,6.8150,6.9100,6.9100,58049,0.0000,1.0000
2019-07-19,7.1000,7.6150,7.0800,7.5400,7.5400,100706,0.0000,1.0000
2019-07-18,7.6200,7.6300,7.0000,7.1600,7.1600,47546,0.0000,1.0000
2019-07-17,6.6000,7.7100,6.4662,7.5100,7.5100,179648,0.0000,1.0000
2019-07-16,7.4000,7.4000,6.7200,6.7800,6.7800,178286,0.0000,1.0000
2019-07-15,7.5400,7.8320,7.3400,7.4500,7.4500,331727,0.0000,1.0000
2019-07-12,8.7000,9.1200,7.8601,8.2100,8.2100,2913103,0.0000,1.0000
2019-07-11,6.8600,7.4200,6.6000,6.6800,6.6800,360666,0.0000,1.0000
2019-07-10,7.1270,7.1300,6.7200,6.8400,6.8400,9452,0.0000,1.0000
2019-07-09,6.5900,6.9400,6.5000,6.6700,6.6700,10855,0.0000,1.0000
2019-07-08,7.0200,7.1800,6.5000,6.5600,6.5600,39688,0.0000,1.0000
2019-07-05,6.6258,6.9449,6.6000,6.7200,6.7200,14963,0.0000,1.0000
2019-07-03,7.0500,7.0500,6.7100,6.7100,6.7100,19476,0.0000,1.0000
2019-07-02,6.8000,7.1000,6.7600,6.7600,6.7600,10449,0.0000,1.0000
2019-07-01,6.8100,7.0950,6.7300,6.7300,6.7300,30997,0.0000,1.0000
2019-06-28,6.8300,7.4500,6.6600,6.7300,6.7300,354923,0.0000,1.0000
2019-06-27,6.1400,6.7975,6.1400,6.5000,6.5000,25042,0.0000,1.0000
2019-06-26,6.5100,7.1090,6.0600,6.1600,6.1600,82257,0.0000,1.0000
2019-06-25,6.5300,7.2200,6.3100,6.4000,6.4000,23529,0.0000,1.0000
2019-06-24,7.6300,7.6300,6.4000,6.5100,6.5100,86464,0.0000,1.0000
2019-06-21,7.6100,8.4200,7.2200,7.3500,7.3500,186731,0.0000,1.0000
2019-06-20,7.8300,8.9800,7.5100,7.6600,7.6600,40083,0.0000,1.0000
2019-06-19,8.1600,8.1996,7.6400,7.8000,7.8000,30226,0.0000,1.0000
2019-06-18,8.3000,8.9250,7.7500,8.2000,8.2000,42994,0.0000,1.0000
2019-06-17,8.8000,9.2600,8.1800,8.1900,8.1900,29284,0.0000,1.0000
2019-06-14,9.6700,9.6700,8.7400,8.8500,8.8500,20941,0.0000,1.0000
2019-06-13,9.2600,9.6900,9.2479,9.6700,9.6700,13159,0.0000,1.0000
2019-06-12,8.7900,9.7000,8.7250,9.2600,9.2600,69194,0.0000,1.0000
2019-06-11,8.3300,8.9900,8.1100,8.8000,8.8000,31973,0.0000,1.0000
2019-06-10,7.4500,8.8300,7.4400,8.1100,8.1100,99273,0.0000,1.0000
2019-06-07,7.9063,8.1900,7.1800,7.5600,7.5600,88720,0.0000,1.0000
2019-06-06,8.0700,8.2496,7.7500,7.7600,7.7600,18680,0.0000,1.0000
2019-06-05,9.3300,9.5000,7.1900,8.0500,8.0500,70148,0.0000,1.0000
2019-06-04,8.1500,9.7700,7.8500,9.7700,9.7700,24186,0.0000,1.0000
2019-06-03,8.6500,8.8200,7.9763,8.0300,8.0300,48925,0.0000,1.0000
2019-05-31,8.3100,8.7500,7.7400,8.5800,8.5800,30934,0.0000,1.0000
2019-05-30,8.4532,8.6700,7.8000,8.3000,8.3000,39454,0.0000,1.0000
2019-05-29,9.4500,10.3487,8.0700,8.5200,8.5200,59814,0.0000,1.0000
2019-05-28,9.2600,9.9500,9.1400,9.4500,9.4500,50291,0.0000,1.0000
2019-05-24,9.3500,9.4463,9.0300,9.1500,9.1500,15487,0.0000,1.0000
2019-05-23,9.3800,9.8396,9.2200,9.2600,9.2600,60304,0.0000,1.0000
2019-05-22,10.1900,10.9300,9.3800,9.5600,9.5600,53077,0.0000,1.0000
2019-05-21,11.7600,12.0100,9.0200,10.2900,10.2900,19357,0.0000,1.0000
2019-05-20,11.7100,12.5240,11.6100,11.8200,11.8200,53562,0.0000,1.0000
2019-05-17,12.6500,12.7500,11.3700,11.6700,11.6700,30737,0.0000,1.0000
2019-05-16,13.0500,13.5300,12.3000,12.8300,12.8300,45770,0.0000,1.0000
2019-05-15,13.9700,14.0000,12.6200,13.2500,13.2500,134339,0.0000,1.0000
2019-05-14,14.0000,14.1500,13.7500,13.8100,13.8100,110531,0.0000,1.0000
2019-05-13,14.0000,14.0400,13.7500,13.7900,13.7900,116358,0.0000,1.0000
2019-05-10,14.0000,14.0100,13.7500,13.8500,13.8500,83275,0.0000,1.0000
2019-05-09,14.0000,14.0000,13.7500,13.8400,13.8400,84135,0.0000,1.0000
2019-05-08,14.0000,14.0500,13.7500,13.7700,13.7700,78027,0.0000,1.0000
2019-05-07,14.0000,14.0500,13.8500,13.9500,13.9500,60666,0.0000,1.0000
2019-05-06,14.0000,14.0700,13.7400,13.7500,13.7500,68821,0.0000,1.0000
2019-05-03,14.0000,14.1000,13.7500,13.9000,13.9000,70223,0.0000,1.0000
2019-05-02,14.0000,14.1650,13.7500,13.7900,13.7900,91332,0.0000,1.0000
2019-05-01,14.0000,14.1100,13.7500,14.0000,14.0000,75848,0.0000,1.0000
2019-04-30,14.0000,14.1800,12.8200,14.0200,14.0200,95471,0.0000,1.0000
2019-04-29,14.0000,14.1800,14.0000,14.0000,14.0000,45454,0.0000,1.0000
2019-04-26,14.2000,14.2450,13.8000,14.0000,14.0000,114717,0.0000,1.0000
2019-04-25,14.0300,14.2000,14.0000,14.1500,14.1500,79609,0.0000,1.0000
2019-04-24,14.0000,14.1000,13.7700,14.0000,14.0000,82879,0.0000,1.0000
2019-04-23,14.0100,14.1500,13.7500,13.7500,13.7500,86230,0.0000,1.0000
2019-04-22,14.0000,14.3786,13.7300,14.0000,14.0000,110145,0.0000,1.0000
2019-04-18,14.3000,14.7600,13.7100,14.0000,14.0000,1594199,0.0000,1.0000
