timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,0.7350,0.8267,0.7000,0.7102,0.7102,1428549,0.0000,1.0000
2019-07-30,0.5788,0.8358,0.5600,0.6600,0.6600,2805939,0.0000,1.0000
2019-07-29,0.5650,0.5700,0.5112,0.5211,0.5211,159011,0.0000,1.0000
2019-07-26,0.5601,0.5788,0.5600,0.5600,0.5600,102577,0.0000,1.0000
2019-07-25,0.5739,0.5749,0.5100,0.5648,0.5648,65086,0.0000,1.0000
2019-07-24,0.5500,0.5800,0.5400,0.5749,0.5749,168037,0.0000,1.0000
2019-07-23,0.5610,0.5700,0.5101,0.5400,0.5400,686931,0.0000,1.0000
2019-07-22,0.6230,0.6230,0.5500,0.5700,0.5700,137738,0.0000,1.0000
2019-07-19,0.6500,0.6500,0.6000,0.6069,0.6069,192132,0.0000,1.0000
2019-07-18,0.6500,0.6500,0.6390,0.6500,0.6500,99388,0.0000,1.0000
2019-07-17,0.6500,0.6900,0.6480,0.6500,0.6500,36349,0.0000,1.0000
2019-07-16,0.6600,0.6800,0.6500,0.6550,0.6550,95369,0.0000,1.0000
2019-07-15,0.6750,0.6999,0.6583,0.6651,0.6651,120781,0.0000,1.0000
2019-07-12,0.6400,0.6835,0.6351,0.6710,0.6710,204525,0.0000,1.0000
2019-07-11,0.6200,0.6500,0.6190,0.6348,0.6348,115097,0.0000,1.0000
2019-07-10,0.6100,0.6400,0.6100,0.6100,0.6100,151145,0.0000,1.0000
2019-07-09,0.6500,0.6598,0.6000,0.6207,0.6207,401607,0.0000,1.0000
2019-07-08,0.6850,0.6924,0.6321,0.6500,0.6500,192794,0.0000,1.0000
2019-07-05,0.6950,0.7000,0.6800,0.6900,0.6900,63037,0.0000,1.0000
2019-07-03,0.7000,0.7000,0.6750,0.6901,0.6901,42361,0.0000,1.0000
2019-07-02,0.7066,0.7100,0.6800,0.6941,0.6941,20827,0.0000,1.0000
2019-07-01,0.6900,0.7485,0.6896,0.6999,0.6999,124724,0.0000,1.0000
2019-06-28,0.7481,0.7481,0.6850,0.6850,0.6850,99822,0.0000,1.0000
2019-06-27,0.7200,0.7400,0.7000,0.7211,0.7211,46050,0.0000,1.0000
2019-06-26,0.7111,0.7800,0.7100,0.7145,0.7145,107147,0.0000,1.0000
2019-06-25,0.7390,0.7585,0.7102,0.7104,0.7104,99313,0.0000,1.0000
2019-06-24,0.7601,0.7950,0.7354,0.7354,0.7354,83155,0.0000,1.0000
2019-06-21,0.7800,0.7950,0.7600,0.7600,0.7600,44662,0.0000,1.0000
2019-06-20,0.7755,0.7800,0.7400,0.7600,0.7600,55071,0.0000,1.0000
2019-06-19,0.7500,0.7800,0.7500,0.7520,0.7520,102282,0.0000,1.0000
2019-06-18,0.7700,0.7900,0.7500,0.7512,0.7512,67389,0.0000,1.0000
2019-06-17,0.7400,0.7774,0.7300,0.7539,0.7539,84467,0.0000,1.0000
2019-06-14,0.7300,0.7700,0.7265,0.7457,0.7457,97643,0.0000,1.0000
2019-06-13,0.7233,0.7800,0.7080,0.7300,0.7300,708967,0.0000,1.0000
2019-06-12,0.7153,0.7300,0.7100,0.7124,0.7124,94459,0.0000,1.0000
2019-06-11,0.7050,0.7400,0.7015,0.7030,0.7030,149171,0.0000,1.0000
2019-06-10,0.7000,0.7723,0.7000,0.7096,0.7096,223335,0.0000,1.0000
2019-06-07,0.7900,0.7900,0.7000,0.7012,0.7012,219106,0.0000,1.0000
2019-06-06,0.7800,0.8000,0.7500,0.7570,0.7570,261325,0.0000,1.0000
2019-06-05,0.7701,0.8000,0.7500,0.7912,0.7912,317940,0.0000,1.0000
2019-06-04,0.8700,0.8799,0.7700,0.7911,0.7911,802560,0.0000,1.0000
2019-06-03,0.9700,1.1000,0.8300,0.8847,0.8847,5214534,0.0000,1.0000
2019-05-31,0.7150,0.8978,0.6990,0.8200,0.8200,1766847,0.0000,1.0000
2019-05-30,0.7690,0.7690,0.7000,0.7350,0.7350,94882,0.0000,1.0000
2019-05-29,0.7200,0.7400,0.6659,0.7390,0.7390,332106,0.0000,1.0000
2019-05-28,0.7380,0.7500,0.6900,0.7000,0.7000,186828,0.0000,1.0000
2019-05-24,0.7572,0.7572,0.7051,0.7400,0.7400,457597,0.0000,1.0000
2019-05-23,0.8300,0.8300,0.7200,0.7350,0.7350,1109193,0.0000,1.0000
2019-05-22,0.8600,0.8800,0.8250,0.8402,0.8402,364368,0.0000,1.0000
2019-05-21,0.8200,0.8400,0.8008,0.8399,0.8399,116877,0.0000,1.0000
2019-05-20,0.8900,0.8900,0.8000,0.8000,0.8000,171281,0.0000,1.0000
2019-05-17,0.8950,0.8950,0.8200,0.8441,0.8441,123373,0.0000,1.0000
2019-05-16,0.8900,0.8999,0.8610,0.8680,0.8680,157445,0.0000,1.0000
2019-05-15,0.9000,0.9400,0.8600,0.8820,0.8820,244924,0.0000,1.0000
2019-05-14,0.9000,0.9300,0.8600,0.9000,0.9000,302564,0.0000,1.0000
2019-05-13,0.9625,0.9700,0.8215,0.8998,0.8998,256164,0.0000,1.0000
2019-05-10,0.9947,1.0200,0.9700,0.9896,0.9896,93876,0.0000,1.0000
2019-05-09,1.0200,1.0700,0.9639,0.9947,0.9947,213827,0.0000,1.0000
2019-05-08,1.0100,1.0397,1.0100,1.0300,1.0300,32250,0.0000,1.0000
2019-05-07,1.0300,1.0400,0.9900,1.0000,1.0000,102624,0.0000,1.0000
2019-05-06,1.0100,1.0500,0.9915,1.0300,1.0300,150655,0.0000,1.0000
2019-05-03,1.0500,1.0500,1.0000,1.0100,1.0100,224913,0.0000,1.0000
2019-05-02,1.0800,1.0800,0.9667,1.0336,1.0336,591446,0.0000,1.0000
2019-05-01,1.0600,1.0800,1.0200,1.0600,1.0600,71450,0.0000,1.0000
2019-04-30,1.1000,1.1000,1.0400,1.0600,1.0600,240361,0.0000,1.0000
2019-04-29,1.1000,1.1300,1.0900,1.1000,1.1000,132522,0.0000,1.0000
2019-04-26,1.1100,1.1200,1.0800,1.1200,1.1200,120965,0.0000,1.0000
2019-04-25,1.1200,1.1201,1.0800,1.1000,1.1000,149206,0.0000,1.0000
2019-04-24,1.1500,1.1600,1.1200,1.1200,1.1200,82187,0.0000,1.0000
2019-04-23,1.1100,1.1800,1.1003,1.1800,1.1800,127923,0.0000,1.0000
2019-04-22,1.1400,1.1500,1.0800,1.1400,1.1400,120493,0.0000,1.0000
2019-04-18,1.1500,1.1750,1.1400,1.1400,1.1400,163931,0.0000,1.0000
2019-04-17,1.1500,1.1800,1.1000,1.1400,1.1400,116416,0.0000,1.0000
2019-04-16,1.1200,1.2700,1.0600,1.1400,1.1400,682260,0.0000,1.0000
2019-04-15,1.1600,1.1600,1.1000,1.1200,1.1200,174506,0.0000,1.0000
2019-04-12,1.1600,1.2000,1.1585,1.1600,1.1600,70940,0.0000,1.0000
2019-04-11,1.1601,1.2000,1.1600,1.1600,1.1600,72065,0.0000,1.0000
2019-04-10,1.2100,1.2200,1.1500,1.1600,1.1600,220128,0.0000,1.0000
2019-04-09,1.2187,1.2200,1.2000,1.2000,1.2000,108146,0.0000,1.0000
